	Managing for Safer Food: The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status? Evidence from the United States and Canada.” Resources for the Future, Discussion Paper,	Economic News Release: Employment Cost Index.” http://www.bls.gov/news.release/eci.toc.htm.	Health Status Index in Cost Effectiveness. Analysis of PKO Program.”	Disease Control and Prevention. http://www.cdc.gov/mmwr/preview/mmwrhtml/mm5414a2.htm Consumer Price Index – All Urban Consumers, Medical Care Services, Bureau of Labor Statistics,	Measuring the Health of the United States Population.” Microeconomics, Brookings Paper,	Health Care Contingent Valuation Studies: A Review and	Foodborne Illness Cost Calculator for Salmonella.	Per Capita Consumption of Selected Food Products. http://www.ers.usda.gov/	Foodborne Diseases Active Surveillance Network,	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping”, Market News,	Data: U.S. trade data, U.S. Imports Trade data.	Reddy and the FoodNet Working Group.	USDA/FSIS Technical Center,	Willingness to Pay for a Quality-adjusted Life Year: In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation?” Arch Intern Med,	Foodborne Disease Handbook. 2 nd edition, vol.1 Bacterial Pathogens.	The Quality of WellBeing Scale: Rationale for a Single Quality of Life Index.” From Quality of Life Assessment: Key Issues in the 1990s.	The economic impact of the catfish industry on Chicot County,	Food-Related Illness and Death in the United States.” Emerging Infectious Diseases,	FDA Labeling Cost Model.” Prepared for the U.S. Department of Health and Human Services. Research Triangle Park,	Managing for Safer Food: The Economics of Sanitation and	Physician Characteristics and Distribution in the United States.” 2002-2003 Edition.	Food Poisoning, Economic Implications.” Encyclopedia of Food Sciences	Processing Channel Catfish. South Regional Aquaculture Center,	Post-Salmonella Reactive Arthritis:	Department of Agriculture. Food Safety and Inspection Service. Office of Public Health Science.	Department of Agriculture /National Agricultural Statistics Service (USDA/NASS).	Federal Register. 21 CFR Parts 123 and 1240: Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products; Final Rule.	Trade Commission (USITC).	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry.”	Tauxe and the Food Networking Group.	Physician Socioeconomic Statistics.” 2000-2002 Edition: Profiles for Detailed Specialties, Selected States and Practice Arrangements.	Occurrence and Control of Salmonella in Freshwater Catfish,	The Costs of Visits to Emergency Departments.” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis.” 63FR 24254,	means 500 or less full-time equivalent (FTE) employees (Small Business Administration (SBA) definition) ** North American Industry Classification System (NAICS) code,
From Quality of  Life Assessment: Key Issues in the 1990s	0.5625	0.5909090909090908	0.625	0.5263157894736843	0.5957446808510638	0.641025641025641	0.5882352941176471	0.5483870967741935	0.5555555555555556	0.6285714285714286	0.6052631578947368	0.696969696969697	0.6470588235294117	0.6363636363636364	0.46875	0.5555555555555556	0.6578947368421053	0.3055555555555556	0.5483870967741935	0.5675675675675675	0.6136363636363636	0.5625	0.6666666666666667	0.6	0.5882352941176471	0.5483870967741935	0.5135135135135135	0.6216216216216216	0.4736842105263158	0.696969696969697	0.5135135135135135	0.6857142857142857	0.5526315789473684	0.53125	0.631578947368421	0.6222222222222222	0.5476190476190477
Measuring the Health of the United  States Population	0.4444444444444444	0.4736842105263158	0.6216216216216216	0.47058823529411764	0.5238095238095238	0.25	0.4285714285714286	0.5357142857142857	0.4	0.5806451612903225	0.5151515151515151	0.6071428571428572	0.5517241379310345	0.6333333333333333	0.5	0.5454545454545454	0.53125	0.6097560975609756	0.4814814814814815	0.46875	0.41666666666666663	0.4444444444444444	0.5454545454545454	0.5	0.4285714285714286	0.5357142857142857	0.40625	0.4838709677419355	0.5	0.6071428571428572	0.3548387096774194	0.5517241379310345	0.5	0.4642857142857143	0.5454545454545454	0.6190476190476191	0.6097560975609756
�Managing for Safer Food: The Economics  of Sanitation and Process Controls in Meat and Poultry Establishments	0.25	1.0	1.0	1.0	1.0	1.0	0.5	0.4	0.33333333333333337	0.5428571428571429	1.0	0.6470588235294117	0.6	0.5882352941176471	0.5142857142857142	1.0	0.5405405405405406	1.0	0.4	1.0	1.0	0.25	1.0	1.0	0.4545454545454546	0.5	0.38888888888888884	0.5789473684210527	0.39473684210526316	0.6060606060606061	1.0	0.6	1.0	0.3870967741935484	1.0	1.0	0.47619047619047616
�Per Capita Consumption of Selected Food  Products	0.4444444444444444	1.0	1.0	1.0	1.0	1.0	0.5333333333333333	0.29166666666666663	0.2857142857142857	0.48275862068965514	1.0	0.6071428571428572	0.6	0.5862068965517242	0.5483870967741935	1.0	0.5757575757575757	1.0	0.36	1.0	1.0	0.4444444444444444	1.0	1.0	0.4285714285714286	0.4814814814814815	0.40625	0.4838709677419355	0.4117647058823529	0.5555555555555556	1.0	0.6	1.0	0.28	1.0	1.0	0.5
21 CFR Parts 123 and  1240: Procedures for the Safe and Sanitary Processing and Importing of Fish  and Fishery Products; Final Rule	0.48571428571428577	0.4666666666666667	0.4878048780487805	0.46341463414634143	0.44680851063829785	0.5	0.5135135135135135	0.47058823529411764	0.36111111111111116	0.625	0.5365853658536586	0.6486486486486487	0.5675675675675675	0.631578947368421	0.5263157894736843	0.5609756097560976	0.55	0.41860465116279066	0.47058823529411764	0.46153846153846156	0.48888888888888893	0.48571428571428577	0.4871794871794872	0.4444444444444444	0.4722222222222222	0.5142857142857142	0.41025641025641024	0.5853658536585367	0.030303030303030276	0.6486486486486487	0.368421052631579	0.641025641025641	0.41025641025641024	0.4571428571428572	0.525	0.4666666666666667	0.48888888888888893
Catfish 2007 Summary	0.6296296296296297	0.675	0.7222222222222222	0.6176470588235294	0.7045454545454546	0.6666666666666667	0.6551724137931034	0.6153846153846154	0.6129032258064516	0.7419354838709677	0.6666666666666667	0.7407407407407407	0.7241379310344828	0.7142857142857143	0.7096774193548387	0.7352941176470589	0.7647058823529411	0.6666666666666667	0.5	0.6666666666666667	0.7	0.6296296296296297	0.5666666666666667	0.7096774193548387	0.6071428571428572	0.6666666666666667	0.6470588235294117	0.6875	0.5588235294117647	0.6923076923076923	0.6060606060606061	0.7666666666666666	0.6060606060606061	0.5384615384615384	0.65625	0.7073170731707317	0.631578947368421
Catfish and Basa Imports Continue to  Increase Despite Confirmed Antidumping	0.4642857142857143	0.4871794871794872	0.5142857142857142	0.4411764705882353	0.46341463414634143	0.4375	0.5	0.4444444444444444	0.4193548387096774	0.5483870967741935	0.2142857142857143	0.5714285714285714	0.5666666666666667	0.5517241379310345	0.5625	0.5151515151515151	0.5454545454545454	0.5128205128205128	0.31999999999999995	0.4375	0.4736842105263158	0.4642857142857143	0.5588235294117647	0.5161290322580645	0.4482758620689655	0.5517241379310345	0.375	0.4516129032258065	0.4722222222222222	0.5714285714285714	0.4242424242424242	0.5666666666666667	0.47058823529411764	0.4285714285714286	0.4193548387096774	0.525	0.4736842105263158
Catfish January 2009 Reports	0.6333333333333333	0.6097560975609756	0.6111111111111112	0.6216216216216216	0.6739130434782609	0.6285714285714286	0.5666666666666667	0.6206896551724138	0.5757575757575757	0.696969696969697	0.5882352941176471	0.7333333333333334	0.5357142857142857	0.7096774193548387	0.625	0.6176470588235294	0.6857142857142857	0.6	0.4	0.6285714285714286	0.6341463414634146	0.6333333333333333	0.53125	0.6666666666666667	0.5172413793103448	0.6206896551724138	0.6111111111111112	0.6470588235294117	0.48571428571428577	0.6896551724137931	0.5294117647058824	0.6333333333333333	0.5714285714285714	0.5517241379310345	0.5757575757575757	0.6097560975609756	0.6
Consumer Price Index � All Urban Consumers	0.6451612903225806	1.0	1.0	1.0	1.0	1.0	0.5806451612903225	0.42307692307692313	0.5454545454545454	0.5333333333333333	1.0	0.6551724137931034	0.7272727272727273	0.5862068965517242	0.59375	1.0	0.6176470588235294	1.0	0.5357142857142857	1.0	1.0	0.6451612903225806	1.0	1.0	0.5333333333333333	0.5357142857142857	0.5	0.5757575757575757	0.5789473684210527	0.5	1.0	0.6875	1.0	0.5172413793103448	1.0	1.0	0.6097560975609756
Cost  Calculator for Salmonella	0.5	0.5945945945945945	0.6363636363636364	0.5161290322580645	0.6341463414634146	0.5172413793103448	0.5384615384615384	0.25	0.4444444444444444	0.5384615384615384	0.5666666666666667	0.625	0.7142857142857143	0.6	0.6071428571428572	0.6451612903225806	0.6774193548387097	0.6216216216216216	0.40909090909090906	0.5172413793103448	0.5833333333333333	0.5	0.6	0.5555555555555556	0.41666666666666663	0.4782608695652174	0.5483870967741935	0.4814814814814815	0.5454545454545454	0.5652173913043479	0.5483870967741935	0.7142857142857143	0.59375	0.31818181818181823	0.5517241379310345	0.631578947368421	0.5833333333333333
Draft Risk Assessment of the Potential  Human Health Effect of Applying Continuous Inspection to Catfish	0.5454545454545454	0.3589743589743589	0.45945945945945943	0.34285714285714286	0.5217391304347826	0.4285714285714286	0.48484848484848486	0.53125	0.4571428571428572	0.5714285714285714	0.38235294117647056	0.6764705882352942	0.5454545454545454	0.5757575757575757	0.5428571428571429	0.4571428571428572	0.5277777777777778	0.5348837209302326	0.43333333333333335	0.4285714285714286	0.3846153846153846	0.5454545454545454	0.5405405405405406	0.4545454545454546	0.3870967741935484	0.4838709677419355	0.32352941176470584	0.48571428571428577	0.42105263157894735	0.6764705882352942	0.32352941176470584	0.6285714285714286	0.41666666666666663	0.5151515151515151	0.4117647058823529	0.5454545454545454	0.5
Economic News Release: Employment Cost  Index	0.5666666666666667	0.5609756097560976	0.2666666666666667	0.5277777777777778	0.6	0.6486486486486487	0.5483870967741935	0.5517241379310345	0.5151515151515151	0.59375	0.5294117647058824	0.6206896551724138	0.6129032258064516	0.6875	0.6060606060606061	0.6	0.7027027027027026	0.5853658536585367	0.5	0.5714285714285714	0.6511627906976745	0.5666666666666667	0.6388888888888888	0.4666666666666667	0.6363636363636364	0.5517241379310345	0.5945945945945945	0.6285714285714286	0.5135135135135135	0.6206896551724138	0.5555555555555556	0.6129032258064516	0.5555555555555556	0.5333333333333333	0.4193548387096774	0.627906976744186	0.55
Estimate of the Burden of  Illness Caused by Nontyphoidal Salmonella Infections in the United States  from FoodNet	0.4516129032258065	0.4390243902439024	0.41666666666666663	0.43243243243243246	0.48888888888888893	0.4285714285714286	0.5714285714285714	0.3214285714285714	0.4117647058823529	0.48484848484848486	0.4285714285714286	0.59375	0.5454545454545454	0.53125	0.5833333333333333	0.5789473684210527	0.5675675675675675	0.5	0.3793103448275862	0.38235294117647056	0.46341463414634143	0.4516129032258065	0.4571428571428572	0.40625	0.5294117647058824	0.5757575757575757	0.37142857142857144	0.48571428571428577	0.42105263157894735	0.5483870967741935	0.41666666666666663	0.5882352941176471	0.5	0.3666666666666667	0.4117647058823529	0.5454545454545454	0.3421052631578947
