	Managing for Safer Food: The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status? Evidence from the United States and Canada.” Resources for the Future, Discussion Paper,	Economic News Release: Employment Cost Index.” http://www.bls.gov/news.release/eci.toc.htm.	Health Status Index in Cost Effectiveness. Analysis of PKO Program.”	Disease Control and Prevention. http://www.cdc.gov/mmwr/preview/mmwrhtml/mm5414a2.htm Consumer Price Index – All Urban Consumers, Medical Care Services, Bureau of Labor Statistics,	Measuring the Health of the United States Population.” Microeconomics, Brookings Paper,	Health Care Contingent Valuation Studies: A Review and	Foodborne Illness Cost Calculator for Salmonella.	Per Capita Consumption of Selected Food Products. http://www.ers.usda.gov/	Foodborne Diseases Active Surveillance Network,	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping”, Market News,	Data: U.S. trade data, U.S. Imports Trade data.	Reddy and the FoodNet Working Group.	USDA/FSIS Technical Center,	Willingness to Pay for a Quality-adjusted Life Year: In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation?” Arch Intern Med,	Foodborne Disease Handbook. 2 nd edition, vol.1 Bacterial Pathogens.	The Quality of WellBeing Scale: Rationale for a Single Quality of Life Index.” From Quality of Life Assessment: Key Issues in the 1990s.	The economic impact of the catfish industry on Chicot County,	Food-Related Illness and Death in the United States.” Emerging Infectious Diseases,	FDA Labeling Cost Model.” Prepared for the U.S. Department of Health and Human Services. Research Triangle Park,	Managing for Safer Food: The Economics of Sanitation and	Physician Characteristics and Distribution in the United States.” 2002-2003 Edition.	Food Poisoning, Economic Implications.” Encyclopedia of Food Sciences	Processing Channel Catfish. South Regional Aquaculture Center,	Post-Salmonella Reactive Arthritis:	Department of Agriculture. Food Safety and Inspection Service. Office of Public Health Science.	Department of Agriculture /National Agricultural Statistics Service (USDA/NASS).	Federal Register. 21 CFR Parts 123 and 1240: Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products; Final Rule.	Trade Commission (USITC).	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry.”	Tauxe and the Food Networking Group.	Physician Socioeconomic Statistics.” 2000-2002 Edition: Profiles for Detailed Specialties, Selected States and Practice Arrangements.	Occurrence and Control of Salmonella in Freshwater Catfish,	The Costs of Visits to Emergency Departments.” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis.” 63FR 24254,	means 500 or less full-time equivalent (FTE) employees (Small Business Administration (SBA) definition) ** North American Industry Classification System (NAICS) code,
From Quality of  Life Assessment: Key Issues in the 1990s	0.8596491228070176	0.7911392405063291	0.8351648351648352	0.8088235294117647	0.8611111111111112	0.7701149425287356	0.8947368421052632	0.8771929824561403	0.8243243243243243	0.7894736842105263	0.7888888888888889	0.8421052631578947	0.8245614035087719	0.8596491228070176	0.8771929824561403	0.7628865979381443	0.8382352941176471	0.5955882352941176	0.819672131147541	0.7710843373493976	0.7767857142857143	0.8596491228070176	0.8095238095238095	0.8115942028985508	0.8548387096774194	0.8070175438596491	0.7578947368421053	0.825	0.831081081081081	0.8421052631578947	0.7692307692307693	0.8421052631578947	0.7969924812030075	0.8983050847457628	0.7903225806451613	0.7802197802197802	0.8192771084337349
Measuring the Health of the United  States Population	0.7142857142857143	0.7468354430379747	0.8131868131868132	0.7794117647058824	0.8277777777777777	0.41379310344827586	0.7962962962962963	0.8490566037735849	0.7702702702702703	0.8113207547169812	0.7888888888888889	0.7924528301886793	0.7547169811320755	0.8490566037735849	0.7818181818181819	0.7422680412371134	0.75	0.7867647058823529	0.7377049180327869	0.6385542168674698	0.7410714285714286	0.7142857142857143	0.6428571428571429	0.7971014492753623	0.7580645161290323	0.7735849056603774	0.7473684210526316	0.775	0.8040540540540541	0.8867924528301887	0.7948717948717948	0.7547169811320755	0.7744360902255639	0.7457627118644068	0.8225806451612904	0.7802197802197802	0.8072289156626506
�Managing for Safer Food: The Economics  of Sanitation and Process Controls in Meat and Poultry Establishments	0.4909090909090909	1.0	1.0	1.0	1.0	1.0	0.7636363636363637	0.8	0.7818181818181819	0.8272727272727273	1.0	0.8090909090909091	0.8272727272727273	0.8545454545454545	0.8	1.0	0.7636363636363637	1.0	0.7545454545454545	1.0	1.0	0.4909090909090909	1.0	1.0	0.8	0.8545454545454545	0.7818181818181819	0.8090909090909091	0.722972972972973	0.8727272727272727	1.0	0.8181818181818182	1.0	0.7454545454545455	1.0	1.0	0.7650602409638554
�Per Capita Consumption of Selected Food  Products	0.8571428571428571	1.0	1.0	1.0	1.0	1.0	0.8148148148148148	0.88	0.3783783783783784	0.88	1.0	0.88	0.78	0.86	0.8545454545454545	1.0	0.7794117647058824	1.0	0.8032786885245902	1.0	1.0	0.8571428571428571	1.0	1.0	0.7903225806451613	0.8	0.7894736842105263	0.8375	0.7837837837837838	0.8	1.0	0.78	1.0	0.7457627118644068	1.0	1.0	0.8433734939759037
21 CFR Parts 123 and  1240: Procedures for the Safe and Sanitary Processing and Importing of Fish  and Fishery Products; Final Rule	0.7938931297709924	0.7721518987341772	0.8549618320610687	0.7862595419847328	0.8111111111111111	0.7633587786259542	0.8091603053435115	0.8396946564885496	0.7938931297709924	0.8473282442748091	0.7709923664122137	0.7709923664122137	0.8320610687022901	0.9083969465648855	0.8091603053435115	0.7480916030534351	0.7938931297709924	0.7941176470588235	0.8015267175572519	0.7480916030534351	0.732824427480916	0.7938931297709924	0.7786259541984732	0.8091603053435115	0.8244274809160306	0.8625954198473282	0.7480916030534351	0.8091603053435115	0.14189189189189189	0.9007633587786259	0.7633587786259542	0.8320610687022901	0.8721804511278195	0.7786259541984732	0.8015267175572519	0.8091603053435115	0.7891566265060241
Catfish 2007 Summary	0.875	0.9240506329113924	0.9340659340659341	0.8823529411764706	0.9333333333333333	0.8735632183908046	0.8518518518518519	0.8979591836734694	0.8918918918918919	0.8297872340425532	0.8444444444444444	0.851063829787234	0.8611111111111112	0.8888888888888888	0.8727272727272727	0.8969072164948454	0.8970588235294118	0.9191176470588235	0.8524590163934426	0.891566265060241	0.9107142857142857	0.875	0.8690476190476191	0.8985507246376812	0.8225806451612904	0.9142857142857143	0.9052631578947369	0.8875	0.918918918918919	0.88	0.8717948717948718	0.8611111111111112	0.9097744360902256	0.8813559322033898	0.8548387096774194	0.9120879120879121	0.927710843373494
Catfish and Basa Imports Continue to  Increase Despite Confirmed Antidumping	0.7763157894736842	0.7784810126582279	0.7912087912087912	0.7763157894736842	0.8111111111111111	0.8045977011494253	0.7368421052631579	0.8026315789473685	0.868421052631579	0.7894736842105263	0.17777777777777778	0.8026315789473685	0.7763157894736842	0.868421052631579	0.8026315789473685	0.6804123711340206	0.8552631578947368	0.7647058823529411	0.7894736842105263	0.7951807228915663	0.7857142857142857	0.7763157894736842	0.7857142857142857	0.8289473684210527	0.8157894736842105	0.7894736842105263	0.7684210526315789	0.8375	0.7702702702702703	0.8421052631578947	0.7948717948717948	0.7631578947368421	0.7819548872180451	0.8026315789473685	0.7631578947368421	0.7582417582417582	0.8012048192771084
Catfish January 2009 Reports	0.8392857142857143	0.8860759493670886	0.8791208791208791	0.8382352941176471	0.9	0.8505747126436781	0.7962962962962963	0.8571428571428571	0.8513513513513513	0.8297872340425532	0.7888888888888889	0.7446808510638298	0.8611111111111112	0.9285714285714286	0.8181818181818182	0.8350515463917526	0.8235294117647058	0.8823529411764706	0.7868852459016393	0.8554216867469879	0.875	0.8392857142857143	0.8333333333333334	0.8695652173913043	0.7903225806451613	0.8285714285714286	0.8736842105263158	0.85	0.8783783783783784	0.9642857142857143	0.8333333333333334	0.8333333333333334	0.8947368421052632	0.8305084745762712	0.8064516129032258	0.8461538461538461	0.9096385542168675
Consumer Price Index � All Urban Consumers	0.8214285714285714	1.0	1.0	1.0	1.0	1.0	0.8703703703703703	0.8367346938775511	0.7972972972972973	0.8297872340425532	1.0	0.8723404255319149	0.8571428571428571	0.8095238095238095	0.8545454545454545	1.0	0.7647058823529411	1.0	0.7868852459016393	1.0	1.0	0.8214285714285714	1.0	1.0	0.7903225806451613	0.8571428571428571	0.8105263157894737	0.8	0.8513513513513513	0.8571428571428571	1.0	0.8333333333333334	1.0	0.7796610169491526	1.0	1.0	0.8554216867469879
Cost  Calculator for Salmonella	0.8035714285714286	0.879746835443038	0.8351648351648352	0.8382352941176471	0.8944444444444445	0.8160919540229885	0.7777777777777778	0.40816326530612246	0.8108108108108109	0.8085106382978723	0.8222222222222222	0.7872340425531915	0.8611111111111112	0.9354838709677419	0.8181818181818182	0.845360824742268	0.8088235294117647	0.8455882352941176	0.8524590163934426	0.8313253012048193	0.8214285714285714	0.8035714285714286	0.8571428571428571	0.8115942028985508	0.7580645161290323	0.8	0.8210526315789474	0.8125	0.8513513513513513	0.8387096774193549	0.782051282051282	0.8611111111111112	0.8571428571428571	0.7457627118644068	0.7419354838709677	0.8461538461538461	0.8734939759036144
Draft Risk Assessment of the Potential  Human Health Effect of Applying Continuous Inspection to Catfish	0.7788461538461539	0.7468354430379747	0.8173076923076923	0.7692307692307693	0.7944444444444444	0.75	0.7788461538461539	0.8173076923076923	0.8269230769230769	0.8269230769230769	0.7403846153846154	0.7980769230769231	0.8173076923076923	0.8846153846153846	0.7980769230769231	0.7788461538461539	0.8076923076923077	0.7352941176470589	0.75	0.75	0.7946428571428571	0.7788461538461539	0.8365384615384616	0.7980769230769231	0.7884615384615384	0.8269230769230769	0.7980769230769231	0.7692307692307693	0.75	0.875	0.7692307692307693	0.8076923076923077	0.8045112781954887	0.75	0.7980769230769231	0.8076923076923077	0.7469879518072289
Economic News Release: Employment Cost  Index	0.8214285714285714	0.8417721518987342	0.5274725274725275	0.8382352941176471	0.8722222222222222	0.7931034482758621	0.8518518518518519	0.8367346938775511	0.8378378378378378	0.851063829787234	0.8111111111111111	0.851063829787234	0.8444444444444444	0.8666666666666667	0.8363636363636363	0.8041237113402062	0.8088235294117647	0.8308823529411765	0.7049180327868853	0.8072289156626506	0.8214285714285714	0.8214285714285714	0.8333333333333334	0.7246376811594203	0.7741935483870968	0.8222222222222222	0.8210526315789474	0.85	0.8648648648648649	0.8444444444444444	0.7948717948717948	0.8666666666666667	0.8195488721804511	0.8305084745762712	0.7580645161290323	0.8131868131868132	0.8253012048192772
Estimate of the Burden of  Illness Caused by Nontyphoidal Salmonella Infections in the United States  from FoodNet	0.7807017543859649	0.7341772151898734	0.8421052631578947	0.7807017543859649	0.7944444444444444	0.7543859649122807	0.7719298245614035	0.7631578947368421	0.7982456140350878	0.7982456140350878	0.7807017543859649	0.8157894736842105	0.8421052631578947	0.8859649122807017	0.7982456140350878	0.7192982456140351	0.7807017543859649	0.7867647058823529	0.7982456140350878	0.7456140350877193	0.8596491228070176	0.7807017543859649	0.7368421052631579	0.7982456140350878	0.7807017543859649	0.7982456140350878	0.7719298245614035	0.7894736842105263	0.7635135135135135	0.8859649122807017	0.7280701754385965	0.8245614035087719	0.7669172932330827	0.6929824561403509	0.7894736842105263	0.7631578947368421	0.7469879518072289
