	Managing for Safer Food: The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status? Evidence from the United States and Canada.” Resources for the Future, Discussion Paper,	Economic News Release: Employment Cost Index.” http://www.bls.gov/news.release/eci.toc.htm.	Health Status Index in Cost Effectiveness. Analysis of PKO Program.”	Disease Control and Prevention. http://www.cdc.gov/mmwr/preview/mmwrhtml/mm5414a2.htm Consumer Price Index – All Urban Consumers, Medical Care Services, Bureau of Labor Statistics,	Measuring the Health of the United States Population.” Microeconomics, Brookings Paper,	Health Care Contingent Valuation Studies: A Review and	Foodborne Illness Cost Calculator for Salmonella.	Per Capita Consumption of Selected Food Products. http://www.ers.usda.gov/	Foodborne Diseases Active Surveillance Network,	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping”, Market News,	Data: U.S. trade data, U.S. Imports Trade data.	Reddy and the FoodNet Working Group.	USDA/FSIS Technical Center,	Willingness to Pay for a Quality-adjusted Life Year: In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation?” Arch Intern Med,	Foodborne Disease Handbook. 2 nd edition, vol.1 Bacterial Pathogens.	The Quality of WellBeing Scale: Rationale for a Single Quality of Life Index.” From Quality of Life Assessment: Key Issues in the 1990s.	The economic impact of the catfish industry on Chicot County,	Food-Related Illness and Death in the United States.” Emerging Infectious Diseases,	FDA Labeling Cost Model.” Prepared for the U.S. Department of Health and Human Services. Research Triangle Park,	Managing for Safer Food: The Economics of Sanitation and	Physician Characteristics and Distribution in the United States.” 2002-2003 Edition.	Food Poisoning, Economic Implications.” Encyclopedia of Food Sciences	Processing Channel Catfish. South Regional Aquaculture Center,	Post-Salmonella Reactive Arthritis:	Department of Agriculture. Food Safety and Inspection Service. Office of Public Health Science.	Department of Agriculture /National Agricultural Statistics Service (USDA/NASS).	Federal Register. 21 CFR Parts 123 and 1240: Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products; Final Rule.	Trade Commission (USITC).	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry.”	Tauxe and the Food Networking Group.	Physician Socioeconomic Statistics.” 2000-2002 Edition: Profiles for Detailed Specialties, Selected States and Practice Arrangements.	Occurrence and Control of Salmonella in Freshwater Catfish,	The Costs of Visits to Emergency Departments.” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis.” 63FR 24254,	means 500 or less full-time equivalent (FTE) employees (Small Business Administration (SBA) definition) ** North American Industry Classification System (NAICS) code,
From Quality of  Life Assessment: Key Issues in the 1990s	0.69	0.5800000000000001	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.62	0.6599999999999999	0.72	0.6699999999999999	0.6599999999999999	0.64	0.71	0.7	0.75	0.64	0.53	0.69	0.020000000000000018	0.64	0.62	0.65	0.69	0.6699999999999999	0.71	0.69	0.69	0.64	0.69	0.63	0.72	0.62	0.73	0.62	0.6699999999999999	0.65	0.64	0.65
Measuring the Health of the United  States Population	0.51	0.48	0.65	0.61	0.61	0.020000000000000018	0.5900000000000001	0.6599999999999999	0.63	0.6599999999999999	0.61	0.6599999999999999	0.62	0.6699999999999999	0.63	0.51	0.55	0.55	0.5900000000000001	0.43999999999999995	0.55	0.51	0.48	0.6799999999999999	0.5700000000000001	0.6599999999999999	0.55	0.5900000000000001	0.55	0.72	0.61	0.62	0.51	0.61	0.65	0.5900000000000001	0.61
�Managing for Safer Food: The Economics  of Sanitation and Process Controls in Meat and Poultry Establishments	0.020000000000000018	0.0	0.0	0.0	0.0	0.0	0.5800000000000001	0.6	0.64	0.64	0.0	0.6599999999999999	0.5900000000000001	0.63	0.6	0.0	0.61	0.0	0.48	0.0	0.0	0.020000000000000018	0.0	0.0	0.5900000000000001	0.63	0.62	0.64	0.5900000000000001	0.6	0.0	0.5900000000000001	0.0	0.55	0.0	0.0	0.63
�Per Capita Consumption of Selected Food  Products	0.62	0.0	0.0	0.0	0.0	0.0	0.6	0.7	0.040000000000000036	0.6599999999999999	0.0	0.69	0.62	0.71	0.7	0.0	0.64	0.0	0.6	0.0	0.0	0.62	0.0	0.0	0.64	0.6	0.52	0.6599999999999999	0.5	0.6	0.0	0.5900000000000001	0.0	0.56	0.0	0.0	0.64
21 CFR Parts 123 and  1240: Procedures for the Safe and Sanitary Processing and Importing of Fish  and Fishery Products; Final Rule	0.5800000000000001	0.5900000000000001	0.7	0.62	0.6699999999999999	0.6	0.6	0.64	0.5900000000000001	0.64	0.6	0.62	0.56	0.75	0.64	0.5900000000000001	0.62	0.62	0.5800000000000001	0.6	0.5800000000000001	0.5800000000000001	0.62	0.6	0.55	0.6599999999999999	0.5900000000000001	0.6799999999999999	0.020000000000000018	0.64	0.5900000000000001	0.5900000000000001	0.63	0.56	0.65	0.61	0.6599999999999999
Catfish 2007 Summary	0.65	0.65	0.75	0.7	0.7	0.7	0.7	0.65	0.7	0.65	0.5	0.7	0.7	0.85	0.65	0.65	0.7	0.65	0.5	0.7	0.55	0.65	0.65	0.7	0.5	0.75	0.7	0.65	0.6	0.75	0.55	0.7	0.6	0.65	0.65	0.7	0.65
Catfish and Basa Imports Continue to  Increase Despite Confirmed Antidumping	0.65	0.61	0.64	0.62	0.65	0.64	0.54	0.62	0.65	0.64	0.020000000000000018	0.56	0.62	0.6699999999999999	0.6599999999999999	0.52	0.6699999999999999	0.5800000000000001	0.61	0.5900000000000001	0.61	0.65	0.6	0.64	0.65	0.63	0.64	0.69	0.5700000000000001	0.6799999999999999	0.5700000000000001	0.62	0.64	0.6	0.61	0.62	0.64
Catfish January 2009 Reports	0.72	0.5800000000000001	0.72	0.65	0.61	0.6799999999999999	0.65	0.65	0.65	0.6799999999999999	0.4	0.61	0.72	0.78	0.6799999999999999	0.65	0.65	0.6799999999999999	0.47	0.65	0.54	0.72	0.65	0.72	0.54	0.6799999999999999	0.6799999999999999	0.72	0.5800000000000001	0.84	0.5800000000000001	0.6799999999999999	0.65	0.65	0.61	0.61	0.65
Consumer Price Index � All Urban Consumers	0.7	0.0	0.0	0.0	0.0	0.0	0.6699999999999999	0.6	0.62	0.62	0.0	0.74	0.6699999999999999	0.71	0.72	0.0	0.65	0.0	0.6699999999999999	0.0	0.0	0.7	0.0	0.0	0.6599999999999999	0.72	0.6	0.6699999999999999	0.65	0.72	0.0	0.64	0.0	0.6	0.0	0.0	0.62
Cost  Calculator for Salmonella	0.62	0.5900000000000001	0.71	0.65	0.65	0.62	0.62	0.040000000000000036	0.62	0.65	0.62	0.6799999999999999	0.71	0.78	0.62	0.62	0.65	0.55	0.65	0.6799999999999999	0.55	0.62	0.6799999999999999	0.65	0.62	0.5900000000000001	0.52	0.5900000000000001	0.5900000000000001	0.76	0.52	0.71	0.65	0.42000000000000004	0.5900000000000001	0.62	0.62
