	Managing for Safer Food: The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status? Evidence from the United States and Canada.” Resources for the Future, Discussion Paper,	Economic News Release: Employment Cost Index.” http://www.bls.gov/news.release/eci.toc.htm.	Health Status Index in Cost Effectiveness. Analysis of PKO Program.”	Disease Control and Prevention. http://www.cdc.gov/mmwr/preview/mmwrhtml/mm5414a2.htm Consumer Price Index – All Urban Consumers, Medical Care Services, Bureau of Labor Statistics,	Measuring the Health of the United States Population.” Microeconomics, Brookings Paper,	Health Care Contingent Valuation Studies: A Review and	Foodborne Illness Cost Calculator for Salmonella.	Per Capita Consumption of Selected Food Products. http://www.ers.usda.gov/	Foodborne Diseases Active Surveillance Network,	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping”, Market News,	Data: U.S. trade data, U.S. Imports Trade data.	Reddy and the FoodNet Working Group.	USDA/FSIS Technical Center,	Willingness to Pay for a Quality-adjusted Life Year: In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation?” Arch Intern Med,	Foodborne Disease Handbook. 2 nd edition, vol.1 Bacterial Pathogens.	The Quality of WellBeing Scale: Rationale for a Single Quality of Life Index.” From Quality of Life Assessment: Key Issues in the 1990s.	The economic impact of the catfish industry on Chicot County,	Food-Related Illness and Death in the United States.” Emerging Infectious Diseases,	FDA Labeling Cost Model.” Prepared for the U.S. Department of Health and Human Services. Research Triangle Park,	Managing for Safer Food: The Economics of Sanitation and	Physician Characteristics and Distribution in the United States.” 2002-2003 Edition.	Food Poisoning, Economic Implications.” Encyclopedia of Food Sciences	Processing Channel Catfish. South Regional Aquaculture Center,	Post-Salmonella Reactive Arthritis:	Department of Agriculture. Food Safety and Inspection Service. Office of Public Health Science.	Department of Agriculture /National Agricultural Statistics Service (USDA/NASS).	Federal Register. 21 CFR Parts 123 and 1240: Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products; Final Rule.	Trade Commission (USITC).	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry.”	Tauxe and the Food Networking Group.	Physician Socioeconomic Statistics.” 2000-2002 Edition: Profiles for Detailed Specialties, Selected States and Practice Arrangements.	Occurrence and Control of Salmonella in Freshwater Catfish,	The Costs of Visits to Emergency Departments.” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis.” 63FR 24254,	means 500 or less full-time equivalent (FTE) employees (Small Business Administration (SBA) definition) ** North American Industry Classification System (NAICS) code,
From Quality of  Life Assessment: Key Issues in the 1990s	0.3913043478260869	0.4193548387096774	0.4545454545454546	0.3571428571428571	0.4242424242424242	0.4716981132075472	0.41666666666666663	0.37777777777777777	0.3846153846153846	0.45833333333333337	0.4339622641509434	0.5348837209302326	0.4782608695652174	0.4666666666666667	0.30612244897959184	0.3846153846153846	0.4901960784313726	0.180327868852459	0.37777777777777777	0.39622641509433965	0.4426229508196722	0.3913043478260869	0.5	0.4285714285714286	0.41666666666666663	0.37777777777777777	0.34545454545454546	0.4509803921568627	0.31034482758620685	0.5348837209302326	0.34545454545454546	0.5217391304347826	0.38181818181818183	0.36170212765957444	0.46153846153846156	0.4516129032258065	0.3770491803278688
Measuring the Health of the United  States Population	0.2857142857142857	0.31034482758620685	0.4509803921568627	0.3076923076923077	0.3548387096774194	0.1428571428571429	0.2727272727272727	0.36585365853658536	0.25	0.40909090909090906	0.34693877551020413	0.4358974358974359	0.38095238095238093	0.46341463414634143	0.33333333333333337	0.375	0.36170212765957444	0.4385964912280702	0.31707317073170727	0.30612244897959184	0.26315789473684215	0.2857142857142857	0.375	0.33333333333333337	0.2727272727272727	0.36585365853658536	0.2549019607843137	0.3191489361702128	0.33333333333333337	0.4358974358974359	0.21568627450980393	0.38095238095238093	0.33333333333333337	0.3023255813953488	0.375	0.4482758620689655	0.4385964912280702
�Managing for Safer Food: The Economics  of Sanitation and Process Controls in Meat and Poultry Establishments	0.1428571428571429	1.0	1.0	1.0	1.0	1.0	0.33333333333333337	0.25	0.19999999999999996	0.37254901960784315	1.0	0.4782608695652174	0.4285714285714286	0.41666666666666663	0.34615384615384615	1.0	0.37037037037037035	1.0	0.25	1.0	1.0	0.1428571428571429	1.0	1.0	0.2941176470588235	0.33333333333333337	0.24137931034482762	0.40740740740740744	0.24590163934426235	0.4347826086956522	1.0	0.4285714285714286	1.0	0.24	1.0	1.0	0.3125
�Per Capita Consumption of Selected Food  Products	0.2857142857142857	1.0	1.0	1.0	1.0	1.0	0.36363636363636365	0.1707317073170732	0.16666666666666663	0.31818181818181823	1.0	0.4358974358974359	0.4285714285714286	0.41463414634146345	0.37777777777777777	1.0	0.4042553191489362	1.0	0.2195121951219512	1.0	1.0	0.2857142857142857	1.0	1.0	0.2727272727272727	0.31707317073170727	0.2549019607843137	0.3191489361702128	0.2592592592592593	0.3846153846153846	1.0	0.4285714285714286	1.0	0.16279069767441856	1.0	1.0	0.33333333333333337
21 CFR Parts 123 and  1240: Procedures for the Safe and Sanitary Processing and Importing of Fish  and Fishery Products; Final Rule	0.3207547169811321	0.30434782608695654	0.32258064516129037	0.3015873015873016	0.28767123287671237	0.33333333333333337	0.34545454545454546	0.3076923076923077	0.22033898305084743	0.4545454545454546	0.3666666666666667	0.48	0.39622641509433965	0.46153846153846156	0.3571428571428571	0.38983050847457623	0.3793103448275862	0.2647058823529411	0.3076923076923077	0.30000000000000004	0.32352941176470584	0.3207547169811321	0.3220338983050848	0.2857142857142857	0.3090909090909091	0.34615384615384615	0.25806451612903225	0.4137931034482759	0.01538461538461533	0.48	0.22580645161290325	0.4716981132075472	0.25806451612903225	0.2962962962962963	0.35593220338983056	0.30434782608695654	0.32352941176470584
Catfish 2007 Summary	0.45945945945945943	0.5094339622641509	0.5652173913043479	0.44680851063829785	0.543859649122807	0.5	0.4871794871794872	0.4444444444444444	0.4418604651162791	0.5897435897435898	0.5	0.5882352941176471	0.5675675675675675	0.5555555555555556	0.55	0.5813953488372092	0.6190476190476191	0.5	0.33333333333333337	0.5	0.5384615384615384	0.45945945945945943	0.39534883720930236	0.55	0.4358974358974359	0.5	0.4782608695652174	0.5238095238095238	0.3877551020408163	0.5294117647058824	0.4347826086956522	0.6216216216216216	0.4347826086956522	0.368421052631579	0.4883720930232558	0.5471698113207547	0.46153846153846156
Catfish and Basa Imports Continue to  Increase Despite Confirmed Antidumping	0.3023255813953488	0.3220338983050848	0.34615384615384615	0.28301886792452835	0.3015873015873016	0.28	0.33333333333333337	0.2857142857142857	0.26530612244897955	0.37777777777777777	0.12	0.4	0.39534883720930236	0.38095238095238093	0.3913043478260869	0.34693877551020413	0.375	0.3448275862068966	0.19047619047619047	0.28	0.31034482758620685	0.3023255813953488	0.3877551020408163	0.34782608695652173	0.28888888888888886	0.38095238095238093	0.23076923076923073	0.29166666666666663	0.3090909090909091	0.4	0.2692307692307693	0.39534883720930236	0.3076923076923077	0.2727272727272727	0.26530612244897955	0.35593220338983056	0.31034482758620685
Catfish January 2009 Reports	0.46341463414634143	0.4385964912280702	0.43999999999999995	0.4509803921568627	0.5081967213114754	0.45833333333333337	0.39534883720930236	0.44999999999999996	0.4042553191489362	0.5348837209302326	0.41666666666666663	0.5789473684210527	0.36585365853658536	0.55	0.4545454545454546	0.44680851063829785	0.5217391304347826	0.4285714285714286	0.25	0.45833333333333337	0.4642857142857143	0.46341463414634143	0.36170212765957444	0.5	0.34883720930232553	0.44999999999999996	0.43999999999999995	0.4782608695652174	0.3207547169811321	0.5263157894736843	0.36	0.46341463414634143	0.4	0.38095238095238093	0.4042553191489362	0.4385964912280702	0.4285714285714286
Consumer Price Index � All Urban Consumers	0.47619047619047616	1.0	1.0	1.0	1.0	1.0	0.40909090909090906	0.2682926829268293	0.375	0.36363636363636365	1.0	0.4871794871794872	0.5714285714285714	0.41463414634146345	0.4222222222222223	1.0	0.44680851063829785	1.0	0.36585365853658536	1.0	1.0	0.47619047619047616	1.0	1.0	0.36363636363636365	0.36585365853658536	0.33333333333333337	0.4042553191489362	0.40740740740740744	0.33333333333333337	1.0	0.5238095238095238	1.0	0.34883720930232553	1.0	1.0	0.4385964912280702
Cost  Calculator for Salmonella	0.33333333333333337	0.42307692307692313	0.4666666666666667	0.34782608695652173	0.4642857142857143	0.34883720930232553	0.368421052631579	0.1428571428571429	0.2857142857142857	0.368421052631579	0.39534883720930236	0.4545454545454546	0.5555555555555556	0.4285714285714286	0.4358974358974359	0.47619047619047616	0.5121951219512195	0.4509803921568627	0.2571428571428571	0.34883720930232553	0.4117647058823529	0.33333333333333337	0.4285714285714286	0.3846153846153846	0.26315789473684215	0.3142857142857143	0.37777777777777777	0.31707317073170727	0.375	0.3939393939393939	0.37777777777777777	0.5555555555555556	0.4222222222222223	0.18918918918918914	0.38095238095238093	0.46153846153846156	0.4117647058823529
