	23 Sources: Colorado Mineral and Energy Industry Activities,	24 This calculation assumes that the 110 million tons of recoverable reserves in roadless area estimated for the 2001 Rule in the Energy Minerals section of the RDEIS are included within the 180.9 million tons of reserves estimated by the State of Colorado the energy roadless model area,	Activity/Effects Value of Production ($ millions) Employment (jobs) Labor Income ($ millions)	Validation of a forest values typology for use in national forest planning. Forest Science.	Tourism Jobs Gain Ground in Colorado. Prepared for the Colorado Department of Local Affairs.	Associates, Inc. The Economic Impact of Travel on	Prepared for the State of Colorado, Colorado Tourism Office,	Personal communication regarding coal mining. USDI-Bureau of Land Management,	Western National Forests: A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats.	Consulting. Job Generation in the Colorado Mountain Resort Economy. Prepared for the Northwest Colorado Council of Governments.	Oil and Gas Economic Impact Analysis. Prepared by Booz Allen Hamilton for the Colorado Energy Research Institute.	economic impact modeling software).	Revised Draft Environmental Impact Statement (RDEIS): Proposed Colorado Roadless Rule. Region 2, USDA Forest Service,	Opportunities for Small Entities: Proposed Roadless Area Conservation Rule for Colorado. Region 2, USDA Forest Service,	Social and Economics Specialist Report: Proposed Roadless Area Conservation Rule for Colorado. Region 2, USDA Forest Service, Denver CO.USDA Forest Service,	Roadless Area Conservation: National Forest System Lands in Colorado: Proposed Rule Regulatory Impact Analysis and Cost Benefit Analysis. Region 2, USDA Forest Service,	Profile 2005: Softwood Sawmills in the United States and Canada. Research Paper: FPL-RP-630. USDA Forest Service, Forest Products Laboratory,	Cumulative Set Aside Program Analysis Spreadsheets, by Forest Unit. USDA Forest Service Region 2, Denver CO USDA Forest Service.	Department of the Interior.
Cumulative Set Aside Program Analysis Spreadsheets, by Forest Unit	0.4242424242424242	0.5	0.4864864864864865	0.4	0.4411764705882353	0.5	0.4	0.48571428571428577	0.375	0.41666666666666663	0.43243243243243246	0.5483870967741935	0.3783783783783784	0.34285714285714286	0.34285714285714286	0.3513513513513513	0.375	0.1875	0.6333333333333333
2007 Annual Report-advanced tables	0.53125	0.5853658536585367	0.5428571428571429	0.5172413793103448	0.5454545454545454	0.5666666666666667	0.6129032258064516	0.6285714285714286	0.5757575757575757	0.5555555555555556	0.5675675675675675	0.5714285714285714	0.5526315789473684	0.5277777777777778	0.5277777777777778	0.5641025641025641	0.5	0.48571428571428577	0.7142857142857143
2007 Annual Report—advanced tables.	0.5454545454545454	0.5609756097560976	0.5555555555555556	0.48275862068965514	0.5151515151515151	0.5333333333333333	0.625	0.6388888888888888	0.5454545454545454	0.5277777777777778	0.5405405405405406	0.5357142857142857	0.5263157894736843	0.5	0.5	0.5384615384615384	0.5121951219512195	0.4571428571428572	0.6785714285714286
Job Generation in the Colorado Mountain Resort Economy 	0.46875	0.46153846153846156	0.5277777777777778	0.5483870967741935	0.3870967741935484	0.5483870967741935	0.5	0.5714285714285714	0.5588235294117647	0.25806451612903225	0.38235294117647056	0.5517241379310345	0.575	0.5526315789473684	0.5526315789473684	0.5853658536585367	0.5581395348837209	0.4722222222222222	0.6428571428571428
Managing the Impacts of Wildland fires on Communities and the Environment - The National Fire Plan	0.4722222222222222	0.4651162790697675	0.4871794871794872	0.4545454545454546	0.4444444444444444	0.40625	0.40625	0.4444444444444444	0.38235294117647056	0.33333333333333337	0.4358974358974359	0.5	0.42500000000000004	0.4358974358974359	0.4358974358974359	0.4390243902439024	0.5217391304347826	0.475	0.5806451612903225
Oil and Gas Economic Impact Analysis	0.5333333333333333	0.6585365853658536	0.5	0.5714285714285714	0.5483870967741935	0.46153846153846156	0.5714285714285714	0.6363636363636364	0.5806451612903225	0.5588235294117647	0.4375	0.52	0.5945945945945945	0.5714285714285714	0.5714285714285714	0.6052631578947368	0.6744186046511628	0.5714285714285714	0.625
Personal communication regarding coal mining	0.5	0.6052631578947368	0.5161290322580645	0.41666666666666663	0.4642857142857143	0.5384615384615384	0.41666666666666663	0.40740740740740744	0.5517241379310345	0.4838709677419355	0.5	0.33333333333333337	0.5294117647058824	0.5	0.5	0.5428571428571429	0.625	0.5	0.5909090909090908
The Economic Impact of Travel on Colorado: 1996-2005	0.5405405405405406	0.45238095238095233	0.5853658536585367	0.6111111111111112	0.5526315789473684	0.4375	0.5294117647058824	0.625	0.5405405405405406	0.5609756097560976	0.5714285714285714	0.5757575757575757	0.5238095238095238	0.5365853658536586	0.5365853658536586	0.5681818181818181	0.4772727272727273	0.6046511627906976	0.5666666666666667
Tourism Jobs Gain Ground in Colorado	0.6451612903225806	0.641025641025641	0.6470588235294117	0.6428571428571428	0.40740740740740744	0.6428571428571428	0.5384615384615384	0.65625	0.6451612903225806	0.53125	0.5882352941176471	0.6	0.6842105263157895	0.6666666666666667	0.6666666666666667	0.6923076923076923	0.6904761904761905	0.6285714285714286	0.7083333333333333
Western National Forests: A Cohesive Strategy is Needed to Address Catastrophic Wildland Fire Threats	0.40625	0.5581395348837209	0.5897435897435898	0.3793103448275862	0.5142857142857142	0.4838709677419355	0.4838709677419355	0.631578947368421	0.038461538461538436	0.4864864864864865	0.5384615384615384	0.5333333333333333	0.4871794871794872	0.45945945945945943	0.45945945945945943	0.42105263157894735	0.5116279069767442	0.41666666666666663	0.6666666666666667
Forest Economic Program Analysis Spreadsheet Tool	0.46875	0.5365853658536586	0.48571428571428577	0.3928571428571429	0.4375	0.3928571428571429	0.3928571428571429	0.5294117647058824	0.31034482758620685	0.4571428571428572	0.4285714285714286	0.4444444444444444	0.45945945945945943	0.4285714285714286	0.4285714285714286	0.4736842105263158	0.5238095238095238	0.38235294117647056	0.5925925925925926
Minnesota IMPLAN Group 2003	0.53125	0.6818181818181819	0.5833333333333333	0.65625	0.5454545454545454	0.6129032258064516	0.65625	0.5882352941176471	0.6571428571428571	0.5945945945945945	0.6052631578947368	0.6666666666666667	0.625	0.641025641025641	0.641025641025641	0.5641025641025641	0.6046511627906976	0.641025641025641	0.6153846153846154
Opportunities for Small Entities: Proposed Roadless Area Conservation Rule for Colorado	0.4375	0.5476190476190477	0.4571428571428572	0.4666666666666667	0.4545454545454546	0.4666666666666667	0.3571428571428571	0.5428571428571429	0.48484848484848486	0.4285714285714286	0.4	0.5172413793103448	0.34285714285714286	0.25	0.25	0.4054054054054054	0.46341463414634143	0.4	0.6071428571428572
Profile 2005: Softwood Sawmills in the United States and Canada	0.5588235294117647	0.5365853658536586	0.641025641025641	0.59375	0.5294117647058824	0.59375	0.4482758620689655	0.5294117647058824	0.5588235294117647	0.5405405405405406	0.5897435897435898	0.5	0.5	0.4722222222222222	0.4722222222222222	0.5128205128205128	0.41025641025641024	0.5135135135135135	0.5925925925925926
Proposed Roadless Area Conservation Rule for Colorado	0.5	0.6	0.46875	0.42307692307692313	0.4137931034482759	0.4814814814814815	0.42307692307692313	0.5625	0.5	0.4375	0.4545454545454546	0.48	0.4411764705882353	0.40625	0.40625	0.4571428571428572	0.5128205128205128	0.4545454545454546	0.5833333333333333
Social and Economics Specialist Report: Proposed Roadless Area Conservation Rule for Colorado	0.3870967741935484	0.5121951219512195	0.4117647058823529	0.4137931034482759	0.40625	0.4137931034482759	0.3571428571428571	0.5	0.4375	0.38235294117647056	0.4	0.4642857142857143	0.2941176470588235	0.25	0.25	0.36111111111111116	0.42500000000000004	0.4	0.6071428571428572
Validation of a forest values typology for use in national forest planning	0.48275862068965514	0.5897435897435898	0.4516129032258065	0.18181818181818177	0.5483870967741935	0.5185185185185186	0.5185185185185186	0.5483870967741935	0.48275862068965514	0.46875	0.5294117647058824	0.3913043478260869	0.5555555555555556	0.5294117647058824	0.5294117647058824	0.5277777777777778	0.6097560975609756	0.5294117647058824	0.5652173913043479
