	State of the Vending Industry Report.” http://www.vendingmarketwatch.com/content/reports/ accessed,	National Automatic Merchandising Association. “Comments of: The National Automatic Merchandising Association.” Docket No.	Business Administration. “Table of Small Business Size Standards Matched to North American Industry Classification System Codes,” Effective	Operators Find Today&apos;s Patrons Favor &apos;Better-For-You&apos; Food Selections In	Is the Obesity Epidemic a Public Health Problem? A Decade	Strategies for Promoting Healthier Food Choices.” American Economic Review: Papers and Proceedings,	Doing it Now or	Will all Americans Become Overweight or Obese? Estimating the Progression and	Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States,	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US.” Obesity,	Social Network and Weight Misperception Among Adolescents”. Southern Economic Journal, Forthcoming,	Size Matters: The Influence of Adolescent’s Weight and	Body Weight, Self-Perception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity: Payer-	The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination,”	The Long-Run Growth in Obesity as a Function of Technological Change.”	An Economic Analysis of Adult Obesity: Results from the Behavioral Risk Factor Surveillance System.”	A Pricing Strategy to Promote Low-Fat Snack Choices through Vending Machines”.	Department of Agriculture Economic Research Service. “Table 15: Sales of meals and snacks away from home by type of outlet.” Food CPI and Expenditures: Food Expenditure Tables. http://www.ers.usda.gov/Briefing/CPIFoodAndExpenditures/Data/ Accessed 10/8/2010.	Testing Laboratory. “Quality Nutrition Analysis.” http://www.rlfoodtestinglaboratory.com/services.asp, accessed	Evaluation of Recordkeeping Costs for Food Manufacturers, Final Report.” Prepared for Andy Estrin and Cristina McLaughlin of FDA&apos;s Center for Food Safety and Applied Nutrition. Prepared by Aylin Sertkaya, Ayesha Berlind and Seda Erdem. Contract No. 223-01-2461, Task Order Number 5,	City’s Soda Cost Millions Monthly: Tax on Soft Drinks	Taxing Food: Implications for Public	Ounces of Prevention — The Public Policy Case for Taxes on Sugared Beverages.” New England	The Effects of Soft Drink Taxes on Child and Adolescent Consumption and Weight Outcomes.”	Schoolchildren’s Consumption of Competitive Foods and Beverages, Excluding à la	Choose Beverages and Foods to Moderate your Intake of Sugars: Measurement Requires Quantification.	Measuring the Health of the U.S.	Obesity-Related Quality-Adusted Life Years Lost in the U.S. from 1993-2008,”	Trends in Quality-Adjusted Life-Years Lost Contributed by Smoking and Obesity,”	Statistical Abstract of the United States:	Separating what We Eat from where:	"Calorie Labeling And Food Choices: A First Look At The Effects On Low-Income People In New York City."""	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information.”	Do Nutrition Labels Improve Dietary Outcomes?	Mandatory Menu Labeling in One Fast-Food Chain in King County,	Child and Adolescent Fast-Food Choice and the Influence of Calorie Labeling:	"Nutrition Menu Labeling May Lead to Lower-Calorie Restaurant Meal Choices for Children."" Pediatrics,"	Modeling weight-loss maintenance to help prevent body weight regain,”	School Vending Machine Use and Fast-Food Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth.”
Table 15: Sales of meals and snacks away from home by type of outlet	0.4285714285714286	0.48571428571428577	0.5128205128205128	0.5555555555555556	0.5294117647058824	0.5263157894736843	0.7931034482758621	0.5714285714285714	0.4285714285714286	0.4473684210526315	0.5135135135135135	0.48484848484848486	0.5294117647058824	0.4642857142857143	0.46875	0.4285714285714286	0.5277777777777778	0.4285714285714286	0.5405405405405406	0.4444444444444444	0.43243243243243246	0.5490196078431373	0.4838709677419355	0.4516129032258065	0.5	0.4722222222222222	0.5277777777777778	0.5135135135135135	0.5806451612903225	0.5714285714285714	0.5135135135135135	0.4285714285714286	0.5172413793103448	0.475	0.5789473684210527	0.5454545454545454	0.6	0.5151515151515151	0.5405405405405406	0.46875	0.6
Evaluation of Recordkeeping Costs for Food Manufacturers, Final Report	0.4571428571428572	0.47058823529411764	0.5	0.5428571428571429	0.6	0.38235294117647056	0.7407407407407407	0.5588235294117647	0.5	0.38888888888888884	0.4117647058823529	0.5151515151515151	0.5151515151515151	0.6451612903225806	0.5	0.5	0.5142857142857142	0.4571428571428572	0.5277777777777778	0.5319148936170213	0.5384615384615384	0.5102040816326531	0.5625	0.4838709677419355	0.5263157894736843	0.4571428571428572	0.32258064516129037	0.4117647058823529	0.5172413793103448	0.6590909090909092	0.5405405405405406	0.5666666666666667	0.6	0.5365853658536586	0.3939393939393939	0.5757575757575757	0.4516129032258065	0.4516129032258065	0.4411764705882353	0.4516129032258065	0.4722222222222222
Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States, Trends 1976�1980 Through 2007�2008	1.0	1.0	1.0	0.5957446808510638	0.5454545454545454	1.0	0.8048780487804879	0.47619047619047616	0.23076923076923073	1.0	1.0	1.0	0.5777777777777777	0.6097560975609756	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5238095238095238	1.0	1.0	1.0	0.5918367346938775	0.6190476190476191	1.0	1.0	0.5128205128205128	0.6097560975609756	0.5	1.0	0.6222222222222222	0.6	0.5681818181818181	0.5531914893617021	1.0	1.0
Statistical Abstract of the United States: 2011 	0.5945945945945945	0.5294117647058824	0.5526315789473684	0.6388888888888888	0.5757575757575757	0.5277777777777778	0.7692307692307692	0.53125	0.4242424242424242	0.5641025641025641	0.5945945945945945	0.43333333333333335	0.5757575757575757	0.5714285714285714	0.4666666666666667	0.5142857142857142	0.6111111111111112	0.47058823529411764	0.6216216216216216	0.5434782608695652	0.5526315789473684	0.607843137254902	0.5333333333333333	0.5483870967741935	0.5789473684210527	0.5555555555555556	0.5714285714285714	0.5945945945945945	0.4814814814814815	0.45945945945945943	0.5945945945945945	0.13636363636363635	0.5714285714285714	0.5853658536585367	0.5833333333333333	0.6363636363636364	0.6060606060606061	0.4137931034482759	0.5833333333333333	0.5625	0.5675675675675675
City�s Soda Cost Millions Monthly: Tax on Soft Drinks in Manhattan and Bronx in February and March is $465,445	1.0	1.0	1.0	0.5714285714285714	0.6190476190476191	1.0	0.8055555555555556	0.6511627906976745	0.5	1.0	1.0	1.0	0.55	0.6216216216216216	0.5384615384615384	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5263157894736843	1.0	1.0	1.0	0.46341463414634143	0.5945945945945945	1.0	1.0	0.5142857142857142	0.6923076923076923	0.5625	1.0	0.6341463414634146	0.5	0.5	0.5238095238095238	1.0	1.0
2010 State of the Vending Industry Report	0.3939393939393939	0.6216216216216216	0.6	0.5714285714285714	0.5882352941176471	0.5789473684210527	0.7307692307692308	0.6666666666666667	0.5675675675675675	0.575	0.6052631578947368	0.5	0.5454545454545454	0.5357142857142857	0.53125	0.6052631578947368	0.5833333333333333	0.5675675675675675	0.5555555555555556	0.5217391304347826	0.6	0.5882352941176471	0.59375	0.5625	0.5897435897435898	0.5675675675675675	0.5428571428571429	0.48571428571428577	0.5	0.5128205128205128	0.6052631578947368	0.5517241379310345	0.5357142857142857	0.627906976744186	0.5555555555555556	0.6060606060606061	0.5757575757575757	0.53125	0.5555555555555556	0.5757575757575757	0.5405405405405406
Comments of: The National Automatic Merchandising Association	0.5277777777777778	0.1785714285714286	0.4	0.6111111111111112	0.5454545454545454	0.4571428571428572	0.6799999999999999	0.5	0.4411764705882353	0.5384615384615384	0.4411764705882353	0.2857142857142857	0.5	0.5357142857142857	0.43333333333333335	0.3939393939393939	0.5	0.48571428571428577	0.47058823529411764	0.5531914893617021	0.4	0.56	0.4482758620689655	0.4137931034482759	0.4722222222222222	0.3939393939393939	0.4545454545454546	0.4411764705882353	0.4444444444444444	0.6190476190476191	0.48571428571428577	0.3846153846153846	0.5357142857142857	0.4473684210526315	0.375	0.5625	0.4838709677419355	0.3214285714285714	0.4242424242424242	0.4838709677419355	0.5405405405405406
Is the Obesity Epidemic a Public Health Problem? A Decade of Research on the Economics of Obesity	0.5128205128205128	0.5263157894736843	0.475	0.5135135135135135	0.1071428571428571	0.4473684210526315	0.7741935483870968	0.3939393939393939	0.38888888888888884	0.41025641025641024	0.55	0.5277777777777778	0.48571428571428577	0.4137931034482759	0.4242424242424242	0.43243243243243246	0.5263157894736843	0.38888888888888884	0.575	0.47916666666666663	0.5121951219512195	0.5192307692307692	0.6111111111111112	0.4545454545454546	0.5	0.43243243243243246	0.5263157894736843	0.55	0.5757575757575757	0.5348837209302326	0.55	0.4838709677419355	0.6060606060606061	0.4390243902439024	0.45945945945945943	0.3548387096774194	0.5555555555555556	0.47058823529411764	0.5	0.5142857142857142	0.5952380952380952
Menucalc Plans	0.7878787878787878	0.6896551724137931	0.7352941176470589	0.6785714285714286	0.7037037037037037	0.7575757575757576	0.8888888888888888	0.7037037037037037	0.7096774193548387	0.7428571428571429	0.7096774193548387	0.6538461538461539	0.7037037037037037	0.7272727272727273	0.5833333333333333	0.7878787878787878	0.7333333333333334	0.75	0.7	0.8043478260869565	0.7714285714285715	0.7959183673469388	0.7692307692307692	0.6799999999999999	0.7272727272727273	0.75	0.7333333333333334	0.75	0.6190476190476191	0.8157894736842105	0.7878787878787878	0.6818181818181819	0.8333333333333334	0.7894736842105263	0.7	0.6799999999999999	0.6923076923076923	0.6923076923076923	0.6551724137931034	0.6923076923076923	0.71875
Operators Find Today's Patrons Favor 'Better-For-You' Food Selections In Vending	0.5128205128205128	0.6341463414634146	0.5476190476190477	0.16666666666666663	0.5277777777777778	0.5609756097560976	0.7741935483870968	0.5277777777777778	0.5128205128205128	0.4878048780487805	0.5853658536585367	0.5277777777777778	0.48571428571428577	0.5625	0.375	0.5853658536585367	0.5263157894736843	0.5128205128205128	0.5	0.54	0.5813953488372092	0.5471698113207547	0.6486486486486487	0.4545454545454546	0.46153846153846156	0.55	0.4864864864864865	0.5128205128205128	0.6176470588235294	0.6304347826086957	0.5128205128205128	0.6176470588235294	0.6857142857142857	0.47619047619047616	0.5	0.5	0.5142857142857142	0.5142857142857142	0.575	0.5142857142857142	0.4054054054054054
