	State of the Vending Industry Report.” http://www.vendingmarketwatch.com/content/reports/ accessed,	National Automatic Merchandising Association. “Comments of: The National Automatic Merchandising Association.” Docket No.	Business Administration. “Table of Small Business Size Standards Matched to North American Industry Classification System Codes,” Effective	Operators Find Today&apos;s Patrons Favor &apos;Better-For-You&apos; Food Selections In	Is the Obesity Epidemic a Public Health Problem? A Decade	Strategies for Promoting Healthier Food Choices.” American Economic Review: Papers and Proceedings,	Doing it Now or	Will all Americans Become Overweight or Obese? Estimating the Progression and	Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States,	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US.” Obesity,	Social Network and Weight Misperception Among Adolescents”. Southern Economic Journal, Forthcoming,	Size Matters: The Influence of Adolescent’s Weight and	Body Weight, Self-Perception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity: Payer-	The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination,”	The Long-Run Growth in Obesity as a Function of Technological Change.”	An Economic Analysis of Adult Obesity: Results from the Behavioral Risk Factor Surveillance System.”	A Pricing Strategy to Promote Low-Fat Snack Choices through Vending Machines”.	Department of Agriculture Economic Research Service. “Table 15: Sales of meals and snacks away from home by type of outlet.” Food CPI and Expenditures: Food Expenditure Tables. http://www.ers.usda.gov/Briefing/CPIFoodAndExpenditures/Data/ Accessed 10/8/2010.	Testing Laboratory. “Quality Nutrition Analysis.” http://www.rlfoodtestinglaboratory.com/services.asp, accessed	Evaluation of Recordkeeping Costs for Food Manufacturers, Final Report.” Prepared for Andy Estrin and Cristina McLaughlin of FDA&apos;s Center for Food Safety and Applied Nutrition. Prepared by Aylin Sertkaya, Ayesha Berlind and Seda Erdem. Contract No. 223-01-2461, Task Order Number 5,	City’s Soda Cost Millions Monthly: Tax on Soft Drinks	Taxing Food: Implications for Public	Ounces of Prevention — The Public Policy Case for Taxes on Sugared Beverages.” New England	The Effects of Soft Drink Taxes on Child and Adolescent Consumption and Weight Outcomes.”	Schoolchildren’s Consumption of Competitive Foods and Beverages, Excluding à la	Choose Beverages and Foods to Moderate your Intake of Sugars: Measurement Requires Quantification.	Measuring the Health of the U.S.	Obesity-Related Quality-Adusted Life Years Lost in the U.S. from 1993-2008,”	Trends in Quality-Adjusted Life-Years Lost Contributed by Smoking and Obesity,”	Statistical Abstract of the United States:	Separating what We Eat from where:	"Calorie Labeling And Food Choices: A First Look At The Effects On Low-Income People In New York City."""	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information.”	Do Nutrition Labels Improve Dietary Outcomes?	Mandatory Menu Labeling in One Fast-Food Chain in King County,	Child and Adolescent Fast-Food Choice and the Influence of Calorie Labeling:	"Nutrition Menu Labeling May Lead to Lower-Calorie Restaurant Meal Choices for Children."" Pediatrics,"	Modeling weight-loss maintenance to help prevent body weight regain,”	School Vending Machine Use and Fast-Food Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth.”
Table 15: Sales of meals and snacks away from home by type of outlet	0.2727272727272727	0.3207547169811321	0.3448275862068966	0.3846153846153846	0.36	0.3571428571428571	0.6571428571428571	0.4	0.2727272727272727	0.288135593220339	0.34545454545454546	0.31999999999999995	0.36	0.3023255813953488	0.30612244897959184	0.2727272727272727	0.3584905660377359	0.2727272727272727	0.37037037037037035	0.2857142857142857	0.27586206896551724	0.3783783783783784	0.3191489361702128	0.29166666666666663	0.33333333333333337	0.3090909090909091	0.3584905660377359	0.34545454545454546	0.40909090909090906	0.4	0.34545454545454546	0.2727272727272727	0.34883720930232553	0.3114754098360656	0.40740740740740744	0.375	0.4285714285714286	0.34693877551020413	0.37037037037037035	0.30612244897959184	0.4285714285714286
Evaluation of Recordkeeping Costs for Food Manufacturers, Final Report	0.2962962962962963	0.3076923076923077	0.33333333333333337	0.37254901960784315	0.4285714285714286	0.23636363636363633	0.5882352941176471	0.3877551020408163	0.33333333333333337	0.24137931034482762	0.2592592592592593	0.34693877551020413	0.34693877551020413	0.47619047619047616	0.33333333333333337	0.33333333333333337	0.34615384615384615	0.2962962962962963	0.3584905660377359	0.3623188405797102	0.368421052631579	0.34246575342465757	0.3913043478260869	0.3191489361702128	0.3571428571428571	0.2962962962962963	0.1923076923076923	0.2592592592592593	0.34883720930232553	0.4915254237288136	0.37037037037037035	0.39534883720930236	0.4285714285714286	0.3666666666666667	0.24528301886792447	0.4042553191489362	0.29166666666666663	0.29166666666666663	0.28301886792452835	0.29166666666666663	0.3090909090909091
Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States, Trends 1976�1980 Through 2007�2008	1.0	1.0	1.0	0.4242424242424242	0.375	1.0	0.6734693877551021	0.3125	0.13043478260869568	1.0	1.0	1.0	0.40625	0.4385964912280702	0.33333333333333337	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3548387096774194	1.0	1.0	1.0	0.42028985507246375	0.4482758620689655	1.0	1.0	0.3448275862068966	0.4385964912280702	0.33333333333333337	1.0	0.4516129032258065	0.4285714285714286	0.39682539682539686	0.38235294117647056	1.0	1.0
Statistical Abstract of the United States: 2011 	0.42307692307692313	0.36	0.38181818181818183	0.4693877551020408	0.4042553191489362	0.3584905660377359	0.625	0.36170212765957444	0.2692307692307693	0.3928571428571429	0.42307692307692313	0.276595744680851	0.4042553191489362	0.4	0.30434782608695654	0.34615384615384615	0.43999999999999995	0.3076923076923077	0.4509803921568627	0.3731343283582089	0.38181818181818183	0.43661971830985913	0.36363636363636365	0.37777777777777777	0.40740740740740744	0.3846153846153846	0.4	0.42307692307692313	0.31707317073170727	0.29824561403508776	0.42307692307692313	0.07317073170731703	0.4	0.4137931034482759	0.4117647058823529	0.4666666666666667	0.4347826086956522	0.26086956521739135	0.4117647058823529	0.3913043478260869	0.39622641509433965
City�s Soda Cost Millions Monthly: Tax on Soft Drinks in Manhattan and Bronx in February and March is $465,445	1.0	1.0	1.0	0.4	0.4482758620689655	1.0	0.6744186046511628	0.48275862068965514	0.33333333333333337	1.0	1.0	1.0	0.3793103448275862	0.4509803921568627	0.368421052631579	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3571428571428571	1.0	1.0	1.0	0.3015873015873016	0.42307692307692313	1.0	1.0	0.34615384615384615	0.5294117647058824	0.3913043478260869	1.0	0.4642857142857143	0.33333333333333337	0.33333333333333337	0.3548387096774194	1.0	1.0
2010 State of the Vending Industry Report	0.24528301886792447	0.4509803921568627	0.4285714285714286	0.4	0.41666666666666663	0.40740740740740744	0.5757575757575757	0.5	0.39622641509433965	0.4035087719298246	0.4339622641509434	0.33333333333333337	0.375	0.36585365853658536	0.36170212765957444	0.4339622641509434	0.4117647058823529	0.39622641509433965	0.3846153846153846	0.3529411764705882	0.4285714285714286	0.41666666666666663	0.4222222222222223	0.3913043478260869	0.4181818181818182	0.39622641509433965	0.37254901960784315	0.3207547169811321	0.33333333333333337	0.3448275862068966	0.4339622641509434	0.38095238095238093	0.36585365853658536	0.4576271186440678	0.3846153846153846	0.4347826086956522	0.4042553191489362	0.36170212765957444	0.3846153846153846	0.4042553191489362	0.37037037037037035
Comments of: The National Automatic Merchandising Association	0.3584905660377359	0.0980392156862745	0.25	0.43999999999999995	0.375	0.2962962962962963	0.5151515151515151	0.33333333333333337	0.28301886792452835	0.368421052631579	0.28301886792452835	0.16666666666666663	0.33333333333333337	0.36585365853658536	0.276595744680851	0.24528301886792447	0.33333333333333337	0.3207547169811321	0.3076923076923077	0.38235294117647056	0.25	0.38888888888888884	0.28888888888888886	0.26086956521739135	0.3090909090909091	0.24528301886792447	0.2941176470588235	0.28301886792452835	0.2857142857142857	0.4482758620689655	0.3207547169811321	0.23809523809523814	0.36585365853658536	0.288135593220339	0.23076923076923073	0.3913043478260869	0.3191489361702128	0.19148936170212771	0.2692307692307693	0.3191489361702128	0.37037037037037035
Is the Obesity Epidemic a Public Health Problem? A Decade of Research on the Economics of Obesity	0.3448275862068966	0.3571428571428571	0.3114754098360656	0.34545454545454546	0.05660377358490565	0.288135593220339	0.631578947368421	0.24528301886792447	0.24137931034482762	0.25806451612903225	0.3793103448275862	0.3584905660377359	0.3207547169811321	0.26086956521739135	0.2692307692307693	0.27586206896551724	0.3571428571428571	0.24137931034482762	0.4035087719298246	0.31506849315068497	0.34426229508196726	0.35064935064935066	0.43999999999999995	0.2941176470588235	0.33333333333333337	0.27586206896551724	0.3571428571428571	0.3793103448275862	0.4042553191489362	0.3650793650793651	0.3793103448275862	0.3191489361702128	0.4347826086956522	0.28125	0.29824561403508776	0.21568627450980393	0.3846153846153846	0.3076923076923077	0.33333333333333337	0.34615384615384615	0.423728813559322
Menucalc Plans	0.65	0.5263157894736843	0.5813953488372092	0.5135135135135135	0.5428571428571429	0.6097560975609756	0.8	0.5428571428571429	0.55	0.5909090909090908	0.55	0.48571428571428577	0.5428571428571429	0.5714285714285714	0.4117647058823529	0.65	0.5789473684210527	0.6	0.5384615384615384	0.6727272727272727	0.627906976744186	0.6610169491525424	0.625	0.5151515151515151	0.5714285714285714	0.6	0.5789473684210527	0.6	0.4482758620689655	0.6888888888888889	0.65	0.5172413793103448	0.7142857142857143	0.6521739130434783	0.5384615384615384	0.5151515151515151	0.5294117647058824	0.5294117647058824	0.4871794871794872	0.5294117647058824	0.5609756097560976
Operators Find Today's Patrons Favor 'Better-For-You' Food Selections In Vending	0.3448275862068966	0.4642857142857143	0.3770491803278688	0.09090909090909094	0.3584905660377359	0.38983050847457623	0.631578947368421	0.3584905660377359	0.3448275862068966	0.32258064516129037	0.4137931034482759	0.3584905660377359	0.3207547169811321	0.3913043478260869	0.23076923076923073	0.4137931034482759	0.3571428571428571	0.3448275862068966	0.33333333333333337	0.36986301369863017	0.4098360655737705	0.37662337662337664	0.48	0.2941176470588235	0.30000000000000004	0.3793103448275862	0.3214285714285714	0.3448275862068966	0.44680851063829785	0.46031746031746035	0.3448275862068966	0.44680851063829785	0.5217391304347826	0.3125	0.33333333333333337	0.33333333333333337	0.34615384615384615	0.34615384615384615	0.4035087719298246	0.34615384615384615	0.2542372881355932
