	Availability of Nutrition Information from Chain Restaurants in	Is the Obesity Epidemic a Public Health Problem? A Decade	Strategies for Promoting Healthier Food Choices.” American Economic Review: Papers and Proceedings,	Doing it Now or	Prevalence and Trends in Obesity Among U.S.	Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States,	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US.” Obesity,	Size Matters: The Influence of Adolescent’s Weight and	Self-Perception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity: Payer-	Will all Americans become Overweight or Obese? Estimating the Progression and	Department of Health and Human Services and U.S. Department of Agriculture, “2010 Dietary Guidelines for Americans,” 7th ed., Washington DC: U.S. Government Printing Office,	The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination,”	The Long-Run Growth in Obesity as a Function of Technological Change.”	"Nutrient Contribution of Food Away From Home."" In America&apos;s Eating Habits: Changes and Consequences,"	Separating what We Eat from where:	Foundation. “Menu Labeling: Does Providing Nutrition Information at the Point of Purchase Affect Consumer Behavior?” Healthy Eating Research,	Taxing Caloric Sweetened Beverages: Potential Effects on	FDA Labeling Cost Model, Final Report.” Prepared for Amber Jessup, DHHS/PHS/FDA/CFSAN. Prepared by	Silliker Information.” Memo to File,	Online Appendix for ‘Are Restaurants Really Supersizing America?’”	Testing Laboratory. “Quality Nutrition Analysis.”	Evaluation Of Recordkeeping Costs For Food Manufacturers, Final Report.” Prepared for Andy Estrin and Cristina McLaughlin DHHS/PHS/FDA/CFSAN. Prepared by Aylin Sertkaya, Ayesha Berlind and Seda Erdem. Contract No. 223-01-2461, Task Order Number 5,	FDA Report,” ReCount Restaurant Census.	Under the Radar: Top 50	Acquisition Pace Quickens in 2010, but Despite Consolidation, Top Chains Still Account for Nearly 40	Sector 72: Sub: Single Unit & Multiunit Firms for the U.S:	Insights “New menu items at restaurants” Memo to File.	Display Signs & Design “Order/Get Menu Pricing” website http://www.dsdsign.com/Pages/menus3.htm. accessed on October 6,	McDonald’s meeting	Sector 72: Sub: Seating Capacity for the U.S. and States:	Statistics. “Job Openings and Labor Turnover Survey: Accommodation and food services,	Paying Attention to Retention.”	KFC’s New Computer-Based Training Program Proves a Time Saver and Better Tool for	Statistics. “Occupational Employment Statistics Query System:	Statistics. “Occupational Employment Statistics Query System:	Statistics. “Occupational Employment Statistics Query System:	Consumer Awareness of Fast-Food Calorie Information in New York City After Implementation of a Menu Labeling Regulation.”	"Calorie Posting in Chain Restaurants."""	Purchasing Behavior and Calorie Information at Fast-Food Chains in	The Psychology of Food Consumption: Strategies for Promoting Healthier Food Choices”. American Economic Review:	"Calorie Labeling And Food Choices: A First Look At The Effects On Low-Income People In New York City."""	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information.”	Do Nutrition Labels Improve Dietary Outcomes?	Mandatory Menu Labeling in One Fast-Food Chain in King County,	Child and Adolescent Fast-Food Choice and the Influence of Calorie Labeling:	"Nutrition Menu Labeling May Lead to Lower-Calorie Restaurant Meal Choices for Children."" Pediatrics,"	Measuring the Health of the U.S. Population,” Brookings Paper, Microeconomics,	Obesity-Related Quality-Adjusted Life Years Lost in the U.S. from 1993-2008,”	Trends in Quality-Adjusted Life-Years Lost Contributed by Smoking and Obesity,”	Statistical Abstract of the United States:	Modeling Weight-Loss Maintenance to Help Prevent Body Weight Regain,”	Sectors 44-45: Sub: Single Unit & Multiunit Firms for the U.S:	Sector 72: Sub: Single Unit & Multiunit Firms for the US:	Sector 71: Sub: Single Unit & Multiunit Firms for the US:	Sector 51: Sub: Single Unit & Multiunit Firms for the US:	Association.	Association. When American Flies, it Works:	Global Airline Industry Program, “Total Operating Fleet,” Airline Data Project.	Global Airline Industry Program, “Average Seat Capacity of Total Operating Fleet,” Airline Data Project.	Transportation Statistics. “Appendix D – Modal Profiles, Rail Profile,” National Transportation Statistics.	The Partner of Choice: Annual Report FY	Transportation Statistics. National Census of Ferry Operators.
Acquisition Pace Quickens in 2010, but Despite Consolidation, Top Chains Still Account for Nearly 40 Percent of Industry's Total Stores	0.33333333333333337	0.33333333333333337	0.3939393939393939	0.6444444444444444	0.38983050847457623	0.3538461538461538	0.30434782608695654	0.3666666666666667	0.4285714285714286	0.39622641509433965	0.35593220338983056	0.4576271186440678	0.29729729729729726	0.3538461538461538	0.4285714285714286	0.33333333333333337	0.5471698113207547	0.3513513513513513	0.423728813559322	0.33333333333333337	0.4814814814814815	0.4285714285714286	0.4035087719298246	0.26190476190476186	0.4716981132075472	0.5294117647058824	0.02941176470588236	0.4666666666666667	0.5087719298245614	0.4	0.5294117647058824	0.33333333333333337	0.375	0.5918367346938775	0.39682539682539686	0.4385964912280702	0.4385964912280702	0.4385964912280702	0.3731343283582089	0.4716981132075472	0.38983050847457623	0.3529411764705882	0.323943661971831	0.4375	0.3793103448275862	0.423728813559322	0.35593220338983056	0.34375	0.3870967741935484	0.352112676056338	0.32307692307692304	0.37037037037037035	0.4516129032258065	0.47540983606557374	0.4576271186440678	0.4576271186440678	0.4576271186440678	0.6363636363636364	0.4545454545454546	0.33333333333333337	0.2857142857142857	0.33333333333333337	0.368421052631579	0.33333333333333337
KFC's New Computer-Based Training Program Proves a Time Saver and Better Tool for Learning	0.37254901960784315	0.4814814814814815	0.30000000000000004	0.5384615384615384	0.3584905660377359	0.35593220338983056	0.33333333333333337	0.40740740740740744	0.31999999999999995	0.4893617021276596	0.3584905660377359	0.39622641509433965	0.4117647058823529	0.38983050847457623	0.33333333333333337	0.39682539682539686	0.4042553191489362	0.3529411764705882	0.24528301886792447	0.3015873015873016	0.45833333333333337	0.4035087719298246	0.4117647058823529	0.33333333333333337	0.4893617021276596	0.5555555555555556	0.3870967741935484	0.4444444444444444	0.37254901960784315	0.4375	0.4666666666666667	0.40740740740740744	0.3448275862068966	0.5813953488372092	0.052631578947368474	0.4509803921568627	0.4509803921568627	0.4509803921568627	0.2786885245901639	0.4042553191489362	0.2075471698113207	0.25806451612903225	0.29230769230769227	0.31034482758620685	0.3846153846153846	0.3207547169811321	0.3207547169811321	0.31034482758620685	0.3571428571428571	0.4769230769230769	0.3220338983050848	0.45833333333333337	0.3571428571428571	0.4181818181818182	0.4339622641509434	0.4339622641509434	0.4339622641509434	0.6842105263157895	0.5102040816326531	0.4	0.3125	0.4035087719298246	0.37254901960784315	0.2941176470588235
Online Appendix for 'Are Restaurants Really Supersizing America?'	0.33333333333333337	0.2941176470588235	0.33333333333333337	0.6111111111111112	0.28	0.25	0.30000000000000004	0.2941176470588235	0.3191489361702128	0.36363636363636365	0.24	0.31999999999999995	0.3538461538461538	0.2857142857142857	0.37037037037037035	0.4	0.40909090909090906	0.3846153846153846	0.36	0.33333333333333337	0.4666666666666667	0.07407407407407407	0.41666666666666663	0.41333333333333333	0.4545454545454546	0.5238095238095238	0.38983050847457623	0.4117647058823529	0.45833333333333337	0.3770491803278688	0.38095238095238093	0.33333333333333337	0.2727272727272727	0.44999999999999996	0.37037037037037035	0.29166666666666663	0.29166666666666663	0.29166666666666663	0.3448275862068966	0.40909090909090906	0.36	0.288135593220339	0.3870967741935484	0.3090909090909091	0.30612244897959184	0.4	0.36	0.38181818181818183	0.3584905660377359	0.3870967741935484	0.3214285714285714	0.33333333333333337	0.39622641509433965	0.42307692307692313	0.4	0.4	0.4	0.5428571428571429	0.4347826086956522	0.33333333333333337	0.3114754098360656	0.33333333333333337	0.375	0.29166666666666663
Paying Attention to Retention	0.4117647058823529	0.5135135135135135	0.4883720930232558	0.4545454545454546	0.38888888888888884	0.47619047619047616	0.5652173913043479	0.5135135135135135	0.4545454545454546	0.4666666666666667	0.38888888888888884	0.4444444444444444	0.5686274509803921	0.5238095238095238	0.5	0.5652173913043479	0.4666666666666667	0.5294117647058824	0.5	0.4782608695652174	0.5483870967741935	0.44999999999999996	0.4117647058823529	0.6065573770491803	0.4666666666666667	0.5	0.5555555555555556	0.6216216216216216	0.5294117647058824	0.574468085106383	0.4285714285714286	0.5135135135135135	0.5121951219512195	0.07692307692307687	0.55	0.5294117647058824	0.5294117647058824	0.5294117647058824	0.5	0.33333333333333337	0.5	0.4666666666666667	0.5416666666666667	0.5121951219512195	0.5428571428571429	0.5	0.5	0.46341463414634143	0.5384615384615384	0.5833333333333333	0.5238095238095238	0.4838709677419355	0.4358974358974359	0.631578947368421	0.6111111111111112	0.6111111111111112	0.6111111111111112	0.4285714285714286	0.5	0.4883720930232558	0.5319148936170213	0.5	0.4117647058823529	0.5294117647058824
The Psychology of Food Consumption: Strategies for Promoting Healthier Food Choices	0.33333333333333337	0.2941176470588235	0.19298245614035092	0.6111111111111112	0.28	0.25	0.23333333333333328	0.2549019607843137	0.19148936170212771	0.31818181818181823	0.24	0.36	0.2615384615384615	0.25	0.2962962962962963	0.2666666666666667	0.31818181818181823	0.29230769230769227	0.24	0.2666666666666667	0.4222222222222223	0.2962962962962963	0.41666666666666663	0.33333333333333337	0.4545454545454546	0.4285714285714286	0.288135593220339	0.2941176470588235	0.375	0.3114754098360656	0.38095238095238093	0.21568627450980393	0.2727272727272727	0.5	0.2222222222222222	0.29166666666666663	0.29166666666666663	0.29166666666666663	0.3448275862068966	0.31818181818181823	0.19999999999999996	0.11864406779661019	0.25806451612903225	0.3090909090909091	0.3877551020408163	0.31999999999999995	0.24	0.3090909090909091	0.24528301886792447	0.4516129032258065	0.3214285714285714	0.28888888888888886	0.3207547169811321	0.3076923076923077	0.28	0.28	0.28	0.6	0.34782608695652173	0.29824561403508776	0.24590163934426235	0.37037037037037035	0.20833333333333337	0.20833333333333337
Under the Radar: Top 50 Independents	0.44999999999999996	0.4883720930232558	0.4693877551020408	0.6428571428571428	0.47619047619047616	0.5	0.46153846153846156	0.39534883720930236	0.4871794871794872	0.38888888888888884	0.47619047619047616	0.5238095238095238	0.5087719298245614	0.45833333333333337	0.5217391304347826	0.5	0.4444444444444444	0.543859649122807	0.47619047619047616	0.5769230769230769	0.5675675675675675	0.5217391304347826	0.55	0.5522388059701493	0.4444444444444444	0.05882352941176472	0.4901960784313726	0.5348837209302326	0.5	0.5471698113207547	0.5294117647058824	0.39534883720930236	0.4893617021276596	0.5625	0.5217391304347826	0.5	0.5	0.5	0.52	0.4444444444444444	0.47619047619047616	0.4509803921568627	0.4814814814814815	0.4893617021276596	0.5121951219512195	0.5238095238095238	0.4285714285714286	0.5319148936170213	0.5111111111111111	0.5185185185185186	0.5833333333333333	0.3513513513513513	0.4666666666666667	0.5	0.5238095238095238	0.5238095238095238	0.47619047619047616	0.6296296296296297	0.4736842105263158	0.5102040816326531	0.5471698113207547	0.4782608695652174	0.4	0.5
Why Restaurants Fail	0.29729729729729726	0.44999999999999996	0.4782608695652174	0.6	0.4871794871794872	0.4666666666666667	0.4285714285714286	0.4	0.5	0.4545454545454546	0.4358974358974359	0.4358974358974359	0.5185185185185186	0.5111111111111111	0.34883720930232553	0.5102040816326531	0.4545454545454546	0.4814814814814815	0.5384615384615384	0.4693877551020408	0.47058823529411764	0.4418604651162791	0.4054054054054054	0.5625	0.3939393939393939	0.4838709677419355	0.5	0.44999999999999996	0.3513513513513513	0.52	0.4838709677419355	0.44999999999999996	0.5454545454545454	0.4482758620689655	0.4883720930232558	0.4054054054054054	0.4054054054054054	0.4054054054054054	0.44680851063829785	0.2727272727272727	0.3846153846153846	0.41666666666666663	0.5294117647058824	0.40909090909090906	0.42105263157894735	0.33333333333333337	0.3846153846153846	0.40909090909090906	0.47619047619047616	0.4901960784313726	0.5111111111111111	0.4117647058823529	0.38095238095238093	0.46341463414634143	0.4358974358974359	0.4358974358974359	0.4358974358974359	0.5833333333333333	0.3142857142857143	0.4782608695652174	0.52	0.5348837209302326	0.3513513513513513	0.3513513513513513
"""New menu items at restaurants"""	0.37142857142857144	0.5263157894736843	0.5454545454545454	0.3913043478260869	0.5135135135135135	0.4883720930232558	0.574468085106383	0.5263157894736843	0.5294117647058824	0.4838709677419355	0.5135135135135135	0.45945945945945943	0.6153846153846154	0.5348837209302326	0.5121951219512195	0.44680851063829785	0.4193548387096774	0.5769230769230769	0.5135135135135135	0.5319148936170213	0.5	0.5121951219512195	0.4285714285714286	0.6451612903225806	0.4838709677419355	0.5862068965517242	0.5652173913043479	0.5263157894736843	0.3142857142857143	0.5416666666666667	0.4482758620689655	0.5263157894736843	0.5238095238095238	0.5555555555555556	0.41463414634146345	0.4285714285714286	0.4285714285714286	0.4285714285714286	0.4666666666666667	0.3548387096774194	0.45945945945945943	0.5217391304347826	0.5102040816326531	0.47619047619047616	0.38888888888888884	0.5135135135135135	0.5135135135135135	0.4285714285714286	0.5	0.5918367346938775	0.5348837209302326	0.5	0.6	0.5384615384615384	0.5135135135135135	0.5135135135135135	0.5135135135135135	0.5454545454545454	0.4545454545454546	0.5454545454545454	0.5833333333333333	0.5609756097560976	0.5428571428571429	0.4285714285714286
"""2010 North American Food Retailers"""	0.31818181818181823	0.4042553191489362	0.3584905660377359	0.5625	0.3913043478260869	0.42307692307692313	0.4285714285714286	0.4042553191489362	0.39534883720930236	0.44999999999999996	0.4347826086956522	0.34782608695652173	0.4098360655737705	0.42307692307692313	0.43999999999999995	0.3928571428571429	0.5	0.4098360655737705	0.4782608695652174	0.4285714285714286	0.46341463414634143	0.4	0.4545454545454546	0.4084507042253521	0.44999999999999996	0.42105263157894735	0.34545454545454546	0.4042553191489362	0.36363636363636365	0.5087719298245614	0.368421052631579	0.44680851063829785	0.4901960784313726	0.5	0.43999999999999995	0.4545454545454546	0.4545454545454546	0.4545454545454546	0.40740740740740744	0.35	0.34782608695652173	0.38181818181818183	0.3793103448275862	0.33333333333333337	0.4222222222222223	0.4347826086956522	0.34782608695652173	0.37254901960784315	0.4693877551020408	0.3793103448275862	0.5	0.31707317073170727	0.4285714285714286	0.45833333333333337	0.3913043478260869	0.3913043478260869	0.3913043478260869	0.4838709677419355	0.2857142857142857	0.4339622641509434	0.4736842105263158	0.4	0.36363636363636365	0.40909090909090906
"""2007 North American Industry Classification System"""	0.20833333333333337	0.33333333333333337	0.368421052631579	0.6111111111111112	0.36	0.3214285714285714	0.3666666666666667	0.2941176470588235	0.36170212765957444	0.36363636363636365	0.36	0.4	0.29230769230769227	0.3571428571428571	0.40740740740740744	0.30000000000000004	0.4545454545454546	0.3538461538461538	0.4	0.3666666666666667	0.4222222222222223	0.33333333333333337	0.41666666666666663	0.3866666666666667	0.5	0.5238095238095238	0.2542372881355932	0.33333333333333337	0.375	0.4426229508196722	0.4285714285714286	0.2549019607843137	0.38181818181818183	0.55	0.37037037037037035	0.375	0.375	0.375	0.3448275862068966	0.36363636363636365	0.28	0.3220338983050848	0.32258064516129037	0.3090909090909091	0.34693877551020413	0.4	0.28	0.3090909090909091	0.39622641509433965	0.3548387096774194	0.3571428571428571	0.28888888888888886	0.4716981132075472	0.42307692307692313	0.31999999999999995	0.36	0.4	0.5428571428571429	0.3913043478260869	0.4035087719298246	0.34426229508196726	0.40740740740740744	0.375	0.29166666666666663
