	Total number of HIV-Positive cases due to 1.51% onward transmission connected with U.S.	prevalence estimatesâ€”United States,	Revised recommendations for HIV testing of adults, adolescents, and pregnant women in healthcare settings. MMWR Recomm Rep,	Appendix II: HIVEcon: Additional notes and data on model inputs and outputs.	Yearbook of Immigration Statistics:	Population Prospects: The	AIDS Epidemic Update. WHO Library Cataloguing-in-Publication Data: UNAIDS/07.27E/JC1322E,	Yearbook of Immigration Statistics:	Life expectancy of individuals on combination antiretroviral therapy in highincome countries: a collaborative analysis of 14 cohort studies. Lancet,	The New Americans: Economic, Demographic, and Fiscal Effects of Immigration.	Technical Appendix I: HIVEcon: A model to estimate the economic costs of immigrants who are HIV-positive.	The lifetime cost of current human immunodeficiency virus care in the United States. Med Care,	for the Use of Antiretroviral Agents in HIVâ€“1â€“Infected Adults and Adolescents.	memorandum: Consolidation of Policy Regarding	A quick guide to public charge and receipt to public benefits.	How many sexuallyacquired HIV infections in the USA are due to acute-phase HIV transmission?	Transmission Rates in the United States.	Health status, health insurance, and health care utilization patterns of immigrant Black men.	Effects of immigration on selected health risk behaviors of Black college students.	Acculturation, sexual risk taking, and HIV health promotion among Latinas.	Alcohol and AIDS-related sexual behavior among Hispanics: acculturation and gender differences. AIDS Educ Prev,	Initial acculturation and HIV risk among new Hispanic immigrants.	HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and US-born Blacks.	Immigration measures and reproductive health among Hispanic youth: findings from the national longitudinal survey of youth, 1997â€“2003. J Adolesc Health,	The impact of migration on the health of voluntary migrants in western societies.	Immigration and HIV/AIDS in the New York Metropolitan Area. J Urban Health,	HIV prevalence among foreign- and US-born clients of public STD clinics.	Acculturation and gender differences in sexual attitudes and behaviors: Hispanic vs non-Hispanic white unmarried adults.	Available from: http:// www.cdc.gov/hiv/topics/surveillance/ incidence.htm. V. Regulatory Flexibility Analysis VI. Other Administrative Requirements A. The Unfunded Mandates Reform Act HHS/CDC evaluated the rule requirements for compliance with the Unfunded Mandates Reform Act (UMRA) of 1995. This rule does not contain Federal mandates under the regulatory provisions of Title II of the UMRA for State, local, or Tribal Governments, nor for the private sector. The ruleâ€™s provisions will not affect small Governments. B. Executive Order 13045: Protection of Children From Environmental Health Risks and Safety Risks Executive	The authority citation for part 34 continues to read as follows:	34.2 by removing paragraph (b)(6) and redesignating paragraphs (b)(7) through (10) (b)(6) through (9), respectively.	34.3 by revising paragraphs (b)(1)(i), (e)(1) introductory text, (e)(2)(iii), (e)(2)(iv), (e)(5), and (e)(6) to read as follows: Â§ 34.3 Scope of examinations.
The New Americans:  Economic, Demographic, and Fiscal Effects  of Immigration	0.55	0.5483870967741935	0.4285714285714286	0.46875	0.5161290322580645	0.48275862068965514	0.5531914893617021	0.5161290322580645	0.4722222222222222	0.0357142857142857	0.303030303030303	0.5142857142857142	0.5142857142857142	0.5	0.46875	0.4864864864864865	0.5806451612903225	0.4545454545454546	0.48484848484848486	0.4411764705882353	0.36111111111111116	0.46875	0.5853658536585367	0.475	0.4193548387096774	0.4736842105263158	0.4722222222222222	0.4117647058823529	0.5357142857142857	0.4193548387096774	0.5952380952380952	0.5348837209302326
2007 AIDS Epidemic Update	0.7105263157894737	0.56	0.7222222222222222	0.5714285714285714	0.6785714285714286	0.75	0.5609756097560976	0.6785714285714286	0.7567567567567568	0.6060606060606061	0.6571428571428571	0.696969696969697	0.696969696969697	0.7419354838709677	0.7096774193548387	0.6176470588235294	0.6538461538461539	0.7272727272727273	0.71875	0.6666666666666667	0.6111111111111112	0.6666666666666667	0.7105263157894737	0.631578947368421	0.75	0.6388888888888888	0.6060606060606061	0.7142857142857143	0.7192982456140351	0.75	0.6842105263157895	0.7441860465116279
A quick guide to public charge  and receipt to public benefits	0.5555555555555556	0.5555555555555556	0.46875	0.5172413793103448	0.46153846153846156	0.41666666666666663	0.6521739130434783	0.46153846153846156	0.4193548387096774	0.46875	0.48484848484848486	0.5161290322580645	0.4137931034482759	0.4444444444444444	0.045454545454545414	0.4375	0.5925925925925926	0.33333333333333337	0.3076923076923077	0.3793103448275862	0.4411764705882353	0.40740740740740744	0.47058823529411764	0.5135135135135135	0.40740740740740744	0.5555555555555556	0.46875	0.3448275862068966	0.6181818181818182	0.40740740740740744	0.5277777777777778	0.5384615384615384
Interoffice memorandum:  Consolidation of Policy Regarding USCIS  Form IÐ864, Affidavit of Support (AFM  Update AD06Ð20	0.5918367346938775	1.0	0.5	0.6046511627906976	0.6097560975609756	0.625	0.4807692307692307	0.6097560975609756	0.5	0.5	0.574468085106383	0.46341463414634143	1.0	0.4473684210526315	0.6046511627906976	0.5434782608695652	0.6585365853658536	0.5909090909090908	0.6136363636363636	0.5777777777777777	0.4444444444444444	0.6046511627906976	0.5625	1.0	0.5714285714285714	0.5918367346938775	0.5	0.5555555555555556	1.0	0.5714285714285714	0.4782608695652174	1.0
Public Law 104Ð193	0.7297297297297297	1.0	0.8108108108108107	0.8125	0.8333333333333334	0.7307692307692308	0.7333333333333334	0.8333333333333334	0.7058823529411764	0.8421052631578947	0.8461538461538461	0.8285714285714285	1.0	0.7666666666666666	0.7741935483870968	0.8157894736842105	0.9	0.8235294117647058	0.78125	0.8	0.8	0.7741935483870968	0.825	1.0	0.7741935483870968	0.8536585365853658	0.8108108108108107	0.7714285714285715	1.0	0.6896551724137931	0.6666666666666667	1.0
World Population Prospects: The  2006 Revision.	0.5263157894736843	0.5666666666666667	0.4411764705882353	0.53125	0.6666666666666667	0.31999999999999995	0.5957446808510638	0.6666666666666667	0.48571428571428577	0.5277777777777778	0.5	0.48484848484848486	0.5294117647058824	0.4666666666666667	0.4838709677419355	0.6153846153846154	0.5	0.5151515151515151	0.5	0.5428571428571429	0.5	0.53125	0.5641025641025641	0.4871794871794872	0.43333333333333335	0.6976744186046512	0.5277777777777778	0.47058823529411764	0.6206896551724138	0.43333333333333335	0.45945945945945943	0.5121951219512195
Yearbook of Immigration  Statistics: 2007 Immigrants. Table 3: Persons  Obtaining Legal Permanent Resident Status  by Region and Country of Birth: Fiscal Years  1998 to 2007	0.5208333333333333	0.7111111111111111	0.5833333333333333	0.6521739130434783	0.525	0.6097560975609756	0.4423076923076923	0.525	0.48888888888888893	0.5531914893617021	0.5918367346938775	0.5227272727272727	0.5869565217391304	0.475	0.5581395348837209	0.62	0.6097560975609756	0.5454545454545454	0.5	0.5652173913043479	0.5306122448979591	0.5909090909090908	0.4893617021276596	0.42553191489361697	0.5581395348837209	0.6346153846153846	0.5531914893617021	0.574468085106383	0.41666666666666663	0.5581395348837209	0.46808510638297873	0.5098039215686274
Yearbook of Immigration  Statistics: 2007 Immigrants. Table 8: Persons  Obtaining Legal Permanent Resident Status  by Gender, Age, Marital Status, and  Occupation: Fiscal Year 2007	0.5714285714285714	0.6428571428571428	0.5111111111111111	0.5813953488372092	0.5128205128205128	0.6	0.43137254901960786	0.5128205128205128	0.4772727272727273	0.4772727272727273	0.5531914893617021	0.5116279069767442	0.6086956521739131	0.5	0.5121951219512195	0.5833333333333333	0.6341463414634146	0.5348837209302326	0.5581395348837209	0.4883720930232558	0.4565217391304348	0.5476190476190477	0.5416666666666667	0.44680851063829785	0.5476190476190477	0.5416666666666667	0.5111111111111111	0.5333333333333333	0.43333333333333335	0.5813953488372092	0.5208333333333333	0.5294117647058824
Guidelines for the Use of  Antiretroviral Agents in HIVÐ1ÐInfected  Adults and Adolescents	0.4	1.0	0.3939393939393939	0.4838709677419355	0.5806451612903225	0.5517241379310345	0.625	0.5806451612903225	0.48571428571428577	0.5277777777777778	0.4117647058823529	0.48484848484848486	1.0	0.5161290322580645	0.43333333333333335	0.4117647058823529	0.6	0.46875	0.4516129032258065	0.40625	0.45945945945945943	0.43333333333333335	0.4	1.0	0.4838709677419355	0.5641025641025641	0.3939393939393939	0.4242424242424242	1.0	0.53125	0.575	1.0
HIV Incidence	0.7096774193548387	0.7142857142857143	0.6785714285714286	0.5909090909090908	0.7272727272727273	0.7619047619047619	0.8095238095238095	0.7272727272727273	0.8064516129032258	0.7666666666666666	0.6896551724137931	0.7857142857142857	0.64	0.75	0.76	0.6896551724137931	0.7619047619047619	0.7307692307692308	0.7692307692307692	0.6538461538461539	0.7575757575757576	0.5909090909090908	0.7096774193548387	0.7714285714285715	0.8076923076923077	0.75	0.6785714285714286	0.7586206896551724	0.8363636363636364	0.76	0.8285714285714285	0.8461538461538461
