	Similar Cost Sharing Charges: State Plan Requirements 5. The authority citation for part 457 continues to read as follows: Authority:	For Federal Fiscal Year 2007, any copayment or similar charge the State imposes under a fee-for-service delivery system may not exceed the following amounts: Total cost Maximum amount $15.00 or less ...........................	E8–3211 Filed 2–21–08; 8:45 am] You may submit comments, identified by Docket No. FEMA–B–7763, to
nan	0.9774436090225563	0.9867256637168141	0.979381443298969
Medicaid Expenditure Panel Survey	0.8571428571428571	0.8982300884955752	0.865979381443299
nan	0.9774436090225563	0.9867256637168141	0.979381443298969
Circular A�4	0.9398496240601504	0.9646017699115044	1.0
Deficit Reduction Act	0.8872180451127819	0.9292035398230089	0.865979381443299
Deficit Reduction Act of 2005	0.8571428571428571	0.9070796460176991	0.8556701030927835
Executive Order 12866	0.9323308270676691	0.9469026548672567	0.8969072164948454
Executive Order 13132	0.9323308270676691	0.9469026548672567	0.8969072164948454
Sec. 1102 of the Social Security Act (42 U.S.C. 1302)	0.8345864661654135	0.8716814159292036	0.8041237113402062
Tax Relief and Health Care Act	0.8571428571428571	0.911504424778761	0.8762886597938144
Unfunded Mandates Reform Act of 1995	0.8571428571428571	0.9026548672566371	0.8247422680412371
nan	0.9774436090225563	0.9867256637168141	0.979381443298969
