	Similar Cost Sharing Charges: State Plan Requirements 5. The authority citation for part 457 continues to read as follows: Authority:	For Federal Fiscal Year 2007, any copayment or similar charge the State imposes under a fee-for-service delivery system may not exceed the following amounts: Total cost Maximum amount $15.00 or less ...........................	E8–3211 Filed 2–21–08; 8:45 am] You may submit comments, identified by Docket No. FEMA–B–7763, to
nan	0.8823529411764706	0.8974358974358975	0.9047619047619048
Medicaid Expenditure Panel Survey	0.4117647058823529	0.3928571428571429	0.5593220338983051
nan	0.8823529411764706	0.8974358974358975	0.9047619047619048
Circular A�4	0.5348837209302326	0.7083333333333333	1.0
Deficit Reduction Act	0.4666666666666667	0.6	0.5471698113207547
Deficit Reduction Act of 2005	0.45833333333333337	0.5094339622641509	0.4642857142857143
Executive Order 12866	0.6666666666666667	0.5471698113207547	0.5714285714285714
Executive Order 13132	0.6595744680851063	0.5384615384615384	0.6
Sec. 1102 of the Social Security Act (42 U.S.C. 1302)	0.368421052631579	0.4193548387096774	0.4461538461538461
Tax Relief and Health Care Act	0.36	0.49090909090909096	0.6206896551724138
Unfunded Mandates Reform Act of 1995	0.3846153846153846	0.4385964912280702	0.4666666666666667
nan	0.8823529411764706	0.8974358974358975	0.9047619047619048
