	Budget Refinement Act of 1999, Pub. L. 106–113 BIPA Medicare, Medicaid, and SCHIP Benefits Improvement and Protection Act of 2000, Pub. L. 106–554 1. The authority citation for part 413 continues to read as follows: Authority: Secs.
OMB Circular A-4	0.9525862068965517
Associated Correction Notices	0.9008620689655172
Associated Correction Notices	0.9008620689655172
SNF PPS Final Rule	0.9482758620689655
SNF PPS rates	0.9568965517241379
Congressional Review Act	0.9310344827586207
Federalism	0.9655172413793104
Regulatory Flexibility Act of 1980	0.9137931034482759
Regulatory Planning and Review 	0.9094827586206896
Section 1102(b) of Social Security Act	0.8922413793103449
Section 1888�	1.0
Small Busines Administration standards	0.8922413793103449
Unfunded Mandates Reform Act of 1995	0.8922413793103449
