	Budget Refinement Act of 1999, Pub. L. 106–113 BIPA Medicare, Medicaid, and SCHIP Benefits Improvement and Protection Act of 2000, Pub. L. 106–554 1. The authority citation for part 413 continues to read as follows: Authority: Secs.
OMB Circular A-4	0.63
Associated Correction Notices	0.56
Associated Correction Notices	0.56
SNF PPS Final Rule	0.6699999999999999
SNF PPS rates	0.62
Congressional Review Act	0.5900000000000001
Federalism	0.7
Regulatory Flexibility Act of 1980	0.56
Regulatory Planning and Review 	0.62
Section 1102(b) of Social Security Act	0.5800000000000001
Section 1888�	0.0
Small Busines Administration standards	0.61
Unfunded Mandates Reform Act of 1995	0.56
