	Proposed Rules 51 ‘‘Excess Billing and Insurance-Related Administrative Costs,’’ by James Kahn, in The Healthcare Imperative; Lowering Costs and Improving Outcomes: Workshop Series Summary, edited by	55 ‘‘Project Swipe IT Savings Model,’’	56 For billing and posting clerks in physician offices, Department of Labor,	Avoidance: Interest on Loans and Lines of Credit	prepared by Robert E.	The Costs and Benefits of Moving to the ICD–10 Code Sets,’’	65 ‘‘Health Plans’ Estimated Costs of Implementing ICD–10 Diagnosis Coding,’’	Aetna Chief Financial Officer and Senior Executive Vice President. Aetna Fourth Quarter 2011 Earnings Call Webcast (transcript),	TABLE 30—COST AVOIDANCE LESS COST (NET) OF A ONE-YEAR DELAY [In millions] * Low Net Estimate (Low Cost Avoidance with High Costs) .. ¥$2,950 High Net Estimate (High Cost Avoidance with Low Costs) .. 6,846 Mean Net Cost Avoidance (average) ....................................	Flexibility Analysis: Impact on Small Entities of a Delay in the Compliance Date of ICD–10 The Regulatory Flexibility Act (RFA) of	Number of Small Entities and Scope of Analysis a. Health Care Providers: Physician Total Savings/Cost Avoidance ................................................................................................................. $6,532 $13,612 $10,072 Total Costs ............................................................................................................................................... 2,133 8,784 5,459 * Costs and savings of HPID are calculated over 11 years,	[In millions of dollars] Delay in Compliance Date for ICD–10: Avoidance of returned health care claims. COSTS: Annualized Monetized costs: 7% Discount ................	List of Subjects in 45 CFR Part 162 Administrative practice and procedures, Electronic transactions, Health facilities, Health insurance, Hospitals, Incorporation by reference, Medicaid, Medicare, Reporting and 1. The authority citation for part 162 continues to read as follows:	124 Stat. 146–154 and 915– 917. Subpart A—General Provisions 2. Section 162.103 is amended by health plan. Subpart D—Standard Unique Health Identifier for Health Care Providers § 162.402 [Removed and Reserved] 3. Section 162.402 is removed and reserved. 4. Section 162.404 is amended as follows: A. Redesignating paragraph (a) as paragraph (a)(1). B. Adding a paragraph (a)(2). The addition reads as follows: § 162.404 Compliance dates of the implementation of the standard unique health identifier for health care providers. 6. Subpart E is added to part 162 to read as follows: Subpart E—Standard Unique Health Identifier for Health Plans Sec. 162.502 [Reserved] 162.504 Compliance dates for the implementation of the standard unique health plan identifier. 162.506 Standard unique health plan identifier. 162.508 Enumeration System. 162.510 Implementation specifications: Covered entities. 162.512 Implementation specifications: Health plans. 162.514 Other entity identifier. Subpart E—Standard Unique Health Identifier for Health Plans § 162.502 [Reserved] § 162.504 Compliance dates for the implementation of the standard unique health plan identifier.	(a) Covered health care providers. A covered health care provider must comply with the implementation specifications	plans. A health plan must comply with the implementation specifications in § 162.510 and § 162.512 no later than one of the following dates: (1) A health plan that is not a small health plan—October 1,	(2) A health plan that is a small health plan—October 1,	care clearinghouses. A health care clearinghouse must comply with the implementation specifications in § 162.510 no later than October 1, 2014. § 162.506 Standard unique health plan identifier. (a) Standard. The standard unique health plan identifier is the Health Plan Identifier (HPID) that is assigned by the Enumeration System identified in § 162.508. (b) Required and permitted uses for the HPID. (1) The HPID must be used as specified in § 162.510 and § 162.512. (2) The HPID may be used for any other lawful purpose. § 162.508 Enumeration System. The Enumeration System shall do all of the following: (c) If appropriate, deactivate an HPID upon receipt of sufficient information concerning circumstances justifying deactivation. (d) If appropriate, reactivate a deactivated HPID or OEID upon receipt of sufficient information justifying reactivation. (e) Not assign a deactivated HPID to any other health plan or OEID to any other entity. (f) Disseminate Enumeration System information upon approved requests. § 162.510 Implementation specifications: Covered entities. (a) A covered entity must use an HPID standard under this part. § 162.512 Implementation specifications: Health plans. (a) A controlling health plan must do all of the following: (1) Obtain an HPID from the Enumeration System for itself. (2) Disclose its HPID, when requested, to any entity that needs the HPID to identify the health plan in a standard transaction.	(3) Communicate to the Enumeration System any changes in its required data elements in the Enumeration System within 30 days of the change.
Ambulatory Medical Care Utilization Estimates for 2007	0.6415094339622642	0.6666666666666667	0.5555555555555556	0.5333333333333333	0.6551724137931034	0.6578947368421053	0.625	0.5348837209302326	0.6833333333333333	0.5121951219512195	0.54	0.46341463414634143	0.5319148936170213	0.5862068965517242	0.4545454545454546	0.5121951219512195	0.5588235294117647	0.5849056603773585	0.4571428571428572
Oregon Provider and Payer Survey	0.6739130434782609	0.5862068965517242	0.6774193548387097	0.625	0.6666666666666667	0.6666666666666667	0.7428571428571429	0.631578947368421	0.7857142857142857	0.717948717948718	0.7083333333333333	0.6666666666666667	0.6818181818181819	0.7321428571428572	0.6206896551724138	0.6842105263157895	0.7333333333333334	0.6938775510204082	0.6129032258064516
Why we can't skip ICD-10 and go straight to ICD-11	0.5510204081632653	0.5833333333333333	0.5	0.5666666666666667	0.6896551724137931	0.5294117647058824	0.5405405405405406	0.5909090909090908	0.6779661016949152	0.5365853658536586	0.6153846153846154	0.5581395348837209	0.6122448979591837	0.65	0.5294117647058824	0.5714285714285714	0.6285714285714286	0.6037735849056604	0.5277777777777778
Why we're not ready to plan ICD-11 implementation	0.5833333333333333	0.6285714285714286	0.5454545454545454	0.6206896551724138	0.6538461538461539	0.6176470588235294	0.5428571428571429	0.6590909090909092	0.7068965517241379	0.575	0.6470588235294117	0.5609756097560976	0.6170212765957447	0.6779661016949152	0.4838709677419355	0.6097560975609756	0.59375	0.6346153846153846	0.5714285714285714
Excess Billing and Insurance-Related Administrative Costs	0.4782608695652174	0.5714285714285714	0.6111111111111112	0.4444444444444444	0.6785714285714286	0.6	0.6052631578947368	0.5476190476190477	0.6	0.4871794871794872	0.607843137254902	0.5813953488372092	0.5434782608695652	0.6206896551724138	0.46875	0.627906976744186	0.6176470588235294	0.5961538461538461	0.5142857142857142
CMS Electronic Data Interchange (EDI) Performance Statistics	0.6274509803921569	0.5294117647058824	0.5294117647058824	0.5517241379310345	0.7666666666666666	0.5151515151515151	0.48571428571428577	0.5121951219512195	0.6	0.4054054054054054	0.5800000000000001	0.5476190476190477	0.5434782608695652	0.5964912280701755	0.46875	0.5952380952380952	0.53125	0.54	0.375
National Health Expenditure Data	0.6666666666666667	0.6666666666666667	0.5806451612903225	0.6666666666666667	0.5909090909090908	0.696969696969697	0.5757575757575757	0.625	0.7321428571428572	0.6052631578947368	0.6458333333333333	0.6585365853658536	0.6739130434782609	0.7241379310344828	0.5666666666666667	0.675	0.6333333333333333	0.6599999999999999	0.6060606060606061
National Health Expenditure Projections 2009-2019	0.5882352941176471	0.5945945945945945	0.631578947368421	0.6666666666666667	0.7	0.6923076923076923	0.5526315789473684	0.5	0.6610169491525424	0.5813953488372092	0.54	0.6304347826086957	0.5625	0.6333333333333333	0.5833333333333333	0.5813953488372092	0.5588235294117647	0.5576923076923077	0.5789473684210527
Financial Management Service	0.7291666666666667	0.5357142857142857	0.5862068965517242	0.625	0.782608695652174	0.6666666666666667	0.7428571428571429	0.6666666666666667	0.7169811320754718	0.6486486486486487	0.7346938775510203	0.6666666666666667	0.6511627906976745	0.7758620689655172	0.6206896551724138	0.717948717948718	0.6428571428571428	0.7450980392156863	0.6129032258064516
FY10 Geographic Distribution of VA Expenditures	0.6226415094339622	0.675	0.48571428571428577	0.59375	0.6666666666666667	0.5945945945945945	0.5641025641025641	0.4	0.6666666666666667	0.41025641025641024	0.5769230769230769	0.5777777777777777	0.5714285714285714	0.6166666666666667	0.5555555555555556	0.5238095238095238	0.5714285714285714	0.5925925925925926	0.5526315789473684
