	Proposed Rules 51 ‘‘Excess Billing and Insurance-Related Administrative Costs,’’ by James Kahn, in The Healthcare Imperative; Lowering Costs and Improving Outcomes: Workshop Series Summary, edited by	55 ‘‘Project Swipe IT Savings Model,’’	56 For billing and posting clerks in physician offices, Department of Labor,	Avoidance: Interest on Loans and Lines of Credit	prepared by Robert E.	The Costs and Benefits of Moving to the ICD–10 Code Sets,’’	65 ‘‘Health Plans’ Estimated Costs of Implementing ICD–10 Diagnosis Coding,’’	Aetna Chief Financial Officer and Senior Executive Vice President. Aetna Fourth Quarter 2011 Earnings Call Webcast (transcript),	TABLE 30—COST AVOIDANCE LESS COST (NET) OF A ONE-YEAR DELAY [In millions] * Low Net Estimate (Low Cost Avoidance with High Costs) .. ¥$2,950 High Net Estimate (High Cost Avoidance with Low Costs) .. 6,846 Mean Net Cost Avoidance (average) ....................................	Flexibility Analysis: Impact on Small Entities of a Delay in the Compliance Date of ICD–10 The Regulatory Flexibility Act (RFA) of	Number of Small Entities and Scope of Analysis a. Health Care Providers: Physician Total Savings/Cost Avoidance ................................................................................................................. $6,532 $13,612 $10,072 Total Costs ............................................................................................................................................... 2,133 8,784 5,459 * Costs and savings of HPID are calculated over 11 years,	[In millions of dollars] Delay in Compliance Date for ICD–10: Avoidance of returned health care claims. COSTS: Annualized Monetized costs: 7% Discount ................	List of Subjects in 45 CFR Part 162 Administrative practice and procedures, Electronic transactions, Health facilities, Health insurance, Hospitals, Incorporation by reference, Medicaid, Medicare, Reporting and 1. The authority citation for part 162 continues to read as follows:	124 Stat. 146–154 and 915– 917. Subpart A—General Provisions 2. Section 162.103 is amended by health plan. Subpart D—Standard Unique Health Identifier for Health Care Providers § 162.402 [Removed and Reserved] 3. Section 162.402 is removed and reserved. 4. Section 162.404 is amended as follows: A. Redesignating paragraph (a) as paragraph (a)(1). B. Adding a paragraph (a)(2). The addition reads as follows: § 162.404 Compliance dates of the implementation of the standard unique health identifier for health care providers. 6. Subpart E is added to part 162 to read as follows: Subpart E—Standard Unique Health Identifier for Health Plans Sec. 162.502 [Reserved] 162.504 Compliance dates for the implementation of the standard unique health plan identifier. 162.506 Standard unique health plan identifier. 162.508 Enumeration System. 162.510 Implementation specifications: Covered entities. 162.512 Implementation specifications: Health plans. 162.514 Other entity identifier. Subpart E—Standard Unique Health Identifier for Health Plans § 162.502 [Reserved] § 162.504 Compliance dates for the implementation of the standard unique health plan identifier.	(a) Covered health care providers. A covered health care provider must comply with the implementation specifications	plans. A health plan must comply with the implementation specifications in § 162.510 and § 162.512 no later than one of the following dates: (1) A health plan that is not a small health plan—October 1,	(2) A health plan that is a small health plan—October 1,	care clearinghouses. A health care clearinghouse must comply with the implementation specifications in § 162.510 no later than October 1, 2014. § 162.506 Standard unique health plan identifier. (a) Standard. The standard unique health plan identifier is the Health Plan Identifier (HPID) that is assigned by the Enumeration System identified in § 162.508. (b) Required and permitted uses for the HPID. (1) The HPID must be used as specified in § 162.510 and § 162.512. (2) The HPID may be used for any other lawful purpose. § 162.508 Enumeration System. The Enumeration System shall do all of the following: (c) If appropriate, deactivate an HPID upon receipt of sufficient information concerning circumstances justifying deactivation. (d) If appropriate, reactivate a deactivated HPID or OEID upon receipt of sufficient information justifying reactivation. (e) Not assign a deactivated HPID to any other health plan or OEID to any other entity. (f) Disseminate Enumeration System information upon approved requests. § 162.510 Implementation specifications: Covered entities. (a) A covered entity must use an HPID standard under this part. § 162.512 Implementation specifications: Health plans. (a) A controlling health plan must do all of the following: (1) Obtain an HPID from the Enumeration System for itself. (2) Disclose its HPID, when requested, to any entity that needs the HPID to identify the health plan in a standard transaction.	(3) Communicate to the Enumeration System any changes in its required data elements in the Enumeration System within 30 days of the change.
Ambulatory Medical Care Utilization Estimates for 2007	0.8442211055276382	0.7962962962962963	0.8026315789473685	0.8148148148148148	0.8333333333333334	0.8813559322033898	0.7922077922077922	0.828125	0.8909090909090909	0.8153846153846154	0.9333333333333333	0.8383233532934131	0.8637992831541219	0.9567847882454624	0.7844827586206896	0.8507462686567164	0.8928571428571429	0.9673837612768911	0.7769784172661871
Oregon Provider and Payer Survey	0.8844221105527639	0.868421052631579	0.8157894736842105	0.75	0.75	0.8135593220338984	0.8701298701298701	0.8515625	0.9309090909090909	0.8692307692307693	0.9479166666666666	0.8802395209580839	0.921146953405018	0.9749351771823682	0.8362068965517241	0.9104477611940298	0.8214285714285714	0.9777931991672449	0.8705035971223022
Why we can't skip ICD-10 and go straight to ICD-11	0.8693467336683417	0.8	0.8026315789473685	0.86	0.84	0.7966101694915254	0.8051948051948052	0.828125	0.9018181818181819	0.8076923076923077	0.9416666666666667	0.844311377245509	0.8960573476702509	0.9662921348314607	0.8189655172413793	0.835820895522388	0.8035714285714286	0.9694656488549618	0.8345323741007195
Why we're not ready to plan ICD-11 implementation	0.8693467336683417	0.8163265306122449	0.7368421052631579	0.8163265306122449	0.8163265306122449	0.7457627118644068	0.7402597402597403	0.8046875	0.9090909090909091	0.8	0.9458333333333333	0.8203592814371258	0.8888888888888888	0.9628349178910977	0.7241379310344828	0.8557213930348259	0.8214285714285714	0.9687716863289383	0.8057553956834532
Excess Billing and Insurance-Related Administrative Costs	0.7135678391959799	0.8596491228070176	0.7105263157894737	0.7894736842105263	0.8421052631578947	0.864406779661017	0.8051948051948052	0.7890625	0.88	0.8076923076923077	0.9333333333333333	0.8203592814371258	0.8602150537634409	0.9567847882454624	0.8017241379310345	0.8407960199004975	0.8947368421052632	0.9646079111727967	0.7985611510791367
CMS Electronic Data Interchange (EDI) Performance Statistics	0.8492462311557789	0.8	0.8289473684210527	0.7833333333333333	0.8666666666666667	0.85	0.8181818181818182	0.8046875	0.8836363636363637	0.7923076923076923	0.93125	0.8263473053892215	0.8530465949820788	0.9567847882454624	0.7758620689655172	0.8407960199004975	0.8666666666666667	0.9632199861207494	0.7769784172661871
National Health Expenditure Data	0.8793969849246231	0.8947368421052632	0.8157894736842105	0.7916666666666666	0.8125	0.7966101694915254	0.8181818181818182	0.8359375	0.9309090909090909	0.8384615384615385	0.9458333333333333	0.8802395209580839	0.9032258064516129	0.9749351771823682	0.8275862068965517	0.8955223880597015	0.7678571428571429	0.9791811242192922	0.841726618705036
National Health Expenditure Projections 2009-2019	0.8743718592964824	0.8163265306122449	0.8289473684210527	0.8775510204081632	0.8367346938775511	0.8305084745762712	0.8051948051948052	0.8203125	0.92	0.8307692307692308	0.93125	0.8502994011976048	0.8853046594982079	0.9645635263612792	0.7844827586206896	0.8756218905472637	0.8214285714285714	0.970853573907009	0.8273381294964028
Financial Management Service	0.8894472361809045	0.868421052631579	0.7894736842105263	0.7708333333333334	0.8571428571428571	0.8305084745762712	0.8311688311688312	0.8359375	0.9272727272727272	0.8538461538461538	0.9583333333333334	0.8922155688622755	0.9175627240143369	0.9775280898876404	0.8620689655172413	0.900497512437811	0.7857142857142857	0.9819569743233866	0.8561151079136691
FY10 Geographic Distribution of VA Expenditures	0.8693467336683417	0.8723404255319149	0.7894736842105263	0.8333333333333334	0.851063829787234	0.8305084745762712	0.8311688311688312	0.8359375	0.9090909090909091	0.8461538461538461	0.9479166666666666	0.8622754491017964	0.8853046594982079	0.9654278305963699	0.8103448275862069	0.8805970149253731	0.8035714285714286	0.9722414989590562	0.8489208633093526
