	Letter to Hon. Nancy Pelosi.	States as Policy Laboratories: Emulating Success in the Children’s Health Insurance Program”	Active Purchasing for Health Exchanges: An Analysis of Options:	and Elizabeth McGylnn(2010) Establishing State Health Insurance Exchanges.	Health Reform in Massachusetts An Update As of fall	Citations Actuarial Research Corporation. &quot;Reinsurance attachment point estimates.&quot;	The Value of Health Insurance: Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills.	Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:	Independent Report on the Healthy NY Program for Calendar Year	Medicare & Medicaid Services. &quot;Announcement of Calendar Year (CY)	Employer Health Benefits,	Does major illness cause financial catastrophe?&quot;	Cost and Funding Considerations for a Statewide All-Payer Claims Database (APCD). .&quot;	Katherine Baicker, and The Oregon Health Study Group. &quot;The Oregon Health Insurance Experiment: Evidence from the First Year.&quot;	Generosity and adjusted premiums in job-based insurance: Hawaii is up, Wyoming is down.&quot;	Patient Protection and Affordable Care Act (PPACA): Long Term Costs for Gvoernments, Employers, Families and Providers.&quot; Staff Working Paper	Race and insurance status as risk factors for trauma mortality.&quot;	Care without coverage: too little, too late:	The impact of health insurance on health.&quot;	of Health Care Finance and Policy. &quot;2009 Annual Report Health Safety Net.&quot;	All-Payer Claims Databases. (Robert Woods Johnson Foundation.	Office of External Affairs and Beneficiary Services, Unpublished. &quot;FY	Office of the Inspector General. Medicaid Managed Care Encounter Data: Collection and Use.	Reinsurance: How States Can Make Health Coverage More Affordable for Employers and Workers: Commonwealth Fund,	Healthy New York: Making Insurance More Affordable for LowIncome Workers: The Commonwealth Fund.,	Massachusetts Health Care Reform—Near-Universal Coverage at What Cost?&quot;
Medicaid Managed Care Encounter Data: Collection and Use	0.5769230769230769	0.4516129032258065	0.5	0.5714285714285714	0.4444444444444444	0.5517241379310345	0.5945945945945945	0.5588235294117647	0.6451612903225806	0.53125	0.6071428571428572	0.5517241379310345	0.5833333333333333	0.627906976744186	0.6	0.5952380952380952	0.5517241379310345	0.45833333333333337	0.5862068965517242	0.6578947368421053	0.5757575757575757	0.6052631578947368	0.2592592592592593	0.5	0.5526315789473684	0.5294117647058824
Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals: 2008	0.6388888888888888	0.5	0.5	0.5581395348837209	0.5	0.6153846153846154	0.47619047619047616	0.09375	0.5789473684210527	0.627906976744186	0.5	0.6153846153846154	0.5348837209302326	0.5208333333333333	0.6136363636363636	0.4565217391304348	0.6153846153846154	0.6756756756756757	0.5675675675675675	0.46341463414634143	0.525	0.45238095238095233	0.5609756097560976	0.4285714285714286	0.4772727272727273	0.6521739130434783
Trend Data	0.7	0.7666666666666666	0.7857142857142857	0.78125	0.7083333333333333	0.76	0.7575757575757576	0.7333333333333334	0.7083333333333333	0.7586206896551724	0.7272727272727273	0.7083333333333333	0.75	0.8	0.7741935483870968	0.8	0.7083333333333333	0.7619047619047619	0.6956521739130435	0.7878787878787878	0.7142857142857143	0.8	0.7142857142857143	0.8055555555555556	0.7777777777777778	0.8181818181818181
2009 Annual Report Health Safety Net	0.5925925925925926	0.6388888888888888	0.5161290322580645	0.6216216216216216	0.4642857142857143	0.5666666666666667	0.5675675675675675	0.5294117647058824	0.4642857142857143	0.6666666666666667	0.5185185185185186	0.6129032258064516	0.6666666666666667	0.6666666666666667	0.717948717948718	0.6956521739130435	0.6129032258064516	0.6896551724137931	0.6	0.32258064516129037	0.6285714285714286	0.6153846153846154	0.6666666666666667	0.5526315789473684	0.6341463414634146	0.6216216216216216
Cost and Funding Considerations for a Statewide All-Payer Claims Database	0.6	0.4411764705882353	0.5294117647058824	0.625	0.53125	0.5757575757575757	0.5384615384615384	0.4117647058823529	0.53125	0.5142857142857142	0.5806451612903225	0.5757575757575757	0.19354838709677424	0.6086956521739131	0.5405405405405406	0.47619047619047616	0.53125	0.6	0.6060606060606061	0.5263157894736843	0.32258064516129037	0.55	0.5555555555555556	0.4054054054054054	0.46153846153846156	0.5897435897435898
All-Payer Claims Databases	0.5652173913043479	0.5806451612903225	0.6333333333333333	0.7222222222222222	0.6428571428571428	0.5925925925925926	0.7027027027027026	0.59375	0.6428571428571428	0.65625	0.6	0.6428571428571428	0.4838709677419355	0.7777777777777778	0.6764705882352942	0.6585365853658536	0.6428571428571428	0.6799999999999999	0.6785714285714286	0.6944444444444444	0.40740740740740744	0.7105263157894737	0.696969696969697	0.6486486486486487	0.6578947368421053	0.6857142857142857
Announcement of Calendar Year 2012 Medicare Advantage Capitation Rates and Medicare Advantage and Part D Payment Policies and Final Call Letter	0.5882352941176471	0.525	0.4864864864864865	0.5813953488372092	0.4411764705882353	0.5277777777777778	0.5	0.5365853658536586	0.48571428571428577	0.4736842105263158	0.6111111111111112	0.5675675675675675	0.4878048780487805	0.5714285714285714	0.6363636363636364	0.4782608695652174	0.5277777777777778	0.6285714285714286	0.5945945945945945	0.44999999999999996	0.4736842105263158	0.5454545454545454	0.5128205128205128	0.41463414634146345	0.4651162790697675	0.5476190476190477
Independent Report on the Health NY Program for Calendar Year 2010	0.6333333333333333	0.5555555555555556	0.6	0.6153846153846154	0.5161290322580645	0.6060606060606061	0.6	0.6052631578947368	0.16000000000000003	0.6578947368421053	0.5666666666666667	0.6470588235294117	0.6585365853658536	0.6304347826086957	0.7073170731707317	0.6875	0.6470588235294117	0.6774193548387097	0.6363636363636364	0.4722222222222222	0.6216216216216216	0.7045454545454546	0.5833333333333333	0.5853658536585367	0.5609756097560976	0.5789473684210527
Reinsurance attachment point estimates	0.5454545454545454	0.5666666666666667	0.5185185185185186	0.6764705882352942	0.31818181818181823	0.31818181818181823	0.5757575757575757	0.5806451612903225	0.5769230769230769	0.6	0.4545454545454546	0.3913043478260869	0.6857142857142857	0.65	0.5806451612903225	0.6829268292682926	0.45833333333333337	0.5454545454545454	0.36363636363636365	0.6060606060606061	0.5517241379310345	0.6285714285714286	0.5517241379310345	0.5588235294117647	0.6486486486486487	0.5483870967741935
The Value of Health Insurance: Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills	0.5882352941176471	0.525	0.4	0.6444444444444444	0.3939393939393939	0.5277777777777778	0.03125	0.42105263157894735	0.5277777777777778	0.5853658536585367	0.5294117647058824	0.5675675675675675	0.5581395348837209	0.4444444444444444	0.5714285714285714	0.5106382978723405	0.5277777777777778	0.5882352941176471	0.5142857142857142	0.44999999999999996	0.55	0.4390243902439024	0.5128205128205128	0.41463414634146345	0.4651162790697675	0.5476190476190477
