	Expected Upfront and Ongoing Compliance Costs, Nationwide, Per Facility and Per Inmate Upfront Ongoing Prisons,	Justification Analysis This Part analyzes the cost justification of the proposed standards. First, we conduct a breakeven analysis to demonstrate that the costs of PREA compliance are justified by the anticipated benefits. Given that the proposed PREA standards are expected to cost the correctional community approximately $213 million in startup costs, and that the monetary benefit of a 1% reduction in the 62/ Comments of the Institute for Policy Integrity,	(9:45am)) Department of Justice NPRM for PREA Standards Page 60 of 65 Initial Regulatory Impact Analysis (Draft Dated January 24, 2011 (9:45am)) Department of Justice NPRM for PREA Standards Page 63 of 65 the Departmentâ€™s internal assessment, based on analyses conducted by Booz Allen, of the total projected upfront and ongoing costs of the Commissionâ€™s recommended standards, as compared to the Departmentâ€™s proposals:	Initial Regulatory Impact Analysis (Draft Dated
Little Sympathy or Remedy for Inmates Who Are Raped	0.61	0.61	0.5900000000000001	0.6
Prison Madness: The Mental Health Crisis Behind Bars and What We Must Do About It	0.62	0.56	0.5700000000000001	0.6
Retaking Rationality: How Cost-Benefit Analysis can Beter Protect the Environment and our Health	0.61	0.5700000000000001	0.5800000000000001	0.56
The Female Fear: The Social Cost of Rape	0.63	0.5	0.63	0.63
2004 Survey of Local Jails	0.7	0.6599999999999999	0.62	0.6599999999999999
2005 National Survey of State Court Prosecutors	0.62	0.5800000000000001	0.5800000000000001	0.6599999999999999
2008 Census of State and Local Law Enforcement Agencies	0.6	0.5900000000000001	0.5700000000000001	0.6599999999999999
BJS Juv. NSYC 2008-09, at 1-2, 15-16	0.75	0.75	0.73	0.78
Bulletin: HIV in Prisons	0.5	0.63	0.6699999999999999	0.6699999999999999
Comments on PREA Standards	0.5800000000000001	0.35	0.31000000000000005	0.7
Cost of Sexual Violence in Minnesota	0.5900000000000001	0.53	0.56	0.7
Mortality in Local Jails 2000-2007, table 4	0.6599999999999999	0.63	0.63	0.6699999999999999
Prison Rape Elimination Action, Cost Impact Analysis	0.5800000000000001	0.5800000000000001	0.49	0.49
Prisoners in 2008, table 3	0.62	0.6599999999999999	0.62	0.74
Reentry Trends in the United States	0.6	0.52	0.55	0.63
Sexual Violence Reported by Correctional Authorities 2004	0.64	0.55	0.5800000000000001	0.62
Sexual Violence Reported by Juvenile Correctional Authorities 2005-06	0.6599999999999999	0.56	0.6	0.6599999999999999
Special Report: State Prison Expenditures	0.5700000000000001	0.61	0.5900000000000001	0.61
Table 1: percent distribution of expenditure for the justice system by type of government, fiscal year 2007	0.63	0.5800000000000001	0.6	0.64
Victim Costs and Consequences: A New Look	0.5900000000000001	0.61	0.52	0.69
Direct Expenditures by Criminal Justice Function, 1982-2006 in Justice Expenditure and Employment Extracts	0.63	0.62	0.63	0.6599999999999999
History of CPI-U U.S. All Items Indexes	0.6699999999999999	0.65	0.62	0.6699999999999999
Jail Inmates at Midyear 2008 Ð Statistical Tables, Table 4	0.63	0.61	0.0	0.64
Sexual Victimization in Juvenile Facilities Reported by Youth, 2008-09	0.5900000000000001	0.62	0.63	0.62
Sexual Victimization in Prisons and Jails Reported by Inmates, 2008-09	0.5900000000000001	0.5800000000000001	0.5900000000000001	0.62
Sexual Violence Reported by Correctional Authorities 2006	0.64	0.55	0.5800000000000001	0.62
The Department of Justice's Efforts to Prevent Staff Sexual Abuse of Federal Inmates	0.5800000000000001	0.5800000000000001	0.48	0.64
42 U.S.C. ¤ 15607(a)(2)	0.83	0.79	0.0	0.79
42 U.S.C. ¤ 15601(2)	0.8	0.75	0.0	0.8
75 Fed. Reg. 11077	0.78	0.6699999999999999	0.6699999999999999	0.78
EO 12866, ¤ 3(f)	0.75	0.75	0.0	0.75
The Impact of Prisoner Sexual Violence: Challenges of Implementing Public Law 108-79 The Prison Rape Elimination Act of 2003	0.62	0.63	0.63	0.64
The Rape Tax: Tangible and Intangible Costs of Sexual Violence	0.5900000000000001	0.5700000000000001	0.55	0.64
Cost-Benefit Analysis for Crime Prevention: Opportunity Costs, Routine Savings, and Crime Externalities	0.6	0.5900000000000001	0.61	0.64
Willingness-to-Pay for Crime Control Programs	0.56	0.65	0.6	0.69
