	Employee Benefits Security Administration, Attn: Participant Fee Disclosure Project, Room N–5655, U.S. Department of Labor, 200 Constitution Avenue,	Office of Regulations and Interpretations, Employee Benefits Security Administration, (202) 693– 1. The authority citation for part 2550 continues to read as follows: Authority: 29 U.S.C.	Stat.38; and Secretary of Labor’s Order No. 1–2003, 68 FR	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sections 2550.404c–1 and 2550.404c– 5 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR, 1978 Comp. p. 332, effective Dec. 31, 1978, 44 FR	Add § 2550.404a–5 to read as Exchange Commission Form N–1A with respect to an open-end management investment company registered under the Investment Company Act of	(3) Total annual operating expenses means annual operating expenses of the designated investment alternative (e.g., investment management fees, distribution, service, and administrative Exchange Commission Form N–1A with respect to an open-end management investment company registered under the Investment Company Act of	(4) At least annually thereafter means at least once in any 12-month period, Signed at Washington, DC, this 15th day of
Employee Welfare and Pension Benefit Plans' Working Group on Fee and Related Disclosures to Participants	0.48888888888888893	0.5800000000000001	0.6818181818181819	0.6	0.5714285714285714	0.5777777777777777	0.5652173913043479	0.5
Mutual Funds: Information on Trends in Fees and Their Related Disclosure	0.5681818181818181	0.5652173913043479	0.675	0.6216216216216216	0.6170212765957447	0.5952380952380952	0.5476190476190477	0.5526315789473684
November 2007 President's Economic Forecast for 2008	0.5116279069767442	0.6862745098039216	0.5405405405405406	0.5555555555555556	0.5	0.5365853658536586	0.5909090909090908	0.6666666666666667
Private Pensions: Changes Needed to Provide 01(k) Plan Participants and the Department of Labor Better Information on Fees	0.44680851063829785	0.5098039215686274	0.6304347826086957	0.5813953488372092	0.4375	0.5	0.4222222222222223	0.4883720930232558
Fees Revenue Sharing in Defined Contribution Retirement Plans 	0.47619047619047616	0.6041666666666667	0.65	0.5142857142857142	0.4651162790697675	0.5714285714285714	0.5238095238095238	0.4864864864864865
2000 Small Employer Retirement Survey	0.525	0.5909090909090908	0.6756756756756757	0.5757575757575757	0.6136363636363636	0.5897435897435898	0.6428571428571428	0.5833333333333333
2001 Small Employer Retirement Survey	0.5365853658536586	0.5681818181818181	0.6486486486486487	0.5454545454545454	0.5909090909090908	0.5641025641025641	0.6190476190476191	0.5555555555555556
2002 Small Employer Retirement Survey	0.525	0.5909090909090908	0.6756756756756757	0.5757575757575757	0.6136363636363636	0.5897435897435898	0.6428571428571428	0.5833333333333333
Employee Benefit Research Institute Issue Brief #292	0.5454545454545454	0.4772727272727273	0.6829268292682926	0.631578947368421	0.625	0.5365853658536586	0.5581395348837209	0.5263157894736843
Employment Cost Index	0.6904761904761905	0.6818181818181819	0.7837837837837838	0.7714285714285715	0.7608695652173914	0.6216216216216216	0.6052631578947368	0.6571428571428571
Invest Wisely: An Introduction to Mutual Funds	0.5813953488372092	0.6382978723404256	0.6923076923076923	0.6388888888888888	0.6875	0.575	0.5609756097560976	0.5675675675675675
National Occupational Employment Survey	0.5609756097560976	0.6222222222222222	0.6756756756756757	0.6176470588235294	0.6444444444444444	0.5897435897435898	0.575	0.5833333333333333
Portfolio Transactions Costs at U.S. Equity Mutual Funds	0.5116279069767442	0.574468085106383	0.65	0.5945945945945945	0.5957446808510638	0.6046511627906976	0.5581395348837209	0.6
Survey of Income Program Participation	0.5952380952380952	0.6222222222222222	0.7105263157894737	0.6176470588235294	0.6136363636363636	0.5526315789473684	0.575	0.5428571428571429
The Economics of Providing 401(k) Plans: Services, Fees and Expenses 2006	0.5102040816326531	0.44897959183673475	0.6304347826086957	0.5476190476190477	0.4693877551020408	0.5	0.4565217391304348	0.45238095238095233
29 CFR 2550.404c-1	0.7954545454545454	0.782608695652174	0.7714285714285715	0.71875	0.7209302325581395	0.7105263157894737	0.8409090909090909	0.7837837837837838
72 FR 20457	0.8571428571428572	0.8913043478260869	0.8484848484848485	0.8	0.8095238095238095	0.8421052631578947	0.9545454545454546	0.8888888888888888
72 FR 67790	0.8571428571428572	0.8666666666666667	0.8125	0.875	0.8372093023255813	0.9	0.9545454545454546	0.9473684210526316
Estimating the Costs of Leisure Time for Recreation Demand Models	0.5454545454545454	0.5434782608695652	0.6829268292682926	0.5945945945945945	0.5957446808510638	0.5714285714285714	0.5238095238095238	0.4864864864864865
Are Investors Rational? Choices Among Index Funds	0.5777777777777777	0.574468085106383	0.7142857142857143	0.5945945945945945	0.5957446808510638	0.46153846153846156	0.44999999999999996	0.5263157894736843
Out of Sight, Out of Mind, The Effects of Expenses on Mutual Fund Flows	0.6170212765957447	0.5217391304347826	0.6585365853658536	0.6052631578947368	0.6326530612244898	0.5476190476190477	0.46341463414634143	0.5384615384615384
Why Does the Law of One Price Fail? An Experiment on Index Mutual Funds	0.5208333333333333	0.5490196078431373	0.6739130434782609	0.6888888888888889	0.6481481481481481	0.4772727272727273	0.4666666666666667	0.5
