	Employee Benefits Security Administration, Attn: Participant Fee Disclosure Project, Room N–5655, U.S. Department of Labor, 200 Constitution Avenue,	Office of Regulations and Interpretations, Employee Benefits Security Administration, (202) 693– 1. The authority citation for part 2550 continues to read as follows: Authority: 29 U.S.C.	Stat.38; and Secretary of Labor’s Order No. 1–2003, 68 FR	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sections 2550.404c–1 and 2550.404c– 5 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR, 1978 Comp. p. 332, effective Dec. 31, 1978, 44 FR	Add § 2550.404a–5 to read as Exchange Commission Form N–1A with respect to an open-end management investment company registered under the Investment Company Act of	(3) Total annual operating expenses means annual operating expenses of the designated investment alternative (e.g., investment management fees, distribution, service, and administrative Exchange Commission Form N–1A with respect to an open-end management investment company registered under the Investment Company Act of	(4) At least annually thereafter means at least once in any 12-month period, Signed at Washington, DC, this 15th day of
Employee Welfare and Pension Benefit Plans' Working Group on Fee and Related Disclosures to Participants	0.32352941176470584	0.4084507042253521	0.5172413793103448	0.4285714285714286	0.4	0.40625	0.3939393939393939	0.33333333333333337
Mutual Funds: Information on Trends in Fees and Their Related Disclosure	0.39682539682539686	0.3939393939393939	0.5094339622641509	0.4509803921568627	0.4461538461538461	0.423728813559322	0.3770491803278688	0.38181818181818183
November 2007 President's Economic Forecast for 2008	0.34375	0.5223880597014925	0.37037037037037035	0.3846153846153846	0.33333333333333337	0.3666666666666667	0.4193548387096774	0.5
Private Pensions: Changes Needed to Provide 01(k) Plan Participants and the Department of Labor Better Information on Fees	0.28767123287671237	0.3421052631578947	0.46031746031746035	0.4098360655737705	0.28	0.33333333333333337	0.2676056338028169	0.32307692307692304
Fees Revenue Sharing in Defined Contribution Retirement Plans 	0.3125	0.4328358208955224	0.4814814814814815	0.34615384615384615	0.303030303030303	0.4	0.3548387096774194	0.3214285714285714
2000 Small Employer Retirement Survey	0.35593220338983056	0.4193548387096774	0.5102040816326531	0.4042553191489362	0.4426229508196722	0.4181818181818182	0.4736842105263158	0.4117647058823529
2001 Small Employer Retirement Survey	0.3666666666666667	0.39682539682539686	0.48	0.375	0.4193548387096774	0.3928571428571429	0.4482758620689655	0.3846153846153846
2002 Small Employer Retirement Survey	0.35593220338983056	0.4193548387096774	0.5102040816326531	0.4042553191489362	0.4426229508196722	0.4181818181818182	0.4736842105263158	0.4117647058823529
Employee Benefit Research Institute Issue Brief #292	0.375	0.31343283582089554	0.5185185185185186	0.46153846153846156	0.4545454545454546	0.3666666666666667	0.3870967741935484	0.3571428571428571
Employment Cost Index	0.5272727272727273	0.5172413793103448	0.6444444444444444	0.627906976744186	0.6140350877192983	0.4509803921568627	0.4339622641509434	0.4893617021276596
Invest Wisely: An Introduction to Mutual Funds	0.4098360655737705	0.46875	0.5294117647058824	0.4693877551020408	0.5238095238095238	0.4035087719298246	0.38983050847457623	0.39622641509433965
National Occupational Employment Survey	0.38983050847457623	0.4516129032258065	0.5102040816326531	0.44680851063829785	0.47540983606557374	0.4181818181818182	0.4035087719298246	0.4117647058823529
Portfolio Transactions Costs at U.S. Equity Mutual Funds	0.34375	0.4029850746268657	0.4814814814814815	0.42307692307692313	0.4242424242424242	0.43333333333333335	0.3870967741935484	0.4285714285714286
Survey of Income Program Participation	0.423728813559322	0.4516129032258065	0.5510204081632653	0.44680851063829785	0.4426229508196722	0.38181818181818183	0.4035087719298246	0.37254901960784315
The Economics of Providing 401(k) Plans: Services, Fees and Expenses 2006	0.34246575342465757	0.2894736842105263	0.46031746031746035	0.3770491803278688	0.30666666666666664	0.33333333333333337	0.295774647887324	0.29230769230769227
29 CFR 2550.404c-1	0.6603773584905661	0.6428571428571428	0.627906976744186	0.5609756097560976	0.5636363636363637	0.5510204081632653	0.7254901960784313	0.6444444444444444
72 FR 20457	0.75	0.803921568627451	0.736842105263158	0.6666666666666667	0.6799999999999999	0.7272727272727273	0.9130434782608696	0.8
72 FR 67790	0.75	0.7647058823529411	0.6842105263157895	0.7777777777777778	0.72	0.8181818181818181	0.9130434782608696	0.9
Estimating the Costs of Leisure Time for Recreation Demand Models	0.375	0.3731343283582089	0.5185185185185186	0.42307692307692313	0.4242424242424242	0.4	0.3548387096774194	0.3214285714285714
Are Investors Rational? Choices Among Index Funds	0.40625	0.4029850746268657	0.5555555555555556	0.42307692307692313	0.4242424242424242	0.30000000000000004	0.29032258064516125	0.3571428571428571
Out of Sight, Out of Mind, The Effects of Expenses on Mutual Fund Flows	0.4461538461538461	0.3529411764705882	0.49090909090909096	0.4339622641509434	0.4626865671641791	0.3770491803278688	0.3015873015873016	0.368421052631579
Why Does the Law of One Price Fail? An Experiment on Index Mutual Funds	0.352112676056338	0.3783783783783784	0.5081967213114754	0.5254237288135593	0.4794520547945206	0.31343283582089554	0.30434782608695654	0.33333333333333337
