	The Behavioral Economics of Retirement Savings Behavior, AARP Public Policy Institute White Paper	The Effects of Expenses on Mutual Fund Flows,	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,656,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 8,398,000 hours in the first year; 5,776,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,541,000 for the first year; $493,242,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and 1. The authority citation for part 2550 is revised to read as follows:	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sec. 2550.404c–1 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR, 1978 Comp. p. 332, effective Dec. 31, 1978, 44 FR	Add § 2550.408g–1 to read as follows:	Section 408(g)(1) of the Employee Retirement Income Security Advice Exemption Notification— Statutory, U.S. Department of Labor, Employee Benefits Security Administration, Room N–1513, 200 Constitution Ave.,	For purposes of paragraph (j)(6)(i) Signed at Washington, DC, this 15th day of August,
Recent Changes in U.S. Family Finances: Evidence from the 2001 and 2004 Survey of Consumer Finances	0.3114754098360656	0.42307692307692313	0.29268292682926833	0.21621621621621623	0.288135593220339	0.28	0.37037037037037035	0.24675324675324672	0.3666666666666667
Investor and Industry Perspectives on Investment Advisers and Broker-Dealers	0.2592592592592593	0.4666666666666667	0.4666666666666667	0.4029850746268657	0.46153846153846156	0.47058823529411764	0.574468085106383	0.4	0.4339622641509434
Quantitative Analysis of Investor Behavior 2007	0.3076923076923077	0.4883720930232558	0.452054794520548	0.4461538461538461	0.48	0.5151515151515151	0.4666666666666667	0.4117647058823529	0.4509803921568627
The Behavioral Economics of Retirement Savings Behavior	0.17647058823529416	0.38095238095238093	0.4722222222222222	0.375	0.4285714285714286	0.4769230769230769	0.5454545454545454	0.4029850746268657	0.48
2007 Retirement Confidence Survey	0.4	0.5609756097560976	0.49295774647887325	0.39682539682539686	0.41666666666666663	0.40625	0.5813953488372092	0.4242424242424242	0.4693877551020408
2008 Retirement Confidence Survey	0.4	0.5609756097560976	0.49295774647887325	0.39682539682539686	0.41666666666666663	0.40625	0.5348837209302326	0.3939393939393939	0.4693877551020408
50th Annual Survey of Profit Sharing and 401(k) Plans 	0.33333333333333337	0.5	0.4358974358974359	0.34285714285714286	0.3090909090909091	0.352112676056338	0.36	0.31506849315068497	0.25
An Analysis of Investment Advice to Retirement Plan Participants	0.21568627450980393	0.4285714285714286	0.4444444444444444	0.375	0.4285714285714286	0.4461538461538461	0.5	0.4029850746268657	0.43999999999999995
Annual 401(k) Benchmarking Survey 2005/2006 Edition	0.34426229508196726	0.5384615384615384	0.3902439024390244	0.3513513513513513	0.35593220338983056	0.36	0.4444444444444444	0.2727272727272727	0.33333333333333337
Are Mutual Fund Fees Competitive? What IQ-Related Behavior Tells Us	0.288135593220339	0.4	0.4	0.41666666666666663	0.543859649122807	0.4794520547945206	0.6153846153846154	0.41333333333333333	0.4137931034482759
