	Office of the General Counsel, Consumer Product Safety Commission, 4330 East West Highway, and Interpretations, Employee Benefits Security Administration, Attn: Definition of Fiduciary Proposed Rule, Room N–5655, U.S. Department of Labor, 200 Constitution Avenue, NW., Washington, DC 20210. All comments will be available to the public, without charge, online at http:// www.regulations.gov and http:// www.dol.gov/ebsa and at the Public Disclosure Room, N–1513, Employee Benefits Security Administration, U.S. 1. The authority citation for part 2510 is revised to read as follows: Authority:	revise paragraph (c) (4) Internal Revenue Code.	2010–26236 Filed 10–21–10; 8:45 am] Corps of Engineers, Department of the Army 33 CFR Part 334 Pamlico Sound and Adjacent Waters, NC; Danger Zones for Marine Corps Operations AGENCY: U.S. Army Corps of Engineers, DoD. ACTION: Notice of proposed rulemaking and request for comments. SUMMARY: The U.S. Army Corps of Engineers (Corps) is proposing to amend its regulations to establish one new danger zone in Pamlico Sound near Marine Corps Air Station Cherry Point, North Carolina. Establishment of this Federal eRulemaking Portal: http:// www.regulations.gov. Follow the instructions for submitting comments.	Include the docket number COE–2010–0037 in the subject line of the message.	Army Corps of Engineers, Attn: CECW–CO	Pursuant to its authorities	1) and Chapter XIX of the Army Appropriations Act of 1919 (40 Stat. 892; 33 U.S.C. 3), the Corps proposes to amend the regulations in 33 CFR part 334 by adding § 334.420 (b)(1)(v) to establish an Intermittent Danger Zone abutting the existing 1.8 Bombing Target-11 Range. Procedural Requirements a. Review Under Executive Order 12866. This proposed rule is issued with respect to a military function of the Defense Department and the provisions of Executive Order 12866 do not apply. b. Review Under the Regulatory Flexibility Act. This proposed rule has been reviewed under the Regulatory Flexibility Act (Pub.
Conflicts of Interest Involving High Risk of Terminated Plans Pose Enforcement Challenges, Defined Benefit Pension Report	0.4716981132075472	0.4411764705882353	0.5714285714285714	0.5	0.5714285714285714	0.6333333333333333	0.5178571428571428
Private Pension Plan Bulletin Historical Tables and Graphs	0.5769230769230769	0.4666666666666667	0.6825396825396826	0.6052631578947368	0.7352941176470589	0.4545454545454546	0.6428571428571428
Staff Report Concerning Examination of Select Pension Consultants	0.6037735849056604	0.4666666666666667	0.6612903225806452	0.5277777777777778	0.5172413793103448	0.5217391304347826	0.5925925925925926
U.S. SEC, Protecting Senior Investors: Report of Examinations of Securities Firms Providing ��Free Lunch�� Sales Seminar	1.0	0.43243243243243246	1.0	1.0	1.0	0.6470588235294117	1.0
nan	0.9615384615384616	0.9166666666666666	0.9672131147540983	0.935483870967742	0.9545454545454546	0.8333333333333334	0.962962962962963
Conflicts of Interest Can Affect Defined Benefit and Defined Contribution Plans	0.5961538461538461	0.5	0.6774193548387097	0.5142857142857142	0.6451612903225806	0.5	0.6111111111111112
Investor Timing and Fund Distribution Channels	0.5769230769230769	0.4137931034482759	0.639344262295082	0.48571428571428577	0.65625	0.5217391304347826	0.5925925925925926
The Role of Brokers and Financial Advisors Behind Investment Into Load Funds	0.5471698113207547	0.46875	0.6349206349206349	0.5263157894736843	0.6857142857142857	0.5769230769230769	0.5892857142857143
nan	0.9615384615384616	0.9166666666666666	0.9672131147540983	0.935483870967742	0.9545454545454546	0.8333333333333334	0.962962962962963
nan	0.9615384615384616	0.9166666666666666	0.9672131147540983	0.935483870967742	0.9545454545454546	0.8333333333333334	0.962962962962963
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industry	0.6111111111111112	0.4838709677419355	0.6451612903225806	0.5	0.5806451612903225	0.5416666666666667	0.625
