	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,789,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 16,126,000 hours in the first year; 13,504,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,552,000 for the first year; $493,253,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and Labor’s Order No.	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sections 2550.404c–1 and 2550.404c– 5 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No.	2550.408g–1 also issued under sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR,	For purposes of paragraph (c)(6)(i) retirement ages, life expectancies, income levels, financial resources, replacement income ratios, inflation VerDate Nov<24>2008	Add § 2550.408g–2 to read as follows:	Section 408(g)(11)(A) of the Employee Retirement Income accordance with 29 CFR 2550.408g– 1(b)(5); and (v) Is maintained in accordance with 29 CFR 2550.408g–1(e).	this 9th day of January,
Field Assistance Bulletin 2007�1	1.0	1.0	1.0	1.0	1.0	0.8780487804878049	1.0	1.0	0.875
Protecting Senior Investors: Report of Examinations of Securities Firms Providing ��Free Lunch�� Sales Seminar	1.0	1.0	1.0	1.0	1.0	0.7987804878048781	1.0	1.0	0.8727272727272727
"Technical Explanation Of H.R. 4, The ""Pension Protection Act Of 2006,"" As Passed By The House On July 28, 2006, And As Considered By The Senate On August 3, 2006"	0.8257080610021786	0.7969543147208121	0.8198757763975155	0.8181818181818182	0.8198757763975155	0.8597560975609756	0.8944099378881988	0.8580246913580247	0.9006211180124224
The Division of Investment Management: Report on Mutual Fund Fees and Expenses	0.8823529411764706	0.766497461928934	0.8589743589743589	0.8898071625344353	0.8641975308641975	0.8109756097560976	0.8333333333333334	0.808641975308642	0.8333333333333334
Floor Statement of Senate Health, Education, Labor and Pensions Committee Chairman Enzi	0.8671023965141612	0.7563451776649747	0.8275862068965517	0.8842975206611571	0.8390804597701149	0.7682926829268293	0.8505747126436781	0.8024691358024691	0.8505747126436781
Advertising and Portfolio Choice	0.9389978213507625	0.8883248730964467	0.8382352941176471	0.9393939393939394	0.8271604938271605	0.8780487804878049	0.8108108108108109	0.8950617283950617	0.84375
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industr	0.8801742919389978	0.7969543147208121	0.9	0.8815426997245179	0.8148148148148148	0.8109756097560976	0.8285714285714286	0.8209876543209876	0.8285714285714286
Competition in the Mutual Fund Industry: Evidence and Implications for Policy	0.8823529411764706	0.8071065989847716	0.7922077922077922	0.8925619834710744	0.8641975308641975	0.7865853658536586	0.8051948051948052	0.8271604938271605	0.8311688311688312
Fees and Expenses of Mutual Funds	0.9389978213507625	0.8730964467005076	0.8088235294117647	0.931129476584022	0.8518518518518519	0.8658536585365854	0.8648648648648649	0.9012345679012346	0.7272727272727273
Financial Advice and Individual Investors� Portfolios	1.0	1.0	1.0	1.0	1.0	0.8292682926829268	1.0	1.0	0.8490566037735849
