	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,789,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 16,126,000 hours in the first year; 13,504,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,552,000 for the first year; $493,253,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and Labor’s Order No.	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sections 2550.404c–1 and 2550.404c– 5 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No.	2550.408g–1 also issued under sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR,	For purposes of paragraph (c)(6)(i) retirement ages, life expectancies, income levels, financial resources, replacement income ratios, inflation VerDate Nov<24>2008	Add § 2550.408g–2 to read as follows:	Section 408(g)(11)(A) of the Employee Retirement Income accordance with 29 CFR 2550.408g– 1(b)(5); and (v) Is maintained in accordance with 29 CFR 2550.408g–1(e).	this 9th day of January,
Field Assistance Bulletin 2007�1	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.75
Protecting Senior Investors: Report of Examinations of Securities Firms Providing ��Free Lunch�� Sales Seminar	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.5900000000000001
"Technical Explanation Of H.R. 4, The ""Pension Protection Act Of 2006,"" As Passed By The House On July 28, 2006, And As Considered By The Senate On August 3, 2006"	0.64	0.64	0.64	0.6599999999999999	0.6699999999999999	0.69	0.63	0.6799999999999999	0.63
The Division of Investment Management: Report on Mutual Fund Fees and Expenses	0.5900000000000001	0.5700000000000001	0.6699999999999999	0.7	0.69	0.61	0.73	0.6599999999999999	0.6699999999999999
Floor Statement of Senate Health, Education, Labor and Pensions Committee Chairman Enzi	0.6	0.53	0.6799999999999999	0.6799999999999999	0.7	0.63	0.71	0.63	0.5900000000000001
Advertising and Portfolio Choice	0.6	0.5700000000000001	0.63	0.69	0.63	0.6	0.69	0.6	0.63
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industr	0.6	0.5900000000000001	0.69	0.6799999999999999	0.7	0.65	0.65	0.6599999999999999	0.5900000000000001
Competition in the Mutual Fund Industry: Evidence and Implications for Policy	0.63	0.62	0.62	0.6699999999999999	0.6699999999999999	0.63	0.71	0.64	0.63
Fees and Expenses of Mutual Funds	0.55	0.61	0.6699999999999999	0.64	0.6699999999999999	0.5800000000000001	0.73	0.6699999999999999	0.6699999999999999
Financial Advice and Individual Investors� Portfolios	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.71
