	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,789,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 16,126,000 hours in the first year; 13,504,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,552,000 for the first year; $493,253,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and Labor’s Order No.	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sections 2550.404c–1 and 2550.404c– 5 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No.	2550.408g–1 also issued under sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR,	For purposes of paragraph (c)(6)(i) retirement ages, life expectancies, income levels, financial resources, replacement income ratios, inflation VerDate Nov<24>2008	Add § 2550.408g–2 to read as follows:	Section 408(g)(11)(A) of the Employee Retirement Income accordance with 29 CFR 2550.408g– 1(b)(5); and (v) Is maintained in accordance with 29 CFR 2550.408g–1(e).	this 9th day of January,
Field Assistance Bulletin 2007�1	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	0.5428571428571429
Protecting Senior Investors: Report of Examinations of Securities Firms Providing ��Free Lunch�� Sales Seminar	1.0	1.0	1.0	1.0	1.0	0.3650793650793651	1.0	1.0	0.4782608695652174
"Technical Explanation Of H.R. 4, The ""Pension Protection Act Of 2006,"" As Passed By The House On July 28, 2006, And As Considered By The Senate On August 3, 2006"	0.24444444444444446	0.28395061728395066	0.34328358208955223	0.3246753246753247	0.3055555555555556	0.36111111111111116	0.4426229508196722	0.31645569620253167	0.4545454545454546
The Division of Investment Management: Report on Mutual Fund Fees and Expenses	0.41025641025641024	0.33333333333333337	0.49090909090909096	0.5692307692307692	0.4666666666666667	0.33333333333333337	0.5102040816326531	0.3731343283582089	0.4418604651162791
Floor Statement of Senate Health, Education, Labor and Pensions Committee Chairman Enzi	0.4025974025974026	0.2941176470588235	0.33333333333333337	0.375	0.35593220338983056	0.423728813559322	0.5833333333333333	0.3939393939393939	0.38095238095238093
Advertising and Portfolio Choice	0.48571428571428577	0.4098360655737705	0.4042553191489362	0.4736842105263158	0.3846153846153846	0.42307692307692313	0.41463414634146345	0.38983050847457623	0.37142857142857144
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industr	0.452054794520548	0.40625	0.48	0.5333333333333333	0.4181818181818182	0.4545454545454546	0.4545454545454546	0.4193548387096774	0.368421052631579
Competition in the Mutual Fund Industry: Evidence and Implications for Policy	0.37662337662337664	0.2941176470588235	0.4814814814814815	0.53125	0.423728813559322	0.38983050847457623	0.5416666666666667	0.33333333333333337	0.38095238095238093
Fees and Expenses of Mutual Funds	0.582089552238806	0.48275862068965514	0.5454545454545454	0.6296296296296297	0.5102040816326531	0.4693877551020408	0.5263157894736843	0.5357142857142857	0.4375
Financial Advice and Individual Investors� Portfolios	1.0	1.0	1.0	1.0	1.0	0.4339622641509434	1.0	1.0	0.38888888888888884
Identification and Performance of Equity Mutual Funds with High Management Fees and Expense Ratios	0.32499999999999996	0.2676056338028169	0.4385964912280702	0.5223880597014925	0.4193548387096774	0.3870967741935484	0.5294117647058824	0.33333333333333337	0.4222222222222223
Investor Timing and Fund Distribution Channels	0.452054794520548	0.375	0.43999999999999995	0.5	0.4545454545454546	0.38181818181818183	0.5454545454545454	0.3870967741935484	0.42105263157894735
Performance and Characteristics of Actively Managed Retail Equity Mutual Funds with Diverse Expense Ratios	0.3414634146341463	0.26027397260273977	0.4576271186440678	0.5072463768115942	0.40625	0.34375	0.5094339622641509	0.295774647887324	0.44680851063829785
Ranking Mutual Fund Families: Minimum Expenses and Maximum Loads as Markers for Moral Turpitude	0.4473684210526315	0.34328358208955223	0.4716981132075472	0.5238095238095238	0.4482758620689655	0.4137931034482759	0.4893617021276596	0.4461538461538461	0.46341463414634143
Search Costs and Mutual Fund Fee Dispersion	0.5211267605633803	0.4193548387096774	0.41666666666666663	0.48275862068965514	0.4339622641509434	0.39622641509433965	0.5714285714285714	0.43333333333333335	0.38888888888888884
The Cost of Active Investing	0.5522388059701493	0.5172413793103448	0.5909090909090908	0.6296296296296297	0.5510204081632653	0.5102040816326531	0.5789473684210527	0.4642857142857143	0.5
The Economics of Mutual-Fund Brokerage: Evidence from the Cross Section of Investment Channels	0.4	0.323943661971831	0.4736842105263158	0.5223880597014925	0.4516129032258065	0.4193548387096774	0.5294117647058824	0.3623188405797102	0.4666666666666667
The Influence of Financial Advice on Individual Investor Portfolio Performance	0.4246575342465754	0.375	0.43999999999999995	0.5333333333333333	0.4181818181818182	0.38181818181818183	0.5	0.3870967741935484	0.368421052631579
The Use and Abuse of Mutual Fund Expenses	0.4722222222222222	0.46031746031746035	0.5510204081632653	0.5932203389830508	0.5555555555555556	0.4814814814814815	0.5348837209302326	0.47540983606557374	0.45945945945945943
Yet Another Puzzle? Relation Between Price and Performance in the Mutual Fund Industry	0.3924050632911392	0.4	0.4285714285714286	0.5151515151515151	0.4098360655737705	0.47540983606557374	0.52	0.38235294117647056	0.40909090909090906
Are Mutual Fund Fees Competitive? What IQ-Related Behavior Tells Us	0.4	0.43661971830985913	0.543859649122807	0.5522388059701493	0.5161290322580645	0.4838709677419355	0.607843137254902	0.42028985507246375	0.5111111111111111
Financial Literacy and Mutual Fund Investments: Who Buys Actively Managed Funds	0.4025974025974026	0.38235294117647056	0.4814814814814815	0.53125	0.4915254237288136	0.423728813559322	0.5	0.3939393939393939	0.4285714285714286
Investment Returns: Defined Benefits vs. 401(k) Plans	0.4358974358974359	0.42028985507246375	0.38181818181818183	0.41538461538461535	0.4	0.4	0.4693877551020408	0.3731343283582089	0.5348837209302326
