	The Behavioral Economics of Retirement Savings Behavior, AARP Public Policy Institute White Paper	The Effects of Expenses on Mutual Fund Flows,	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,656,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 8,398,000 hours in the first year; 5,776,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,541,000 for the first year; $493,242,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and 1. The authority citation for part 2550 is revised to read as follows:	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sec. 2550.404c–1 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR, 1978 Comp. p. 332, effective Dec. 31, 1978, 44 FR	Add § 2550.408g–1 to read as follows:	Section 408(g)(1) of the Employee Retirement Income Security Advice Exemption Notification— Statutory, U.S. Department of Labor, Employee Benefits Security Administration, Room N–1513, 200 Constitution Ave.,	For purposes of paragraph (j)(6)(i) Signed at Washington, DC, this 15th day of August,
Recent Changes in U.S. Family Finances: Evidence from the 2001 and 2004 Survey of Consumer Finances	0.475	0.5945945945945945	0.4528301886792453	0.3555555555555555	0.4473684210526315	0.4375	0.5405405405405406	0.39583333333333337	0.5365853658536586
Investor and Industry Perspectives on Investment Advisers and Broker-Dealers	0.4117647058823529	0.6363636363636364	0.6363636363636364	0.574468085106383	0.631578947368421	0.64	0.7297297297297297	0.5714285714285714	0.6052631578947368
Quantitative Analysis of Investor Behavior 2007	0.47058823529411764	0.65625	0.6226415094339622	0.6170212765957447	0.6486486486486487	0.6799999999999999	0.6363636363636364	0.5833333333333333	0.6216216216216216
The Behavioral Economics of Retirement Savings Behavior	0.30000000000000004	0.5517241379310345	0.6415094339622642	0.5454545454545454	0.6	0.6458333333333333	0.7058823529411764	0.574468085106383	0.6486486486486487
2007 Retirement Confidence Survey	0.5714285714285714	0.71875	0.6603773584905661	0.5681818181818181	0.5882352941176471	0.5777777777777777	0.7352941176470589	0.5957446808510638	0.6388888888888888
50th Annual Survey of Profit Sharing and 401(k) Plans 	0.5	0.6666666666666667	0.6071428571428572	0.5106382978723405	0.4722222222222222	0.5208333333333333	0.5294117647058824	0.47916666666666663	0.4
An Analysis of Investment Advice to Retirement Plan Participants	0.3548387096774194	0.6	0.6153846153846154	0.5454545454545454	0.6	0.6170212765957447	0.6666666666666667	0.574468085106383	0.6111111111111112
Annual 401(k) Benchmarking Survey 2005/2006 Edition	0.5121951219512195	0.7	0.5614035087719298	0.52	0.525	0.5294117647058824	0.6153846153846154	0.4285714285714286	0.5
Are Mutual Fund Fees Competitive? What IQ-Related Behavior Tells Us	0.4473684210526315	0.5714285714285714	0.5714285714285714	0.5882352941176471	0.7045454545454546	0.6481481481481481	0.7619047619047619	0.5849056603773585	0.5853658536585367
Asset Location for Retirement Savers, in Public Policies and Private Pensions	0.34375	0.5806451612903225	0.6296296296296297	0.5	0.4545454545454546	0.5111111111111111	0.6857142857142857	0.5319148936170213	0.5945945945945945
