	The Behavioral Economics of Retirement Savings Behavior, AARP Public Policy Institute White Paper	The Effects of Expenses on Mutual Fund Flows,	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,656,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 8,398,000 hours in the first year; 5,776,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,541,000 for the first year; $493,242,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and 1. The authority citation for part 2550 is revised to read as follows:	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sec. 2550.404c–1 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR, 1978 Comp. p. 332, effective Dec. 31, 1978, 44 FR	Add § 2550.408g–1 to read as follows:	Section 408(g)(1) of the Employee Retirement Income Security Advice Exemption Notification— Statutory, U.S. Department of Labor, Employee Benefits Security Administration, Room N–1513, 200 Constitution Ave.,	For purposes of paragraph (j)(6)(i) Signed at Washington, DC, this 15th day of August,
Recent Changes in U.S. Family Finances: Evidence from the 2001 and 2004 Survey of Consumer Finances	0.6599999999999999	0.65	0.5900000000000001	0.61	0.6699999999999999	0.65	0.63	0.63	0.6699999999999999
Investor and Industry Perspectives on Investment Advisers and Broker-Dealers	0.64	0.5800000000000001	0.62	0.54	0.65	0.7	0.73	0.64	0.7
Quantitative Analysis of Investor Behavior 2007	0.54	0.69	0.6	0.6	0.6599999999999999	0.6599999999999999	0.76	0.64	0.69
The Behavioral Economics of Retirement Savings Behavior	0.0	0.63	0.62	0.55	0.6799999999999999	0.73	0.73	0.55	0.6599999999999999
2007 Retirement Confidence Survey	0.52	0.6699999999999999	0.5800000000000001	0.5800000000000001	0.64	0.64	0.73	0.4	0.7
50th Annual Survey of Profit Sharing and 401(k) Plans 	0.63	0.6699999999999999	0.6	0.62	0.62	0.6699999999999999	0.71	0.63	0.6699999999999999
An Analysis of Investment Advice to Retirement Plan Participants	0.54	0.6699999999999999	0.5800000000000001	0.55	0.61	0.6799999999999999	0.71	0.5700000000000001	0.69
Annual 401(k) Benchmarking Survey 2005/2006 Edition	0.73	0.78	0.61	0.65	0.63	0.65	0.73	0.65	0.71
Are Mutual Fund Fees Competitive? What IQ-Related Behavior Tells Us	0.5900000000000001	0.65	0.62	0.63	0.6799999999999999	0.71	0.6799999999999999	0.65	0.6799999999999999
Asset Location for Retirement Savers, in Public Policies and Private Pensions	0.42000000000000004	0.63	0.62	0.54	0.6799999999999999	0.6799999999999999	0.71	0.56	0.6799999999999999
