	with Willemssen v. The Conveyor Co., 359 F.Supp.2d 813 (N.D. Iowa 2005). The proposal clarifies § 825.306 Content of medical certification. (a) Required information. An employer may require an employee to obtain a medical certification from a health care provider that sets forth the following information: (1) The name, address, telephone terminated.	(7) Records of any dispute between CFR 1630.14(c)(1)), except that: (1) Supervisors and managers may be informed regarding necessary restrictions on the work or duties of an employee and necessary accommodations; (2) First aid and safety personnel may be informed (when appropriate) if the employee’s physical or medical condition might require emergency treatment; and (3) Government officials investigating compliance with FMLA (or other pertinent law) shall be provided relevant information upon request. Subpart F—Special Rules Applicable to Employees of Schools § 825.600 Special rules for school employees, definitions. (a) Certain special rules apply to employees of ‘‘local educational agencies,’’ including public school boards and elementary and secondary schools under their jurisdiction, and private elementary and secondary schools. The special rules do not apply to other kinds of educational institutions, such as colleges and universities, trade schools, and preschools. (b) Educational institutions are covered by FMLA (and these special rules) and the Act’s 50-employee (See Subpart F of this part.) (b) [Reserved] § 825.702 Interaction with Federal and State anti-discrimination laws.	(a) Nothing in FMLA modifies or affects any Federal or State law prohibiting discrimination on the basis of race, religion, color, national origin, sex, age, or disability (e.g., Title VII of the Civil Rights Act of 1964, as amended by the Pregnancy Discrimination Act).	FMLA’s legislative history explains that FMLA is ‘‘not intended to modify or affect the Rehabilitation Act of 1973, as amended, the regulations concerning employment which have been 1,250 hours of employment. See § 825.110(b)(2)(i) and .110(c)(2). (h) For further information on Federal antidiscrimination laws, including Title VII and the ADA, individuals are encouraged to contact the nearest office of the U.S. Equal Employment Opportunity Commission. Subpart H—Definitions § 825.800 Definitions.	For purposes of this part: Act or FMLA means the Family and Medical Leave Act of 1993, Public Law 103–3	(ii) Continues over an extended period of time (including recurring episodes of a single underlying condition); and (iii) May cause episodic rather than a continuing period of incapacity (e.g., asthma, diabetes, epilepsy, etc.). (4) Permanent or long-term conditions. A period of incapacity States Code), excluding any Federal officer or employee covered under subchapter V of chapter 63 of Title 5, United States Code, (C) In any unit of the legislative or judicial branch of the Government which has positions in the competitive service, excluding any employee of the United States House of Representatives or the United States Senate who is covered by the Congressional Accountability Act of 1995, (D) In a nonappropriated fund instrumentality under the jurisdiction of the Armed Forces, or (ii) Any individual employed by the United States Postal Service or the Postal Regulatory Commission; and (iii) Any individual employed by a State, political subdivision of a State,
A Workable Balance: Report to Congress on Family and Medical Leave Policies	0.5384615384615384	0.5806451612903225	0.46808510638297873	0.6	0.41025641025641024	0.5636363636363637
Family and Medical Leave Act Regulations: A Report on the Department of Labor's Request for Information	0.43999999999999995	0.5245901639344263	0.42553191489361697	0.49122807017543857	0.3589743589743589	0.5
National Compensation Survey: Occupational Wages in the United States	0.5102040816326531	0.6507936507936508	0.5625	0.603448275862069	0.525	0.5925925925925926
October 2007 Employment Report	0.7	0.7166666666666667	0.7291666666666667	0.6727272727272727	0.6578947368421053	0.7636363636363637
FMLA and Its Impact on Organization	0.6862745098039216	0.7049180327868853	0.6	0.6607142857142857	0.5675675675675675	0.679245283018868
Industry Profile developed by CONSAD Research	0.4693877551020408	0.6190476190476191	0.4222222222222223	0.543859649122807	0.475	0.5
Number of Firms, Establishments, Employment, Payrolls, Annual Revenue, and Profits, That Title 1 of the FMLA Applies to, By Industry, 2005	0.42307692307692313	0.4838709677419355	0.40816326530612246	0.4482758620689655	0.3414634146341463	0.4821428571428571
2000 Westat Report	0.7446808510638299	0.8166666666666667	0.8043478260869565	0.8035714285714286	0.75	0.8301886792452831
Assessing the Costs of the Family and Medical Leave Act	0.5918367346938775	0.6271186440677966	0.4883720930232558	0.6	0.4285714285714286	0.5882352941176471
FMLA Perspectives and Practices: Survey of WorldatWork Members	0.5294117647058824	0.5737704918032787	0.4893617021276596	0.5932203389830508	0.3055555555555556	0.5555555555555556
National Compensation Survey, 2007	0.5625	0.65	0.6170212765957447	0.625	0.5526315789473684	0.6666666666666667
The Cost and Characteristics of Family and Medical Leave	0.5918367346938775	0.6271186440677966	0.4883720930232558	0.6	0.4285714285714286	0.5882352941176471
RFI Report	0.8085106382978724	0.847457627118644	0.7906976744186046	0.8363636363636364	0.8	0.8200000000000001
