	Comments submitted to OSHA docket S029 Exhibit 3-14 by	Institute of Electrical and Electronics Engineers. IEEE Standard for Fall Protection for Utility Work. IEEE Standard 1307-2004. http://standards.ieee.org/reading/ieee/std/numerical.html, accessed	Occupational Safety and Health Administration. 29 CFR Part	Occupational Safety and Health Administration. Fixed Ladders Used on Outdoor Advertising Structures/Billboards in the Outdoor Advertising Industry.	Occupational Safety and Health Administration. Preliminary Regulatory Impact and Regulatory Flexibility Analysis of Draft Subparts D and I of 29 CFR Part	0.030% Machine Shops; Turned Product; and Screw, Nut,	Electric Lighting Equipment Manufacturing	Household Appliance Manufacturing $279,213 163 $1,712,962 3.71% $63,608 $2,015 $12.36 0.001% 0.019% Professional and Commercial Equipment and Supplies Merchant Wholesalers	Accessories,	0.024% Lawn and Garden Equipment and Supplies Stores	0.039% Sporting Goods, Hobby, and Musical Instrument Stores	0.050% Electronic Shopping and Mail-Order Houses $12,662,263 13,335 $949,551 3.96% *	0.095% Deep Sea, Coastal, and Great Lakes Water Transportation $1,019,668 645 $1,580,880 4.17% *	Rural Bus Transportation	Employee Bus Transportation	0.102% Other Transit and Ground Passenger Transportation	Support Activities for Air Transportation	Motion Picture and Video Industries	Television Broadcasting	Other Subscription Programming	0.263% Data Processing, Hosting, and Related Services	Monetary Authorities - Central Bank	0.005% Securities and Commodity Contracts Intermediation and Brokerage	0.000% Agencies, Brokerages, and Other Insurance Related Activities	Pools and Funds	Offices of Real Estate Agents and Brokers	Activities Related to Real Estate	Automotive Equipment Rental and Leasing	0.040% Commercial and Industrial Machinery and Equipment Rental and Leasing	Legal Services $73,138,890 164,606 $444,327 8.52% ** $37,841 $657,652 $4.00 0.001% 0.011% Accounting, Tax Preparation, Bookkeeping, and Payroll Services	Specialized Design Services $12,493,910 29,234 $427,376 6.23% ** $26,635 $138,628 $4.74 0.001% 0.018% Computer Systems Design and Related Services	Scientific Research and Development	Home Health Care Services	Health Care Services	General Medical and Surgical Hospitals	Psychiatric and Substance Abuse Hospitals $103,678 48 $2,159,950 5.08% ** $109,669 $210 $4.37 0.000% 0.004% Specialty (except Psychiatric and Substance Abuse) Hospitals $140,371 130 $1,079,779 5.08% **	0.013% Residential Mental Retardation, Mental Health and Substance Abuse Facilities $1,155,914 4,046 $285,693 5.08% **	Facilities for the Elderly	Care Facilities	Individual and Family Services $8,057,734 27,310 $295,047 5.08% ** $14,981 $86,180 $3.16 0.001% 0.021% Community Food and Housing, and Emergency and Other Relief Services $3,126,011 6,774 $461,472 5.08% **	Vocational Rehabilitation Services	Care Services	0.006% Promoters of Performing Arts, Sports, and Similar Events $2,931,291	Boarding Houses	0.091% Electronic and Precision Equipment Repair and	Death Care Services	Grantmaking and Giving Services	receipts and payroll data from US Census Bureau, Statistics of U.S. Businesses,	(1) Discussions with Outdoor Amusement Business Association (OABA) staff indicate that very few office and multi-family residential buildings use fixed ladders greater than 20 feet in height. A-5 Based on this data, ERG estimated that all 28,906 estimated fixed ladders on lift towers are infrequently climbed. A.4 Communications Towers (Radio, Television, Cellular, and Microwave) Virtually all communication towers have fixed ladders. The Federal Communications Commission (FCC) Antenna Structure Registration Database lists 93,000 registered Albee.	Economic Census: Manufacturing. As downloaded from http://factfinder.census.gov/servlet/IQRTable?_bm=y&-ds_name=EC0200A1&-NAICS2002=31-33&-_lang=en on	As downloaded from ftp://ftp.eia.doe.gov/pub/consumption/residential/2001hc_tables/housingunit_household.pdf on August 24,	United States Environmental Protection Agency.	As downloaded from http://www.epa.gov/safewater/cwssvr.html on August 23,	Telephone conversation between Joe Shefchik and Ayesha Berlind,	Telephone conversation between Wendell, Kido, Chief, Policy and Planning Division, Sacramento County Regional Sanitation District and Ayesha Berlind,	Telephone conversation between
2003 Commercial Buildings Energy Consumption Survey. Table B10: Number of Floors, Number of Buildings and Floorspace for Non-Mall Commercial Buildings	0.8466666666666667	0.8	0.8333333333333334	0.8333333333333334	0.869281045751634	0.8266666666666667	0.8533333333333334	0.8070175438596491	0.9466666666666667	0.84	0.82	0.8466666666666667	0.8266666666666667	0.8733333333333333	0.86	0.8266666666666667	0.8466666666666667	0.86	0.88	0.8533333333333334	0.8333333333333334	0.8466666666666667	0.78	0.82	0.9133333333333333	0.84	0.8733333333333333	0.8466666666666667	0.74	0.875	0.8933333333333333	0.86	0.8933333333333333	0.9066666666666666	0.84	0.835820895522388	0.8266666666666667	0.8733333333333333	0.9133333333333333	0.8292682926829268	0.8466666666666667	0.9266666666666666	0.8266666666666667	0.9133333333333333	0.84	0.9133333333333333	0.8733333333333333	0.8	0.8348457350272233	0.92	0.86	0.8533333333333334	0.86	0.7733333333333333	0.84	0.88
Electricity Transmission Fact Sheet	0.8333333333333334	0.8666666666666667	0.7758620689655172	0.8571428571428571	0.8627450980392157	0.7924528301886793	0.6341463414634146	0.8771929824561403	0.8285714285714286	0.8269230769230769	0.7966101694915254	0.8214285714285714	0.84375	0.7428571428571429	0.7428571428571429	0.7857142857142857	0.8536585365853658	0.8285714285714286	0.7714285714285715	0.8285714285714286	0.7547169811320755	0.8857142857142857	0.7285714285714285	0.8059701492537313	0.8571428571428571	0.8536585365853658	0.8	0.8717948717948718	0.8	0.8881578947368421	0.8835616438356164	0.8285714285714286	0.8571428571428571	0.8285714285714286	0.8947368421052632	0.900497512437811	0.8559322033898306	0.8	0.8	0.9073170731707317	0.7714285714285715	0.8571428571428571	0.8243243243243243	0.8571428571428571	0.7115384615384616	0.8285714285714286	0.7714285714285715	0.7974683544303798	0.9401088929219601	0.8933333333333333	0.8524590163934426	0.8260869565217391	0.8493150684931506	0.8253968253968254	0.8456375838926175	0.7142857142857143
National Emission Inventory homepage	0.8333333333333334	0.8717948717948718	0.7413793103448276	0.8163265306122449	0.8300653594771242	0.8490566037735849	0.8536585365853658	0.8713450292397661	0.8611111111111112	0.8076923076923077	0.8305084745762712	0.8690476190476191	0.875	0.8055555555555556	0.8333333333333334	0.8035714285714286	0.8536585365853658	0.7777777777777778	0.75	0.8055555555555556	0.7924528301886793	0.8611111111111112	0.7142857142857143	0.835820895522388	0.8333333333333334	0.7804878048780488	0.8055555555555556	0.7948717948717948	0.8133333333333334	0.8947368421052632	0.9041095890410958	0.8888888888888888	0.8333333333333334	0.8333333333333334	0.8157894736842105	0.9154228855721394	0.847457627118644	0.75	0.8333333333333334	0.9073170731707317	0.75	0.8611111111111112	0.8378378378378378	0.8333333333333334	0.75	0.8333333333333334	0.8333333333333334	0.8354430379746836	0.941923774954628	0.8666666666666667	0.8442622950819673	0.782608695652174	0.8356164383561644	0.7777777777777778	0.8456375838926175	0.8333333333333334
1997 Economic Census: Manufacturing	0.9074074074074074	0.8923076923076924	0.8620689655172413	0.8775510204081632	0.8823529411764706	0.8113207547169812	0.5853658536585366	0.9005847953216374	0.8285714285714286	0.8076923076923077	0.7966101694915254	0.8571428571428571	0.875	0.8	0.7428571428571429	0.8035714285714286	0.7804878048780488	0.8571428571428571	0.7714285714285715	0.8	0.8301886792452831	0.8571428571428571	0.8	0.8059701492537313	0.8	0.8780487804878049	0.9142857142857143	0.7692307692307693	0.8	0.9013157894736842	0.8904109589041096	0.8857142857142857	0.8285714285714286	0.8857142857142857	0.868421052631579	0.9203980099502488	0.8813559322033898	0.8571428571428571	0.8571428571428571	0.9170731707317074	0.8571428571428571	0.8571428571428571	0.8378378378378378	0.8571428571428571	0.7307692307692307	0.8857142857142857	0.9142857142857143	0.7848101265822784	0.9509981851179673	0.8333333333333334	0.8688524590163934	0.8695652173913043	0.863013698630137	0.7777777777777778	0.8657718120805369	0.8
2002 Economic Census: Manufacturing	0.9074074074074074	0.8923076923076924	0.8620689655172413	0.8775510204081632	0.8823529411764706	0.7735849056603774	0.5853658536585366	0.8947368421052632	0.8285714285714286	0.7692307692307693	0.7966101694915254	0.8333333333333334	0.875	0.8	0.7428571428571429	0.7857142857142857	0.7804878048780488	0.8571428571428571	0.7714285714285715	0.8	0.8113207547169812	0.8571428571428571	0.7714285714285715	0.7761194029850746	0.8	0.8780487804878049	0.9142857142857143	0.7692307692307693	0.7733333333333333	0.9013157894736842	0.8972602739726028	0.8857142857142857	0.8285714285714286	0.8857142857142857	0.868421052631579	0.9203980099502488	0.8728813559322034	0.8571428571428571	0.8571428571428571	0.9170731707317074	0.8571428571428571	0.8571428571428571	0.8108108108108109	0.8571428571428571	0.7307692307692307	0.8857142857142857	0.9142857142857143	0.7848101265822784	0.9509981851179673	0.8333333333333334	0.8688524590163934	0.8695652173913043	0.863013698630137	0.7777777777777778	0.8657718120805369	0.8
Antenna Structure Registration database	0.8518518518518519	0.8615384615384616	0.6724137931034483	0.8299319727891157	0.8300653594771242	0.8301886792452831	0.8292682926829268	0.8771929824561403	0.8205128205128205	0.8076923076923077	0.847457627118644	0.8809523809523809	0.8229166666666666	0.7692307692307693	0.7948717948717948	0.8214285714285714	0.8048780487804879	0.6923076923076923	0.8205128205128205	0.7692307692307693	0.8113207547169812	0.7692307692307693	0.7428571428571429	0.8059701492537313	0.8717948717948718	0.8536585365853658	0.7692307692307693	0.8205128205128205	0.7866666666666666	0.9013157894736842	0.8904109589041096	0.8461538461538461	0.7692307692307693	0.7435897435897436	0.8205128205128205	0.8905472636815921	0.8305084745762712	0.8461538461538461	0.7948717948717948	0.9170731707317074	0.7435897435897436	0.7948717948717948	0.8513513513513513	0.8717948717948718	0.7692307692307693	0.7435897435897436	0.8717948717948718	0.7721518987341772	0.9310344827586207	0.86	0.8278688524590164	0.7608695652173914	0.8082191780821918	0.7936507936507936	0.825503355704698	0.717948717948718
Council on Tall Buildings and Urban Habitat	0.8333333333333334	0.8666666666666667	0.7413793103448276	0.8367346938775511	0.8169934640522876	0.7735849056603774	0.8372093023255814	0.8654970760233918	0.9069767441860465	0.75	0.8135593220338984	0.8333333333333334	0.8541666666666666	0.7441860465116279	0.7674418604651163	0.7857142857142857	0.813953488372093	0.7674418604651163	0.7906976744186046	0.8372093023255814	0.7547169811320755	0.7674418604651163	0.7857142857142857	0.746268656716418	0.7674418604651163	0.7674418604651163	0.7674418604651163	0.7906976744186046	0.72	0.868421052631579	0.8904109589041096	0.7674418604651163	0.8372093023255814	0.8604651162790697	0.6976744186046512	0.8805970149253731	0.8220338983050848	0.7906976744186046	0.8372093023255814	0.8829268292682927	0.7441860465116279	0.8837209302325582	0.8108108108108109	0.813953488372093	0.8269230769230769	0.8837209302325582	0.7441860465116279	0.7974683544303798	0.9346642468239564	0.8666666666666667	0.860655737704918	0.8695652173913043	0.8356164383561644	0.7936507936507936	0.8187919463087249	0.8372093023255814
Deficient Bridges by State and Highway System	0.7962962962962963	0.8461538461538461	0.8275862068965517	0.8435374149659864	0.8431372549019608	0.7924528301886793	0.8222222222222222	0.8654970760233918	0.8666666666666667	0.7692307692307693	0.7796610169491526	0.8333333333333334	0.8333333333333334	0.8444444444444444	0.8222222222222222	0.8392857142857143	0.8666666666666667	0.7111111111111111	0.8	0.8444444444444444	0.7358490566037735	0.8	0.7571428571428571	0.7164179104477612	0.8444444444444444	0.7333333333333333	0.6666666666666666	0.7777777777777778	0.8	0.875	0.8561643835616438	0.7111111111111111	0.8	0.8222222222222222	0.7555555555555555	0.8905472636815921	0.8050847457627118	0.7333333333333333	0.8666666666666667	0.8878048780487805	0.7777777777777778	0.8444444444444444	0.7702702702702703	0.8444444444444444	0.8846153846153846	0.8	0.7555555555555555	0.7721518987341772	0.9364791288566243	0.86	0.8524590163934426	0.8913043478260869	0.8493150684931506	0.7619047619047619	0.825503355704698	0.7777777777777778
Inspections within Industry	0.8333333333333334	0.8871794871794871	0.7931034482758621	0.8503401360544217	0.8888888888888888	0.8113207547169812	0.7560975609756098	0.8888888888888888	0.8518518518518519	0.7884615384615384	0.7796610169491526	0.8452380952380952	0.8958333333333334	0.8888888888888888	0.9259259259259259	0.8392857142857143	0.7560975609756098	0.6285714285714286	0.8148148148148148	0.8333333333333334	0.7924528301886793	0.8285714285714286	0.7857142857142857	0.8208955223880597	0.7777777777777778	0.8048780487804879	0.7878787878787878	0.7692307692307693	0.8133333333333334	0.9144736842105263	0.910958904109589	0.8285714285714286	0.9259259259259259	0.8888888888888888	0.7894736842105263	0.9203980099502488	0.8728813559322034	0.7407407407407407	0.8148148148148148	0.926829268292683	0.7647058823529411	0.8518518518518519	0.8783783783783784	0.8148148148148148	0.7884615384615384	0.8518518518518519	0.8064516129032258	0.8481012658227848	0.9582577132486388	0.8933333333333333	0.8442622950819673	0.782608695652174	0.821917808219178	0.7619047619047619	0.87248322147651	0.8333333333333334
Residential Energy Consumption Surveys. 2001 Housing Characteristics Tables. Table HC1-1a. Housing Unit Characteristics by Climate Zone, Million U.S. Households, (2001).=	0.8647058823529412	0.8205128205128205	0.8411764705882353	0.8	0.8294117647058824	0.8588235294117647	0.8764705882352941	0.8713450292397661	0.9411764705882353	0.8529411764705882	0.8352941176470589	0.8235294117647058	0.8176470588235294	0.8941176470588236	0.8823529411764706	0.8470588235294118	0.8529411764705882	0.8647058823529412	0.9	0.8823529411764706	0.8470588235294118	0.8529411764705882	0.7941176470588235	0.8235294117647058	0.9352941176470588	0.8647058823529412	0.8764705882352941	0.8588235294117647	0.8294117647058824	0.8588235294117647	0.8294117647058824	0.8764705882352941	0.888235294117647	0.9058823529411765	0.8588235294117647	0.8407960199004975	0.788235294117647	0.9	0.9176470588235294	0.824390243902439	0.8647058823529412	0.9352941176470588	0.8117647058823529	0.9235294117647059	0.8470588235294118	0.9117647058823529	0.888235294117647	0.7705882352941177	0.838475499092559	0.8764705882352941	0.7941176470588235	0.8470588235294118	0.8235294117647058	0.8	0.7823529411764706	0.8705882352941177
