	Proposed §§ 70.208(f)(4), 70.208(g)(4), 70.209(g)(4), 71.207(k)(4), 71.207(n)(2), 90.209(e)(4) and 90.209(f)(4) X. REFERENCES U.S. Environmental Protection Agency (EPA,	Estimating the Value of Safety with Labor Market Data: Are the Results Trustworthy?”, Applied Economics	A Reference Lottery Metric for Valuing Health”,	Valuing Life: A Plea for Disaggregation”,	of Economic Analysis (BEA,	Department of Energy (DOE,	Quantitative Risk Assessment	The Value of a Statistical Life: A Critical Review of market Estimates Throughout the World”,	Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor.	Performance of a New Personal Respirable Dust Monitor for Mine Use.
MSHA Standardized Informaiton System	0.6666666666666667	0.5789473684210527	0.5517241379310345	0.6206896551724138	0.6	0.6153846153846154	0.625	0.6486486486486487	0.5625	0.6129032258064516
National Income and Product Accounts Table: Table 1.1.9. Implicit Price Deflators for Gross Domestic Product	0.5625	0.5	0.6578947368421053	0.5151515151515151	0.6666666666666667	0.6764705882352942	0.6875	0.5952380952380952	0.4285714285714286	0.375
Annual Coal Report 2009	0.6428571428571428	0.6923076923076923	0.6071428571428572	0.6296296296296297	0.7692307692307692	0.6799999999999999	0.6363636363636364	0.6944444444444444	0.6129032258064516	0.6206896551724138
Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor	0.5434782608695652	0.39473684210526316	0.46875	0.4838709677419355	0.6451612903225806	0.5666666666666667	0.6666666666666667	0.5384615384615384	0.03703703703703709	0.33333333333333337
Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor	0.5434782608695652	0.39473684210526316	0.46875	0.4838709677419355	0.6451612903225806	0.5666666666666667	0.6666666666666667	0.5384615384615384	0.03703703703703709	0.33333333333333337
Performance of a New Personal Respirable Dust Monitor for Mine Use	0.6086956521739131	0.4736842105263158	0.5625	0.5333333333333333	0.6551724137931034	0.6206896551724138	0.6296296296296297	0.6153846153846154	0.33333333333333337	0.04166666666666663
Performance of a New Personal Respirable Dust Monitor for Mine Use	0.6086956521739131	0.4736842105263158	0.5625	0.5333333333333333	0.6551724137931034	0.6206896551724138	0.6296296296296297	0.6153846153846154	0.33333333333333337	0.04166666666666663
Quantitative Risk Assessment in Support of Proposed Respirable Coal Mine Dust Rule	0.5434782608695652	0.4358974358974359	0.6	0.53125	0.6875	0.65625	0.46153846153846156	0.5	0.34375	0.3870967741935484
National Primary Drinking Water Regulations; Stage 2 Disinfectants and Disinfection Byproducts Rule; National Primary and Secondary Drinking Water Regulations; Approval of Analytical Methods for Chemical Contaminants	0.45833333333333337	0.41860465116279066	0.5263157894736843	0.5789473684210527	0.6388888888888888	0.6486486486486487	0.6176470588235294	0.4390243902439024	0.3783783783783784	0.45945945945945943
A Reference Lottery Metric for Valuing Health	0.6808510638297872	0.4444444444444444	0.08695652173913049	0.4444444444444444	0.6296296296296297	0.6428571428571428	0.6538461538461539	0.5142857142857142	0.4516129032258065	0.5483870967741935
The Value of a Statistical Life: A Critical Review of market Estimates Throughout the World	0.5714285714285714	0.3157894736842105	0.5142857142857142	0.5294117647058824	0.6764705882352942	0.7222222222222222	0.6129032258064516	0.06451612903225812	0.5263157894736843	0.6052631578947368
Valuing Life: A Plea for Disaggregation	0.6956521739130435	0.5	0.4444444444444444	0.09523809523809523	0.6538461538461539	0.6153846153846154	0.625	0.5294117647058824	0.4666666666666667	0.5172413793103448
Estimating the Value of Safety with Labor Market Data: Are the Results Trustworthy	0.6274509803921569	0.17142857142857137	0.4242424242424242	0.4375	0.6363636363636364	0.6060606060606061	0.6129032258064516	0.33333333333333337	0.4444444444444444	0.48571428571428577
