	Proposed §§ 70.208(f)(4), 70.208(g)(4), 70.209(g)(4), 71.207(k)(4), 71.207(n)(2), 90.209(e)(4) and 90.209(f)(4) X. REFERENCES U.S. Environmental Protection Agency (EPA,	Estimating the Value of Safety with Labor Market Data: Are the Results Trustworthy?”, Applied Economics	A Reference Lottery Metric for Valuing Health”,	Valuing Life: A Plea for Disaggregation”,	of Economic Analysis (BEA,	Department of Energy (DOE,	Quantitative Risk Assessment	The Value of a Statistical Life: A Critical Review of market Estimates Throughout the World”,	Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor.	Performance of a New Personal Respirable Dust Monitor for Mine Use.
MSHA Standardized Informaiton System	0.9166666666666666	0.8640776699029126	0.7872340425531915	0.8536585365853658	0.8055555555555556	0.8611111111111112	0.8333333333333334	0.8279569892473119	0.8191489361702128	0.8208955223880597
National Income and Product Accounts Table: Table 1.1.9. Implicit Price Deflators for Gross Domestic Product	0.8571428571428571	0.7870370370370371	0.8148148148148148	0.8055555555555556	0.8611111111111112	0.8888888888888888	0.8518518518518519	0.7870370370370371	0.7870370370370371	0.7592592592592593
Annual Coal Report 2009	0.9345238095238095	0.8737864077669902	0.8297872340425532	0.8292682926829268	0.9230769230769231	0.8846153846153846	0.8928571428571429	0.8494623655913979	0.8404255319148937	0.8059701492537313
Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor	0.8869047619047619	0.8252427184466019	0.7526881720430108	0.7956989247311828	0.8387096774193549	0.8494623655913979	0.8387096774193549	0.8602150537634409	0.010638297872340425	0.6021505376344086
Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor	0.8869047619047619	0.8252427184466019	0.7526881720430108	0.7956989247311828	0.8387096774193549	0.8494623655913979	0.8387096774193549	0.8602150537634409	0.010638297872340425	0.6021505376344086
Performance of a New Personal Respirable Dust Monitor for Mine Use	0.8690476190476191	0.7766990291262136	0.803030303030303	0.803030303030303	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.7526881720430108	0.5851063829787234	0.014925373134328358
Performance of a New Personal Respirable Dust Monitor for Mine Use	0.8690476190476191	0.7766990291262136	0.803030303030303	0.803030303030303	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.7526881720430108	0.5851063829787234	0.014925373134328358
Quantitative Risk Assessment in Support of Proposed Respirable Coal Mine Dust Rule	0.8928571428571429	0.7864077669902912	0.7804878048780488	0.8170731707317073	0.8658536585365854	0.8414634146341463	0.6585365853658537	0.8279569892473119	0.7446808510638298	0.7439024390243902
National Primary Drinking Water Regulations; Stage 2 Disinfectants and Disinfection Byproducts Rule; National Primary and Secondary Drinking Water Regulations; Approval of Analytical Methods for Chemical Contaminants	0.8657407407407407	0.7546296296296297	0.8657407407407407	0.8611111111111112	0.9166666666666666	0.9212962962962963	0.9027777777777778	0.7777777777777778	0.7638888888888888	0.8101851851851852
A Reference Lottery Metric for Valuing Health	0.9226190476190477	0.8155339805825242	0.0425531914893617	0.7777777777777778	0.8	0.8	0.8444444444444444	0.7956989247311828	0.7553191489361702	0.7761194029850746
The Value of a Statistical Life: A Critical Review of market Estimates Throughout the World	0.8690476190476191	0.7572815533980582	0.8021978021978022	0.7142857142857143	0.8571428571428571	0.8461538461538461	0.8131868131868132	0.021505376344086023	0.8297872340425532	0.7472527472527473
Valuing Life: A Plea for Disaggregation	0.9047619047619048	0.8058252427184466	0.723404255319149	0.04878048780487805	0.8461538461538461	0.8717948717948718	0.7948717948717948	0.7204301075268817	0.7978723404255319	0.8059701492537313
Estimating the Value of Safety with Labor Market Data: Are the Results Trustworthy	0.8988095238095238	0.20388349514563106	0.7926829268292683	0.7804878048780488	0.8902439024390244	0.8780487804878049	0.8292682926829268	0.7526881720430108	0.7659574468085106	0.8170731707317073
