	Proposed §§ 70.208(f)(4), 70.208(g)(4), 70.209(g)(4), 71.207(k)(4), 71.207(n)(2), 90.209(e)(4) and 90.209(f)(4) X. REFERENCES U.S. Environmental Protection Agency (EPA,	Estimating the Value of Safety with Labor Market Data: Are the Results Trustworthy?”, Applied Economics	A Reference Lottery Metric for Valuing Health”,	Valuing Life: A Plea for Disaggregation”,	of Economic Analysis (BEA,	Department of Energy (DOE,	Quantitative Risk Assessment	The Value of a Statistical Life: A Critical Review of market Estimates Throughout the World”,	Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor.	Performance of a New Personal Respirable Dust Monitor for Mine Use.
MSHA Standardized Informaiton System	0.5	0.40740740740740744	0.38095238095238093	0.44999999999999996	0.4285714285714286	0.4444444444444444	0.4545454545454546	0.48	0.3913043478260869	0.4418604651162791
National Income and Product Accounts Table: Table 1.1.9. Implicit Price Deflators for Gross Domestic Product	0.3913043478260869	0.33333333333333337	0.4901960784313726	0.34693877551020413	0.5	0.5111111111111111	0.5238095238095238	0.423728813559322	0.2727272727272727	0.23076923076923073
Annual Coal Report 2009	0.4736842105263158	0.5294117647058824	0.4358974358974359	0.45945945945945943	0.625	0.5151515151515151	0.4666666666666667	0.5319148936170213	0.4418604651162791	0.44999999999999996
Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor	0.3731343283582089	0.24590163934426235	0.30612244897959184	0.3191489361702128	0.47619047619047616	0.39534883720930236	0.5	0.368421052631579	0.018867924528301883	0.19999999999999996
Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor	0.3731343283582089	0.24590163934426235	0.30612244897959184	0.3191489361702128	0.47619047619047616	0.39534883720930236	0.5	0.368421052631579	0.018867924528301883	0.19999999999999996
Performance of a New Personal Respirable Dust Monitor for Mine Use	0.4375	0.31034482758620685	0.3913043478260869	0.36363636363636365	0.4871794871794872	0.44999999999999996	0.45945945945945943	0.4444444444444444	0.19999999999999996	0.021276595744680882
Performance of a New Personal Respirable Dust Monitor for Mine Use	0.4375	0.31034482758620685	0.3913043478260869	0.36363636363636365	0.4871794871794872	0.44999999999999996	0.45945945945945943	0.4444444444444444	0.19999999999999996	0.021276595744680882
Quantitative Risk Assessment in Support of Proposed Respirable Coal Mine Dust Rule	0.3731343283582089	0.2786885245901639	0.4285714285714286	0.36170212765957444	0.5238095238095238	0.4883720930232558	0.30000000000000004	0.33333333333333337	0.2075471698113207	0.24
National Primary Drinking Water Regulations; Stage 2 Disinfectants and Disinfection Byproducts Rule; National Primary and Secondary Drinking Water Regulations; Approval of Analytical Methods for Chemical Contaminants	0.29729729729729726	0.2647058823529411	0.3571428571428571	0.40740740740740744	0.4693877551020408	0.48	0.44680851063829785	0.28125	0.23333333333333328	0.29824561403508776
A Reference Lottery Metric for Valuing Health	0.5161290322580645	0.2857142857142857	0.045454545454545414	0.2857142857142857	0.45945945945945943	0.4736842105263158	0.48571428571428577	0.34615384615384615	0.29166666666666663	0.37777777777777777
The Value of a Statistical Life: A Critical Review of market Estimates Throughout the World	0.4	0.1875	0.34615384615384615	0.36	0.5111111111111111	0.5652173913043479	0.4418604651162791	0.033333333333333326	0.3571428571428571	0.4339622641509434
Valuing Life: A Plea for Disaggregation	0.5333333333333333	0.33333333333333337	0.2857142857142857	0.050000000000000044	0.48571428571428577	0.4444444444444444	0.4545454545454546	0.36	0.30434782608695654	0.34883720930232553
Estimating the Value of Safety with Labor Market Data: Are the Results Trustworthy	0.4571428571428572	0.09375	0.2692307692307693	0.28	0.4666666666666667	0.4347826086956522	0.4418604651162791	0.19999999999999996	0.2857142857142857	0.3207547169811321
