	Counsel, (202) 452–2036, Legal Division. For the hearing impaired only, Telecommunication Device for the Deaf (TDD),	Adoption of Proposed Common Rule 1. The authority citation for part 3 continues to read as follows: Authority: 12 U.S.C. 93a, 161, 1818, 3907 and 3909. 1921 Federal Register /	Governors of the Federal 4. The authority citation for part 208 continues to read as follows: Authority:	The authority citation for part 225 continues to read as follows: Authority:	Federal Deposit Insurance Corporation 12 CFR Chapter III Authority and Issuance For the reasons set forth in the common preamble, part 325 of chapter III of title 12 of the Code of Federal Regulations is proposed to be amended as follows: PART 325—CAPITAL MAINTENANCE 10. The authority citation for part 325 continues to read as follows:	to Part 325—Risk-Based Capital for State Nonmember Banks: Market Risk 12. Appendix C is further amended by: a. Removing ‘‘[Agency]’’ wherever it appears and adding in its place ‘‘FDIC’’; b. Removing ‘‘[Agency’s]’’ wherever it appears and adding in its place ‘‘FDIC’s’’; c. Removing ‘‘[banking organization]’’ wherever it appears and adding in its place ‘‘bank’’; d. Removing ‘‘[banking organizations]’’ wherever it appears and adding in its place ‘‘banks’’; e. Removing [Call Report or FR Y–9C] wherever it appears and adding in its place ‘‘Call Report’’; f. Removing ‘‘[the advanced capital adequacy framework]’’ wherever it appears and adding in its place ‘‘Appendix D to this part’’; g. Removing ‘‘[regulatory report]’’ wherever it appears and adding in its place ‘‘Consolidated Reports of Condition and Income (Call Report)’’; h. Removing ‘‘[the general risk-based capital rules]’’ wherever it appears and adding in its place ‘‘Appendix A to this part’’.	By order of the Board of Governors of the Federal Reserve System,	this 14th of December 2010. By order of the Board of Directors. Federal Deposit Insurance Corporation. Robert E. Feldman, Executive Secretary.
Analysis of the Third Trading Book Impact Study 	0.5121951219512195	0.4883720930232558	0.4571428571428572	0.3448275862068966	0.5111111111111111	0.5714285714285714	0.4666666666666667	0.46153846153846156
12 CFR part 208, Appendix F and 12 CFR part 225	0.6341463414634146	0.5714285714285714	0.6	0.6129032258064516	0.5909090909090908	0.7068965517241379	0.6774193548387097	0.5526315789473684
12 CFR part 225, Appendix A, section II.B (Board)	0.5238095238095238	0.5652173913043479	0.5897435897435898	0.5588235294117647	0.5217391304347826	0.5535714285714286	0.6176470588235294	0.4358974358974359
12 CFR part 3, Appendix C (OCC)	0.6097560975609756	0.6136363636363636	0.6842105263157895	0.6666666666666667	0.6304347826086957	0.6666666666666667	0.6875	0.6
12 CFR part 325, Appendix A, section II.B.3 	0.5476190476190477	0.5227272727272727	0.5789473684210527	0.5454545454545454	0.4772727272727273	0.5714285714285714	0.6060606060606061	0.42105263157894735
13 CFR 121.201.	0.8157894736842105	0.775	0.8484848484848485	0.9333333333333333	0.7857142857142857	0.8571428571428572	0.8888888888888888	0.7777777777777778
5 U.S.C. 603(a).	0.736842105263158	0.7906976744186046	0.8918918918918919	0.90625	0.851063829787234	0.8448275862068966	0.9	0.8536585365853658
71 FR 55958	0.926829268292683	0.8292682926829268	0.9117647058823529	0.9310344827586207	0.8888888888888888	0.8947368421052632	0.8846153846153846	0.8974358974358975
75 FR 52283	0.8717948717948718	0.8292682926829268	0.8787878787878788	0.8928571428571429	0.8636363636363636	0.8947368421052632	0.8846153846153846	0.8974358974358975
Public Law 111�203	1.0	0.7209302325581395	0.7428571428571429	0.7333333333333334	1.0	1.0	0.9090909090909091	0.75
