	Counsel, (202) 452–2036, Legal Division. For the hearing impaired only, Telecommunication Device for the Deaf (TDD),	Adoption of Proposed Common Rule 1. The authority citation for part 3 continues to read as follows: Authority: 12 U.S.C. 93a, 161, 1818, 3907 and 3909. 1921 Federal Register /	Governors of the Federal 4. The authority citation for part 208 continues to read as follows: Authority:	The authority citation for part 225 continues to read as follows: Authority:	Federal Deposit Insurance Corporation 12 CFR Chapter III Authority and Issuance For the reasons set forth in the common preamble, part 325 of chapter III of title 12 of the Code of Federal Regulations is proposed to be amended as follows: PART 325—CAPITAL MAINTENANCE 10. The authority citation for part 325 continues to read as follows:	to Part 325—Risk-Based Capital for State Nonmember Banks: Market Risk 12. Appendix C is further amended by: a. Removing ‘‘[Agency]’’ wherever it appears and adding in its place ‘‘FDIC’’; b. Removing ‘‘[Agency’s]’’ wherever it appears and adding in its place ‘‘FDIC’s’’; c. Removing ‘‘[banking organization]’’ wherever it appears and adding in its place ‘‘bank’’; d. Removing ‘‘[banking organizations]’’ wherever it appears and adding in its place ‘‘banks’’; e. Removing [Call Report or FR Y–9C] wherever it appears and adding in its place ‘‘Call Report’’; f. Removing ‘‘[the advanced capital adequacy framework]’’ wherever it appears and adding in its place ‘‘Appendix D to this part’’; g. Removing ‘‘[regulatory report]’’ wherever it appears and adding in its place ‘‘Consolidated Reports of Condition and Income (Call Report)’’; h. Removing ‘‘[the general risk-based capital rules]’’ wherever it appears and adding in its place ‘‘Appendix A to this part’’.	By order of the Board of Governors of the Federal Reserve System,	this 14th of December 2010. By order of the Board of Directors. Federal Deposit Insurance Corporation. Robert E. Feldman, Executive Secretary.
Analysis of the Third Trading Book Impact Study 	0.34426229508196726	0.32307692307692304	0.2962962962962963	0.20833333333333337	0.34328358208955223	0.4	0.30434782608695654	0.30000000000000004
12 CFR part 208, Appendix F and 12 CFR part 225	0.4642857142857143	0.4	0.4285714285714286	0.4418604651162791	0.4193548387096774	0.5466666666666666	0.5121951219512195	0.38181818181818183
12 CFR part 225, Appendix A, section II.B (Board)	0.3548387096774194	0.3939393939393939	0.4181818181818182	0.3877551020408163	0.3529411764705882	0.3827160493827161	0.44680851063829785	0.2786885245901639
12 CFR part 3, Appendix C (OCC)	0.4385964912280702	0.4426229508196722	0.52	0.5	0.46031746031746035	0.5	0.5238095238095238	0.4285714285714286
12 CFR part 325, Appendix A, section II.B.3 	0.3770491803278688	0.3538461538461538	0.40740740740740744	0.375	0.31343283582089554	0.4	0.4347826086956522	0.2666666666666667
13 CFR 121.201.	0.6888888888888889	0.6326530612244898	0.736842105263158	0.875	0.6470588235294117	0.75	0.8	0.6363636363636364
5 U.S.C. 603(a).	0.5833333333333333	0.6538461538461539	0.8048780487804879	0.8285714285714285	0.7407407407407407	0.7313432835820896	0.8181818181818181	0.7446808510638299
71 FR 55958	0.8636363636363636	0.7083333333333333	0.8378378378378378	0.8709677419354839	0.8	0.8095238095238095	0.7931034482758621	0.813953488372093
75 FR 52283	0.7727272727272727	0.7083333333333333	0.7837837837837838	0.8064516129032258	0.76	0.8095238095238095	0.7931034482758621	0.813953488372093
Public Law 111�203	1.0	0.5636363636363637	0.5909090909090908	0.5789473684210527	1.0	1.0	0.8333333333333334	0.6
