	NO PARSCIT CITATIONS
Report to the Congress on Risk Retention	0.85
Mortgage and Asset Securitizations Issuance	0.8
Understanding the Securitization of Subprime Mortgage Credit	0.85
Theory of the Firm: Managerial Behavior, Agency Costs and Ownership Structure	0.8
Banks and Loan Sales: Marketing Nonmarketable Assets	0.85
The Sub-prime Problem: Causes and Lessons	0.8
The Economics of Structured Finance	0.85
Tranching and Rating	0.9
Origination and Issuance of Agency and Non-Agency Mortgage Loans	0.8
Did Securitization Lead to Lax Screening? Evidence from Subprime Loans	0.85
The Credit Ratings Game	0.85
White Paper on Rating Competition and Structured Finance	0.75
Rating Shopping and Asset Complexity: A Theory of Ratings Inflation	0.75
Role of Ratings in Structured Finance: What went wrong and what can be done to address the shortcomings?	0.8
The Consequences of Mortgage Credit Expansion: Evidence from the U.S. Mortgage Default Crisis	0.85
Irrational Exuberance	0.9
Credit Cycles	0.77
Agency Costs, Net Worth, and Business Fluctuations	0.85
Securitizing Banking and the Run on Repo	0.85
Liquidity Shortages and Banking Crises	0.85
Bank Lending During the Financial Crisis of 2008	0.85
Figure 3: Illustrative ABS and MBS Spreads 2004-2010	0.75
Financial Intermediation and Delegated Monitoring	0.85
Information Asymmetry and Financing Arrangements: Evidence from Syndicated Loans	0.85
Has the CDS market lowered the cost of corporate debt?	0.8
Works of Friction?	0.89
The Role of Macroprudential Policy: A Discussion Paper	0.8
The Prudential Regulation of Banks	0.85
The Shadow Banking System: Implications for Financial Regulation	0.8
The Fundamental Principles of Financial Regulation	0.85
