	Available at: http://www.lrc.rpi.edu/ Inputs	Manufacturing and Construction Division, ‘‘New Privately Owned Housing Unit Starts’’	Available at: http://www.census.gov/ Solid State Lighting Multi-Year Program Plan.51 Lastly, using markup based on currently-available LED lamps, DOE was market until after	Department of Energy, Office of Energy Efficiency and Renewable Energy, ‘‘Energy Conservation Program for Commercial and Industrial Equipment: High-Intensity Discharge Lamps Analysis of Potential Energy Savings’’	Scenarios In the
2007 RS Means Electrical Cost Data 	0.6875	0.5714285714285714	0.6590909090909092	0.627906976744186	0.5
Aggregate State Tax Rates (2008)	0.78125	0.7948717948717949	0.8085106382978724	0.782608695652174	0.6956521739130435
Commercial Building Energy Consumption Survey: Micro-level data	0.53125	0.4722222222222222	0.4390243902439024	0.4390243902439024	0.5925925925925926
Commerical Building Energy Consumption Survey	0.5333333333333333	0.47058823529411764	0.5121951219512195	0.475	0.5416666666666667
Implicit Price Deflators for Gross Domestic Product	0.5357142857142857	0.5588235294117647	0.5853658536585367	0.55	0.5454545454545454
Manufacturing Energy Consumption Survey	0.6129032258064516	0.4545454545454546	0.5	0.5	0.5217391304347826
New Privately Owned Housing Unit Starts	0.5806451612903225	0.2666666666666667	0.5476190476190477	0.5121951219512195	0.6
Population Change: April 1, 2000 to July 1, 2000	0.59375	0.6052631578947368	0.5581395348837209	0.5581395348837209	0.6666666666666667
Recycling Costs	0.7037037037037037	0.6129032258064516	0.7317073170731707	0.6666666666666667	0.5555555555555556
Residential Energy Consumption Survey	0.5666666666666667	0.5	0.5365853658536586	0.46153846153846156	0.5833333333333333
Selected Interest Rates - State and Local Bonds	0.6071428571428572	0.6571428571428571	0.6666666666666667	0.6	0.42105263157894735
Survey of Consumer Finances	0.6551724137931034	0.53125	0.6341463414634146	0.6	0.5
The Data Page: Historical Returns on Stocks, Bonds, and Bills - United States (2006)	0.65	0.5238095238095238	0.5510204081632653	0.5208333333333333	0.6363636363636364
Value Line Investment Survey	0.5555555555555556	0.6176470588235294	0.6341463414634146	0.6	0.5
Annual Energy Outlook 2007 with Projections to 2030	0.5882352941176471	0.5641025641025641	0.5227272727272727	0.5555555555555556	0.6071428571428572
Annual Energy Outlook 2008 with Projections to 2030	0.5882352941176471	0.5641025641025641	0.5227272727272727	0.5555555555555556	0.6071428571428572
Energy Conservation Program for Commercial and Industrial Equipment: High-Intensity Discharge Lamp Analysis of Potential Energy Savings	0.5	0.44999999999999996	0.34883720930232553	0.17948717948717952	0.59375
Multi-Year Program Plan FY'09 to FY'14: Solid-State Lighting Research and Development 	0.5897435897435898	0.5681818181818181	0.4	0.46808510638297873	0.6470588235294117
U.S. Lighting Market Characterization, Volume 1: National Lighting Inventory and Energy Consumption Estimate	0.5263157894736843	0.47619047619047616	0.37777777777777777	0.44680851063829785	0.6176470588235294
Ex parte communication with Edward Yandek of General Electric Company	0.5625	0.5789473684210527	0.5	0.5348837209302326	0.6296296296296297
Public Meeting Transcript, No. 21 at pg. 71-72	0.5757575757575757	0.5526315789473684	0.5116279069767442	0.6086956521739131	0.6428571428571428
California Statewide Residential Lighting and Appliance Efficiency Saturation Survey	0.4516129032258065	0.4444444444444444	0.41463414634146345	0.33333333333333337	0.5555555555555556
Codes and Standards Enhancement (CASE) Initiative for PY2008: Title 20 Standards Development	0.5405405405405406	0.5909090909090908	0.4893617021276596	0.4565217391304348	0.59375
Full Spectrum Q&A	0.6666666666666667	0.7777777777777778	0.7380952380952381	0.7380952380952381	0.7142857142857143
Measure Life Report: Residential and Commercial/Industrial Lighting and HVAC Measures	0.4375	0.55	0.4772727272727273	0.40476190476190477	0.5862068965517242
National Mercury-Lamp Recycling Rate and Availability of Lamp Recycling Services in the U.S.	0.47058823529411764	0.46153846153846156	0.3571428571428571	0.39534883720930236	0.6129032258064516
Revised/Updated EULs Based on Retention and Persistence Studies Results	0.5	0.5277777777777778	0.5238095238095238	0.5238095238095238	0.56
The Rare Gets More Rare: The Rare Gases Market Update	0.6551724137931034	0.7297297297297297	0.6976744186046512	0.7272727272727273	0.6363636363636364
Protected Coating For Energy Efficient Lamp	0.6875	0.5714285714285714	0.5609756097560976	0.525	0.625
Circular No. A-94 Appendix C 	0.5517241379310345	0.6486486486486487	0.6590909090909092	0.6590909090909092	0.6799999999999999
Energy Efficiency and Renewable Office of Building Research and Standards	0.5161290322580645	0.4571428571428572	0.46341463414634143	0.42500000000000004	0.52
Fluorescent and Incandescent Lamps Energy Conservation Standard Advance Notice of Proposed Rulemaking	0.5555555555555556	0.46153846153846156	0.43181818181818177	0.3571428571428571	0.6129032258064516
Life-Cycle Costing Manual for the Federal Energy Management Program 	0.6176470588235294	0.4722222222222222	0.4390243902439024	0.4390243902439024	0.5925925925925926
Rulemaking Framework Document for General Service Fluorescent Lamps, Incandescent Reflector Lamps, and General Service Incandescent Lamps	0.5294117647058824	0.4736842105263158	0.4418604651162791	0.40476190476190477	0.5862068965517242
Stocks, Bonds, Bills, and Inflation, Valuation Edition, 2001 Yearbook	0.5882352941176471	0.6	0.5227272727272727	0.5869565217391304	0.5555555555555556
