	Available at: http://www.lrc.rpi.edu/ Inputs	Manufacturing and Construction Division, ‘‘New Privately Owned Housing Unit Starts’’	Available at: http://www.census.gov/ Solid State Lighting Multi-Year Program Plan.51 Lastly, using markup based on currently-available LED lamps, DOE was market until after	Department of Energy, Office of Energy Efficiency and Renewable Energy, ‘‘Energy Conservation Program for Commercial and Industrial Equipment: High-Intensity Discharge Lamps Analysis of Potential Energy Savings’’	Scenarios In the
2007 RS Means Electrical Cost Data 	0.8863636363636364	0.7976190476190477	0.872093023255814	0.8962264150943396	0.7714285714285715
Aggregate State Tax Rates (2008)	0.8181818181818182	0.8452380952380952	0.8895348837209303	0.9056603773584906	0.84375
Commercial Building Energy Consumption Survey: Micro-level data	0.873015873015873	0.7976190476190477	0.813953488372093	0.8113207547169812	0.873015873015873
Commerical Building Energy Consumption Survey	0.9333333333333333	0.7738095238095238	0.8546511627906976	0.8537735849056604	0.8222222222222222
Implicit Price Deflators for Gross Domestic Product	0.8627450980392157	0.8095238095238095	0.8546511627906976	0.8490566037735849	0.8431372549019608
Manufacturing Energy Consumption Survey	0.9090909090909091	0.6904761904761905	0.8604651162790697	0.8632075471698113	0.7948717948717948
New Privately Owned Housing Unit Starts	0.8863636363636364	0.5357142857142857	0.8604651162790697	0.8726415094339622	0.7948717948717948
Population Change: April 1, 2000 to July 1, 2000	0.875	0.7976190476190477	0.8604651162790697	0.8915094339622641	0.8541666666666666
Recycling Costs	0.8636363636363636	0.8809523809523809	0.936046511627907	0.9339622641509434	0.8125
Residential Energy Consumption Survey	0.8863636363636364	0.7976190476190477	0.8604651162790697	0.8679245283018868	0.7567567567567568
Selected Interest Rates - State and Local Bonds	0.8936170212765957	0.75	0.8488372093023255	0.8537735849056604	0.8085106382978723
Survey of Consumer Finances	0.8636363636363636	0.8095238095238095	0.9011627906976745	0.9009433962264151	0.7407407407407407
The Data Page: Historical Returns on Stocks, Bonds, and Bills - United States (2006)	0.8571428571428571	0.7857142857142857	0.813953488372093	0.8113207547169812	0.8690476190476191
Value Line Investment Survey	0.8636363636363636	0.8214285714285714	0.8837209302325582	0.9056603773584906	0.7857142857142857
Annual Energy Outlook 2007 with Projections to 2030	0.8627450980392157	0.7857142857142857	0.8604651162790697	0.8679245283018868	0.8431372549019608
Annual Energy Outlook 2008 with Projections to 2030	0.8627450980392157	0.7857142857142857	0.8604651162790697	0.8679245283018868	0.8431372549019608
