	Available at: http://www.lrc.rpi.edu/ Inputs	Manufacturing and Construction Division, ‘‘New Privately Owned Housing Unit Starts’’	Available at: http://www.census.gov/ Solid State Lighting Multi-Year Program Plan.51 Lastly, using markup based on currently-available LED lamps, DOE was market until after	Department of Energy, Office of Energy Efficiency and Renewable Energy, ‘‘Energy Conservation Program for Commercial and Industrial Equipment: High-Intensity Discharge Lamps Analysis of Potential Energy Savings’’	Scenarios In the
2007 RS Means Electrical Cost Data 	0.5238095238095238	0.4	0.4915254237288136	0.4576271186440678	0.33333333333333337
Aggregate State Tax Rates (2008)	0.641025641025641	0.6595744680851063	0.6785714285714286	0.6428571428571428	0.5333333333333333
Commercial Building Energy Consumption Survey: Micro-level data	0.36170212765957444	0.3090909090909091	0.28125	0.28125	0.42105263157894735
Commerical Building Energy Consumption Survey	0.36363636363636365	0.3076923076923077	0.34426229508196726	0.3114754098360656	0.37142857142857144
Implicit Price Deflators for Gross Domestic Product	0.36585365853658536	0.3877551020408163	0.4137931034482759	0.3793103448275862	0.375
Manufacturing Energy Consumption Survey	0.4418604651162791	0.2941176470588235	0.33333333333333337	0.33333333333333337	0.3529411764705882
New Privately Owned Housing Unit Starts	0.40909090909090906	0.15384615384615385	0.3770491803278688	0.34426229508196726	0.4285714285714286
Population Change: April 1, 2000 to July 1, 2000	0.4222222222222223	0.4339622641509434	0.3870967741935484	0.3870967741935484	0.5
Recycling Costs	0.5428571428571429	0.4418604651162791	0.5769230769230769	0.5	0.3846153846153846
Residential Energy Consumption Survey	0.39534883720930236	0.33333333333333337	0.3666666666666667	0.30000000000000004	0.4117647058823529
Selected Interest Rates - State and Local Bonds	0.4358974358974359	0.4893617021276596	0.5	0.4285714285714286	0.2666666666666667
Survey of Consumer Finances	0.4871794871794872	0.36170212765957444	0.4642857142857143	0.4285714285714286	0.33333333333333337
The Data Page: Historical Returns on Stocks, Bonds, and Bills - United States (2006)	0.4814814814814815	0.3548387096774194	0.3802816901408451	0.352112676056338	0.4666666666666667
Value Line Investment Survey	0.3846153846153846	0.44680851063829785	0.4642857142857143	0.4285714285714286	0.33333333333333337
Annual Energy Outlook 2007 with Projections to 2030	0.41666666666666663	0.3928571428571429	0.3538461538461538	0.3846153846153846	0.4358974358974359
Annual Energy Outlook 2008 with Projections to 2030	0.41666666666666663	0.3928571428571429	0.3538461538461538	0.3846153846153846	0.4358974358974359
Energy Conservation Program for Commercial and Industrial Equipment: High-Intensity Discharge Lamp Analysis of Potential Energy Savings	0.33333333333333337	0.29032258064516125	0.21126760563380287	0.09859154929577463	0.4222222222222223
Multi-Year Program Plan FY'09 to FY'14: Solid-State Lighting Research and Development 	0.4181818181818182	0.39682539682539686	0.25	0.3055555555555556	0.4782608695652174
U.S. Lighting Market Characterization, Volume 1: National Lighting Inventory and Energy Consumption Estimate	0.3571428571428571	0.3125	0.23287671232876717	0.28767123287671237	0.44680851063829785
Ex parte communication with Edward Yandek of General Electric Company	0.3913043478260869	0.40740740740740744	0.33333333333333337	0.3650793650793651	0.45945945945945943
Public Meeting Transcript, No. 21 at pg. 71-72	0.4042553191489362	0.38181818181818183	0.34375	0.4375	0.4736842105263158
California Statewide Residential Lighting and Appliance Efficiency Saturation Survey	0.29166666666666663	0.2857142857142857	0.2615384615384615	0.19999999999999996	0.3846153846153846
Codes and Standards Enhancement (CASE) Initiative for PY2008: Title 20 Standards Development	0.37037037037037035	0.4193548387096774	0.323943661971831	0.295774647887324	0.4222222222222223
Full Spectrum Q&A	0.5	0.6363636363636364	0.5849056603773585	0.5849056603773585	0.5555555555555556
Measure Life Report: Residential and Commercial/Industrial Lighting and HVAC Measures	0.28	0.3793103448275862	0.31343283582089554	0.25373134328358204	0.41463414634146345
National Mercury-Lamp Recycling Rate and Availability of Lamp Recycling Services in the U.S.	0.3076923076923077	0.30000000000000004	0.21739130434782605	0.24637681159420288	0.4418604651162791
Revised/Updated EULs Based on Retention and Persistence Studies Results	0.33333333333333337	0.3584905660377359	0.3548387096774194	0.3548387096774194	0.38888888888888884
The Rare Gets More Rare: The Rare Gases Market Update	0.4871794871794872	0.574468085106383	0.5357142857142857	0.5714285714285714	0.4666666666666667
Protected Coating For Energy Efficient Lamp	0.5238095238095238	0.4	0.38983050847457623	0.35593220338983056	0.4545454545454546
Circular No. A-94 Appendix C 	0.38095238095238093	0.48	0.4915254237288136	0.4915254237288136	0.5151515151515151
Energy Efficiency and Renewable Office of Building Research and Standards	0.34782608695652173	0.2962962962962963	0.3015873015873016	0.2698412698412699	0.3513513513513513
Fluorescent and Incandescent Lamps Energy Conservation Standard Advance Notice of Proposed Rulemaking	0.3846153846153846	0.30000000000000004	0.2753623188405797	0.21739130434782605	0.4418604651162791
Life-Cycle Costing Manual for the Federal Energy Management Program 	0.44680851063829785	0.3090909090909091	0.28125	0.28125	0.42105263157894735
Rulemaking Framework Document for General Service Fluorescent Lamps, Incandescent Reflector Lamps, and General Service Incandescent Lamps	0.36	0.31034482758620685	0.28358208955223885	0.25373134328358204	0.41463414634146345
Stocks, Bonds, Bills, and Inflation, Valuation Edition, 2001 Yearbook	0.41666666666666663	0.4285714285714286	0.3538461538461538	0.41538461538461535	0.3846153846153846
The IESNA Lighting Handbook: Reference and Application, 9th Edition	0.37254901960784315	0.423728813559322	0.32352941176470584	0.2647058823529411	0.4285714285714286
73 FR 13620, 13629	0.9393939393939394	0.9024390243902439	0.88	0.88	0.9166666666666666
Energy Efficiency Standards for Consumer Products: Fluorescent Lamps Ballast Final Rule	0.4285714285714286	0.33333333333333337	0.303030303030303	0.24242424242424243	0.44999999999999996
Energy Independence and Security Act of 2007	0.40909090909090906	0.42307692307692313	0.4098360655737705	0.3770491803278688	0.37142857142857144
for Fluorescent Lamps - Instant-Start and Cold-Cathode Types - Dimensional and Electrical Characterstics 	0.3877551020408163	0.368421052631579	0.303030303030303	0.24242424242424243	0.35
for Fluorescent Lamps - Rapid-Start Types - Dimensional and Electrical Characteristics	0.4285714285714286	0.368421052631579	0.303030303030303	0.24242424242424243	0.4
An Evaluation of Residential CFL Hours-of-Use Methodologies and Estimates: Recommendations for Evaluators and Program Managers	0.3846153846153846	0.30000000000000004	0.2753623188405797	0.21739130434782605	0.4883720930232558
nan	0.8333333333333334	0.875	0.9024390243902439	0.9024390243902439	0.7333333333333334
