	Department of Energy,	Department of Energy, Office of General Counsel, GC–72, 1000 Independence Avenue,	Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State, Local, and Tribal Entities. Office of Management and Budget Office of Information and Regulatory Affairs,	Applying Cost Analyses to Drive Policy that Protects Children’’	36 Ted Gayer and Robert Hahn, Designing Environmental Policy: Lessons from the Regulation of Mercury Emissions, Regulatory Analysis 05–01. AEI-Brookings Joint Center For Regulatory Studies, Small Business Administration for review.	Reasons for the Proposed Rule Part A–1 of Title III of EPCA addresses the energy efficiency of certain types of commercial and industrial equipment.	Section 136(c); 42 U.S.C. 6313(c)(4)(A)) Hence, DOE is proposing in today’s notice, energy conservation standards for commercial ice-cream freezers; self-contained commercial refrigerators, commercial freezers, and commercial refrigerator-freezers without doors; and remote condensing commercial refrigerators, commercial freezers, and commercial refrigeratorfreezers. 2. Objectives of, and Legal Basis for, the Proposed Rule methodology used in DOE’s manufacturer impact analysis and its analysis of small-business impacts.	Description and Estimate of Compliance Requirements Potential impacts on manufacturers, Finding of No Significant Impact (FONSI) before publishing the final rule on commercial refrigeration equipment, pursuant to the National Environmental Policy Act of	Review Under Executive Order 12988 With respect to the review of existing regulations and the promulgation of new regulations, section 3(a) of Executive Order 12988,	Review Under Executive Order 12630 DOE has determined, under Executive Order 12630, Governmental Actions and Interference with Constitutionally Protected Property Rights,	Under the Treasury and General Government Appropriations Act,	Review Under Executive Order 13211 Executive Order 13211, Actions Concerning Regulations That Significantly Affect Energy Supply, Distribution, or Use,	Submit electronic comments in WordPerfect, Microsoft Word, PDF, or ASCII file format and avoid the use of special characters or any form of encryption. Comments in electronic format should be identified by the docket number EE–2006–STD–0126 and/or RIN 1904–AB59, and whenever Issued in	means: (1) For equipment without doors and ASHRAE Standard 72–2005 test procedure. Calculate compressor energy consumption (CEC) for each compartment using Table 1 in ANSI/ ARI Standard 1200–2006 using the evaporator temperature for that compartment. The calculated daily energy consumption (CDEC) for the entire case shall be the sum of the CEC for each compartment, fan energy consumption (FEC), lighting energy consumption (LEC), anti-condensate energy consumption (AEC), defrost energy consumption (DEC), and condensate evaporator pan energy consumption (PEC) (as measured in ANSI/ARI Standard 1200–2006). (ii) For remote condensing commercial hybrid refrigerators, hybrid freezers, hybrid refrigerator-freezers,	(iii) For self-contained commercial hybrid refrigerators, hybrid freezers, hybrid refrigerator-freezers, and nonhybrid refrigerator-freezers, measure the total daily energy consumption (TDEC) for the entire case according to the ANSI/ASHRAE Standard 72–2005 test procedure.	(3) For remote-condensing and selfcontained wedge cases, measure the CDEC or TDEC according to the ANSI/
Case No. 05-1244, 2008 WL 2698180	0.7142857142857143	0.6153846153846154	0.6727272727272727	0.7142857142857143	0.5882352941176471	0.6799999999999999	0.5882352941176471	0.7142857142857143	0.5925925925925926	0.6206896551724138	0.7209302325581395	0.6727272727272727	0.4925373134328358	0.5492957746478873	0.5873015873015873	0.6603773584905661
No. 05-1097, 2008 WL 341338	0.8125	0.7142857142857143	0.8076923076923077	0.8974358974358975	0.6923076923076923	0.8297872340425532	0.6923076923076923	0.8490566037735849	0.6470588235294117	0.7454545454545455	0.85	0.7692307692307692	0.625	0.6470588235294117	0.6666666666666667	0.76
2006 Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State, Local, and Tribal Entities	0.4893617021276596	0.34375	0.13432835820895528	0.40740740740740744	0.275	0.32258064516129037	0.30000000000000004	0.2941176470588235	0.33333333333333337	0.2857142857142857	0.34545454545454546	0.22388059701492535	0.26582278481012656	0.3012048192771084	0.28	0.32307692307692304
Annual Energy Outlook 2007	0.3939393939393939	0.31999999999999995	0.4716981132075472	0.44999999999999996	0.5454545454545454	0.45833333333333337	0.5454545454545454	0.4814814814814815	0.5	0.4285714285714286	0.46341463414634143	0.4339622641509434	0.5384615384615384	0.536231884057971	0.47540983606557374	0.5294117647058824
Solid-State Lighting Research and Development, Multi-Year Program Plan FY'09-FY'14	0.5	0.3538461538461538	0.32352941176470584	0.34545454545454546	0.308641975308642	0.3650793650793651	0.33333333333333337	0.30434782608695654	0.34328358208955223	0.323943661971831	0.3571428571428571	0.3529411764705882	0.30000000000000004	0.33333333333333337	0.368421052631579	0.36363636363636365
2005 RS Means Electrical Cost Data	0.48571428571428577	0.3846153846153846	0.4181818181818182	0.38095238095238093	0.4411764705882353	0.43999999999999995	0.5	0.4285714285714286	0.4814814814814815	0.4137931034482759	0.4883720930232558	0.38181818181818183	0.4029850746268657	0.46478873239436624	0.39682539682539686	0.4339622641509434
EIA Form 826, Annual 1991 through 2006	0.45945945945945943	0.37037037037037035	0.4385964912280702	0.5454545454545454	0.4571428571428572	0.42307692307692313	0.5142857142857142	0.4482758620689655	0.3928571428571429	0.3666666666666667	0.4666666666666667	0.4736842105263158	0.42028985507246375	0.452054794520548	0.4461538461538461	0.4181818181818182
Estimated Emissions for U.S. Electric Power Industry by State, 1990-2006	0.4782608695652174	0.3015873015873016	0.303030303030303	0.4716981132075472	0.2911392405063291	0.3114754098360656	0.2911392405063291	0.34328358208955223	0.32307692307692304	0.24637681159420288	0.37037037037037035	0.303030303030303	0.2564102564102564	0.29268292682926833	0.32432432432432434	0.34375
Means Costworks 2006: Facility Maintenance & Repair Cost Data	0.5	0.4035087719298246	0.43333333333333335	0.36170212765957444	0.3972602739726028	0.4545454545454546	0.4794520547945206	0.4426229508196722	0.4915254237288136	0.3650793650793651	0.45833333333333337	0.4	0.36111111111111116	0.42105263157894735	0.4411764705882353	0.48275862068965514
Mechanical Cost Data 28th Annual Edition	0.5428571428571429	0.34615384615384615	0.38181818181818183	0.2857142857142857	0.47058823529411764	0.36	0.47058823529411764	0.3928571428571429	0.40740740740740744	0.3793103448275862	0.34883720930232553	0.34545454545454546	0.4328358208955224	0.49295774647887325	0.4285714285714286	0.3584905660377359
