	California&apos;s Secret Energy Surplus: The Potential for Energy Efficiency. Prepared for The Energy Foundation and The Hewlett Foundation.	Personal communication.	Arizona Public Service Energy Efficient Market Potential Study.	Telephone conversation with Barbara	Personal communication. Optimal Energy,	Customer Decision Study: Analysis of Residential Customer Equipment Purchase Decisions. Prepared for Southern California Edison by Cambridge Systematics, Pacific Consulting Services, The Technology Applications Group, and California Survey Research Services.	Analysis of Tax Credits for Efficient Equipment.	Department of Energy-Office of Codes and Standards, Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers, including Environmental Assessment and Regulatory Impact Analysis,	Personal communication. National Association of State Procurement Officials (NAPSO),	Responsible Purchasing Network. (Last accessed
 Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers, including Environmental ,Assessment and Regulatory Impact Analysis	0.21875	0.4285714285714286	0.288135593220339	0.42307692307692313	0.3090909090909091	0.11764705882352944	0.27586206896551724	0.01449275362318836	0.368421052631579	0.38983050847457623
Analysis of Tax Credits for Efficient Equipment	0.28301886792452835	0.3157894736842105	0.33333333333333337	0.36585365853658536	0.2727272727272727	0.22807017543859653	0.021276595744680882	0.27586206896551724	0.34782608695652173	0.41666666666666663
Arizona Public Service Energy Efficient Market Potential Study	0.33333333333333337	0.3846153846153846	0.020408163265306145	0.4285714285714286	0.33333333333333337	0.27586206896551724	0.33333333333333337	0.288135593220339	0.36170212765957444	0.34693877551020413
California's Secret Energy Surplus: The Potential for Energy Efficienc	0.14814814814814814	0.33333333333333337	0.30612244897959184	0.33333333333333337	0.24444444444444446	0.2068965517241379	0.25	0.22033898305084743	0.36170212765957444	0.34693877551020413
Customer Decision Study: Analysis of Residential Customer Equipment Purchase Decisions	0.22807017543859653	0.33333333333333337	0.3076923076923077	0.4222222222222223	0.29166666666666663	0.11475409836065575	0.17647058823529416	0.16129032258064513	0.31999999999999995	0.34615384615384615
Telephone conversation with Barbara Atkinson, LBNL	0.4339622641509434	0.42105263157894735	0.41666666666666663	0.12195121951219512	0.40909090909090906	0.368421052631579	0.4042553191489362	0.4137931034482759	0.3913043478260869	0.25
Telephone conversation with Barbara Atkinson, LBNL	0.4339622641509434	0.42105263157894735	0.41666666666666663	0.12195121951219512	0.40909090909090906	0.368421052631579	0.4042553191489362	0.4137931034482759	0.3913043478260869	0.25
Telephone conversation with Barbara Atkinson, LBNL	0.4339622641509434	0.42105263157894735	0.41666666666666663	0.12195121951219512	0.40909090909090906	0.368421052631579	0.4042553191489362	0.4137931034482759	0.3913043478260869	0.25
Telephone conversation with Barbara Atkinson, LBNL.	0.40740740740740744	0.3846153846153846	0.3877551020408163	0.1428571428571429	0.37777777777777777	0.3448275862068966	0.375	0.423728813559322	0.36170212765957444	0.22448979591836737
nan	0.875	0.7647058823529411	0.8518518518518519	0.8	0.8260869565217391	0.8888888888888888	0.8461538461538461	0.8918918918918919	0.84	0.8518518518518519
