	NO PARSCIT CITATIONS
Harkin, Boswell want Maytag sale blocked	0.95
Justice to Extend Maytag-Whirlpool Merger Review	0.9583333333333334
The Share-of-Market Picture	0.9629629629629629
Kytlteknisk Tidskript	0.9523809523809523
Microeconomics, 5th ed.	1.0
Appliances Database—Refrigeration	0.9696969696969697
Clean Air Markets – Data and Maps	0.9393939393939394
Current Construction Reports, C25 – New One-Family Houses Sold	0.9032258064516129
Federal Reserve Statistical Release, Selected Interest Rates, Historical Data, Instrument: CDs (secondary market), Maturity: 6-month, Frequency: Annual, Description: Average rate on 6-month negotiable certificates of deposit (secondary market), quoted on an investment basis	0.9744525547445255
Federal Reserve Statistical Release, Selected Interest Rates, Historical Data, Instrument: Corporate bonds/Moody’s Seasoned AAA, Frequency: Annual, Description: Moody’s yield on seasoned corporate bonds—all industries, AAA	0.9684684684684685
Federal Reserve Statistical Release, Selected Interest Rates, Historical Data, Instrument: State and local bonds, Maturity: 20-year, Frequency: Monthly,  Description: Bond buyer go 20-bond municipal bond index 	0.9666666666666667
Historical Income Tables – Households, Table H-6	0.9166666666666666
NIST Standard Reference Database 23: NIST Thermodynamic Properties of Refrigerants and Refrigerant Mixtures Database, Version 3.0	0.9457364341085271
Reference Fluid Thermodynamic and Transport Properties	0.9259259259259259
Residential Energy Consumption Survey, 1993 Public Use Data Files	0.9538461538461539
Residential Energy Consumption Survey, 1997 Public Use Data Files	0.9538461538461539
Residential Energy Consumption Survey, 2001 Public Use Data Files	0.9538461538461539
Residential Energy Consumption Survey, 2001 Public Use Microdata Files	0.9571428571428572
Residential Energy Consumption Survey, 2005Public Use Data Files	0.953125
Table 1.1.9. Implicit Price Deflators for Gross Domestic Product	0.953125
 Form EIA-861	0.8
1997 Economic Census, Business Expenses Survey, Retail Trade, Household Appliance Stores	0.9318181818181818
American Housing Survey	1.0
An Updated Annual Energy Outlook 2009 Reference Case Reflecting Provisions of the American Recovery and Reinvestment Act and Recent Changes in the Economic Outlook	0.950920245398773
An Updated Annual Energy Outlook 2009 Reference Case Reflecting Provisions of the American Recovery and Reinvestment Act and Recent Changes in the Economic Outlook	0.950920245398773
Annual Energy Outlook 2008 with Projections to 2030	0.9411764705882353
Annual Energy Outlook 2009 with Projections to 2030	0.9411764705882353
Appliance Efficiency Regulations	0.9375
Application of a Hard Sphere Equation of State to Refrigerants and Refrigerant Mixtures	0.9540229885057471
California Energy Commission Appliances Database, Appliances Database – Refrigeration	0.9529411764705882
Canada Gazette, Part II, Statutory Instruments 2006	0.9019607843137255
Canada’s Energy Efficiency Regulations, Residential Wine Chillers (or Wine Coolers), Final Bulletin	0.9494949494949495
Clean Air Act	0.9
Clean Air Interstate Rule	0.92
Clean Air Mercury Rule	0.9545454545454546
Cold II, The revision of energy labeling and minimum energy efficiency standards for domestic refrigeration appliances, Final Report	0.9848484848484849
Commercial Building Energy Consumption Survey	0.9111111111111111
Commercial Building Energy Consumption Survey, 2003 Public Use Data Files	0.9452054794520548
Consumer Products Efficiency Standards: Engineering Analysis	0.9166666666666666
Consumer Products Efficiency Standards: Engineering Analysis Document	0.927536231884058
Department of Justice Antitrust Division Statement on the Closing of its Investigation of Whirlpool’s Acquisition of Maytag	0.943089430894309
DOE/ORNL Heat Pump Design Model	0.9032258064516129
Energy Efficiency Improvements for Refrigerator/Freezers Using Prototype Doors Containing Gas-Filled Panel Insulating Systems	0.952
Energy Efficient Refrigerator Prototype Development	0.9411764705882353
ENERGY STAR Criteria for Refrigerators: Overview of ENERGY STAR Criteria Setting Process and History of Refrigerator Criteria	0.928
Energy Star Program Requirements for Residential Refrigerators and/or Freezers	0.9487179487179487
Engineering Computer Models for Refrigerators, Freezers, Furnaces, Water Heaters, Room and Central Air Conditioners	0.9565217391304348
ERA 1.2E, EPA Refrigerator Analysis Program, User’s Manual, Report to the Environmental Protection Agency Atmospheric Pollution Prevention Division	0.9591836734693877
Federal Reserve Statistical Release, Selected Interest Rates, Historical Data, Instrument: Corporate bonds/Moody's Seasoned AAA, Frequency: Annual, Description: Moody's yield on seasoned corporate bonds - all industries, AAA	0.96875
FEMP Designated Product: Residential Refrigerators	0.92
Field Performance of Residential Refrigerators: A Comparison with the Laboratory Test.	0.9302325581395349
Final ENERGY STAR Program Requirements and Criteria for Residential Refrigerators and Freezers,	0.9368421052631579
Final Rule Technical Support Document (TSD): Energy Efficiency Standards for Consumer Products: Clothes Washers	0.954954954954955
Finite Element Analysis of Heat Transfer Through the Gasket Region of Refrigerators/Freezers	0.9456521739130435
Implementation Report: Energy Conservation Standards Activities. Submitted Pursuant to Section 141 of the Energy Policy Act of 2005	0.9618320610687023
ImSET: Impact of Sector Energy Technologies	0.9069767441860465
Market Analysis of Potential Changes to the ENERGY STAR Criteria for Refrigerators	0.926829268292683
Maximum Allowable Values of Energy Consumption and Evaluating Values of Energy Consumption for Household Refrigerators	0.9661016949152542
Multiple Pathways to Super Efficient Refrigerators	0.92
NOM-015-ENER-2002: Energy Efficiency of Household Refrigerators and Freezers. Limits, Test Methods and Labeling	0.9459459459459459
OMB Circular A-4, “Regulatory Analysis,” 	0.9024390243902439
OMB Circular A-4, Regulatory Analysis	0.8918918918918919
Opportunities for Energy Savings in the Residential and Commercial Sectors with High-Efficiency Electric Motors, Final Report	0.96
Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State, Local, and Tribal Entities	0.9603174603174603
Residential Energy Tax Credits	0.9333333333333333
Resources for Appliance Manufacturers and Retailers, Appliance Sales Data 1998–2006	0.9397590361445783
Revision of the ENERGY STAR Criteria for Residential Refrigerators and Freezers	0.9240506329113924
SEC 10-K Reports	0.95
Six Common Air Pollutants	0.92
State of the art survey of hermetic compressor technology applicable to domestic refrigerator/freezers	0.9803921568627451
Statistics of U.S. Businesses	0.9310344827586207
Survey of Consumer Finances 1989, 1992, 1995, 1998, 2001, 2004, 2007	0.9705882352941176
Survey of Consumer Finances. 1989, 1992, 1995, 1998, 2001, and 2004	0.9701492537313433
Technical Report: Analysis of Amended Energy Conservation Standards for Residential Refrigerator-Freezers	0.9523809523809523
Technical Report: Analysis of Amended Energy Conservation Standards for Residential Refrigerator-Freezers	0.9523809523809523
Technical Report: Analysis of Amended Energy Conservation Standards for Residential Refrigerator-Freezers	0.9523809523809523
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators and Furnaces	0.9619047619047619
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, & Freezers	0.968503937007874
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.9689922480620154
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.9689922480620154
The Effect of Income on Appliances in U.S. Households	0.9056603773584906
The New York State Residential Refrigerator Electrical Energy Monitoring Project: Final Report	0.9574468085106383
Allowance Prices (1995-2004), SO2 Allowance Price Index	0.9090909090909091
Energy Efficiency, Domestic refrigerators and freezers	0.9629629629629629
ENERGY STAR, Refrigerators & Freezers Key Product Criteria	0.9137931034482759
ENERGY STAR–Refrigerators & Freezers Key Product Criteria	0.9122807017543859
Estimates of Refrigerator Loads in Public Housing Based on Metered Consumption Data.	0.9523809523809523
Gas-Filled Panels – How effectively do GFPs insulate?	0.9433962264150944
Maintaining the Value of ENERGY STAR: 2006 Report	0.9183673469387755
Residential Energy Consumption Survey, 2005 Public Use Data Files	0.9538461538461539
Technical Support Document: Energy Conservation Standards for Consumer Products: Dishwashers, Clothes Washers, and Clothes Dryers	0.9612403100775194
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.9689922480620154
Tracking Study: Awareness of ENERGY STAR/EnerGuide Symbols Final Repor	0.9142857142857143
2008 Lodging Survey: Lodging Services, Facilities, and Trends	0.9344262295081968
