	NO PARSCIT CITATIONS
Harkin, Boswell want Maytag sale blocked	0.935483870967742
Justice to Extend Maytag-Whirlpool Merger Review	0.8888888888888888
The Share-of-Market Picture	0.7037037037037037
Kytlteknisk Tidskript	0.8333333333333334
Microeconomics, 5th ed.	0.9230769230769231
Appliances Database—Refrigeration	0.7931034482758621
Clean Air Markets – Data and Maps	0.7777777777777778
Current Construction Reports, C25 – New One-Family Houses Sold	0.6923076923076923
Federal Reserve Statistical Release, Selected Interest Rates, Historical Data, Instrument: CDs (secondary market), Maturity: 6-month, Frequency: Annual, Description: Average rate on 6-month negotiable certificates of deposit (secondary market), quoted on an investment basis	0.75
Federal Reserve Statistical Release, Selected Interest Rates, Historical Data, Instrument: Corporate bonds/Moody’s Seasoned AAA, Frequency: Annual, Description: Moody’s yield on seasoned corporate bonds—all industries, AAA	0.7209302325581395
Federal Reserve Statistical Release, Selected Interest Rates, Historical Data, Instrument: State and local bonds, Maturity: 20-year, Frequency: Monthly,  Description: Bond buyer go 20-bond municipal bond index 	0.8222222222222222
Historical Income Tables – Households, Table H-6	0.8181818181818181
NIST Standard Reference Database 23: NIST Thermodynamic Properties of Refrigerants and Refrigerant Mixtures Database, Version 3.0	0.6888888888888889
Reference Fluid Thermodynamic and Transport Properties	0.75
Residential Energy Consumption Survey, 1993 Public Use Data Files	0.7560975609756098
Residential Energy Consumption Survey, 1997 Public Use Data Files	0.7560975609756098
Residential Energy Consumption Survey, 2001 Public Use Data Files	0.7560975609756098
Residential Energy Consumption Survey, 2001 Public Use Microdata Files	0.7560975609756098
Residential Energy Consumption Survey, 2005Public Use Data Files	0.7560975609756098
Table 1.1.9. Implicit Price Deflators for Gross Domestic Product	0.7647058823529411
 Form EIA-861	0.7272727272727273
1997 Economic Census, Business Expenses Survey, Retail Trade, Household Appliance Stores	0.7073170731707317
American Housing Survey	0.7777777777777778
An Updated Annual Energy Outlook 2009 Reference Case Reflecting Provisions of the American Recovery and Reinvestment Act and Recent Changes in the Economic Outlook	0.7073170731707317
An Updated Annual Energy Outlook 2009 Reference Case Reflecting Provisions of the American Recovery and Reinvestment Act and Recent Changes in the Economic Outlook	0.7073170731707317
Annual Energy Outlook 2008 with Projections to 2030	0.7777777777777778
Annual Energy Outlook 2009 with Projections to 2030	0.7777777777777778
Appliance Efficiency Regulations	0.7857142857142857
Application of a Hard Sphere Equation of State to Refrigerants and Refrigerant Mixtures	0.7714285714285715
California Energy Commission Appliances Database, Appliances Database – Refrigeration	0.7647058823529411
Canada Gazette, Part II, Statutory Instruments 2006	0.6875
Canada’s Energy Efficiency Regulations, Residential Wine Chillers (or Wine Coolers), Final Bulletin	0.8378378378378378
Clean Air Act	0.7142857142857143
Clean Air Interstate Rule	0.5833333333333333
Clean Air Mercury Rule	0.6666666666666667
Cold II, The revision of energy labeling and minimum energy efficiency standards for domestic refrigeration appliances, Final Report	0.7297297297297297
Commercial Building Energy Consumption Survey	0.8125
Commercial Building Energy Consumption Survey, 2003 Public Use Data Files	0.8048780487804879
Consumer Products Efficiency Standards: Engineering Analysis	0.696969696969697
Consumer Products Efficiency Standards: Engineering Analysis Document	0.7058823529411764
Department of Justice Antitrust Division Statement on the Closing of its Investigation of Whirlpool’s Acquisition of Maytag	0.7435897435897436
DOE/ORNL Heat Pump Design Model	0.7058823529411764
Energy Efficiency Improvements for Refrigerator/Freezers Using Prototype Doors Containing Gas-Filled Panel Insulating Systems	0.7142857142857143
Energy Efficient Refrigerator Prototype Development	0.8
ENERGY STAR Criteria for Refrigerators: Overview of ENERGY STAR Criteria Setting Process and History of Refrigerator Criteria	0.5384615384615384
Energy Star Program Requirements for Residential Refrigerators and/or Freezers	0.7647058823529411
Engineering Computer Models for Refrigerators, Freezers, Furnaces, Water Heaters, Room and Central Air Conditioners	0.7837837837837838
ERA 1.2E, EPA Refrigerator Analysis Program, User’s Manual, Report to the Environmental Protection Agency Atmospheric Pollution Prevention Division	0.8048780487804879
Federal Reserve Statistical Release, Selected Interest Rates, Historical Data, Instrument: Corporate bonds/Moody's Seasoned AAA, Frequency: Annual, Description: Moody's yield on seasoned corporate bonds - all industries, AAA	0.7209302325581395
