	Department of Energy, Building Technologies Program, Mailstop EE–2J, 1000 Independence Avenue,	Delivery/Courier: Ms. Brenda Edwards,	Department of Energy, Energy Efficiency and Renewable Energy,	Department of Energy,	Designing Environmental Policy: Lessons from the Regulation of Mercury Emissions,’’ Regulatory Analysis 05–01, 57795	Statewide Residential Retrofit Single-Family Energy Efficiency Rebate Evaluation (prepared for the California Public Utilities Commission, Pacific Gas And Electric Company, San Diego Gas and Electric Company,	Consumer Product Market Progress Evaluation Report 3 (prepared for Northwest Energy Efficiency Alliance,	was not able to identify consumer 57796 Federal Register /	Forecasting Group. Analysis of Tax Credits for Efficient Equipment	New Product Development: The Pipeline for Future ENERGY STAR Growth,’’	Submitted to Northeast Utilities—Connecticut Light and Power and the United Illuminating Company by	modeled this policy by applying a 4-percent increase in the replacement 57799 Federal Register /	of UMRA authorizes an agency to respond to the content requirements of UMRA in any other statement or analysis that accompanies the supplemental notice. 2 U.S.C. 1532(c). The content requirements of section 202(b) of UMRA relevant to a private sector mandate substantially overlap the economic analysis requirements that apply under section 325(o) of EPCA and Executive Order 12866. The Supplementary Information section of this supplemental notice and the ‘‘Regulatory Impact Analysis’’ Act,	Review Under Executive Order 12630 DOE determined, under Executive Order 12630, ‘‘Governmental Actions and Interference with Constitutionally Protected Property Rights,’’	DOE received no comments concerning Executive Order 12630 in K. Review Under Executive Order 13211 Executive Order 13211, ‘‘Actions Concerning Regulations That Significantly Affect Energy Supply, Distribution, or Use,’’ 66 FR	Cathy Zoi, Assistant Secretary, Energy Efficiency and Renewable Energy. 1. The authority citation for part 431 continues to read as follows: Authority:
Energy Efficiency Standards for  Consumer Products: Residential Central Air  Conditioners and Heat Pumps	0.8076923076923077	0.8173076923076923	0.7884615384615384	0.8846153846153846	0.8103448275862069	0.7115384615384616	0.8653846153846154	0.75	0.7788461538461539	0.8173076923076923	0.8557692307692307	0.8173076923076923	0.8577235772357723	0.7470588235294118	0.7911111111111111	0.7549668874172185
2006 RFC/  AWWA Water and Wastewater Rate Survey	0.851063829787234	0.8333333333333334	0.819672131147541	0.875	0.853448275862069	0.8798076923076923	0.7980769230769231	0.8448275862068966	0.803030303030303	0.8285714285714286	0.797979797979798	0.8125	0.9329268292682927	0.8588235294117647	0.8844444444444445	0.8410596026490066
Analysis of Tax Credits for  Efficient Equipment	0.7978723404255319	0.8125	0.7377049180327869	0.8333333333333334	0.8189655172413793	0.8509615384615384	0.7596153846153846	0.7931034482758621	0.30303030303030304	0.7857142857142857	0.8080808080808081	0.78125	0.9186991869918699	0.8647058823529412	0.88	0.8278145695364238
Assessment of High-Performance, Family-Sized  Commercial Clothes Washers	0.7978723404255319	0.8472222222222222	0.75	0.8472222222222222	0.8103448275862069	0.8028846153846154	0.8173076923076923	0.8055555555555556	0.8472222222222222	0.9027777777777778	0.8080808080808081	0.8020833333333334	0.8963414634146342	0.8176470588235294	0.8444444444444444	0.8079470198675497
California�s Secret  Energy Surplus: The Potential for Energy Efficiency	1.0	0.8055555555555556	0.7222222222222222	0.7916666666666666	1.0	0.7980769230769231	0.6730769230769231	0.7777777777777778	0.75	1.0	1.0	0.7708333333333334	1.0	1.0	1.0	0.7284768211920529
Commercial  Family-Sized Washers: An Initiative Description of  the Consortium for Energy Efficiency	0.88	0.85	0.78	0.83	0.7931034482758621	0.7692307692307693	0.7115384615384616	0.79	0.73	0.83	0.85	0.81	0.8617886178861789	0.7823529411764706	0.7911111111111111	0.7682119205298014
Consumer Product Market Progress  Evaluation Report 3	0.7872340425531915	0.7735849056603774	0.8524590163934426	0.7924528301886793	0.8017241379310345	0.8557692307692307	0.5096153846153846	0.8448275862068966	0.7727272727272727	0.7857142857142857	0.797979797979798	0.78125	0.9126016260162602	0.8235294117647058	0.8577777777777778	0.8278145695364238
Customer Decision Study: Analysis of  Residential Customer Equipment Purchase  Decisions	0.8404255319148937	0.8409090909090909	0.7954545454545454	0.8636363636363636	0.7758620689655172	0.7932692307692307	0.7788461538461539	0.7272727272727273	0.625	0.8181818181818182	0.8080808080808081	0.7395833333333334	0.8678861788617886	0.7941176470588235	0.8133333333333334	0.7748344370860927
Impact, Process,  and Market Study of the Connecticut Appliance  Retirement Program: Overall Report, Final	0.8490566037735849	0.8584905660377359	0.7924528301886793	0.8584905660377359	0.8103448275862069	0.7836538461538461	0.8113207547169812	0.7452830188679245	0.7924528301886793	0.7735849056603774	0.7924528301886793	0.7735849056603774	0.8577235772357723	0.7764705882352941	0.8088888888888889	0.7748344370860927
New Product  Development: The Pipeline for Future ENERGY  STAR Growth	0.8191489361702128	0.8260869565217391	0.8405797101449275	0.8260869565217391	0.7931034482758621	0.8317307692307693	0.7115384615384616	0.7971014492753623	0.8405797101449275	0.07142857142857142	0.8080808080808081	0.8125	0.9004065040650406	0.8058823529411765	0.8533333333333334	0.7947019867549668
Statewide  Residential Retrofit Single-Family Energy Efficiency  Rebate Evaluation	0.8085106382978723	0.8170731707317073	0.6341463414634146	0.8292682926829268	0.7413793103448276	0.625	0.75	0.7926829268292683	0.7439024390243902	0.8414634146341463	0.797979797979798	0.8125	0.8800813008130082	0.8	0.8177777777777778	0.7682119205298014
Energy efficiency and consumption�the rebound  effect�a survey	1.0	0.7903225806451613	0.8387096774193549	0.8387096774193549	1.0	0.8028846153846154	0.7788461538461539	0.7903225806451613	0.8333333333333334	1.0	1.0	0.7604166666666666	1.0	1.0	1.0	0.7417218543046358
