	Department of Energy, Building Technologies Program, Mailstop EE–2J, 1000 Independence Avenue,	Delivery/Courier: Ms. Brenda Edwards,	Department of Energy, Energy Efficiency and Renewable Energy,	Department of Energy,	Designing Environmental Policy: Lessons from the Regulation of Mercury Emissions,’’ Regulatory Analysis 05–01, 57795	Statewide Residential Retrofit Single-Family Energy Efficiency Rebate Evaluation (prepared for the California Public Utilities Commission, Pacific Gas And Electric Company, San Diego Gas and Electric Company,	Consumer Product Market Progress Evaluation Report 3 (prepared for Northwest Energy Efficiency Alliance,	was not able to identify consumer 57796 Federal Register /	Forecasting Group. Analysis of Tax Credits for Efficient Equipment	New Product Development: The Pipeline for Future ENERGY STAR Growth,’’	Submitted to Northeast Utilities—Connecticut Light and Power and the United Illuminating Company by	modeled this policy by applying a 4-percent increase in the replacement 57799 Federal Register /	of UMRA authorizes an agency to respond to the content requirements of UMRA in any other statement or analysis that accompanies the supplemental notice. 2 U.S.C. 1532(c). The content requirements of section 202(b) of UMRA relevant to a private sector mandate substantially overlap the economic analysis requirements that apply under section 325(o) of EPCA and Executive Order 12866. The Supplementary Information section of this supplemental notice and the ‘‘Regulatory Impact Analysis’’ Act,	Review Under Executive Order 12630 DOE determined, under Executive Order 12630, ‘‘Governmental Actions and Interference with Constitutionally Protected Property Rights,’’	DOE received no comments concerning Executive Order 12630 in K. Review Under Executive Order 13211 Executive Order 13211, ‘‘Actions Concerning Regulations That Significantly Affect Energy Supply, Distribution, or Use,’’ 66 FR	Cathy Zoi, Assistant Secretary, Energy Efficiency and Renewable Energy. 1. The authority citation for part 431 continues to read as follows: Authority:
Energy Efficiency Standards for  Consumer Products: Residential Central Air  Conditioners and Heat Pumps	0.6599999999999999	0.6	0.6	0.62	0.62	0.49	0.64	0.56	0.63	0.63	0.63	0.65	0.5700000000000001	0.5700000000000001	0.61	0.5
2006 RFC/  AWWA Water and Wastewater Rate Survey	0.73	0.73	0.65	0.62	0.71	0.65	0.6699999999999999	0.69	0.71	0.73	0.65	0.65	0.5900000000000001	0.63	0.65	0.65
Analysis of Tax Credits for  Efficient Equipment	0.65	0.6799999999999999	0.5900000000000001	0.62	0.65	0.5700000000000001	0.5700000000000001	0.63	0.020000000000000018	0.69	0.63	0.5700000000000001	0.48	0.63	0.63	0.53
Assessment of High-Performance, Family-Sized  Commercial Clothes Washers	0.64	0.65	0.63	0.53	0.64	0.62	0.64	0.63	0.69	0.6799999999999999	0.64	0.64	0.56	0.6	0.69	0.63
California�s Secret  Energy Surplus: The Potential for Energy Efficiency	0.0	0.65	0.51	0.39	0.0	0.53	0.48	0.64	0.55	0.0	0.0	0.62	0.0	0.0	0.0	0.53
Commercial  Family-Sized Washers: An Initiative Description of  the Consortium for Energy Efficiency	0.7	0.71	0.53	0.43000000000000005	0.62	0.5900000000000001	0.53	0.63	0.5700000000000001	0.69	0.62	0.63	0.6	0.62	0.64	0.6
Consumer Product Market Progress  Evaluation Report 3	0.61	0.6799999999999999	0.6799999999999999	0.62	0.55	0.5	0.020000000000000018	0.65	0.63	0.5700000000000001	0.63	0.6699999999999999	0.61	0.61	0.61	0.63
Customer Decision Study: Analysis of  Residential Customer Equipment Purchase  Decisions	0.64	0.6799999999999999	0.64	0.62	0.63	0.61	0.65	0.5700000000000001	0.41000000000000003	0.6799999999999999	0.65	0.6	0.5700000000000001	0.63	0.62	0.62
Impact, Process,  and Market Study of the Connecticut Appliance  Retirement Program: Overall Report, Final	0.63	0.65	0.6	0.5800000000000001	0.64	0.62	0.62	0.5900000000000001	0.6	0.6599999999999999	0.5900000000000001	0.5800000000000001	0.55	0.62	0.65	0.62
New Product  Development: The Pipeline for Future ENERGY  STAR Growth	0.6599999999999999	0.65	0.6599999999999999	0.5800000000000001	0.63	0.6699999999999999	0.56	0.64	0.69	0.030000000000000027	0.6699999999999999	0.69	0.63	0.6599999999999999	0.6599999999999999	0.63
Statewide  Residential Retrofit Single-Family Energy Efficiency  Rebate Evaluation	0.6599999999999999	0.65	0.4	0.53	0.6	0.030000000000000027	0.55	0.5900000000000001	0.5700000000000001	0.6799999999999999	0.5900000000000001	0.65	0.6	0.6	0.5800000000000001	0.48
Energy efficiency and consumption�the rebound  effect�a survey	0.0	0.65	0.55	0.62	0.0	0.47	0.62	0.61	0.62	0.0	0.0	0.5700000000000001	0.0	0.0	0.0	0.49
