	Department of Energy, Building Technologies Program, Mailstop EE–2J, 1000 Independence Avenue,	Delivery/Courier: Ms. Brenda Edwards,	Department of Energy, Energy Efficiency and Renewable Energy,	Department of Energy,	Designing Environmental Policy: Lessons from the Regulation of Mercury Emissions,’’ Regulatory Analysis 05–01, 57795	Statewide Residential Retrofit Single-Family Energy Efficiency Rebate Evaluation (prepared for the California Public Utilities Commission, Pacific Gas And Electric Company, San Diego Gas and Electric Company,	Consumer Product Market Progress Evaluation Report 3 (prepared for Northwest Energy Efficiency Alliance,	was not able to identify consumer 57796 Federal Register /	Forecasting Group. Analysis of Tax Credits for Efficient Equipment	New Product Development: The Pipeline for Future ENERGY STAR Growth,’’	Submitted to Northeast Utilities—Connecticut Light and Power and the United Illuminating Company by	modeled this policy by applying a 4-percent increase in the replacement 57799 Federal Register /	of UMRA authorizes an agency to respond to the content requirements of UMRA in any other statement or analysis that accompanies the supplemental notice. 2 U.S.C. 1532(c). The content requirements of section 202(b) of UMRA relevant to a private sector mandate substantially overlap the economic analysis requirements that apply under section 325(o) of EPCA and Executive Order 12866. The Supplementary Information section of this supplemental notice and the ‘‘Regulatory Impact Analysis’’ Act,	Review Under Executive Order 12630 DOE determined, under Executive Order 12630, ‘‘Governmental Actions and Interference with Constitutionally Protected Property Rights,’’	DOE received no comments concerning Executive Order 12630 in K. Review Under Executive Order 13211 Executive Order 13211, ‘‘Actions Concerning Regulations That Significantly Affect Energy Supply, Distribution, or Use,’’ 66 FR	Cathy Zoi, Assistant Secretary, Energy Efficiency and Renewable Energy. 1. The authority citation for part 431 continues to read as follows: Authority:
Energy Efficiency Standards for  Consumer Products: Residential Central Air  Conditioners and Heat Pumps	0.30000000000000004	0.3877551020408163	0.25	0.36585365853658536	0.30000000000000004	0.21311475409836067	0.2068965517241379	0.3076923076923077	0.2075471698113207	0.29824561403508776	0.2592592592592593	0.34615384615384615	0.3513513513513513	0.303030303030303	0.33333333333333337	0.22033898305084743
2006 RFC/  AWWA Water and Wastewater Rate Survey	0.5	0.4222222222222223	0.5454545454545454	0.6216216216216216	0.5357142857142857	0.4035087719298246	0.4444444444444444	0.375	0.4693877551020408	0.5094339622641509	0.48	0.5	0.48571428571428577	0.4193548387096774	0.3846153846153846	0.4545454545454546
Analysis of Tax Credits for  Efficient Equipment	0.29824561403508776	0.3913043478260869	0.28888888888888886	0.368421052631579	0.4035087719298246	0.31034482758620685	0.2727272727272727	0.34693877551020413	0.07999999999999996	0.37037037037037035	0.33333333333333337	0.3877551020408163	0.352112676056338	0.33333333333333337	0.33333333333333337	0.2857142857142857
Assessment of High-Performance, Family-Sized  Commercial Clothes Washers	0.34426229508196726	0.48	0.34693877551020413	0.4285714285714286	0.3770491803278688	0.22580645161290325	0.288135593220339	0.3584905660377359	0.2962962962962963	0.3793103448275862	0.3090909090909091	0.3207547169811321	0.3866666666666667	0.3731343283582089	0.37142857142857144	0.33333333333333337
California�s Secret  Energy Surplus: The Potential for Energy Efficiency	1.0	0.4042553191489362	0.34782608695652173	0.3846153846153846	1.0	0.288135593220339	0.2857142857142857	0.4	0.2549019607843137	1.0	1.0	0.4	1.0	1.0	1.0	0.22807017543859653
Commercial  Family-Sized Washers: An Initiative Description of  the Consortium for Energy Efficiency	0.2615384615384615	0.37037037037037035	0.3207547169811321	0.3913043478260869	0.32307692307692304	0.18181818181818177	0.2698412698412699	0.368421052631579	0.24137931034482762	0.29032258064516125	0.288135593220339	0.33333333333333337	0.3417721518987342	0.295774647887324	0.29729729729729726	0.28125
Consumer Product Market Progress  Evaluation Report 3	0.31034482758620685	0.36170212765957444	0.30434782608695654	0.4358974358974359	0.3448275862068966	0.288135593220339	0.1428571428571429	0.36	0.2941176470588235	0.38181818181818183	0.3076923076923077	0.36	0.36111111111111116	0.3125	0.3731343283582089	0.33333333333333337
Customer Decision Study: Analysis of  Residential Customer Equipment Purchase  Decisions	0.2786885245901639	0.36	0.26530612244897955	0.38095238095238093	0.2786885245901639	0.19354838709677424	0.22033898305084743	0.3584905660377359	0.2222222222222222	0.24137931034482762	0.2727272727272727	0.3584905660377359	0.33333333333333337	0.28358208955223885	0.3142857142857143	0.23333333333333328
Impact, Process,  and Market Study of the Connecticut Appliance  Retirement Program: Overall Report, Final	0.24242424242424243	0.38181818181818183	0.33333333333333337	0.44680851063829785	0.2727272727272727	0.19402985074626866	0.15625	0.3448275862068966	0.288135593220339	0.2698412698412699	0.2666666666666667	0.3448275862068966	0.275	0.25	0.28	0.2615384615384615
New Product  Development: The Pipeline for Future ENERGY  STAR Growth	0.33333333333333337	0.46153846153846156	0.33333333333333337	0.5	0.3650793650793651	0.21875	0.2786885245901639	0.4181818181818182	0.3214285714285714	0.033333333333333326	0.368421052631579	0.4545454545454546	0.4285714285714286	0.33333333333333337	0.33333333333333337	0.32258064516129037
Statewide  Residential Retrofit Single-Family Energy Efficiency  Rebate Evaluation	0.35593220338983056	0.375	0.19148936170212771	0.4	0.35593220338983056	0.16666666666666663	0.26315789473684215	0.17647058823529416	0.2692307692307693	0.3214285714285714	0.28301886792452835	0.2549019607843137	0.3972602739726028	0.3538461538461538	0.2941176470588235	0.27586206896551724
Energy efficiency and consumption�the rebound  effect�a survey	1.0	0.4222222222222223	0.2272727272727273	0.29729729729729726	1.0	0.26315789473684215	0.2592592592592593	0.29166666666666663	0.26530612244897955	1.0	1.0	0.29166666666666663	1.0	1.0	1.0	0.3090909090909091
