	Clash in Alabama Over Tennessee Coal Ash,‚Äù The New York Times,	Plant-by-plant disaggregated data comparison to statewide benchmarks	State-by-state aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3: On a plant-by-plant basis, EPA compared the plant ZCTA percentage children, to the respective statewide average percentage children. Step 4: For purpose of summary, EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below. There are no data displayed for DC, ID, RI or VT because there are no coal-fired electric utility plants in those states.	administration, and enforcement costs to RCRA-authorized state government programs/agencies. Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132, not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA. EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods (i.e., numerical tests) for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù:	25 million test: Annualized direct compliance cost expenditures to state/local governments	1% test: Annualized direct compliance costs faced by state/local governments is likely to equal or exceed 1% of their annual revenues* [* Note: Page 29 of ‚ÄúAttachment A: Guidance for Implementing the Federalism 1% Test‚Äù to EPA‚Äôs Nov	Private sector $100 million direct cost threshold test	State/local government $100 million direct cost threshold test*	25 million threshold test: sub-total State/Local govt cost $96.7	State/local govt cost as percentage of State/Local government electric utility annual revenues	227% 0.131% 0.215% **Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plant-by-plant internet research on type of ownership. Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Coal Ash Disposal Varies From Company to Company	0.5517241379310345	0.4814814814814815	0.4814814814814815	0.5869565217391304	0.7037037037037037	0.5666666666666667	0.6595744680851063	0.5384615384615384	0.5862068965517242	0.6756756756756757	0.5185185185185186	0.6363636363636364
Shocking Electricity Prices Follow Deregulation	0.6363636363636364	0.37037037037037035	0.37037037037037035	0.5217391304347826	0.6481481481481481	0.6060606060606061	0.5957446808510638	0.5357142857142857	0.5333333333333333	0.5945945945945945	0.4642857142857143	0.5681818181818181
Coal Plant O&M: Retrofit Flyash-Handling System Pays Dividends	0.631578947368421	0.5	0.5	0.4693877551020408	0.5714285714285714	0.6052631578947368	0.6226415094339622	0.5454545454545454	0.5428571428571429	0.5609756097560976	0.5294117647058824	0.5416666666666667
Arsenic in Drinking Water: 2001 Update	0.7428571428571429	0.5666666666666667	0.5666666666666667	0.6862745098039216	0.6909090909090909	0.5	0.6458333333333333	0.5714285714285714	0.5666666666666667	0.6578947368421053	0.6451612903225806	0.6521739130434783
Definitions of “inactive” and “abandoned” coal waste impoundments	1.0	0.4642857142857143	0.4642857142857143	0.6041666666666667	1.0	0.5	1.0	0.5185185185185186	0.5666666666666667	0.5833333333333333	0.4444444444444444	1.0
2007 Economic Census	0.7241379310344828	0.7142857142857143	0.7142857142857143	0.75	0.7254901960784313	0.6428571428571428	0.7659574468085106	0.625	0.6666666666666667	0.6666666666666667	0.6538461538461539	0.6585365853658536
EIA-767	0.9642857142857143	0.962962962962963	0.962962962962963	0.8936170212765957	0.9038461538461539	0.9655172413793104	0.9361702127659575	1.0	1.0	0.9090909090909091	1.0	0.9069767441860466
EIA-860 	0.9310344827586207	0.9285714285714286	0.9285714285714286	0.8979591836734694	0.8653846153846154	0.9333333333333333	0.9166666666666666	0.92	0.9285714285714286	0.9142857142857143	0.9642857142857143	0.8863636363636364
EIA-923	0.9655172413793104	0.9642857142857143	0.9642857142857143	0.8958333333333334	0.8627450980392157	0.9310344827586207	0.8913043478260869	1.0	1.0	0.9117647058823529	1.0	0.8837209302325582
Electric Power Monthly 	0.6896551724137931	0.45833333333333337	0.52	0.7021276595744681	0.7307692307692308	0.7	0.7173913043478262	0.5217391304347826	0.6296296296296297	0.7142857142857143	0.6153846153846154	0.6666666666666667
