	Clash in Alabama Over Tennessee Coal Ash,‚Äù The New York Times,	Plant-by-plant disaggregated data comparison to statewide benchmarks	State-by-state aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3: On a plant-by-plant basis, EPA compared the plant ZCTA percentage children, to the respective statewide average percentage children. Step 4: For purpose of summary, EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below. There are no data displayed for DC, ID, RI or VT because there are no coal-fired electric utility plants in those states.	administration, and enforcement costs to RCRA-authorized state government programs/agencies. Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132, not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA. EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods (i.e., numerical tests) for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù:	25 million test: Annualized direct compliance cost expenditures to state/local governments	1% test: Annualized direct compliance costs faced by state/local governments is likely to equal or exceed 1% of their annual revenues* [* Note: Page 29 of ‚ÄúAttachment A: Guidance for Implementing the Federalism 1% Test‚Äù to EPA‚Äôs Nov	Private sector $100 million direct cost threshold test	State/local government $100 million direct cost threshold test*	25 million threshold test: sub-total State/Local govt cost $96.7	State/local govt cost as percentage of State/Local government electric utility annual revenues	227% 0.131% 0.215% **Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plant-by-plant internet research on type of ownership. Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Coal Ash Disposal Varies From Company to Company	0.8064516129032258	0.7794117647058824	0.7887323943661971	0.9180672268907563	0.9413489736070382	0.7777777777777778	0.8836206896551724	0.8518518518518519	0.8253968253968254	0.8125	0.7978723404255319	0.8754863813229572
Shocking Electricity Prices Follow Deregulation	0.7903225806451613	0.8088235294117647	0.8169014084507042	0.9180672268907563	0.9413489736070382	0.8	0.8836206896551724	0.7777777777777778	0.7619047619047619	0.84375	0.7978723404255319	0.8793774319066148
Coal Plant O&M: Retrofit Flyash-Handling System Pays Dividends	0.8387096774193549	0.7941176470588235	0.8169014084507042	0.9096638655462185	0.9296187683284457	0.7666666666666667	0.853448275862069	0.8387096774193549	0.8571428571428571	0.875	0.7872340425531915	0.8715953307392996
Arsenic in Drinking Water: 2001 Update	0.8225806451612904	0.8382352941176471	0.8309859154929577	0.9411764705882353	0.9530791788856305	0.8222222222222222	0.896551724137931	0.7592592592592593	0.7777777777777778	0.84375	0.8404255319148937	0.9027237354085603
Definitions of “inactive” and “abandoned” coal waste impoundments	1.0	0.7647058823529411	0.7605633802816901	0.8991596638655462	1.0	0.7333333333333333	1.0	0.7538461538461538	0.8153846153846154	0.8307692307692308	0.7659574468085106	1.0
2007 Economic Census	0.8870967741935484	0.8529411764705882	0.8591549295774648	0.9684873949579832	0.9736070381231672	0.8666666666666667	0.9396551724137931	0.8333333333333334	0.8571428571428571	0.875	0.8723404255319149	0.9299610894941635
EIA-767	0.9838709677419355	0.9852941176470589	0.9859154929577465	0.9936974789915967	0.9956011730205279	0.9888888888888889	0.9913793103448276	1.0	1.0	0.953125	1.0	0.9883268482490273
EIA-860 	0.967741935483871	0.9705882352941176	0.971830985915493	0.9915966386554622	0.9926686217008798	0.9777777777777777	0.9913793103448276	0.9629629629629629	0.9682539682539683	0.96875	0.9893617021276596	0.9844357976653697
EIA-923	0.9838709677419355	0.9852941176470589	0.9859154929577465	0.9936974789915967	0.9926686217008798	0.9888888888888889	0.9913793103448276	1.0	1.0	0.96875	1.0	0.9883268482490273
Electric Power Monthly 	0.8548387096774194	0.8382352941176471	0.8591549295774648	0.9558823529411765	0.967741935483871	0.8333333333333334	0.9224137931034483	0.7592592592592593	0.8095238095238095	0.84375	0.851063829787234	0.9299610894941635
Engineering-News Record Construction Cost Index	0.8064516129032258	0.7794117647058824	0.7746478873239436	0.9201680672268907	0.9428152492668622	0.7888888888888889	0.875	0.8148148148148148	0.8095238095238095	0.78125	0.7872340425531915	0.8832684824902723
RCRA	0.967741935483871	1.0	1.0	0.9957983193277311	0.9941348973607038	0.9888888888888889	0.9956896551724138	1.0	1.0	1.0	1.0	0.9844357976653697
RCRA Biennial Hazardous Waste Reports	0.7741935483870968	0.7647058823529411	0.7746478873239436	0.9390756302521008	0.9516129032258065	0.7888888888888889	0.8922413793103449	0.8148148148148148	0.7936507936507936	0.828125	0.851063829787234	0.8988326848249028
RCRA National Analysis Biennial Hazardous Waste Report	0.8225806451612904	0.7941176470588235	0.7887323943661971	0.9138655462184874	0.9310850439882697	0.7444444444444445	0.8620689655172413	0.8888888888888888	0.8253968253968254	0.796875	0.8191489361702128	0.8754863813229572
