	Clash in Alabama Over Tennessee Coal Ash,‚Äù The New York Times,	Plant-by-plant disaggregated data comparison to statewide benchmarks	State-by-state aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3: On a plant-by-plant basis, EPA compared the plant ZCTA percentage children, to the respective statewide average percentage children. Step 4: For purpose of summary, EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below. There are no data displayed for DC, ID, RI or VT because there are no coal-fired electric utility plants in those states.	administration, and enforcement costs to RCRA-authorized state government programs/agencies. Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132, not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA. EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods (i.e., numerical tests) for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù:	25 million test: Annualized direct compliance cost expenditures to state/local governments	1% test: Annualized direct compliance costs faced by state/local governments is likely to equal or exceed 1% of their annual revenues* [* Note: Page 29 of ‚ÄúAttachment A: Guidance for Implementing the Federalism 1% Test‚Äù to EPA‚Äôs Nov	Private sector $100 million direct cost threshold test	State/local government $100 million direct cost threshold test*	25 million threshold test: sub-total State/Local govt cost $96.7	State/local govt cost as percentage of State/Local government electric utility annual revenues	227% 0.131% 0.215% **Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plant-by-plant internet research on type of ownership. Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Coal Ash Disposal Varies From Company to Company	0.38095238095238093	0.31707317073170727	0.31707317073170727	0.41538461538461535	0.5428571428571429	0.39534883720930236	0.4920634920634921	0.368421052631579	0.41463414634146345	0.5102040816326531	0.35	0.4666666666666667
Shocking Electricity Prices Follow Deregulation	0.4666666666666667	0.2272727272727273	0.2272727272727273	0.3529411764705882	0.4794520547945206	0.4347826086956522	0.4242424242424242	0.36585365853658536	0.36363636363636365	0.42307692307692313	0.3023255813953488	0.39682539682539686
Coal Plant O&M: Retrofit Flyash-Handling System Pays Dividends	0.46153846153846156	0.33333333333333337	0.33333333333333337	0.30666666666666664	0.4	0.4339622641509434	0.452054794520548	0.375	0.37254901960784315	0.38983050847457623	0.36	0.37142857142857144
Arsenic in Drinking Water: 2001 Update	0.5909090909090908	0.39534883720930236	0.39534883720930236	0.5223880597014925	0.5277777777777778	0.33333333333333337	0.4769230769230769	0.4	0.39534883720930236	0.4901960784313726	0.47619047619047616	0.4838709677419355
Definitions of “inactive” and “abandoned” coal waste impoundments	1.0	0.3023255813953488	0.3023255813953488	0.4328358208955224	1.0	0.33333333333333337	1.0	0.35	0.39534883720930236	0.4117647058823529	0.2857142857142857	1.0
2007 Economic Census	0.5675675675675675	0.5555555555555556	0.5555555555555556	0.6	0.5692307692307692	0.4736842105263158	0.6206896551724138	0.4545454545454546	0.5	0.5	0.48571428571428577	0.49090909090909096
EIA-767	0.9310344827586207	0.9285714285714286	0.9285714285714286	0.8076923076923077	0.8245614035087719	0.9333333333333333	0.88	1.0	1.0	0.8333333333333334	1.0	0.8297872340425532
EIA-860 	0.8709677419354839	0.8666666666666667	0.8666666666666667	0.8148148148148149	0.7627118644067796	0.875	0.8461538461538461	0.8518518518518519	0.8666666666666667	0.8421052631578947	0.9310344827586207	0.7959183673469388
EIA-923	0.9333333333333333	0.9310344827586207	0.9310344827586207	0.8113207547169812	0.7586206896551724	0.8709677419354839	0.803921568627451	1.0	1.0	0.8378378378378378	1.0	0.7916666666666666
Electric Power Monthly 	0.5263157894736843	0.29729729729729726	0.3513513513513513	0.540983606557377	0.5757575757575757	0.5384615384615384	0.5593220338983051	0.3529411764705882	0.45945945945945943	0.5555555555555556	0.4444444444444444	0.5
Engineering-News Record Construction Cost Index	0.5348837209302326	0.38095238095238093	0.38095238095238093	0.3939393939393939	0.46478873239436624	0.40909090909090906	0.5	0.4871794871794872	0.47619047619047616	0.48	0.46341463414634143	0.4426229508196722
RCRA	0.8461538461538461	1.0	1.0	0.8775510204081632	0.8888888888888888	0.9259259259259259	0.9574468085106383	1.0	1.0	1.0	1.0	0.8636363636363636
RCRA Biennial Hazardous Waste Reports	0.4883720930232558	0.4285714285714286	0.4285714285714286	0.5151515151515151	0.5211267605633803	0.31818181818181823	0.53125	0.4358974358974359	0.47619047619047616	0.52	0.41463414634146345	0.4426229508196722
RCRA National Analysis Biennial Hazardous Waste Report	0.4666666666666667	0.40909090909090906	0.40909090909090906	0.47058823529411764	0.5068493150684932	0.34782608695652173	0.48484848484848486	0.46341463414634143	0.5	0.5384615384615384	0.39534883720930236	0.4285714285714286
US Geological Survey, 2006, “Quarternary Fault and Fold Database for the United States”	1.0	0.39622641509433965	0.3584905660377359	0.4025974025974026	1.0	0.4181818181818182	1.0	0.4	0.3584905660377359	0.34426229508196726	0.34615384615384615	1.0
“Steam Electric Power Generating Point Source Category: 2007/2008 Detailed Study Report	1.0	0.3584905660377359	0.3584905660377359	0.35064935064935066	1.0	0.34545454545454546	1.0	0.43999999999999995	0.39622641509433965	0.3770491803278688	0.34615384615384615	1.0
2008 3rd quarter estimate of 2008 US GDP	0.6444444444444444	0.5	0.5	0.5294117647058824	0.5068493150684932	0.4782608695652174	0.5151515151515151	0.41463414634146345	0.4545454545454546	0.5	0.4418604651162791	0.46031746031746035
2020 Corrective Action Universe	0.4736842105263158	0.5135135135135135	0.5135135135135135	0.6065573770491803	0.5757575757575757	0.3846153846153846	0.5932203389830508	0.3529411764705882	0.4054054054054054	0.5111111111111111	0.4444444444444444	0.5357142857142857
Analysis of Non-Utility Coal Combustion Waste Generation and Management Based on the 2001 CIBO Voluntary Survey	0.4137931034482759	0.4035087719298246	0.368421052631579	0.33333333333333337	0.34883720930232553	0.423728813559322	0.36708860759493667	0.40740740740740744	0.368421052631579	0.3846153846153846	0.3928571428571429	0.3157894736842105
