	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
A Tainted Mining Town Dies as Residents Are Paid to Leave	0.5675675675675675	0.4482758620689655	0.5833333333333333	0.5517241379310345	0.46153846153846156	0.627906976744186	0.4864864864864865	0.5833333333333333	0.53125	0.5588235294117647	0.6060606060606061	0.5	0.5833333333333333	0.53125	0.5294117647058824	0.5151515151515151	0.5757575757575757	0.5555555555555556	0.6818181818181819	0.5675675675675675	0.5666666666666667	0.5517241379310345	0.641025641025641	0.5384615384615384	0.5833333333333333	0.5384615384615384	0.5384615384615384	0.6	0.5897435897435898	0.6111111111111112	0.5384615384615384	0.5384615384615384	0.5641025641025641	0.5675675675675675	0.6363636363636364	0.5897435897435898	0.5909090909090908	0.5833333333333333	0.6	0.6296296296296297
How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses	0.475	0.5675675675675675	0.4871794871794872	0.5294117647058824	0.6285714285714286	0.40476190476190477	0.4	0.4871794871794872	0.4722222222222222	0.03448275862068961	0.5789473684210527	0.53125	0.4871794871794872	0.4285714285714286	0.38888888888888884	0.5	0.4722222222222222	0.46153846153846156	0.5	0.4358974358974359	0.5	0.6486486486486487	0.5121951219512195	0.5161290322580645	0.4871794871794872	0.5161290322580645	0.5161290322580645	0.5384615384615384	0.5	0.4736842105263158	0.5161290322580645	0.5161290322580645	0.47619047619047616	0.5121951219512195	0.48888888888888893	0.5	0.5106382978723405	0.525	0.5294117647058824	0.6363636363636364
Lead Kills Mining Town	0.6285714285714286	0.5714285714285714	0.6060606060606061	0.5769230769230769	0.5416666666666667	0.7441860465116279	0.6216216216216216	0.6857142857142857	0.6	0.6666666666666667	0.71875	0.64	0.6857142857142857	0.5517241379310345	0.6363636363636364	0.5806451612903225	0.6451612903225806	0.6571428571428571	0.7674418604651163	0.6285714285714286	0.5925925925925926	0.52	0.7027027027027026	0.6799999999999999	0.6857142857142857	0.6799999999999999	0.6799999999999999	0.7058823529411764	0.717948717948718	0.75	0.6799999999999999	0.6799999999999999	0.6923076923076923	0.7027027027027026	0.75	0.717948717948718	0.7333333333333334	0.6470588235294117	0.7241379310344828	0.6086956521739131
AQS database	0.7714285714285715	0.7037037037037037	0.7941176470588236	0.72	0.75	0.8048780487804879	0.7894736842105263	0.7575757575757576	0.7666666666666666	0.78125	0.7586206896551724	0.7391304347826086	0.7941176470588236	0.8064516129032258	0.75	0.78125	0.8064516129032258	0.8333333333333334	0.8	0.7352941176470589	0.7307692307692308	0.6666666666666667	0.8055555555555556	0.782608695652174	0.71875	0.782608695652174	0.782608695652174	0.78125	0.7837837837837838	0.8235294117647058	0.782608695652174	0.782608695652174	0.7222222222222222	0.7714285714285715	0.7804878048780488	0.7142857142857143	0.8181818181818181	0.7575757575757576	0.72	0.7727272727272727
Population by Single Year of Age CD	0.6153846153846154	0.6060606060606061	0.5945945945945945	0.5172413793103448	0.4814814814814815	0.5714285714285714	0.5	0.47058823529411764	0.5454545454545454	0.5294117647058824	0.5757575757575757	0.5185185185185186	0.5945945945945945	0.5454545454545454	0.5428571428571429	0.5294117647058824	0.5882352941176471	0.48571428571428577	0.627906976744186	0.5789473684210527	0.5333333333333333	0.65625	0.5405405405405406	0.5	0.5142857142857142	0.5	0.5	0.5294117647058824	0.5641025641025641	0.5833333333333333	0.5	0.5	0.575	0.5789473684210527	0.6136363636363636	0.5263157894736843	0.5681818181818181	0.4242424242424242	0.045454545454545414	0.6428571428571428
Total Suspended Particle NAAQS Review Database	0.5128205128205128	0.3870967741935484	0.4864864864864865	0.5757575757575757	0.5483870967741935	0.5777777777777777	0.475	0.4864864864864865	0.47058823529411764	0.5	0.5	0.48275862068965514	0.5263157894736843	0.5142857142857142	0.5135135135135135	0.5405405405405406	0.5555555555555556	0.5	0.5681818181818181	0.4736842105263158	0.5	0.4838709677419355	0.5853658536585367	0.5666666666666667	0.4864864864864865	0.5666666666666667	0.5666666666666667	0.5789473684210527	0.5	0.5526315789473684	0.5666666666666667	0.5666666666666667	0.4358974358974359	0.5853658536585367	0.4883720930232558	0.42105263157894735	0.5434782608695652	0.4864864864864865	0.4838709677419355	0.6875
Air Quality Criteria for Lead	0.6388888888888888	0.5862068965517242	0.6571428571428571	0.5384615384615384	0.5	0.5897435897435898	0.5945945945945945	0.5757575757575757	0.6129032258064516	0.59375	0.6	0.4782608695652174	0.5757575757575757	0.5666666666666667	0.5625	0.5483870967741935	0.5666666666666667	0.5882352941176471	0.6829268292682926	0.5151515151515151	0.5555555555555556	0.6896551724137931	0.6	0.5833333333333333	0.6571428571428571	0.5833333333333333	0.5833333333333333	0.4482758620689655	0.6578947368421053	0.6857142857142857	0.5833333333333333	0.5833333333333333	0.5945945945945945	0.6	0.6666666666666667	0.5833333333333333	0.6511627906976745	0.5757575757575757	0.48	0.625
Annual Energy Outlook 2007	0.6578947368421053	0.7352941176470589	0.6756756756756757	0.6666666666666667	0.6428571428571428	0.6097560975609756	0.6829268292682926	0.7105263157894737	0.6363636363636364	0.6176470588235294	0.7428571428571429	0.5769230769230769	0.6756756756756757	0.6764705882352942	0.6666666666666667	0.6176470588235294	0.6764705882352942	0.6842105263157895	0.6666666666666667	0.6923076923076923	0.6333333333333333	0.7878787878787878	0.6923076923076923	0.5	0.6756756756756757	0.5	0.5	0.53125	0.5675675675675675	0.5454545454545454	0.5	0.5	0.5789473684210527	0.5833333333333333	0.5853658536585367	0.5675675675675675	0.6363636363636364	0.6756756756756757	0.5714285714285714	0.6
Cost per Ton for NSPS for Stationary CI ICE	0.5945945945945945	0.625	0.5714285714285714	0.4814814814814815	0.6071428571428572	0.6190476190476191	0.5135135135135135	0.5294117647058824	0.5161290322580645	0.5882352941176471	0.59375	0.6428571428571428	0.5714285714285714	0.5625	0.5151515151515151	0.5454545454545454	0.6060606060606061	0.4545454545454546	0.575	0.5142857142857142	0.5517241379310345	0.6333333333333333	0.5142857142857142	0.5769230769230769	0.5714285714285714	0.5769230769230769	0.5769230769230769	0.6285714285714286	0.6153846153846154	0.6	0.5769230769230769	0.5769230769230769	0.625	0.5945945945945945	0.5609756097560976	0.5789473684210527	0.6136363636363636	0.4375	0.4814814814814815	0.7142857142857143
Emission Reducation Associated with NSPS for Stationary CI ICE	0.4736842105263158	0.5294117647058824	0.4864864864864865	0.3793103448275862	0.5483870967741935	0.47619047619047616	0.39473684210526316	0.4444444444444444	0.4242424242424242	0.4117647058823529	0.40625	0.48275862068965514	0.4	0.47058823529411764	0.33333333333333337	0.5	0.47058823529411764	0.41666666666666663	0.46341463414634143	0.43243243243243246	0.5	0.6176470588235294	0.43243243243243246	0.5172413793103448	0.4444444444444444	0.5172413793103448	0.5172413793103448	0.5	0.5	0.5135135135135135	0.5172413793103448	0.5172413793103448	0.39473684210526316	0.43243243243243246	0.45238095238095233	0.46153846153846156	0.5111111111111111	0.4444444444444444	0.53125	0.6875
