	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
A Tainted Mining Town Dies as Residents Are Paid to Leave	0.7956989247311828	0.7375	0.7706422018348624	0.8135593220338984	0.7719298245614035	0.8268156424581006	0.8187134502923976	0.7719298245614035	0.75	0.7662337662337663	0.7101449275362319	0.8275862068965517	0.7706422018348624	0.7910447761194029	0.75	0.7525773195876289	0.6947368421052632	0.7971014492753623	0.813953488372093	0.7674418604651163	0.7192982456140351	0.7333333333333333	0.7678571428571429	0.8245614035087719	0.8165137614678899	0.8245614035087719	0.8245614035087719	0.7361111111111112	0.8192771084337349	0.8133333333333334	0.8245614035087719	0.8245614035087719	0.7622950819672131	0.8	0.8	0.7857142857142857	0.8666666666666667	0.7903225806451613	0.7894736842105263	0.8421052631578947
How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses	0.8172043010752689	0.8375	0.7522935779816514	0.7763157894736842	0.8026315789473685	0.8100558659217877	0.8187134502923976	0.8070175438596491	0.7788461538461539	0.012987012987012988	0.75	0.7105263157894737	0.6880733944954128	0.8289473684210527	0.81	0.8144329896907216	0.7684210526315789	0.7971014492753623	0.7965116279069767	0.813953488372093	0.7631578947368421	0.8157894736842105	0.7678571428571429	0.8289473684210527	0.8623853211009175	0.8289473684210527	0.8289473684210527	0.868421052631579	0.8012048192771084	0.618421052631579	0.8289473684210527	0.8289473684210527	0.7704918032786885	0.8074074074074075	0.7428571428571429	0.7698412698412699	0.85	0.7580645161290323	0.7894736842105263	0.8289473684210527
Lead Kills Mining Town	0.8387096774193549	0.8375	0.8623853211009175	0.8135593220338984	0.7272727272727273	0.9050279329608939	0.9064327485380117	0.868421052631579	0.8365384615384616	0.8441558441558441	0.8405797101449275	0.8275862068965517	0.8532110091743119	0.8656716417910447	0.85	0.8556701030927835	0.8631578947368421	0.8840579710144928	0.9069767441860465	0.813953488372093	0.7727272727272727	0.8533333333333334	0.875	0.8125	0.8990825688073395	0.8125	0.8125	0.875	0.9096385542168675	0.8666666666666667	0.8125	0.8125	0.9016393442622951	0.9111111111111111	0.8928571428571429	0.8888888888888888	0.94	0.8951612903225806	0.8333333333333334	0.7307692307692307
AQS database	0.9354838709677419	0.9125	0.9357798165137615	0.9152542372881356	0.9090909090909091	0.9497206703910615	0.9532163742690059	0.9298245614035088	0.9230769230769231	0.8961038961038961	0.9130434782608695	0.9137931034482759	0.9357798165137615	0.9402985074626866	0.93	0.9175257731958762	0.9368421052631579	0.9492753623188406	0.9534883720930233	0.9069767441860465	0.8863636363636364	0.9066666666666666	0.9285714285714286	0.90625	0.926605504587156	0.90625	0.90625	0.9166666666666666	0.9518072289156626	0.9066666666666666	0.90625	0.90625	0.9262295081967213	0.9407407407407408	0.9285714285714286	0.9206349206349206	0.9666666666666667	0.9274193548387096	0.8611111111111112	0.8076923076923077
Population by Single Year of Age CD	0.8387096774193549	0.75	0.8256880733944955	0.7288135593220338	0.75	0.88268156424581	0.8771929824561403	0.8245614035087719	0.8269230769230769	0.7922077922077922	0.7971014492753623	0.7413793103448276	0.8256880733944955	0.8208955223880597	0.83	0.8041237113402062	0.8210526315789474	0.8478260869565217	0.8895348837209303	0.7906976744186046	0.7727272727272727	0.7466666666666667	0.8035714285714286	0.8	0.8440366972477065	0.8	0.8	0.7777777777777778	0.8614457831325302	0.76	0.8	0.8	0.8278688524590164	0.8296296296296296	0.8214285714285714	0.8174603174603174	0.9133333333333333	0.8306451612903226	0.027777777777777776	0.8285714285714286
Total Suspended Particle NAAQS Review Database	0.8279569892473119	0.7875	0.7981651376146789	0.864406779661017	0.8913043478260869	0.8603351955307262	0.847953216374269	0.8333333333333334	0.8076923076923077	0.7792207792207793	0.8260869565217391	0.7241379310344828	0.8073394495412844	0.835820895522388	0.76	0.8247422680412371	0.8105263157894737	0.8333333333333334	0.8430232558139535	0.813953488372093	0.8043478260869565	0.76	0.8392857142857143	0.8260869565217391	0.8440366972477065	0.8260869565217391	0.8260869565217391	0.7916666666666666	0.8493975903614458	0.7466666666666667	0.8260869565217391	0.8260869565217391	0.8114754098360656	0.8296296296296296	0.7857142857142857	0.8015873015873016	0.9	0.8145161290322581	0.8043478260869565	0.8043478260869565
Air Quality Criteria for Lead	0.8709677419354839	0.8125	0.8165137614678899	0.7627118644067796	0.7954545454545454	0.8938547486033519	0.8947368421052632	0.8421052631578947	0.8557692307692307	0.8051948051948052	0.8115942028985508	0.7586206896551724	0.8348623853211009	0.8059701492537313	0.83	0.8144329896907216	0.8105263157894737	0.8768115942028986	0.8895348837209303	0.813953488372093	0.7727272727272727	0.8	0.8392857142857143	0.78125	0.8807339449541285	0.78125	0.78125	0.5972222222222222	0.8795180722891566	0.8133333333333334	0.78125	0.78125	0.819672131147541	0.8666666666666667	0.8642857142857143	0.8253968253968254	0.9233333333333333	0.8387096774193549	0.7777777777777778	0.7586206896551724
Annual Energy Outlook 2007	0.8817204301075269	0.875	0.8715596330275229	0.847457627118644	0.8181818181818182	0.9162011173184358	0.9064327485380117	0.9035087719298246	0.8653846153846154	0.8571428571428571	0.855072463768116	0.8275862068965517	0.8623853211009175	0.8507462686567164	0.86	0.865979381443299	0.8736842105263158	0.8985507246376812	0.9186046511627907	0.8837209302325582	0.8181818181818182	0.8666666666666667	0.875	0.84375	0.8715596330275229	0.84375	0.84375	0.8194444444444444	0.8975903614457831	0.84	0.84375	0.84375	0.8852459016393442	0.8888888888888888	0.8857142857142857	0.8888888888888888	0.9366666666666666	0.8951612903225806	0.8055555555555556	0.9230769230769231
Cost per Ton for NSPS for Stationary CI ICE	0.8279569892473119	0.7875	0.8073394495412844	0.7796610169491526	0.9318181818181818	0.8659217877094972	0.8421052631578947	0.8157894736842105	0.8076923076923077	0.7662337662337663	0.8115942028985508	0.7586206896551724	0.8073394495412844	0.7910447761194029	0.83	0.7938144329896907	0.8	0.8405797101449275	0.8488372093023255	0.8023255813953488	0.8863636363636364	0.8	0.8214285714285714	0.7906976744186046	0.8532110091743119	0.7906976744186046	0.7906976744186046	0.7777777777777778	0.8554216867469879	0.8	0.7906976744186046	0.7906976744186046	0.8278688524590164	0.8222222222222222	0.8214285714285714	0.8253968253968254	0.9	0.8225806451612904	0.7674418604651163	0.7906976744186046
Emission Reducation Associated with NSPS for Stationary CI ICE	0.8172043010752689	0.8	0.7889908256880734	0.8870967741935484	0.8225806451612904	0.8324022346368715	0.8187134502923976	0.8070175438596491	0.7980769230769231	0.8051948051948052	0.8260869565217391	0.7741935483870968	0.7889908256880734	0.835820895522388	0.8	0.7938144329896907	0.8105263157894737	0.8115942028985508	0.8081395348837209	0.8372093023255814	0.8064516129032258	0.7733333333333333	0.8035714285714286	0.7741935483870968	0.8440366972477065	0.7741935483870968	0.7741935483870968	0.7777777777777778	0.7951807228915663	0.7466666666666667	0.7741935483870968	0.7741935483870968	0.7704918032786885	0.7703703703703704	0.7785714285714286	0.7698412698412699	0.8633333333333333	0.7983870967741935	0.7580645161290323	0.8064516129032258
