	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
A Tainted Mining Town Dies as Residents Are Paid to Leave	0.64	0.5700000000000001	0.5700000000000001	0.63	0.6	0.5700000000000001	0.6	0.62	0.6	0.5800000000000001	0.55	0.6	0.62	0.62	0.5800000000000001	0.6	0.55	0.5800000000000001	0.62	0.62	0.6	0.56	0.6	0.63	0.71	0.63	0.63	0.62	0.5700000000000001	0.6699999999999999	0.63	0.63	0.55	0.62	0.62	0.55	0.55	0.6	0.64	0.6599999999999999
How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses	0.6799999999999999	0.6799999999999999	0.65	0.63	0.64	0.64	0.62	0.65	0.65	0.0	0.61	0.61	0.5700000000000001	0.6799999999999999	0.6599999999999999	0.65	0.6	0.6599999999999999	0.62	0.64	0.64	0.64	0.64	0.6	0.75	0.6	0.6	0.7	0.62	0.49	0.6	0.6	0.6	0.6599999999999999	0.49	0.64	0.61	0.64	0.56	0.62
Lead Kills Mining Town	0.6	0.55	0.64	0.5	0.37	0.55	0.6	0.55	0.55	0.6	0.64	0.6	0.6	0.6	0.55	0.64	0.6	0.5	0.55	0.6	0.64	0.55	0.55	0.64	0.69	0.64	0.64	0.64	0.55	0.64	0.64	0.64	0.6	0.6	0.64	0.6	0.6	0.64	0.69	0.64
AQS database	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.75	0.75	0.75	0.5900000000000001	0.6699999999999999	0.5900000000000001	0.5900000000000001	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.75	0.75	0.75	0.6699999999999999	0.6699999999999999	0.5900000000000001	0.5900000000000001	0.75	0.6699999999999999	0.6699999999999999	0.75	0.5900000000000001	0.75	0.75	0.75	0.6699999999999999	0.75	0.75	0.75	0.5900000000000001	0.6699999999999999	0.5	0.5900000000000001	0.6699999999999999	0.6699999999999999	0.75	0.75
Population by Single Year of Age CD	0.6599999999999999	0.5800000000000001	0.5800000000000001	0.55	0.6	0.49	0.63	0.6	0.6599999999999999	0.55	0.6	0.55	0.63	0.6	0.6	0.5800000000000001	0.63	0.5800000000000001	0.63	0.63	0.65	0.55	0.6	0.62	0.6599999999999999	0.62	0.62	0.6	0.6	0.63	0.62	0.62	0.6	0.55	0.5800000000000001	0.6	0.5800000000000001	0.6	0.0	0.7
Total Suspended Particle NAAQS Review Database	0.64	0.5700000000000001	0.6799999999999999	0.72	0.75	0.6799999999999999	0.64	0.61	0.64	0.6799999999999999	0.6799999999999999	0.5700000000000001	0.64	0.7	0.5700000000000001	0.5900000000000001	0.6599999999999999	0.64	0.5900000000000001	0.61	0.62	0.64	0.5900000000000001	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6799999999999999	0.6599999999999999	0.6799999999999999	0.6599999999999999	0.6599999999999999	0.5900000000000001	0.64	0.5700000000000001	0.5900000000000001	0.6599999999999999	0.64	0.64	0.7
Air Quality Criteria for Lead	0.69	0.52	0.52	0.56	0.69	0.56	0.52	0.5900000000000001	0.63	0.5900000000000001	0.6599999999999999	0.5900000000000001	0.56	0.5900000000000001	0.63	0.56	0.56	0.5900000000000001	0.56	0.56	0.5900000000000001	0.52	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.0	0.56	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.25	0.5900000000000001	0.56	0.25	0.52	0.56	0.5900000000000001	0.5800000000000001
Annual Energy Outlook 2007	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.7	0.7	0.62	0.62	0.7	0.62	0.7	0.6599999999999999	0.6599999999999999	0.5800000000000001	0.7	0.7	0.62	0.7	0.6599999999999999	0.62	0.6599999999999999	0.7	0.62	0.7	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.62	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.62	0.6599999999999999	0.74
Cost per Ton for NSPS for Stationary CI ICE	0.73	0.63	0.6599999999999999	0.61	0.73	0.63	0.61	0.61	0.61	0.61	0.63	0.6599999999999999	0.63	0.61	0.6799999999999999	0.61	0.6599999999999999	0.61	0.5900000000000001	0.6599999999999999	0.6799999999999999	0.6599999999999999	0.61	0.63	0.6799999999999999	0.63	0.63	0.6599999999999999	0.61	0.6599999999999999	0.63	0.63	0.63	0.61	0.63	0.63	0.61	0.61	0.6699999999999999	0.62
Emission Reducation Associated with NSPS for Stationary CI ICE	0.6699999999999999	0.62	0.6	0.6699999999999999	0.6599999999999999	0.62	0.62	0.65	0.65	0.6	0.5700000000000001	0.54	0.63	0.6699999999999999	0.65	0.65	0.63	0.65	0.5900000000000001	0.6699999999999999	0.62	0.63	0.63	0.5700000000000001	0.7	0.5700000000000001	0.5700000000000001	0.62	0.5900000000000001	0.62	0.5700000000000001	0.5700000000000001	0.5900000000000001	0.6	0.6	0.5900000000000001	0.6	0.5900000000000001	0.64	0.5800000000000001
