	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
A Tainted Mining Town Dies as Residents Are Paid to Leave	0.39622641509433965	0.28888888888888886	0.4117647058823529	0.38095238095238093	0.30000000000000004	0.4576271186440678	0.3214285714285714	0.4117647058823529	0.36170212765957444	0.3877551020408163	0.4347826086956522	0.33333333333333337	0.4117647058823529	0.36170212765957444	0.36	0.34693877551020413	0.4042553191489362	0.3846153846153846	0.5172413793103448	0.39622641509433965	0.39534883720930236	0.38095238095238093	0.4716981132075472	0.368421052631579	0.4117647058823529	0.368421052631579	0.368421052631579	0.4285714285714286	0.4181818181818182	0.43999999999999995	0.368421052631579	0.368421052631579	0.3928571428571429	0.39622641509433965	0.4666666666666667	0.4181818181818182	0.4193548387096774	0.4117647058823529	0.4285714285714286	0.45945945945945943
How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses	0.3114754098360656	0.39622641509433965	0.3220338983050848	0.36	0.45833333333333337	0.25373134328358204	0.25	0.3220338983050848	0.3090909090909091	0.01754385964912286	0.40740740740740744	0.36170212765957444	0.3220338983050848	0.2727272727272727	0.24137931034482762	0.33333333333333337	0.3090909090909091	0.30000000000000004	0.33333333333333337	0.2786885245901639	0.33333333333333337	0.48	0.34426229508196726	0.34782608695652173	0.3220338983050848	0.34782608695652173	0.34782608695652173	0.368421052631579	0.33333333333333337	0.31034482758620685	0.34782608695652173	0.34782608695652173	0.3125	0.34426229508196726	0.32352941176470584	0.33333333333333337	0.34285714285714286	0.35593220338983056	0.36	0.4666666666666667
Lead Kills Mining Town	0.45833333333333337	0.4	0.4347826086956522	0.4054054054054054	0.37142857142857144	0.5925925925925926	0.4509803921568627	0.5217391304347826	0.4285714285714286	0.5	0.5609756097560976	0.47058823529411764	0.5217391304347826	0.38095238095238093	0.4666666666666667	0.40909090909090906	0.47619047619047616	0.4893617021276596	0.6226415094339622	0.45833333333333337	0.42105263157894735	0.3513513513513513	0.5416666666666667	0.5151515151515151	0.5217391304347826	0.5151515151515151	0.5151515151515151	0.5454545454545454	0.56	0.6	0.5151515151515151	0.5151515151515151	0.5294117647058824	0.5416666666666667	0.6	0.56	0.5789473684210527	0.4782608695652174	0.5675675675675675	0.4375
AQS database	0.627906976744186	0.5428571428571429	0.6585365853658536	0.5625	0.6	0.6734693877551021	0.6521739130434783	0.6097560975609756	0.6216216216216216	0.641025641025641	0.6111111111111112	0.5862068965517242	0.6585365853658536	0.6756756756756757	0.6	0.641025641025641	0.6756756756756757	0.7142857142857143	0.6666666666666667	0.5813953488372092	0.5757575757575757	0.5	0.6744186046511628	0.6428571428571428	0.5609756097560976	0.6428571428571428	0.6428571428571428	0.641025641025641	0.6444444444444444	0.7	0.6428571428571428	0.6428571428571428	0.5652173913043479	0.627906976744186	0.64	0.5555555555555556	0.6923076923076923	0.6097560975609756	0.5625	0.6296296296296297
Population by Single Year of Age CD	0.4444444444444444	0.4347826086956522	0.42307692307692313	0.34883720930232553	0.31707317073170727	0.4	0.33333333333333337	0.3076923076923077	0.375	0.36	0.4042553191489362	0.35	0.42307692307692313	0.375	0.37254901960784315	0.36	0.41666666666666663	0.3207547169811321	0.4576271186440678	0.40740740740740744	0.36363636363636365	0.4883720930232558	0.37037037037037035	0.33333333333333337	0.34615384615384615	0.33333333333333337	0.33333333333333337	0.36	0.3928571428571429	0.4117647058823529	0.33333333333333337	0.33333333333333337	0.4035087719298246	0.40740740740740744	0.4426229508196722	0.3571428571428571	0.39682539682539686	0.2692307692307693	0.023255813953488413	0.4736842105263158
Total Suspended Particle NAAQS Review Database	0.3448275862068966	0.24	0.3214285714285714	0.4042553191489362	0.37777777777777777	0.40625	0.3114754098360656	0.3214285714285714	0.3076923076923077	0.33333333333333337	0.33333333333333337	0.31818181818181823	0.3571428571428571	0.34615384615384615	0.34545454545454546	0.37037037037037035	0.3846153846153846	0.33333333333333337	0.39682539682539686	0.31034482758620685	0.33333333333333337	0.3191489361702128	0.4137931034482759	0.39534883720930236	0.3214285714285714	0.39534883720930236	0.39534883720930236	0.40740740740740744	0.33333333333333337	0.38181818181818183	0.39534883720930236	0.39534883720930236	0.2786885245901639	0.4137931034482759	0.32307692307692304	0.2666666666666667	0.3731343283582089	0.3214285714285714	0.3191489361702128	0.5238095238095238
Air Quality Criteria for Lead	0.4693877551020408	0.41463414634146345	0.4893617021276596	0.368421052631579	0.33333333333333337	0.4181818181818182	0.42307692307692313	0.4042553191489362	0.4418604651162791	0.4222222222222223	0.4285714285714286	0.3142857142857143	0.4042553191489362	0.39534883720930236	0.3913043478260869	0.37777777777777777	0.39534883720930236	0.41666666666666663	0.5185185185185186	0.34693877551020413	0.3846153846153846	0.5263157894736843	0.4285714285714286	0.4117647058823529	0.4893617021276596	0.4117647058823529	0.4117647058823529	0.28888888888888886	0.4901960784313726	0.5217391304347826	0.4117647058823529	0.4117647058823529	0.42307692307692313	0.4285714285714286	0.5	0.4117647058823529	0.48275862068965514	0.4042553191489362	0.3157894736842105	0.4545454545454546
Annual Energy Outlook 2007	0.4901960784313726	0.5813953488372092	0.5102040816326531	0.5	0.4736842105263158	0.4385964912280702	0.5185185185185186	0.5510204081632653	0.4666666666666667	0.44680851063829785	0.5909090909090908	0.4054054054054054	0.5102040816326531	0.5111111111111111	0.5	0.44680851063829785	0.5111111111111111	0.52	0.5	0.5294117647058824	0.46341463414634143	0.65	0.5294117647058824	0.33333333333333337	0.5102040816326531	0.33333333333333337	0.33333333333333337	0.36170212765957444	0.39622641509433965	0.375	0.33333333333333337	0.33333333333333337	0.40740740740740744	0.4117647058823529	0.4137931034482759	0.39622641509433965	0.4666666666666667	0.5102040816326531	0.4	0.4285714285714286
Cost per Ton for NSPS for Stationary CI ICE	0.42307692307692313	0.4545454545454546	0.4	0.31707317073170727	0.4358974358974359	0.4482758620689655	0.34545454545454546	0.36	0.34782608695652173	0.41666666666666663	0.4222222222222223	0.4736842105263158	0.4	0.3913043478260869	0.34693877551020413	0.375	0.4347826086956522	0.2941176470588235	0.4035087719298246	0.34615384615384615	0.38095238095238093	0.46341463414634143	0.34615384615384615	0.4054054054054054	0.4	0.4054054054054054	0.4054054054054054	0.45833333333333337	0.4444444444444444	0.4285714285714286	0.4054054054054054	0.4054054054054054	0.4545454545454546	0.42307692307692313	0.38983050847457623	0.40740740740740744	0.4426229508196722	0.28	0.31707317073170727	0.5555555555555556
Emission Reducation Associated with NSPS for Stationary CI ICE	0.31034482758620685	0.36	0.3214285714285714	0.23404255319148937	0.37777777777777777	0.3125	0.24590163934426235	0.2857142857142857	0.2692307692307693	0.2592592592592593	0.2549019607843137	0.31818181818181823	0.25	0.3076923076923077	0.19999999999999996	0.33333333333333337	0.3076923076923077	0.26315789473684215	0.3015873015873016	0.27586206896551724	0.33333333333333337	0.44680851063829785	0.27586206896551724	0.34883720930232553	0.2857142857142857	0.34883720930232553	0.34883720930232553	0.33333333333333337	0.33333333333333337	0.34545454545454546	0.34883720930232553	0.34883720930232553	0.24590163934426235	0.27586206896551724	0.29230769230769227	0.30000000000000004	0.34328358208955223	0.2857142857142857	0.36170212765957444	0.5238095238095238
