	Industry-wide Uses of Chlorine by Industry................................................................. 2-7 2-2. Use of Caustic Soda by Industry................................................................................... 2-7 2-3. Use of Caustic Potash by Industry ................................................................................ 2-8 2-4. Income (or Loss) as Net a Percentage of Sales, Basic Chemicals, Resins, and Synthetics (NAICS 3251 and 3252): 2000–2005 ....................................................... 2-14 3-1. Capital Cost Factor ($/ton Cl2 produced) vs. Capacity ................................................ 3-5 4-1. Price Trends: Alkalis and Chlorine Manufacturing:	Oxychem Completes Taft,	Chlorine: Ensuring Rail Transportation Safety.”	Potassium Carbonate Handbook.” http://www.armandproducts.com/pdfs/k2so3P1_12.pdf. Accessed	ASHTA Chemicals Inc. 2009a. About ASHTA. http://www.ashtachemicals.com/aboutfs.htm.	Inc. 2009b. Potassium Hydroxide,	Investment under Uncertainty.	Energy Information Administration.	Potassium Hydroxide.” http://www.ercoworldwide.com/ products_potassiumhydroxide.asp. Accessed	Distributional Effects of Environmental and Energy Policy: An Introduction.	Potassium Carbonate Faces Pressures from the Video Glass.” Chemical Market Reporter,	Site Fact Sheet Ashtabula Complex.” http://www.millenniumchem.com/NR/rdonlyres/6AE8BF59-D7CD-4768-951F37AE6F1C7321/0/SiteFactSheetAshtabula.pdf. Accessed	Occidental Chemical Corporation. 2008a. “OxyChem Caustic Potash Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Pages/chem_products_basic_alkali.aspx #alk_koh. Accessed	Occidental Chemical Corporation. 2008b. “OxyChem Caustic Soda Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Documents/caustic_soda/caustic.pdf.	Form 10-K405. Filed	Form 10-K. Filed	BB&T Capital Markets Presentation Manufacturing and Materials Conference.” http://www.olin.com/. Accessed	Bill Would End Mercury Use at Chlorine Plants.” http://chronicle.augusta.com/stories/031308/met_190792.shtml. Accessed	Form 10-K. Filed	Accessed	Form 10-K. Filed	Chlorine Product Bulletin.” http://corporateportal.ppg.com/NA/Chemicals/CAD/ProductInformation/Bull /English/EN. Accessed	PPG Reaches Agreement with State of Maryland.” PPG News Release. http://corporateportal.ppg.com/PPG/Newsroom/News/20090811.htm.	The Effects of Environmental Regulation on Technology Diffusion: The Case of	Special Focus on Chlorine.”	The Innovation Group (TIG).	of Labor Statistics.	of Labor Statistics. 2009b. LAU Local Area Unemployment Statistics Series Id:	of Labor Statistics.	4-13 U.S. Bureau of Labor Statistics.	of Labor Statistics.	Quarterly Financial Report for Manufacturing, Mining, and Trade Corporations, 1st Quarter reports. http://www.census.gov/prod/www/abs/qfrmm.html. Accessed	Economic Census.	http://factfinder.census.gov/servlet/DatasetMainPageServlet?_program=ECN&_tabId=E CN1&_submenuId=datasets_4&_lang=en&_ts=24636668839. Accessed	Bureau; generated by RTI International; using American FactFinder; “Sector 31: Manufacturing: Industry Series: Industry Statistics by Employment Size:	Department of Transportation.	Department of Transportation.	Environmental Protection Agency (EPA).	Federal Trade Commission (FTC).	Soda Ash. http://minerals.usgs.gov/minerals/pubs/ commodity/soda_ash/mcs-2009-sodaa.pdf. Accessed August 4,	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.” Environ. Sci. Technol.	Environmental Protection Agency—Science Advisory Board (U.S.	The Value of a Statistical Life: A Critical Review of Market Estimates throughout the World.”	Environmental Protection Agency. RE: Docket No. EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants:	EPA requested documentation of these emission estimates using their authority under section 114 of the Clean Air Act.	EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants: Mercury Emissions from Mercury Cell Chlor-Alkali Plants—Memo: “Updated Cost Impacts Associated with the Conversion from Chlorine Production Utilizing Mercury Cell Chlor-Alkali Technology to Membrane Cell Technology,” from	B-4 Table B-3. Power Company Emission Factors: Fuel=Coal (Short tons per kWh)	Available on the internet at http://www.epa.gov/CAIR/pdfs/finaltech01.pdf U.S. Environmental Protection Agency	Available on the internet at http://www.epa.gov/cleanenergy/documents/egridzips/eGRID2007TechnicalSupportDoc ument.pdf U.S. Environmental Protection Agency
ASHTA to Build Chlorine-KOH Plant in Arkansas	0.625	0.6451612903225806	0.5454545454545454	0.5526315789473684	0.5675675675675675	0.6285714285714286	0.6774193548387097	0.6451612903225806	0.5714285714285714	0.6111111111111112	0.5675675675675675	0.6470588235294117	0.5238095238095238	0.5476190476190477	0.7096774193548387	0.6896551724137931	0.4722222222222222	0.6222222222222222	0.6896551724137931	0.84	0.6896551724137931	0.5405405405405406	0.6590909090909092	0.5882352941176471	0.5517241379310345	0.6451612903225806	0.7241379310344828	0.6578947368421053	0.7241379310344828	0.6363636363636364	0.7241379310344828	0.627906976744186	0.7142857142857143	0.6599999999999999	0.6190476190476191	0.6551724137931034	0.6551724137931034	0.6666666666666667	0.5862068965517242	0.6097560975609756	0.5675675675675675	0.5609756097560976	0.5588235294117647	0.5641025641025641	0.5581395348837209	0.5294117647058824	0.56	0.525	0.6190476190476191	0.6304347826086957
Bill Would End Mercury Use at Chlorine Plants	0.6363636363636364	0.6206896551724138	0.5161290322580645	0.6052631578947368	0.6578947368421053	0.5625	0.5	0.5714285714285714	0.5454545454545454	0.5	0.5	0.6326530612244898	0.5714285714285714	0.5952380952380952	0.7741935483870968	0.7586206896551724	0.48571428571428577	0.42105263157894735	0.7586206896551724	0.8260869565217391	0.7586206896551724	0.47058823529411764	0.6097560975609756	0.4666666666666667	0.5185185185185186	0.6666666666666667	0.7037037037037037	0.6	0.7037037037037037	0.6129032258064516	0.7037037037037037	0.575	0.5833333333333333	0.6170212765957447	0.5641025641025641	0.6785714285714286	0.6785714285714286	0.5517241379310345	0.6071428571428572	0.625	0.4545454545454546	0.45945945945945943	0.43333333333333335	0.5405405405405406	0.6363636363636364	0.4	0.6	0.5	0.5263157894736843	0.5813953488372092
Chemical Engineering Plant Cost Index	0.6727272727272727	0.5384615384615384	0.5333333333333333	0.5833333333333333	0.6	0.48275862068965514	0.52	0.41666666666666663	0.5161290322580645	0.4137931034482759	0.5151515151515151	0.6458333333333333	0.55	0.6097560975609756	0.7142857142857143	0.6923076923076923	0.5	0.55	0.6923076923076923	0.8095238095238095	0.6923076923076923	0.3870967741935484	0.5897435897435898	0.4285714285714286	0.5384615384615384	0.6428571428571428	0.6799999999999999	0.5757575757575757	0.6799999999999999	0.71875	0.6799999999999999	0.5897435897435898	0.5454545454545454	0.5681818181818181	0.5789473684210527	0.6	0.6	0.46153846153846156	0.52	0.6052631578947368	0.4193548387096774	0.4285714285714286	0.4482758620689655	0.5555555555555556	0.6190476190476191	0.3571428571428571	0.6122448979591837	0.5897435897435898	0.4571428571428572	0.5609756097560976
Chlorine Gas from South Carolina Train Crash Kills Nine	0.6727272727272727	0.5384615384615384	0.4285714285714286	0.6216216216216216	0.5151515151515151	0.6666666666666667	0.6296296296296297	0.5925925925925926	0.6470588235294117	0.6060606060606061	0.5151515151515151	0.6458333333333333	0.6818181818181819	0.6097560975609756	0.7142857142857143	0.6923076923076923	0.5428571428571429	0.6818181818181819	0.6923076923076923	0.9130434782608696	0.6923076923076923	0.5294117647058824	0.5897435897435898	0.4285714285714286	0.48	0.5384615384615384	0.625	0.6176470588235294	0.625	0.6333333333333333	0.625	0.5897435897435898	0.6086956521739131	0.6304347826086957	0.6153846153846154	0.4782608695652174	0.4782608695652174	0.6666666666666667	0.52	0.6052631578947368	0.6388888888888888	0.5526315789473684	0.6363636363636364	0.5555555555555556	0.6511627906976745	0.5161290322580645	0.64	0.5897435897435898	0.6153846153846154	0.5952380952380952
Markets-News Release	0.7547169811320755	0.76	0.7241379310344828	0.7777777777777778	0.8	0.8064516129032258	0.75	0.76	0.7419354838709677	0.78125	0.6875	0.7659574468085106	0.7857142857142857	0.7804878048780488	0.7916666666666666	0.7727272727272727	0.7058823529411764	0.813953488372093	0.7727272727272727	0.875	0.7727272727272727	0.7714285714285715	0.7027027027027026	0.7241379310344828	0.76	0.8076923076923077	0.7619047619047619	0.7878787878787878	0.7619047619047619	0.7407407407407407	0.7619047619047619	0.736842105263158	0.8636363636363636	0.8085106382978724	0.7631578947368421	0.7272727272727273	0.7272727272727273	0.7777777777777778	0.75	0.7894736842105263	0.7272727272727273	0.8	0.7741935483870968	0.6764705882352942	0.725	0.78125	0.7291666666666667	0.736842105263158	0.7631578947368421	0.7906976744186046
Port Edwards selss School Forest Land to ERCO Worldwide; Nekoosa Considers Similar Deal	0.603448275862069	0.6470588235294117	0.5945945945945945	0.5952380952380952	0.6428571428571428	0.6666666666666667	0.6764705882352942	0.6470588235294117	0.6153846153846154	0.5789473684210527	0.5	0.5686274509803921	0.5957446808510638	0.5555555555555556	0.7428571428571429	0.7272727272727273	0.5609756097560976	0.625	0.7272727272727273	0.8620689655172413	0.7272727272727273	0.5128205128205128	0.5681818181818181	0.5142857142857142	0.5625	0.7567567567567568	0.6774193548387097	0.625	0.6774193548387097	0.7105263157894737	0.6774193548387097	0.6	0.6666666666666667	0.607843137254902	0.5909090909090908	0.65625	0.65625	0.6285714285714286	0.59375	0.6739130434782609	0.5384615384615384	0.5681818181818181	0.5675675675675675	0.46153846153846156	0.5333333333333333	0.5405405405405406	0.5660377358490566	0.5	0.5238095238095238	0.574468085106383
Portrait of a Polluter	0.7924528301886793	0.6818181818181819	0.6	0.6875	0.7096774193548387	0.6538461538461539	0.6666666666666667	0.6190476190476191	0.6296296296296297	0.5769230769230769	0.6206896551724138	0.782608695652174	0.7435897435897436	0.736842105263158	0.7142857142857143	0.6842105263157895	0.6451612903225806	0.7435897435897436	0.6842105263157895	0.9333333333333333	0.6842105263157895	0.6333333333333333	0.7222222222222222	0.6	0.6190476190476191	0.6190476190476191	0.5882352941176471	0.6896551724137931	0.5882352941176471	0.6086956521739131	0.5882352941176471	0.7222222222222222	0.7222222222222222	0.7441860465116279	0.7142857142857143	0.5555555555555556	0.5555555555555556	0.5909090909090908	0.6666666666666667	0.7058823529411764	0.6666666666666667	0.6857142857142857	0.6666666666666667	0.696969696969697	0.7105263157894737	0.5769230769230769	0.7708333333333334	0.7222222222222222	0.7142857142857143	0.717948717948718
Project Summary Waste Minimization and Audit Report: Case Studies of Minimization of Mercury Bearing Wastes at a Mercury Cell Chlor-alkali Plant	0.4821428571428571	0.6111111111111112	0.4444444444444444	0.5	0.5476190476190477	0.6341463414634146	0.6388888888888888	0.5714285714285714	0.5128205128205128	0.4736842105263158	0.4358974358974359	0.5192307692307692	0.4782608695652174	0.5	0.7692307692307692	0.7567567567567568	0.3421052631578947	0.4444444444444444	0.7567567567567568	0.84375	0.7567567567567568	0.41025641025641024	0.4418604651162791	0.4444444444444444	0.5714285714285714	0.717948717948718	0.7142857142857143	0.525	0.7142857142857143	0.641025641025641	0.7142857142857143	0.4418604651162791	0.7058823529411764	0.5294117647058824	0.3902439024390244	0.6571428571428571	0.6571428571428571	0.5945945945945945	0.6756756756756757	0.45238095238095233	0.4358974358974359	0.4418604651162791	0.5	0.4	0.4444444444444444	0.43243243243243246	0.43137254901960786	0.4418604651162791	0.4285714285714286	0.4565217391304348
Report Cites PPG Savings on Mercury Process Could Boost Efficiency, Phase Out Toxic Discharge at Marshall Plant	0.5344827586206897	0.48484848484848486	0.4	0.6304347826086957	0.6136363636363636	0.6	0.6388888888888888	0.6111111111111112	0.5853658536585367	0.4736842105263158	0.4358974358974359	0.5471698113207547	0.5416666666666667	0.5	0.8292682926829268	0.8205128205128205	0.46341463414634143	0.5416666666666667	0.8205128205128205	0.8787878787878788	0.8205128205128205	0.44999999999999996	0.5111111111111111	0.3529411764705882	0.5714285714285714	0.6111111111111112	0.7142857142857143	0.627906976744186	0.7142857142857143	0.675	0.7142857142857143	0.4418604651162791	0.7058823529411764	0.5294117647058824	0.4651162790697675	0.6176470588235294	0.6176470588235294	0.5945945945945945	0.6756756756756757	0.5227272727272727	0.4358974358974359	0.36585365853658536	0.5	0.47619047619047616	0.5106382978723405	0.4736842105263158	0.46153846153846156	0.5434782608695652	0.4651162790697675	0.4222222222222223
Special Focus on Chlorine	0.6981132075471699	0.5833333333333333	0.46153846153846156	0.6176470588235294	0.5483870967741935	0.6666666666666667	0.625	0.6923076923076923	0.6	0.6451612903225806	0.5	0.6444444444444444	0.65	0.6052631578947368	0.72	0.6956521739130435	0.5757575757575757	0.65	0.6956521739130435	0.8333333333333334	0.6956521739130435	0.5625	0.6578947368421053	0.5185185185185186	0.11111111111111116	0.5833333333333333	0.6190476190476191	0.6129032258064516	0.6190476190476191	0.6296296296296297	0.6190476190476191	0.5833333333333333	0.5263157894736843	0.6590909090909092	0.6111111111111112	0.5909090909090908	0.5909090909090908	0.6666666666666667	0.5	0.6	0.5483870967741935	0.5428571428571429	0.6333333333333333	0.6285714285714286	0.7142857142857143	0.5517241379310345	0.6938775510204082	0.5428571428571429	0.6111111111111112	0.6585365853658536
