	Industry-wide Uses of Chlorine by Industry................................................................. 2-7 2-2. Use of Caustic Soda by Industry................................................................................... 2-7 2-3. Use of Caustic Potash by Industry ................................................................................ 2-8 2-4. Income (or Loss) as Net a Percentage of Sales, Basic Chemicals, Resins, and Synthetics (NAICS 3251 and 3252): 2000–2005 ....................................................... 2-14 3-1. Capital Cost Factor ($/ton Cl2 produced) vs. Capacity ................................................ 3-5 4-1. Price Trends: Alkalis and Chlorine Manufacturing:	Oxychem Completes Taft,	Chlorine: Ensuring Rail Transportation Safety.”	Potassium Carbonate Handbook.” http://www.armandproducts.com/pdfs/k2so3P1_12.pdf. Accessed	ASHTA Chemicals Inc. 2009a. About ASHTA. http://www.ashtachemicals.com/aboutfs.htm.	Inc. 2009b. Potassium Hydroxide,	Investment under Uncertainty.	Energy Information Administration.	Potassium Hydroxide.” http://www.ercoworldwide.com/ products_potassiumhydroxide.asp. Accessed	Distributional Effects of Environmental and Energy Policy: An Introduction.	Potassium Carbonate Faces Pressures from the Video Glass.” Chemical Market Reporter,	Site Fact Sheet Ashtabula Complex.” http://www.millenniumchem.com/NR/rdonlyres/6AE8BF59-D7CD-4768-951F37AE6F1C7321/0/SiteFactSheetAshtabula.pdf. Accessed	Occidental Chemical Corporation. 2008a. “OxyChem Caustic Potash Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Pages/chem_products_basic_alkali.aspx #alk_koh. Accessed	Occidental Chemical Corporation. 2008b. “OxyChem Caustic Soda Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Documents/caustic_soda/caustic.pdf.	Form 10-K405. Filed	Form 10-K. Filed	BB&T Capital Markets Presentation Manufacturing and Materials Conference.” http://www.olin.com/. Accessed	Bill Would End Mercury Use at Chlorine Plants.” http://chronicle.augusta.com/stories/031308/met_190792.shtml. Accessed	Form 10-K. Filed	Accessed	Form 10-K. Filed	Chlorine Product Bulletin.” http://corporateportal.ppg.com/NA/Chemicals/CAD/ProductInformation/Bull /English/EN. Accessed	PPG Reaches Agreement with State of Maryland.” PPG News Release. http://corporateportal.ppg.com/PPG/Newsroom/News/20090811.htm.	The Effects of Environmental Regulation on Technology Diffusion: The Case of	Special Focus on Chlorine.”	The Innovation Group (TIG).	of Labor Statistics.	of Labor Statistics. 2009b. LAU Local Area Unemployment Statistics Series Id:	of Labor Statistics.	4-13 U.S. Bureau of Labor Statistics.	of Labor Statistics.	Quarterly Financial Report for Manufacturing, Mining, and Trade Corporations, 1st Quarter reports. http://www.census.gov/prod/www/abs/qfrmm.html. Accessed	Economic Census.	http://factfinder.census.gov/servlet/DatasetMainPageServlet?_program=ECN&_tabId=E CN1&_submenuId=datasets_4&_lang=en&_ts=24636668839. Accessed	Bureau; generated by RTI International; using American FactFinder; “Sector 31: Manufacturing: Industry Series: Industry Statistics by Employment Size:	Department of Transportation.	Department of Transportation.	Environmental Protection Agency (EPA).	Federal Trade Commission (FTC).	Soda Ash. http://minerals.usgs.gov/minerals/pubs/ commodity/soda_ash/mcs-2009-sodaa.pdf. Accessed August 4,	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.” Environ. Sci. Technol.	Environmental Protection Agency—Science Advisory Board (U.S.	The Value of a Statistical Life: A Critical Review of Market Estimates throughout the World.”	Environmental Protection Agency. RE: Docket No. EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants:	EPA requested documentation of these emission estimates using their authority under section 114 of the Clean Air Act.	EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants: Mercury Emissions from Mercury Cell Chlor-Alkali Plants—Memo: “Updated Cost Impacts Associated with the Conversion from Chlorine Production Utilizing Mercury Cell Chlor-Alkali Technology to Membrane Cell Technology,” from	B-4 Table B-3. Power Company Emission Factors: Fuel=Coal (Short tons per kWh)	Available on the internet at http://www.epa.gov/CAIR/pdfs/finaltech01.pdf U.S. Environmental Protection Agency	Available on the internet at http://www.epa.gov/cleanenergy/documents/egridzips/eGRID2007TechnicalSupportDoc ument.pdf U.S. Environmental Protection Agency
ASHTA to Build Chlorine-KOH Plant in Arkansas	0.9578651685393258	0.8444444444444444	0.851063829787234	0.8888888888888888	0.8072289156626506	0.8888888888888888	0.8444444444444444	0.8666666666666667	0.8602150537634409	0.8133333333333334	0.8333333333333334	0.8758169934640523	0.8685714285714285	0.8618421052631579	0.8888888888888888	0.8666666666666667	0.819047619047619	0.8305084745762712	0.8666666666666667	0.9333333333333333	0.8666666666666667	0.8429752066115702	0.8818897637795275	0.8157894736842105	0.8	0.8666666666666667	0.8	0.8311688311688312	0.8	0.8222222222222222	0.8	0.8571428571428571	0.8444444444444444	0.8873239436619719	0.8533333333333334	0.8222222222222222	0.8222222222222222	0.8666666666666667	0.8666666666666667	0.8598130841121495	0.8367346938775511	0.8333333333333334	0.85	0.8494623655913979	0.8492063492063492	0.8290598290598291	0.8933333333333333	0.8181818181818182	0.8454545454545455	0.8709677419354839
Bill Would End Mercury Use at Chlorine Plants	0.9508426966292135	0.8444444444444444	0.8297872340425532	0.8555555555555555	0.8433734939759037	0.8666666666666667	0.7777777777777778	0.8666666666666667	0.8064516129032258	0.8133333333333334	0.7738095238095238	0.8758169934640523	0.8685714285714285	0.8486842105263158	0.8888888888888888	0.8666666666666667	0.7714285714285715	0.6186440677966102	0.8666666666666667	0.9333333333333333	0.8666666666666667	0.8264462809917356	0.8582677165354331	0.8157894736842105	0.6666666666666666	0.8666666666666667	0.8444444444444444	0.8311688311688312	0.8444444444444444	0.8444444444444444	0.8444444444444444	0.8441558441558441	0.8666666666666667	0.8732394366197183	0.84	0.8444444444444444	0.8444444444444444	0.8666666666666667	0.8444444444444444	0.8785046728971962	0.7653061224489796	0.8409090909090909	0.8333333333333334	0.8172043010752689	0.8253968253968254	0.8034188034188035	0.8733333333333333	0.7532467532467533	0.8363636363636363	0.8451612903225807
Chemical Engineering Plant Cost Index	0.9592696629213483	0.8378378378378378	0.7021276595744681	0.8666666666666667	0.8192771084337349	0.8648648648648649	0.8108108108108109	0.8108108108108109	0.8709677419354839	0.7733333333333333	0.8214285714285714	0.8954248366013072	0.8742857142857143	0.8552631578947368	0.8918918918918919	0.8648648648648649	0.819047619047619	0.8220338983050848	0.8648648648648649	0.8918918918918919	0.8648648648648649	0.859504132231405	0.8818897637795275	0.7631578947368421	0.7297297297297297	0.7837837837837838	0.8108108108108109	0.8311688311688312	0.8108108108108109	0.918918918918919	0.8108108108108109	0.8441558441558441	0.8378378378378378	0.8802816901408451	0.84	0.7837837837837838	0.7837837837837838	0.8947368421052632	0.8378378378378378	0.8598130841121495	0.8061224489795918	0.8333333333333334	0.7833333333333333	0.8064516129032258	0.8571428571428571	0.8290598290598291	0.9066666666666666	0.8051948051948052	0.8363636363636363	0.864516129032258
Chlorine Gas from South Carolina Train Crash Kills Nine	0.9396067415730337	0.8545454545454545	0.6727272727272727	0.8555555555555555	0.8072289156626506	0.8363636363636363	0.8181818181818182	0.7636363636363637	0.8279569892473119	0.7866666666666666	0.7738095238095238	0.8823529411764706	0.8228571428571428	0.8289473684210527	0.8727272727272727	0.8727272727272727	0.7904761904761904	0.8220338983050848	0.8727272727272727	0.9454545454545454	0.8727272727272727	0.7851239669421488	0.8503937007874016	0.7763157894736842	0.7636363636363637	0.8181818181818182	0.7818181818181819	0.8051948051948052	0.7818181818181819	0.8181818181818182	0.7818181818181819	0.8246753246753247	0.8363636363636363	0.8591549295774648	0.8266666666666667	0.7454545454545455	0.7454545454545455	0.7818181818181819	0.8181818181818182	0.8504672897196262	0.7755102040816326	0.8106060606060606	0.8	0.7956989247311828	0.8015873015873016	0.8034188034188035	0.8766666666666667	0.8051948051948052	0.8272727272727273	0.8516129032258064
Markets-News Release	0.976123595505618	0.8695652173913043	0.8085106382978723	0.8888888888888888	0.9036144578313253	0.90625	0.8275862068965517	0.9117647058823529	0.8817204301075269	0.88	0.8571428571428571	0.9215686274509803	0.9257142857142857	0.9210526315789473	0.8	0.75	0.8571428571428571	0.8898305084745762	0.75	0.8	0.75	0.9090909090909091	0.8740157480314961	0.8421052631578947	0.8518518518518519	0.9629629629629629	0.95	0.8571428571428571	0.95	0.8918918918918919	0.95	0.9090909090909091	0.85	0.9154929577464789	0.9133333333333333	0.8275862068965517	0.8275862068965517	0.8421052631578947	0.8709677419354839	0.897196261682243	0.8979591836734694	0.9090909090909091	0.8666666666666667	0.8709677419354839	0.9047619047619048	0.8974358974358975	0.95	0.8571428571428571	0.9	0.9225806451612903
Port Edwards selss School Forest Land to ERCO Worldwide; Nekoosa Considers Similar Deal	0.9325842696629213	0.8735632183908046	0.8275862068965517	0.9	0.9195402298850575	0.8735632183908046	0.8505747126436781	0.8390804597701149	0.8387096774193549	0.8275862068965517	0.8160919540229885	0.8627450980392157	0.8228571428571428	0.8289473684210527	0.9080459770114943	0.9080459770114943	0.819047619047619	0.8220338983050848	0.9080459770114943	0.9425287356321839	0.9080459770114943	0.8264462809917356	0.8346456692913385	0.8275862068965517	0.8160919540229885	0.896551724137931	0.8620689655172413	0.7816091954022989	0.8620689655172413	0.8275862068965517	0.8620689655172413	0.8116883116883117	0.8735632183908046	0.852112676056338	0.8	0.8390804597701149	0.8390804597701149	0.8620689655172413	0.8275862068965517	0.8598130841121495	0.8163265306122449	0.7727272727272727	0.8045977011494253	0.8817204301075269	0.8095238095238095	0.7777777777777778	0.8366666666666667	0.8275862068965517	0.8818181818181818	0.8451612903225807
Portrait of a Polluter	0.9705056179775281	0.9565217391304348	0.7872340425531915	0.8777777777777778	0.891566265060241	0.875	0.8275862068965517	0.8235294117647058	0.8817204301075269	0.8	0.8214285714285714	0.9215686274509803	0.9085714285714286	0.9013157894736842	0.7727272727272727	0.7727272727272727	0.8761904761904762	0.8813559322033898	0.7727272727272727	0.9545454545454546	0.7727272727272727	0.8842975206611571	0.8740157480314961	0.8421052631578947	0.7777777777777778	0.8888888888888888	0.8636363636363636	0.8181818181818182	0.8636363636363636	0.7837837837837838	0.8636363636363636	0.8896103896103896	0.8636363636363636	0.9154929577464789	0.9	0.6551724137931034	0.6551724137931034	0.8421052631578947	0.8064516129032258	0.897196261682243	0.826530612244898	0.8712121212121212	0.85	0.8279569892473119	0.8650793650793651	0.8632478632478633	0.93	0.8181818181818182	0.8727272727272727	0.9032258064516129
Project Summary Waste Minimization and Audit Report: Case Studies of Minimization of Mercury Bearing Wastes at a Mercury Cell Chlor-alkali Plant	0.901685393258427	0.9097222222222222	0.8472222222222222	0.8472222222222222	0.8472222222222222	0.8958333333333334	0.8611111111111112	0.8472222222222222	0.8402777777777778	0.7708333333333334	0.7569444444444444	0.9215686274509803	0.8228571428571428	0.8552631578947368	0.9513888888888888	0.9513888888888888	0.8055555555555556	0.8472222222222222	0.9513888888888888	0.9583333333333334	0.9513888888888888	0.8402777777777778	0.8541666666666666	0.7847222222222222	0.875	0.9027777777777778	0.9027777777777778	0.7986111111111112	0.9027777777777778	0.8680555555555556	0.9027777777777778	0.8506493506493507	0.9166666666666666	0.9166666666666666	0.7933333333333333	0.8541666666666666	0.8541666666666666	0.8611111111111112	0.8819444444444444	0.8541666666666666	0.7708333333333334	0.7708333333333334	0.8194444444444444	0.7361111111111112	0.8055555555555556	0.7569444444444444	0.7433333333333333	0.8194444444444444	0.8263888888888888	0.864516129032258
Report Cites PPG Savings on Mercury Process Could Boost Efficiency, Phase Out Toxic Discharge at Marshall Plant	0.9171348314606742	0.8918918918918919	0.8108108108108109	0.8828828828828829	0.8288288288288288	0.8738738738738738	0.8738738738738738	0.8468468468468469	0.8558558558558559	0.7927927927927928	0.7567567567567568	0.869281045751634	0.8057142857142857	0.8223684210526315	0.9369369369369369	0.9369369369369369	0.8828828828828829	0.8728813559322034	0.9369369369369369	0.9459459459459459	0.9369369369369369	0.8512396694214877	0.84251968503937	0.7747747747747747	0.8648648648648649	0.8918918918918919	0.8828828828828829	0.8018018018018018	0.8828828828828829	0.8468468468468469	0.8828828828828829	0.7987012987012987	0.9009009009009009	0.8732394366197183	0.8066666666666666	0.8468468468468469	0.8468468468468469	0.8288288288288288	0.8738738738738738	0.8918918918918919	0.8108108108108109	0.7878787878787878	0.7657657657657657	0.8018018018018018	0.7857142857142857	0.8290598290598291	0.7933333333333333	0.7837837837837838	0.8828828828828829	0.832258064516129
Special Focus on Chlorine	0.9691011235955056	0.88	0.7872340425531915	0.9	0.8433734939759037	0.78125	0.8275862068965517	0.7647058823529411	0.8602150537634409	0.8133333333333334	0.8214285714285714	0.9084967320261438	0.9028571428571428	0.8881578947368421	0.88	0.84	0.8476190476190476	0.8728813559322034	0.84	0.88	0.84	0.8760330578512396	0.8976377952755905	0.7763157894736842	0.07407407407407407	0.8888888888888888	0.88	0.8571428571428571	0.88	0.8108108108108109	0.88	0.8831168831168831	0.84	0.9084507042253521	0.8866666666666667	0.7931034482758621	0.7931034482758621	0.7894736842105263	0.8064516129032258	0.8785046728971962	0.8469387755102041	0.8863636363636364	0.8166666666666667	0.8494623655913979	0.8888888888888888	0.8632478632478633	0.9266666666666666	0.8181818181818182	0.8727272727272727	0.8903225806451613
