	Simplified Flow Sheet of Clinker and Cement Manufacture........................................ 2-2 2-2. Labor Costs per Metric Ton of Cement	Current Employment Statistics (National): Customizable Data Tables” Available at As obtained on	Consumer Price Index All Items – U.S. City Average Data: Customizable Data Tables.” Available at As obtained on	Cement Association.	Cement Association. 2008b. “Market Research: Producer Price Indices—Competitive Building Materials.” Available at	Cement Association (PCA).	Department of Commerce, Bureau of the Census.	DC: Government Printing Office. Available at As obtained on	the Census.	DC: Government Printing Office. Available at As obtained on	Optimal Tariffs and Market Power: The Evidence.” American Economic Review 98(5):2032-2065.	Estimating Particulate MatterMortality Dose-Response Curves and Threshold Levels: An Analysis of Daily TimeSeries for the 20 Largest	A Micro-Econometric Model of Capital Utilization and Retirement: The Case of the U.S.	D&B Million Dollar Directory.	Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between	Multimarket Contact and Pricing: Evidence from the U.S.	Historical Statistics for Mineral and Material Commodities in the United States: Cement End Use Statistics.” U.S. Geological Survey Data Series 140, Version 1.2. Available at	Historical Statistics for Mineral and Material Commodities in the United States: Cement Supply and	Reanalysis of the Harvard Six Cities Study and the American Cancer Society Study of Particulate Air Pollution and Mortality. Special Report to the Health Effects Institute.	Reduction in Fine Particulate Air Pollution and Mortality.”	Estimating the Public Health Benefits of Proposed Air Pollution Regulations.	Price and Seller Concentration in Cement: Effective Oligopoly or	Circular A-4: Regulatory Analysis.	Invited Commentary: Particulate Matter-Mortality Exposure-Response Relations and Thresholds.”	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	U.S. and Canadian Portland Cement Industry: Plant Information Summary.	U.S. and Canadian Labor-Energy Input Survey	Flash Report: Capacity Expansion Update.” Available at < http://www.cement.org/econ/pdf/NONMEMBERCapacity Expansion.pdf>. As obtained on	Association (PCA). 2008a. “Cement and Concrete Basics: History & Manufacture of Portland Cement.” Available at concretebasics_history.asp>.	Association (PCA). 2008b. “Market Research: Producer Price Indices— Competitive Building Materials.” Available at	Association (PCA).	Cement Plant Operating Cost Study.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci.	Air Pollution and Cause-Specific Mortality in Milan, Italy, 1980–1989.” Arch Environ Health	The Cost of Environmental Regulation in a Concentrated Industry.” Available at	The Concentration-Response Relation between PM(2.5) and Daily Deaths.” Environ Health Perspectives	The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival.” Environmental Health Perspectives	Using Meta-Smoothing to Estimate Dose-Response Trends Across Multiple Studies, with Application to Air Pollution and Daily Death.”	Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix,	of the Census.	of the Census.	of the Census; generated by RTI International; using American FactFinder; “Sector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries:	Department of Commerce, Bureau of Economic Analysis.	Department of Energy, Energy Information Administration.	Department of Energy, Energy Information Administration.	Department of Energy, Energy Information Administration.	Department of Energy, Energy Information Administration.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey. 2008b. Minerals Commodity Summaries, Cement	Current Employment Statistics (National): Customizable Data Tables.” Available at As obtained on	Statistics (BLS). 2007b. “State and Area Employment, Hours and Earnings	Consumer Price Index All Items – U.S. City Average Data: Customizable Data Tables.” Available at As obtained on	Regulatory Impact Analysis of Cement Kiln Dust Rulemaking. Appendix C,	Environmental Protection Agency (EPA).	Environmental Protection Agency (EPA).	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency, Office of Air Quality Planning and Standards.	Environmental Protection Agency Science Advisory	Environmental Protection Agency Science Advisory	Advisory on Plans for Health Effects Analysis for EPA’s Second Prospective Analysis— Benefits and Costs of the Clean Air Act,	Environmental Protection Agency Science Advisory	Environmental Protection Agency Science Advisory	International Trade Commission (USITC). 2006. Gray Portland Cement and Cement Clinker from Japan Investigation No. 731-TA-461 (Second Review). Publication 3856. Available at	Trade Commission.	Cement Manufacture and the Environment Part I: Chemistry and	Microeconomic Analysis. 3rd Ed.
The Concentration-Response Relation between PM(2.5) and Daily Deaths	0.8581560283687943	0.7684210526315789	0.8018018018018018	0.8235294117647058	0.7876106194690266	0.7941176470588235	0.7941176470588235	0.7941176470588235	0.8676470588235294	0.7941176470588235	0.8444444444444444	0.7272727272727273	0.7529411764705882	0.8382352941176471	0.8117647058823529	0.8529411764705882	0.8218390804597702	0.7959183673469388	0.8023255813953488	0.7647058823529411	0.8421052631578947	0.7794117647058824	0.7941176470588235	0.7311827956989247	0.7653061224489796	0.8	0.8382352941176471	0.8161764705882353	0.7985611510791367	0.8053097345132744	0.8382352941176471	0.7941176470588235	0.7786885245901639	0.7912087912087912	0.6666666666666666	0.30612244897959184	0.6818181818181818	0.676923076923077	0.7831325301204819	0.8970588235294118	0.8970588235294118	0.7978142076502732	0.7794117647058824	0.8235294117647058	0.8235294117647058	0.8235294117647058	0.8235294117647058	0.8088235294117647	0.8088235294117647	0.8088235294117647	0.8088235294117647	0.8088235294117647	0.8088235294117647	0.8088235294117647	0.8088235294117647	0.8088235294117647	0.7789473684210526	0.7708333333333334	0.8732394366197183	0.8018018018018018	0.8571428571428571	0.75	0.75	0.7647058823529411	0.7647058823529411	0.7564102564102564	0.75	0.75	0.784	0.75	0.75	0.8092485549132948	0.8529411764705882	0.7941176470588235	0.8235294117647058
The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival	0.8085106382978723	0.8125	0.8108108108108109	0.8229166666666666	0.7787610619469026	0.8020833333333334	0.78125	0.7604166666666666	0.9166666666666666	0.7604166666666666	0.8125	0.7878787878787878	0.7604166666666666	0.8541666666666666	0.75	0.78125	0.7528735632183908	0.826530612244898	0.7558139534883721	0.7291666666666666	0.7916666666666666	0.75	0.84375	0.8125	0.8061224489795918	0.78125	0.8020833333333334	0.8235294117647058	0.7841726618705036	0.8141592920353983	0.8645833333333334	0.8229166666666666	0.7131147540983607	0.8333333333333334	0.7395833333333334	0.7857142857142857	0.2727272727272727	0.7384615384615385	0.6458333333333334	0.8854166666666666	0.8854166666666666	0.7704918032786885	0.7604166666666666	0.7395833333333334	0.7395833333333334	0.7395833333333334	0.7395833333333334	0.7291666666666666	0.7291666666666666	0.7291666666666666	0.7291666666666666	0.7291666666666666	0.7291666666666666	0.7291666666666666	0.7291666666666666	0.7291666666666666	0.8333333333333334	0.8229166666666666	0.7708333333333334	0.8108108108108109	0.7916666666666666	0.8020833333333334	0.8020833333333334	0.8125	0.8125	0.78125	0.7604166666666666	0.7604166666666666	0.784	0.7604166666666666	0.7604166666666666	0.7803468208092486	0.8854166666666666	0.7395833333333334	0.84375
Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix, Arizona	0.8368794326241135	0.8210526315789474	0.7747747747747747	0.8571428571428571	0.7610619469026548	0.8461538461538461	0.7582417582417582	0.7252747252747253	0.9230769230769231	0.7252747252747253	0.8681318681318682	0.7348484848484849	0.8131868131868132	0.8351648351648352	0.8241758241758241	0.7912087912087912	0.7816091954022989	0.7959183673469388	0.7674418604651163	0.7802197802197802	0.7582417582417582	0.7802197802197802	0.8571428571428571	0.8279569892473119	0.7142857142857143	0.7692307692307693	0.8351648351648352	0.8382352941176471	0.7553956834532374	0.7699115044247787	0.8901098901098901	0.8131868131868132	0.6311475409836066	0.8131868131868132	0.7362637362637363	0.7857142857142857	0.7045454545454546	0.8	0.08791208791208792	0.8901098901098901	0.8901098901098901	0.7814207650273224	0.7582417582417582	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7912087912087912	0.7912087912087912	0.7912087912087912	0.7912087912087912	0.7912087912087912	0.7912087912087912	0.7912087912087912	0.7912087912087912	0.7912087912087912	0.8421052631578947	0.8229166666666666	0.8241758241758241	0.7747747747747747	0.7692307692307693	0.8021978021978022	0.8021978021978022	0.8131868131868132	0.8131868131868132	0.7912087912087912	0.7582417582417582	0.7582417582417582	0.712	0.7582417582417582	0.7582417582417582	0.7976878612716763	0.8681318681318682	0.7362637362637363	0.8351648351648352
Cement Plant Operating Cost Study	0.8723404255319149	0.7789473684210526	0.8288288288288288	0.6666666666666666	0.8230088495575221	0.6666666666666666	0.7555555555555555	0.6949152542372882	0.8181818181818182	0.6949152542372882	0.8555555555555555	0.8560606060606061	0.8117647058823529	0.8484848484848485	0.7647058823529411	0.7636363636363637	0.8850574712643678	0.8061224489795918	0.872093023255814	0.7627118644067796	0.7763157894736842	0.734375	0.8823529411764706	0.7849462365591398	0.8061224489795918	0.7714285714285715	0.7441860465116279	0.8602941176470589	0.8561151079136691	0.8584070796460177	0.8787878787878788	0.05714285714285714	0.8360655737704918	0.8461538461538461	0.782051282051282	0.826530612244898	0.8484848484848485	0.8461538461538461	0.7951807228915663	0.8181818181818182	0.8181818181818182	0.8688524590163934	0.75	0.6964285714285714	0.6964285714285714	0.6964285714285714	0.6964285714285714	0.7254901960784313	0.7254901960784313	0.7254901960784313	0.7254901960784313	0.7254901960784313	0.7254901960784313	0.7254901960784313	0.7254901960784313	0.7254901960784313	0.8	0.78125	0.8309859154929577	0.8288288288288288	0.7714285714285715	0.8157894736842105	0.8157894736842105	0.8484848484848485	0.8484848484848485	0.7435897435897436	0.7708333333333334	0.7708333333333334	0.848	0.7708333333333334	0.7708333333333334	0.8786127167630058	0.8787878787878788	0.7	0.8787878787878788
Microeconomic Analysis. 3rd Ed	0.900709219858156	0.8210526315789474	0.8648648648648649	0.8333333333333334	0.8407079646017699	0.8666666666666667	0.8	0.7966101694915254	0.8333333333333334	0.7966101694915254	0.8555555555555555	0.8484848484848485	0.7764705882352941	0.9	0.8705882352941177	0.7818181818181819	0.896551724137931	0.8469387755102041	0.8895348837209303	0.7966101694915254	0.8289473684210527	0.796875	0.7941176470588235	0.8387096774193549	0.8571428571428571	0.8571428571428571	0.8604651162790697	0.8897058823529411	0.8776978417266187	0.8407079646017699	0.8	0.8857142857142857	0.860655737704918	0.8241758241758241	0.8333333333333334	0.826530612244898	0.8636363636363636	0.8692307692307693	0.8313253012048193	0.8333333333333334	0.8333333333333334	0.8852459016393442	0.75	0.8214285714285714	0.8214285714285714	0.8214285714285714	0.8214285714285714	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.8421052631578947	0.8229166666666666	0.8309859154929577	0.8648648648648649	0.7714285714285715	0.8157894736842105	0.8157894736842105	0.84375	0.84375	0.7564102564102564	0.7916666666666666	0.7916666666666666	0.832	0.7916666666666666	0.7916666666666666	0.9017341040462428	0.8333333333333334	0.8166666666666667	0.03225806451612903
USITC Interactive Tariff and Trade DataWeb	0.8794326241134752	0.8	0.8108108108108109	0.8333333333333334	0.831858407079646	0.8571428571428571	0.8666666666666667	0.7627118644067796	0.9047619047619048	0.7627118644067796	0.8222222222222222	0.8181818181818182	0.788235294117647	0.8333333333333334	0.8235294117647058	0.8181818181818182	0.8563218390804598	0.8061224489795918	0.8430232558139535	0.7627118644067796	0.8026315789473685	0.8125	0.9047619047619048	0.7849462365591398	0.7959183673469388	0.7714285714285715	0.7906976744186046	0.8529411764705882	0.8345323741007195	0.831858407079646	0.8571428571428571	0.8095238095238095	0.8278688524590164	0.8461538461538461	0.7692307692307693	0.7959183673469388	0.8106060606060606	0.8307692307692308	0.7469879518072289	0.8809523809523809	0.8809523809523809	0.8524590163934426	0.8461538461538461	0.8214285714285714	0.8214285714285714	0.8214285714285714	0.8214285714285714	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.8210526315789474	0.8020833333333334	0.8169014084507042	0.8108108108108109	0.8285714285714286	0.8809523809523809	0.8809523809523809	0.8571428571428571	0.8571428571428571	0.782051282051282	0.8333333333333334	0.8333333333333334	0.824	0.8333333333333334	0.8333333333333334	0.8554913294797688	0.8571428571428571	0.7833333333333333	0.8571428571428571
nan	0.9787234042553191	0.968421052631579	0.972972972972973	0.8421052631578947	0.9734513274336283	0.88	0.9333333333333333	0.9491525423728814	0.9090909090909091	0.9491525423728814	0.9666666666666667	0.9772727272727273	0.9647058823529412	0.9310344827586207	0.9647058823529412	0.9454545454545454	0.9827586206896551	0.9693877551020408	0.9825581395348837	0.9491525423728814	0.9605263157894737	0.953125	0.9411764705882353	0.967741935483871	0.9693877551020408	0.9571428571428572	0.9302325581395349	0.9779411764705882	0.9784172661870504	0.9734513274336283	0.8888888888888888	0.9142857142857143	0.9754098360655737	0.967032967032967	0.9615384615384616	0.9693877551020408	0.9772727272727273	0.9769230769230769	0.963855421686747	0.9285714285714286	0.9285714285714286	0.9836065573770492	0.9423076923076923	0.9464285714285714	0.9464285714285714	0.9464285714285714	0.9464285714285714	0.9607843137254902	0.9607843137254902	0.9607843137254902	0.9607843137254902	0.9607843137254902	0.9607843137254902	0.9607843137254902	0.9607843137254902	0.9607843137254902	0.968421052631579	0.96875	0.9577464788732394	0.972972972972973	0.9571428571428572	0.9210526315789473	0.9210526315789473	0.90625	0.90625	0.9615384615384616	0.9375	0.9375	0.976	0.9375	0.9375	0.9826589595375722	0.8823529411764706	0.95	0.9354838709677419
 Electric Power Annual 2005	0.900709219858156	0.8421052631578947	0.8828828828828829	0.8518518518518519	0.8584070796460177	0.8518518518518519	0.8	0.7966101694915254	0.8148148148148148	0.7966101694915254	0.8	0.8560606060606061	0.8352941176470589	0.8620689655172413	0.8588235294117647	0.8	0.9137931034482759	0.8673469387755102	0.9011627906976745	0.7966101694915254	0.8157894736842105	0.828125	0.8235294117647058	0.8494623655913979	0.8673469387755102	0.8285714285714286	0.7906976744186046	0.9044117647058824	0.8920863309352518	0.8672566371681416	0.8518518518518519	0.8285714285714286	0.8770491803278688	0.8351648351648352	0.8076923076923077	0.8469387755102041	0.8636363636363636	0.8769230769230769	0.8313253012048193	0.8148148148148148	0.8148148148148148	0.907103825136612	0.8076923076923077	0.8392857142857143	0.8392857142857143	0.8392857142857143	0.8392857142857143	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.803921568627451	0.8631578947368421	0.84375	0.8591549295774648	0.8828828828828829	0.8428571428571429	0.7894736842105263	0.7894736842105263	0.8125	0.8125	0.8333333333333334	0.8125	0.8125	0.856	0.8125	0.8125	0.9132947976878613	0.8888888888888888	0.85	0.8387096774193549
 Estimating the Public Health Benefits of Proposed Air Pollution Regulations	0.8368794326241135	0.8105263157894737	0.8018018018018018	0.8289473684210527	0.7699115044247787	0.8421052631578947	0.8026315789473685	0.8026315789473685	0.8947368421052632	0.8026315789473685	0.8333333333333334	0.7272727272727273	0.8470588235294118	0.8421052631578947	0.788235294117647	0.7894736842105263	0.7873563218390804	0.7653061224489796	0.7383720930232558	0.6973684210526315	0.02631578947368421	0.7894736842105263	0.8157894736842105	0.7741935483870968	0.7653061224489796	0.8026315789473685	0.8157894736842105	0.8235294117647058	0.7553956834532374	0.7610619469026548	0.881578947368421	0.7763157894736842	0.7704918032786885	0.7912087912087912	0.8589743589743589	0.7755102040816326	0.7575757575757576	0.7076923076923077	0.7951807228915663	0.881578947368421	0.881578947368421	0.8087431693989071	0.7631578947368421	0.7631578947368421	0.7631578947368421	0.7631578947368421	0.7631578947368421	0.8026315789473685	0.8026315789473685	0.8026315789473685	0.8026315789473685	0.8026315789473685	0.8026315789473685	0.8026315789473685	0.8026315789473685	0.8026315789473685	0.7789473684210526	0.8020833333333334	0.8026315789473685	0.8018018018018018	0.8552631578947368	0.8026315789473685	0.8026315789473685	0.7763157894736842	0.7763157894736842	0.7948717948717948	0.7763157894736842	0.7763157894736842	0.76	0.7763157894736842	0.7763157894736842	0.791907514450867	0.881578947368421	0.8026315789473685	0.8289473684210527
2000 Minerals Yearbook, Cement	0.8581560283687943	0.8736842105263158	0.8738738738738738	0.8333333333333334	0.8672566371681416	0.8333333333333334	0.7777777777777778	0.8305084745762712	0.9	0.8305084745762712	0.8555555555555555	0.8712121212121212	0.8470588235294118	0.8666666666666667	0.8470588235294118	0.8545454545454545	0.8850574712643678	0.7959183673469388	0.9011627906976745	0.8135593220338984	0.8289473684210527	0.796875	0.8823529411764706	0.8602150537634409	0.8469387755102041	0.8428571428571429	0.8604651162790697	0.8970588235294118	0.8561151079136691	0.8584070796460177	0.8666666666666667	0.8571428571428571	0.8770491803278688	0.8681318681318682	0.8076923076923077	0.8571428571428571	0.8787878787878788	0.8769230769230769	0.8192771084337349	0.8666666666666667	0.8666666666666667	0.9016393442622951	0.8269230769230769	0.8035714285714286	0.8035714285714286	0.8035714285714286	0.8035714285714286	0.8235294117647058	0.8235294117647058	0.8235294117647058	0.8235294117647058	0.8235294117647058	0.8235294117647058	0.8235294117647058	0.8235294117647058	0.8235294117647058	0.7684210526315789	0.875	0.8169014084507042	0.8738738738738738	0.8428571428571429	0.8421052631578947	0.8421052631578947	0.84375	0.84375	0.8717948717948718	0.8333333333333334	0.8333333333333334	0.864	0.8333333333333334	0.8333333333333334	0.8901734104046243	0.8333333333333334	0.7833333333333333	0.9032258064516129
