	Regulatory Impact Analysis: Heavy‐Duty Engine and Vehicle Standards and Highway Diesel Fuel Sulfur Control Requirements, U.S. Environmental Protection Agency, Office of Transportation and Air Quality, Assessment and Standards Division,	Environmental Protection Agency (EPA). 2005a. Clean Air Interstate Rule Emissions Inventory Technical Support Document, U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Emissions Inventory and Emissions Processing for the Clean Air Mercury Rule (CAMR), U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Environmental Protection Agency (EPA). 2007b, Proposed Emission Standards for New Nonroad Spark‐Ignition Engines, Equipment, and Vessels.	Environmental Protection Agency (EPA). 2008a. Air Quality Modeling Platform for the Ozone National Ambient Air Quality Standard Final Rule Regulatory Impact Analysis. North Carolina.	Environmental Protection Agency (EPA). 2008b. Final Ozone NAAQS Regulatory Impact Analysis. U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Environmental Protection Agency (EPA).	Development and applications of a standard visual index.	Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci. Technol.,	Oxidants and Asthmatics in Los Angeles: A Benefits Analysis -- Executive Summary. Prepared for U.S. Environmental Protection Agency, Office of Policy Analysis. Prepared by Energy and Resource Consultants,	Ambient air pollution and asthma exacerbations in children: an eight-city analysis.	Guidelines for Preparing Economic Analyses.	Letter to Recipients of Third Draft EPA PM Criteria Document. National Center for Environmental Assessment,	Air Quality Criteria for Particulate Matter. Volume I	Regulatory Impact Analysis for the Final Clean Air Interstate Rule.	Regulatory Impact Analysis,	Willingness to Pay for Environmental	Forest Inventory and Analysis National Program: Forest Inventory Data Online. Online database. U.S. Department of Agriculture Forest Service, Forest Inventory and Analysis,	Investigations and Monitoring of Mercury in Indiana by the U.S. Geological Survey.	Episodic acidification of small streams in the northeastern United States: Fish mortality in field bioassays.	Pricing Environmental Health Risks: Survey Assessments of Risk-Risk and Risk-Dollar Trade-Offs for Chronic Bronchitis.”	The Value of a Statistical Life: A Critical Review of Market Estimates throughout the World.”	Effect of short-term exposure to low levels of gaseous pollutants on chronic obstructive pulmonary disease hospitalizations.	Association between ozone and respiratory admissions among children and the elderly in Vancouver,	Chapter 6: Cost Analysis Approach and Results Commercial, and Institutional	Pechan and Associates and Industrial Economics, Direct Cost Estimates for the Clean Air Act Second Section 812 Prospective Analysis: Draft Report, prepared for U.S. EPA, Office of Air and Radiation,	Learning and Cost Reductions for Generating Technologies in the National Energy Modeling System (NEMS),	Proposed Approach for Expanding the Treatment of Learning Curve Impacts for the Second Section 812 Prospective Analysis: Memorandum, prepared for U.S. EPA, Office of Air and Radiation,	Sulfur Dioxide Control by Electric Utilities: What Are the Gains from Trade?”	Ex Post Evaluation of Tradable Permits: The U.S.	Testimony of Jeffrey Holmstead, Assistant Administrator, Office of Air	Are the costs of proposed environmental regulations overestimated?	The Clean Air Act Amendment: Spurring Innovation and Growth While Cleaning the Air.	Incorporating Technological Learning in the Coal Utility Environmental Cost (CUECost) Model: Estimating the Future Cost Trends of SO2, NOx, and Mercury Control Technologies.” Prepared for ARCADIS Geraghty and Miller, Research Triangle Park, NC 27711. Available at http://steps.ucdavis.edu/People/slyeh/syeh‐ resources/Drft%20Fnl%20Rpt%20Lrng%20for%20CUECost_v3.pdf.	Census Bureau	f No data on budget or revenues for this NAICS code is included
Air Pollution and Daily Deaths and Hospital Admissions in Los Angeles and Cook Counties	0.4883720930232558	0.5	0.5128205128205128	0.5581395348837209	0.5454545454545454	0.6	0.5333333333333333	0.48275862068965514	0.3939393939393939	0.4871794871794872	0.46153846153846156	0.4	0.4137931034482759	0.4117647058823529	0.5483870967741935	0.4	0.4285714285714286	0.5	0.4864864864864865	0.5588235294117647	0.5454545454545454	0.4054054054054054	0.5263157894736843	0.5	0.4193548387096774	0.4	0.4871794871794872	0.5	0.5	0.5135135135135135	0.5588235294117647	0.5	0.3928571428571429	0.5	0.5818181818181818	0.6799999999999999	0.4838709677419355
Air pollution and hospital admissions for diseases of the circulatory system in three U.S. metropolitan areas	0.46341463414634143	0.4358974358974359	0.4	0.5	0.4878048780487805	0.475	0.5	0.31999999999999995	0.4545454545454546	0.37142857142857144	0.38888888888888884	0.2962962962962963	0.3076923076923077	0.4242424242424242	0.4642857142857143	0.2962962962962963	0.3846153846153846	0.5185185185185186	0.36363636363636365	0.3214285714285714	0.23076923076923073	0.45945945945945943	0.5	0.3666666666666667	0.3793103448275862	0.3571428571428571	0.37142857142857144	0.47058823529411764	0.4358974358974359	0.3939393939393939	0.3793103448275862	0.40740740740740744	0.28	0.4193548387096774	0.5925925925925926	0.7083333333333333	0.3928571428571429
An Empirical Bayes Approach to Combining Estimates of the Value of Statistical Life for Environmental Policy Analysis	0.43181818181818177	0.4418604651162791	0.41025641025641024	0.4285714285714286	0.41860465116279066	0.4772727272727273	0.4516129032258065	0.5	0.41666666666666663	0.3421052631578947	0.2702702702702703	0.4242424242424242	0.3870967741935484	0.38888888888888884	0.46875	0.375	0.4516129032258065	0.4137931034482759	0.42105263157894735	0.4411764705882353	0.4242424242424242	0.3846153846153846	0.42105263157894735	0.38235294117647056	0.34375	0.47058823529411764	0.42500000000000004	0.43243243243243246	0.40476190476190477	0.4473684210526315	0.4411764705882353	0.5588235294117647	0.3666666666666667	0.4722222222222222	0.5357142857142857	0.6785714285714286	0.3548387096774194
Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish	0.46341463414634143	0.4358974358974359	0.4444444444444444	0.5365853658536586	0.4878048780487805	0.5121951219512195	0.5517241379310345	0.31999999999999995	0.5	0.45945945945945943	0.4736842105263158	0.3571428571428571	0.37037037037037035	0.4242424242424242	0.5172413793103448	0.23076923076923073	0.25	0.46153846153846156	0.4117647058823529	0.3793103448275862	0.4137931034482759	0.45945945945945943	0.5405405405405406	0.3666666666666667	0.3793103448275862	0.2962962962962963	0.41666666666666663	0.4242424242424242	0.475	0.48571428571428577	0.53125	0.4642857142857143	0.28	0.46875	0.5925925925925926	0.7083333333333333	0.3928571428571429
Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter	0.4444444444444444	0.4545454545454546	0.3846153846153846	0.4772727272727273	0.3571428571428571	0.4545454545454546	0.5151515151515151	0.46875	0.2941176470588235	0.17142857142857137	0.375	0.34375	0.3548387096774194	0.4054054054054054	0.4375	0.29032258064516125	0.4193548387096774	0.4838709677419355	0.39473684210526316	0.4117647058823529	0.3939393939393939	0.47619047619047616	0.5121951219512195	0.3529411764705882	0.4117647058823529	0.3939393939393939	0.4390243902439024	0.4473684210526315	0.38095238095238093	0.42105263157894735	0.4571428571428572	0.48484848484848486	0.3870967741935484	0.4864864864864865	0.49090909090909096	0.7333333333333334	0.375
Recovery of mercury-contaminated fisheries	0.5714285714285714	0.55	0.48571428571428577	0.6097560975609756	0.5609756097560976	0.5853658536585367	0.5555555555555556	0.375	0.5454545454545454	0.5405405405405406	0.4722222222222222	0.40740740740740744	0.4814814814814815	0.46875	0.5714285714285714	0.40740740740740744	0.43999999999999995	0.45833333333333337	0.5428571428571429	0.4285714285714286	0.4642857142857143	0.4571428571428572	0.5428571428571429	0.3571428571428571	0.4285714285714286	0.40740740740740744	0.5	0.46875	0.55	0.5294117647058824	0.48275862068965514	0.46153846153846156	0.33333333333333337	0.5625	0.6727272727272727	0.6666666666666667	0.4444444444444444
Contingent valuation of forest ecosystem protection	0.5365853658536586	0.5128205128205128	0.48571428571428577	0.5384615384615384	0.525	0.55	0.43999999999999995	0.30434782608695654	0.4516129032258065	0.4571428571428572	0.4722222222222222	0.40740740740740744	0.36	0.46875	0.46153846153846156	0.28	0.30434782608695654	0.31818181818181823	0.4545454545454546	0.4285714285714286	0.4642857142857143	0.5	0.5428571428571429	0.3571428571428571	0.37037037037037035	0.40740740740740744	0.5	0.46875	0.5128205128205128	0.5294117647058824	0.5333333333333333	0.46153846153846156	0.26086956521739135	0.4666666666666667	0.6481481481481481	0.6	0.3846153846153846
A Study of Ambient Air Contaminants and Asthma in New York City	0.5777777777777777	0.5909090909090908	0.5384615384615384	0.5121951219512195	0.5348837209302326	0.5909090909090908	0.65625	0.5666666666666667	0.5945945945945945	0.5128205128205128	0.525	0.4838709677419355	0.5483870967741935	0.5277777777777778	0.5806451612903225	0.4838709677419355	0.5666666666666667	0.5862068965517242	0.5135135135135135	0.5	0.4838709677419355	0.5128205128205128	0.5135135135135135	0.48484848484848486	0.4516129032258065	0.4838709677419355	0.55	0.48571428571428577	0.5909090909090908	0.4571428571428572	0.5	0.5333333333333333	0.48275862068965514	0.5294117647058824	0.625	0.6666666666666667	0.3571428571428571
Air Quality Criteria for Particulate Matter	0.6190476190476191	0.6	0.5	0.6585365853658536	0.575	0.6341463414634146	0.52	0.5769230769230769	0.5161290322580645	0.5555555555555556	0.6052631578947368	0.5862068965517242	0.5	0.53125	0.19047619047619047	0.4814814814814815	0.52	0.5416666666666667	0.6	0.5517241379310345	0.6333333333333333	0.5945945945945945	0.6	0.625	0.6	0.5357142857142857	0.5945945945945945	0.5757575757575757	0.6	0.5882352941176471	0.6451612903225806	0.5384615384615384	0.5384615384615384	0.625	0.7090909090909091	0.7	0.5185185185185186
Ecological Benefits Assessment Strategic Plan	0.5714285714285714	0.55	0.48571428571428577	0.5384615384615384	0.5609756097560976	0.55	0.375	0.5	0.5	0.5	0.4722222222222222	0.5172413793103448	0.36	0.5151515151515151	0.5185185185185186	0.4642857142857143	0.43999999999999995	0.31818181818181823	0.5	0.5333333333333333	0.4642857142857143	0.4571428571428572	0.5428571428571429	0.5161290322580645	0.5333333333333333	0.5666666666666667	0.5405405405405406	0.5151515151515151	0.55	0.5294117647058824	0.48275862068965514	0.46153846153846156	0.4	0.5625	0.6727272727272727	0.6666666666666667	0.4444444444444444
