	Sources of GHG Emissions Considered .................................................................... 2-5 2-2. GHG Source Categories Included in the Regulatory Analyses ................................. 2-6 3-1. Options Considered in Developing Scenarios (Recommended Option Indicated by Shading) ................................................................................................ 3-2 4-1. Selected Reporting Thresholds and Reporting Requirements ................................... 4-1 4-2. Per Unit Cost Breakdown by Monitoring Category: Stationary Combustion (2006$)..................................................................................................................... 4-23 4-2a. Detailed Summary of Stationary Combustion Monitoring Category Costs: CEMS-Add CO2 Analyzer and Flow Meter (2006$)............................................... 4-25 4-2b. Detailed Summary of Stationary Combustion Monitoring Category Costs: CEMS-Add CO2 Analyzer Only	Subpart I Electronics: Labor Costs	Environmental Protection Agency. Preamble to the Proposed Mandatory Greenhouse Gas Reporting Rule;	Office of Management and Budget. Circular A-4,	Personal Communication between Harold Falls of CF Industries and Erin Redmond of Research Triangle Institute (RTI),	Personal Communication between Stephen Jasinski of the US Geological Survey and Mausami Desai of US EPA.	Wage Rates for Economic Analyses of the Toxics Release Inventory Program.” Analytical Support Branch, Environmental Analysis Division, Office of Environmental Information,	The Cost Methodology for the Final Revisions to the National Pollutant Discharge Elimination System Regulation and the Effluent Guidelines for Concentrated Animal Feeding Operations,	5.3 References Glass Factory Directory (GFD).	for Environmental Policy Solutions, Duke University.	Pew Center on Global Climate Change.	Draft Industry Profile for the Cement Industry. Prepared for the U.S. Environmental Protection Agency.	Finances of County Governments:	Finances of Municipal and Township Governments:	Environmental Protection Agency (EPA).	Environmental Protection Agency (EPA).	Business Administration (SBA).	Business Administration (SBA).	Business Administration (SBA). 2008c. Table of Small Business Size Standards Matched to North American Industry Classification System Codes. Effective	Carbon Taxes Versus Carbon Markets: What’s the Best Way to Limit Emissions?” The American.	The Benefits and Costs of Environmental Information Disclosure: What Do We Know About Right-to-Know?” Resources for the Future,	Risk, Regulation and the Right to Know: Exploring the Impacts of Access to	Pollution as News: Media and Stock Market Reactions to the Toxics Release Inventory Data.”	Uncertainty in Greenhouse Gas Inventories.” IIASA Policy Brief No.	Information as Regulation: The Effect of Community Right-toKnow Laws on Toxic Emissions.”	Organization for Economic Co-Operation and Development (OECD).	Pew Center on Global Climate Change.	Attitudes Project.	Building Trust in Emissions Reporting: Global Trends in Emissions Trading Schemes. http://www.pwc.com/extweb/pwcpublications.nsf/ docid/8df4237f6b2f7fcf8525728300503b70 Social Investment Forum.	Promoting ‘Green’ Consumer Behavior with Eco Labels.”	Environmental Protection Agency (EPA).	Environmental Protection Agency (EPA).	Greening Industry: New Roles for Communities, Markets, and Governments.	Barriers and Opportunities: A Review of Selected Successful Energy Efficiency Programs.	Estimated Private and Government Costs in Selected Sectors (103 $2006) Public/Private Respondent Stationary Electricity Breakdown Landfills Combustion Generation LDCs Costs of private respondents $4,436 $22,527 $2,813 $298 Costs of state/local/tribal $7,247 $3,817 $398 $753 government (SLTG) respondents Costs of federal respondents (fed $127 $0 $53 $0 owned/operated) Total costs by sector $11,990 $26,344 $3,264 $1,050 Note: Columns may not sum to totals due to rounding. Subpart C—General Stationary Fuel Combustion Sources $29.0 17% $24.4 18% Subpart D—Electricity Generation $3.3 2% $3.3 2% Subpart H—Cement Production $6.9 4% $4.3 3% Subpart I—Electronics Manufacturing $3.6 2% $3.6 3% Subpart Q—Iron and Steel Production $18.2 11% $14.1 11% Subpart S—Lime Manufacturing $5.3 3% $3.0 2% Subpart W—Oil and Natural Gas Systems $32.5 19% $28.1 21% Subpart Y—Petroleum	Reporting from upstream sources only; recommended option for methodology, 7.9 National Technology Transfer Advancement Act Section 12(d) of the National Technology Transfer and Advancement Act of
Carbon Taxes Versus Carbon Markets: What�s the Best Way to Limit Emissions?	0.65	0.53125	0.5897435897435898	0.6578947368421053	0.6097560975609756	0.5813953488372092	1.0	0.6136363636363636	0.7435897435897436	0.6216216216216216	0.6363636363636364	0.6341463414634146	0.5625	0.5833333333333333	0.6944444444444444	0.6944444444444444	0.6363636363636364	0.6363636363636364	0.5581395348837209	1.0	1.0	0.5897435897435898	1.0	1.0	1.0	0.7317073170731707	0.6363636363636364	0.7575757575757576	0.64	1.0	0.6944444444444444	0.6944444444444444	0.5897435897435898	0.6341463414634146	1.0	0.7021276595744681
Greening Industry: New Roles for Communities, Markets, and Governments	0.5535714285714286	0.5757575757575757	0.4722222222222222	0.5	0.45945945945945943	0.4358974358974359	0.5476190476190477	0.39473684210526316	0.6	0.5	0.5483870967741935	0.4864864864864865	0.4137931034482759	0.40625	0.6176470588235294	0.6176470588235294	0.6363636363636364	0.6363636363636364	0.5238095238095238	0.6190476190476191	0.46341463414634143	0.38235294117647056	0.41666666666666663	0.5277777777777778	0.45945945945945943	0.5945945945945945	0.5483870967741935	0.71875	0.5531914893617021	0.5526315789473684	0.6176470588235294	0.6176470588235294	0.0357142857142857	0.4444444444444444	0.55	0.5121951219512195
Promoting �Green� Consumer Behavior with Eco Labels	0.5964912280701755	0.4666666666666667	0.4117647058823529	0.5714285714285714	0.4444444444444444	0.42105263157894735	1.0	0.5	0.6666666666666667	0.5294117647058824	0.37037037037037035	0.4722222222222222	0.5	0.48484848484848486	0.5161290322580645	0.5161290322580645	0.625	0.625	0.5476190476190477	1.0	1.0	0.5405405405405406	1.0	1.0	1.0	0.5833333333333333	0.37037037037037035	0.6666666666666667	0.5434782608695652	1.0	0.5161290322580645	0.5161290322580645	0.5405405405405406	0.4722222222222222	1.0	0.6363636363636364
Bulletin: Using Design for the Environment Concepts in Your EMS	0.5454545454545454	0.4666666666666667	0.5	0.5294117647058824	0.5641025641025641	0.3783783783783784	0.46153846153846156	0.42105263157894735	0.6666666666666667	0.4375	0.625	0.33333333333333337	0.5	0.4375	0.6060606060606061	0.6060606060606061	0.625	0.625	0.5121951219512195	0.575	0.4878048780487805	0.5	0.5641025641025641	0.5142857142857142	0.5263157894736843	0.5	0.625	0.7096774193548387	0.5434782608695652	0.5	0.6060606060606061	0.6060606060606061	0.5405405405405406	0.4285714285714286	0.6129032258064516	0.5714285714285714
How Are the Toxics Release Inventory Data Used?�Government, Business, Academic and Citizen Uses	0.5	0.641025641025641	0.5121951219512195	0.575	0.46341463414634143	0.4772727272727273	1.0	0.4418604651162791	0.625	0.5384615384615384	0.6216216216216216	0.44999999999999996	0.5555555555555556	0.5	0.641025641025641	0.641025641025641	0.6216216216216216	0.6216216216216216	0.48888888888888893	1.0	1.0	0.475	1.0	1.0	1.0	0.6190476190476191	0.6216216216216216	0.6944444444444444	0.5490196078431373	1.0	0.641025641025641	0.641025641025641	0.475	0.5238095238095238	1.0	0.5434782608695652
 Barriers and Opportunities: A Review of Selected Successful Energy Efficiency Programs	0.4814814814814815	0.5	0.3529411764705882	0.47058823529411764	0.4736842105263158	0.368421052631579	0.32432432432432434	0.32432432432432434	0.6111111111111112	0.4242424242424242	0.6060606060606061	0.32352941176470584	0.4838709677419355	0.4242424242424242	0.4516129032258065	0.4516129032258065	0.5161290322580645	0.5161290322580645	0.5	0.5952380952380952	0.4390243902439024	0.3529411764705882	0.4736842105263158	0.4571428571428572	0.4736842105263158	0.48571428571428577	0.6060606060606061	0.6	0.4666666666666667	0.4864864864864865	0.4516129032258065	0.4516129032258065	0.4444444444444444	0.03448275862068961	0.5573770491803278	0.44999999999999996
2007 Report on Socially Responsible Investing Trends in the United States: Executive Summary	0.4821428571428571	0.4545454545454546	0.4054054054054054	0.6585365853658536	0.475	0.45238095238095233	0.41463414634146345	0.45238095238095233	0.675	0.5135135135135135	0.6388888888888888	0.3783783783783784	0.5714285714285714	0.4722222222222222	0.5833333333333333	0.5833333333333333	0.6388888888888888	0.6388888888888888	0.4285714285714286	0.5581395348837209	0.4772727272727273	0.4054054054054054	0.4358974358974359	0.5384615384615384	0.4358974358974359	0.6	0.6388888888888888	0.7142857142857143	0.32558139534883723	0.5609756097560976	0.5833333333333333	0.5833333333333333	0.525	0.42105263157894735	0.5555555555555556	0.41463414634146345
Building Trust in Emissions Reporting: Global Trends in Emissions Trading Schemes	0.537037037037037	0.3928571428571429	0.34375	0.5588235294117647	0.4285714285714286	0.4473684210526315	0.4473684210526315	0.4054054054054054	0.6176470588235294	0.5588235294117647	0.5172413793103448	0.4571428571428572	0.5333333333333333	0.3666666666666667	0.59375	0.59375	0.5172413793103448	0.5172413793103448	0.5	0.5263157894736843	0.4358974358974359	0.3939393939393939	0.5135135135135135	0.5428571428571429	0.4722222222222222	0.5714285714285714	0.5172413793103448	0.6551724137931034	0.3902439024390244	0.4411764705882353	0.59375	0.59375	0.5277777777777778	0.36363636363636365	0.6065573770491803	0.4871794871794872
Greenhouse Gas Reporting and Disclosure: Key Elements of a Perspective U.S. Program	0.4727272727272728	0.5294117647058824	0.2941176470588235	0.5789473684210527	0.5	0.2702702702702703	0.3589743589743589	0.3157894736842105	0.5142857142857142	0.3125	0.5454545454545454	0.21212121212121215	0.46875	0.4117647058823529	0.48484848484848486	0.48484848484848486	0.5882352941176471	0.5882352941176471	0.5227272727272727	0.6136363636363636	0.4651162790697675	0.38888888888888884	0.42105263157894735	0.4	0.42105263157894735	0.4722222222222222	0.5454545454545454	0.625	0.4565217391304348	0.4736842105263158	0.48484848484848486	0.48484848484848486	0.43243243243243246	0.2647058823529411	0.5714285714285714	0.4390243902439024
Rising Environmental Concern in 47-Nation Survey	0.6071428571428572	0.48275862068965514	0.47058823529411764	0.5	0.5405405405405406	0.5128205128205128	0.5128205128205128	0.43243243243243246	0.6060606060606061	0.4516129032258065	0.6	0.4411764705882353	0.4642857142857143	0.5882352941176471	0.48275862068965514	0.48275862068965514	0.6	0.6	0.525	0.625	0.5365853658536586	0.5555555555555556	0.5405405405405406	0.5294117647058824	0.4571428571428572	0.5151515151515151	0.6	0.6896551724137931	0.5555555555555556	0.5142857142857142	0.48275862068965514	0.48275862068965514	0.47058823529411764	0.4411764705882353	0.6229508196721312	0.4736842105263158
