	Breakdown of Monetized PM2.5 Health Benefits using Mortality Function from	Intake of mercury from fish lipid peroxidation, and the risk of myocardial infarction and coronary, cardiovascular and any death in Eastern Finnish men.‚Äù	Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age‚Äù, Epidemiology,	Toxicological Effects of Methylmercury.	Environmental Protection Agency.	Co‚ÄëChair NACWA Biosolids Management Committee, e-mail to	Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	and Emissions Test Database for the Sewage Sludge Incineration Source Category. Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	The influence of location, source, and emission type in estimates of the human health benefits of reducing a ton of air pollution. Air Qual Atmos Health	Revised Compliance Costs and Economic Inputs for Existing HMIWI.	What Determines the Value of Life?	AP 42, Chapter 2: Solid Waste Disposal.	Environmental Protection Agency Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	OAQPS Control Cost Manual. Section 4.2: NOX Post Combustion. Chapter 1: Selective Noncatalytic Reduction. Publication U.S.	Park, NC. EPA/600/R-09/019F.	Final Regulatory Impact Analysis (RIA) for the NO2 National Ambient Air Quality Standards (NAAQS).	Summary of Expert Opinions on the Existence of a Threshold in the Concentration-Response Function for PM2.5-related Mortality: Technical Support Document. Compiled by Office of Air Quality Planning and Standards, Research Triangle Park,	Lowest Measured Level (LML) Assessment for Rules without Policy-Specific Air Quality Data Available: Technical Support Document. Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning and Standards, Research Triangle Park,	Lindsay Wichers Stanek (PM Team Leader)‚ÄîNational Center for Environmental Assessment (NCEA), U.S. Environmental Protection Agency	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.‚Äù Environ. Sci. Technol.	Regulatory Impact Analysis,	Regulatory Impact Analysis,	Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead. Office of Air Quality Planning and Standards, Research Triangle Park,	Final Regulatory Impact Analysis (RIA) for the SO2 National Ambient Air Quality Standards (NAAQS). Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning	Costs to be replaced include: (a) bag leak detector replacing opacity test; (b) CO CEMS replacing CO test and secondary chamber temperature monitor;(c) HCl CEMS replacing HCl test, HCl sorbent monitor (dry scrubbers) and scrubber liquor pH monitor (wet Sources: 1. Hospital/Medical/Infectious Waste Incinerators (HMIWI) [EPA-HQ-OAR-2006-0534] Testing and Monitoring Options and Costs Memo	E-mail and attachment from Peter Westlin, EPA, to Mary Johnson,	Some Preliminary Thoughts on the HWI Monitoring.	Stack Testing Costs Parameters/Costs Equation Values A. Parameters 1. Cost index a.	Medical Waste Incinerator Study: Emission Measurement and Continuous Monitoring.	C-34 Table C-4d. Visible Emissions Testing Costs Parameters/Costs Equation Values A. Parameters 1. Operating labor rate, $/hr (LR) $34.60 2. Capital recovery factor, 5-yr equipment life, 7% interest (CRF) = [i x (1 + i)a] / [(1 + i)a - 1], where i = interest rate, a = equipment life 0.24389 B. Total Capital Investment, $ (TCI) = Combination light meter/anemometer ($200) + digital stopwatches (2 each at $25) $250 C. Direct Annual Costs, $/yr 1.	Reporting Requirements 1. Read instructions	State average tipping fees from BioCycle	Where state data unavailable, NSWMA‚Äôs 2005 Tip Fee Survey regional averages were used.	average used. All values corrected to 2008 dollars using CPI data from Bureau of Labor Statistics: http://data.bls.gov/cgi-bin/cpicalc.pl Unit-specific tipping fees are listed in Table 5. 2. Hauling cost:	WAEdmonds 1 FB vs -	Volume based on sludge density of 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435). c. Assumed square concrete pad. d. Rail height of 6 feet chosen for minimal concrete surface area requirement. e. Based on cost of $154 per 4&apos; by 8&apos; sheet of flattened aluminum, 0.125 inches thick (Metals Depot: http://www.metalsdepot.com/products/hrsteel2.phtml?page=expanded&LimAcc=$LimAcc) f. Researched concrete slab costs (including installation, materials, and labor) ranged from $3/ft2 to $10/ft2. For this analysis, an average of $6/ft2 was used. g. Capital Recovery Factor based on 7% interest and 15 year lifetime.	assumed density of dewatered sludge is 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435) *assumed maximum capacity of hauling vehicles (36 cu yd) for 50+ cu yd/day. (Land application of biosolids: process design manual.
Caustic soda price hike is on the rise	0.7972972972972973	0.8235294117647058	0.7821782178217822	0.7948717948717948	0.7894736842105263	0.7678571428571429	0.7849462365591398	0.861271676300578	0.8223684210526315	0.78125	0.7631578947368421	0.8461538461538461	0.7662337662337663	0.7906976744186046	0.819672131147541	0.9210526315789473	0.8061224489795918	0.8728813559322034	0.8585858585858586	0.7916666666666666	0.8294573643410853	0.7835051546391752	0.8106060606060606	0.8157894736842105	0.8157894736842105	0.8539325842696629	0.8452380952380952	0.7777777777777778	0.9123711340206185	0.7936507936507936	0.75	0.7710843373493976	0.7875	0.9284116331096197	0.7906976744186046	0.8	0.7674418604651163	0.8676470588235294	0.8421052631578947	0.9424	0.88
Estimating the Public Health Benefits of Proposed Air Pollution Regulations 	0.6973684210526315	0.7843137254901961	0.8217821782178217	0.7763157894736842	0.7763157894736842	0.8026315789473685	0.7956989247311828	0.7861271676300579	0.6842105263157895	0.8157894736842105	0.7894736842105263	0.8421052631578947	0.7922077922077922	0.7763157894736842	0.7622950819672131	0.9078947368421053	0.7857142857142857	0.8050847457627118	0.8080808080808081	0.7583333333333333	0.7596899224806202	0.7731958762886598	0.7651515151515151	0.8289473684210527	0.8289473684210527	0.7752808988764045	0.7857142857142857	0.7777777777777778	0.8582474226804123	0.7631578947368421	0.7236842105263158	0.8072289156626506	0.8	0.883668903803132	0.6710526315789473	0.7763157894736842	0.8023255813953488	0.8382352941176471	0.8947368421052632	0.9056	0.8311111111111111
Toxicological Effects of Methylmercury	0.7702702702702703	0.8627450980392157	0.8415841584158416	0.02564102564102564	0.7105263157894737	0.8035714285714286	0.8494623655913979	0.8786127167630058	0.8355263157894737	0.78125	0.9210526315789473	0.9487179487179487	0.8051948051948052	0.9069767441860465	0.8524590163934426	0.9473684210526315	0.826530612244898	0.8813559322033898	0.8888888888888888	0.8416666666666667	0.8604651162790697	0.8247422680412371	0.8787878787878788	0.8421052631578947	0.8421052631578947	0.8820224719101124	0.875	0.8271604938271605	0.9278350515463918	0.8412698412698413	0.75	0.8313253012048193	0.8125	0.9395973154362416	0.7906976744186046	0.9	0.8488372093023255	0.9019607843137255	0.8947368421052632	0.9488	0.9066666666666666
Clean Air Technology Center, Technology Transfer Network	0.7972972972972973	0.8300653594771242	0.8118811881188119	0.8035714285714286	0.8035714285714286	0.875	0.7849462365591398	0.8092485549132948	0.8092105263157895	0.828125	0.8214285714285714	0.7678571428571429	0.7532467532467533	0.8214285714285714	0.8032786885245902	0.9285714285714286	0.7959183673469388	0.847457627118644	0.8333333333333334	0.7833333333333333	0.8062015503875969	0.7731958762886598	0.8106060606060606	0.8392857142857143	0.8392857142857143	0.8202247191011236	0.8214285714285714	0.8148148148148148	0.8969072164948454	0.7777777777777778	0.8571428571428571	0.8072289156626506	0.7875	0.9082774049217002	0.7678571428571429	0.8392857142857143	0.8023255813953488	0.8578431372549019	0.875	0.9312	0.8844444444444445
Landfill Gas Emissions Model, version 3.02	0.7297297297297297	0.8496732026143791	0.8118811881188119	0.8095238095238095	0.8333333333333334	0.8214285714285714	0.7849462365591398	0.8554913294797688	0.8355263157894737	0.796875	0.8333333333333334	0.8809523809523809	0.8441558441558441	0.8604651162790697	0.8278688524590164	0.8809523809523809	0.826530612244898	0.8898305084745762	0.8787878787878788	0.8416666666666667	0.813953488372093	0.8144329896907216	0.8484848484848485	0.8333333333333334	0.8333333333333334	0.8595505617977528	0.8690476190476191	0.8271604938271605	0.9201030927835051	0.8253968253968254	0.8541666666666666	0.7831325301204819	0.7625	0.9328859060402684	0.8604651162790697	0.8333333333333334	0.8023255813953488	0.8823529411764706	0.7857142857142857	0.9456	0.8977777777777778
Motor Vehicle Emission Simulator	0.7702702702702703	0.869281045751634	0.8316831683168316	0.7435897435897436	0.84375	0.7678571428571429	0.8172043010752689	0.8786127167630058	0.8552631578947368	0.828125	0.8823529411764706	0.8461538461538461	0.7922077922077922	0.8372093023255814	0.8360655737704918	0.90625	0.826530612244898	0.8983050847457628	0.8888888888888888	0.85	0.8527131782945736	0.8144329896907216	0.8560606060606061	0.90625	0.90625	0.8764044943820225	0.875	0.8024691358024691	0.9304123711340206	0.8412698412698413	0.7708333333333334	0.8192771084337349	0.75	0.9395973154362416	0.7906976744186046	0.8	0.8372093023255814	0.9019607843137255	0.90625	0.9552	0.9022222222222223
 Guidelines for Preparing Economic Analyses.	0.8108108108108109	0.803921568627451	0.8316831683168316	0.8636363636363636	0.7727272727272727	0.8392857142857143	0.8064516129032258	0.8265895953757225	0.8157894736842105	0.703125	0.8181818181818182	0.8409090909090909	0.7402597402597403	0.022727272727272728	0.8278688524590164	0.9090909090909091	0.7755102040816326	0.8516949152542372	0.8434343434343434	0.8166666666666667	0.8294573643410853	0.7938144329896907	0.8257575757575758	0.6818181818181818	0.6818181818181818	0.8595505617977528	0.8511904761904762	0.7654320987654321	0.9123711340206185	0.746031746031746	0.8541666666666666	0.7710843373493976	0.7875	0.9217002237136466	0.8863636363636364	0.7954545454545454	0.8023255813953488	0.8676470588235294	0.8409090909090909	0.9408	0.8755555555555555
Advisory on Plans for Health Effects Analysis in the Analytical Plan for EPA’s Second Prospective Analysis – Benefits and Costs of the Clean Air Act, 1990-2020.	0.7875	1.0	1.0	0.84375	0.85	1.0	0.76875	0.8034682080924855	0.75625	0.8	0.86875	0.85	0.75625	0.81875	0.775	0.93125	0.725	0.7584745762711864	0.7929292929292929	0.725	1.0	0.775	1.0	0.875	0.875	0.7752808988764045	0.7916666666666666	0.74375	0.8067010309278351	0.80625	0.825	0.79375	0.75625	0.8277404921700223	0.8625	0.86875	1.0	0.7843137254901961	0.91875	0.8464	0.8133333333333334
Advisory on Plans on Health Effects Analysis Plan for the EPA's Second Prospective Analysis- Benefits and Costs of the Clean Air Act, 1990-2020	0.7762237762237763	0.8235294117647058	0.7972027972027972	0.8391608391608392	0.8461538461538461	0.8251748251748252	0.7762237762237763	0.7803468208092486	0.7697368421052632	0.7902097902097902	0.8531468531468531	0.8531468531468531	0.7622377622377622	0.8181818181818182	0.7972027972027972	0.9300699300699301	0.6993006993006993	0.7754237288135594	0.7929292929292929	0.7412587412587412	0.8111888111888111	0.7762237762237763	0.7972027972027972	0.8671328671328671	0.8671328671328671	0.7921348314606742	0.7797619047619048	0.7062937062937062	0.8118556701030928	0.8041958041958042	0.8251748251748252	0.7902097902097902	0.7552447552447552	0.8299776286353467	0.8461538461538461	0.8601398601398601	0.7832167832167832	0.7843137254901961	0.916083916083916	0.8608	0.8088888888888889
Air Compliance Advisor	0.8783783783783784	0.8954248366013072	0.8613861386138614	0.8461538461538461	0.8125	0.7857142857142857	0.8709677419354839	0.9132947976878613	0.9078947368421053	0.71875	0.8235294117647058	0.7435897435897436	0.8441558441558441	0.7906976744186046	0.8770491803278688	0.8928571428571429	0.8571428571428571	0.9279661016949152	0.9191919191919192	0.8833333333333333	0.8914728682170543	0.8556701030927835	0.9015151515151515	0.8148148148148148	0.8148148148148148	0.9044943820224719	0.8988095238095238	0.8518518518518519	0.9510309278350515	0.8571428571428571	0.7916666666666666	0.8554216867469879	0.8375	0.9574944071588367	0.813953488372093	0.85	0.872093023255814	0.9166666666666666	0.8181818181818182	0.968	0.9244444444444444
