	Breakdown of Monetized PM2.5 Health Benefits using Mortality Function from	Intake of mercury from fish lipid peroxidation, and the risk of myocardial infarction and coronary, cardiovascular and any death in Eastern Finnish men.‚Äù	Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age‚Äù, Epidemiology,	Toxicological Effects of Methylmercury.	Environmental Protection Agency.	Co‚ÄëChair NACWA Biosolids Management Committee, e-mail to	Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	and Emissions Test Database for the Sewage Sludge Incineration Source Category. Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	The influence of location, source, and emission type in estimates of the human health benefits of reducing a ton of air pollution. Air Qual Atmos Health	Revised Compliance Costs and Economic Inputs for Existing HMIWI.	What Determines the Value of Life?	AP 42, Chapter 2: Solid Waste Disposal.	Environmental Protection Agency Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	OAQPS Control Cost Manual. Section 4.2: NOX Post Combustion. Chapter 1: Selective Noncatalytic Reduction. Publication U.S.	Park, NC. EPA/600/R-09/019F.	Final Regulatory Impact Analysis (RIA) for the NO2 National Ambient Air Quality Standards (NAAQS).	Summary of Expert Opinions on the Existence of a Threshold in the Concentration-Response Function for PM2.5-related Mortality: Technical Support Document. Compiled by Office of Air Quality Planning and Standards, Research Triangle Park,	Lowest Measured Level (LML) Assessment for Rules without Policy-Specific Air Quality Data Available: Technical Support Document. Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning and Standards, Research Triangle Park,	Lindsay Wichers Stanek (PM Team Leader)‚ÄîNational Center for Environmental Assessment (NCEA), U.S. Environmental Protection Agency	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.‚Äù Environ. Sci. Technol.	Regulatory Impact Analysis,	Regulatory Impact Analysis,	Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead. Office of Air Quality Planning and Standards, Research Triangle Park,	Final Regulatory Impact Analysis (RIA) for the SO2 National Ambient Air Quality Standards (NAAQS). Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning	Costs to be replaced include: (a) bag leak detector replacing opacity test; (b) CO CEMS replacing CO test and secondary chamber temperature monitor;(c) HCl CEMS replacing HCl test, HCl sorbent monitor (dry scrubbers) and scrubber liquor pH monitor (wet Sources: 1. Hospital/Medical/Infectious Waste Incinerators (HMIWI) [EPA-HQ-OAR-2006-0534] Testing and Monitoring Options and Costs Memo	E-mail and attachment from Peter Westlin, EPA, to Mary Johnson,	Some Preliminary Thoughts on the HWI Monitoring.	Stack Testing Costs Parameters/Costs Equation Values A. Parameters 1. Cost index a.	Medical Waste Incinerator Study: Emission Measurement and Continuous Monitoring.	C-34 Table C-4d. Visible Emissions Testing Costs Parameters/Costs Equation Values A. Parameters 1. Operating labor rate, $/hr (LR) $34.60 2. Capital recovery factor, 5-yr equipment life, 7% interest (CRF) = [i x (1 + i)a] / [(1 + i)a - 1], where i = interest rate, a = equipment life 0.24389 B. Total Capital Investment, $ (TCI) = Combination light meter/anemometer ($200) + digital stopwatches (2 each at $25) $250 C. Direct Annual Costs, $/yr 1.	Reporting Requirements 1. Read instructions	State average tipping fees from BioCycle	Where state data unavailable, NSWMA‚Äôs 2005 Tip Fee Survey regional averages were used.	average used. All values corrected to 2008 dollars using CPI data from Bureau of Labor Statistics: http://data.bls.gov/cgi-bin/cpicalc.pl Unit-specific tipping fees are listed in Table 5. 2. Hauling cost:	WAEdmonds 1 FB vs -	Volume based on sludge density of 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435). c. Assumed square concrete pad. d. Rail height of 6 feet chosen for minimal concrete surface area requirement. e. Based on cost of $154 per 4&apos; by 8&apos; sheet of flattened aluminum, 0.125 inches thick (Metals Depot: http://www.metalsdepot.com/products/hrsteel2.phtml?page=expanded&LimAcc=$LimAcc) f. Researched concrete slab costs (including installation, materials, and labor) ranged from $3/ft2 to $10/ft2. For this analysis, an average of $6/ft2 was used. g. Capital Recovery Factor based on 7% interest and 15 year lifetime.	assumed density of dewatered sludge is 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435) *assumed maximum capacity of hauling vehicles (36 cu yd) for 50+ cu yd/day. (Land application of biosolids: process design manual.
Caustic soda price hike is on the rise	0.6599999999999999	0.53	0.61	0.61	0.6599999999999999	0.64	0.5800000000000001	0.61	0.44999999999999996	0.61	0.5900000000000001	0.6599999999999999	0.64	0.65	0.61	0.83	0.5800000000000001	0.44999999999999996	0.61	0.53	0.64	0.61	0.53	0.71	0.71	0.53	0.61	0.53	0.61	0.61	0.5800000000000001	0.61	0.64	0.5800000000000001	0.64	0.5800000000000001	0.61	0.5800000000000001	0.64	0.5800000000000001	0.5800000000000001
Estimating the Public Health Benefits of Proposed Air Pollution Regulations 	0.5	0.5800000000000001	0.65	0.62	0.63	0.6799999999999999	0.64	0.62	0.39	0.65	0.5900000000000001	0.62	0.6	0.61	0.56	0.79	0.64	0.54	0.61	0.5800000000000001	0.65	0.5700000000000001	0.6	0.63	0.63	0.56	0.6	0.5900000000000001	0.61	0.61	0.63	0.62	0.65	0.61	0.56	0.6	0.64	0.62	0.74	0.61	0.64
Toxicological Effects of Methylmercury	0.69	0.64	0.69	0.0	0.63	0.69	0.6599999999999999	0.64	0.61	0.6599999999999999	0.71	0.79	0.61	0.69	0.69	0.9	0.69	0.61	0.64	0.64	0.64	0.69	0.6599999999999999	0.75	0.75	0.6599999999999999	0.69	0.64	0.5800000000000001	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6699999999999999	0.6599999999999999	0.6599999999999999	0.79	0.64	0.64
Clean Air Technology Center, Technology Transfer Network	0.6699999999999999	0.63	0.65	0.62	0.63	0.6599999999999999	0.65	0.61	0.61	0.6699999999999999	0.65	0.64	0.6699999999999999	0.6599999999999999	0.6799999999999999	0.83	0.65	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.61	0.61	0.65	0.6699999999999999	0.6699999999999999	0.5800000000000001	0.5800000000000001	0.61	0.5900000000000001	0.61	0.63	0.6799999999999999	0.6799999999999999	0.65	0.6599999999999999	0.6799999999999999	0.63	0.6799999999999999	0.79	0.63	0.6799999999999999
Landfill Gas Emissions Model, version 3.02	0.5800000000000001	0.5800000000000001	0.62	0.65	0.6	0.6699999999999999	0.62	0.55	0.5800000000000001	0.6	0.65	0.7	0.7	0.64	0.65	0.86	0.7	0.62	0.65	0.65	0.65	0.62	0.62	0.71	0.71	0.5800000000000001	0.65	0.65	0.6699999999999999	0.62	0.69	0.65	0.6	0.53	0.72	0.6799999999999999	0.62	0.62	0.5800000000000001	0.62	0.5800000000000001
Motor Vehicle Emission Simulator	0.63	0.6	0.63	0.6	0.71	0.6599999999999999	0.6599999999999999	0.6	0.54	0.63	0.69	0.69	0.6	0.6599999999999999	0.6	0.86	0.6	0.5700000000000001	0.6	0.5700000000000001	0.6599999999999999	0.63	0.63	0.75	0.75	0.5700000000000001	0.63	0.5700000000000001	0.6	0.63	0.6	0.63	0.5	0.63	0.6599999999999999	0.69	0.69	0.6599999999999999	0.74	0.5700000000000001	0.6
 Guidelines for Preparing Economic Analyses.	0.64	0.5700000000000001	0.64	0.7	0.6	0.64	0.64	0.6	0.55	0.48	0.65	0.6699999999999999	0.6	0.0	0.6599999999999999	0.75	0.62	0.5700000000000001	0.6	0.6	0.5700000000000001	0.64	0.62	0.49	0.49	0.6	0.6	0.62	0.55	0.6	0.62	0.6	0.62	0.6	0.65	0.63	0.6	0.64	0.74	0.5700000000000001	0.62
Advisory on Plans for Health Effects Analysis in the Analytical Plan for EPA’s Second Prospective Analysis – Benefits and Costs of the Clean Air Act, 1990-2020.	0.5700000000000001	0.0	0.0	0.5700000000000001	0.54	0.0	0.61	0.63	0.5900000000000001	0.61	0.5900000000000001	0.62	0.5800000000000001	0.49	0.62	0.6799999999999999	0.56	0.6	0.63	0.5800000000000001	0.0	0.61	0.0	0.44999999999999996	0.44999999999999996	0.5900000000000001	0.5900000000000001	0.5700000000000001	0.63	0.61	0.63	0.62	0.5900000000000001	0.6599999999999999	0.63	0.65	0.0	0.65	0.69	0.62	0.69
Advisory on Plans on Health Effects Analysis Plan for the EPA's Second Prospective Analysis- Benefits and Costs of the Clean Air Act, 1990-2020	0.56	0.64	0.63	0.5900000000000001	0.54	0.61	0.61	0.62	0.61	0.5800000000000001	0.62	0.5900000000000001	0.5900000000000001	0.49	0.62	0.72	0.56	0.62	0.63	0.56	0.63	0.61	0.63	0.44999999999999996	0.44999999999999996	0.5900000000000001	0.5900000000000001	0.54	0.63	0.61	0.63	0.62	0.5900000000000001	0.65	0.63	0.6799999999999999	0.64	0.6599999999999999	0.69	0.61	0.6799999999999999
Air Compliance Advisor	0.64	0.64	0.6	0.64	0.64	0.6	0.64	0.64	0.64	0.37	0.73	0.55	0.6	0.6	0.6	0.78	0.55	0.6	0.5	0.55	0.64	0.6	0.6	0.55	0.55	0.55	0.55	0.55	0.6	0.64	0.64	0.64	0.6	0.64	0.6	0.64	0.64	0.64	0.74	0.55	0.55
