	Breakdown of Monetized PM2.5 Health Benefits using Mortality Function from	Intake of mercury from fish lipid peroxidation, and the risk of myocardial infarction and coronary, cardiovascular and any death in Eastern Finnish men.‚Äù	Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age‚Äù, Epidemiology,	Toxicological Effects of Methylmercury.	Environmental Protection Agency.	Co‚ÄëChair NACWA Biosolids Management Committee, e-mail to	Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	and Emissions Test Database for the Sewage Sludge Incineration Source Category. Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	The influence of location, source, and emission type in estimates of the human health benefits of reducing a ton of air pollution. Air Qual Atmos Health	Revised Compliance Costs and Economic Inputs for Existing HMIWI.	What Determines the Value of Life?	AP 42, Chapter 2: Solid Waste Disposal.	Environmental Protection Agency Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	OAQPS Control Cost Manual. Section 4.2: NOX Post Combustion. Chapter 1: Selective Noncatalytic Reduction. Publication U.S.	Park, NC. EPA/600/R-09/019F.	Final Regulatory Impact Analysis (RIA) for the NO2 National Ambient Air Quality Standards (NAAQS).	Summary of Expert Opinions on the Existence of a Threshold in the Concentration-Response Function for PM2.5-related Mortality: Technical Support Document. Compiled by Office of Air Quality Planning and Standards, Research Triangle Park,	Lowest Measured Level (LML) Assessment for Rules without Policy-Specific Air Quality Data Available: Technical Support Document. Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning and Standards, Research Triangle Park,	Lindsay Wichers Stanek (PM Team Leader)‚ÄîNational Center for Environmental Assessment (NCEA), U.S. Environmental Protection Agency	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.‚Äù Environ. Sci. Technol.	Regulatory Impact Analysis,	Regulatory Impact Analysis,	Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead. Office of Air Quality Planning and Standards, Research Triangle Park,	Final Regulatory Impact Analysis (RIA) for the SO2 National Ambient Air Quality Standards (NAAQS). Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning	Costs to be replaced include: (a) bag leak detector replacing opacity test; (b) CO CEMS replacing CO test and secondary chamber temperature monitor;(c) HCl CEMS replacing HCl test, HCl sorbent monitor (dry scrubbers) and scrubber liquor pH monitor (wet Sources: 1. Hospital/Medical/Infectious Waste Incinerators (HMIWI) [EPA-HQ-OAR-2006-0534] Testing and Monitoring Options and Costs Memo	E-mail and attachment from Peter Westlin, EPA, to Mary Johnson,	Some Preliminary Thoughts on the HWI Monitoring.	Stack Testing Costs Parameters/Costs Equation Values A. Parameters 1. Cost index a.	Medical Waste Incinerator Study: Emission Measurement and Continuous Monitoring.	C-34 Table C-4d. Visible Emissions Testing Costs Parameters/Costs Equation Values A. Parameters 1. Operating labor rate, $/hr (LR) $34.60 2. Capital recovery factor, 5-yr equipment life, 7% interest (CRF) = [i x (1 + i)a] / [(1 + i)a - 1], where i = interest rate, a = equipment life 0.24389 B. Total Capital Investment, $ (TCI) = Combination light meter/anemometer ($200) + digital stopwatches (2 each at $25) $250 C. Direct Annual Costs, $/yr 1.	Reporting Requirements 1. Read instructions	State average tipping fees from BioCycle	Where state data unavailable, NSWMA‚Äôs 2005 Tip Fee Survey regional averages were used.	average used. All values corrected to 2008 dollars using CPI data from Bureau of Labor Statistics: http://data.bls.gov/cgi-bin/cpicalc.pl Unit-specific tipping fees are listed in Table 5. 2. Hauling cost:	WAEdmonds 1 FB vs -	Volume based on sludge density of 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435). c. Assumed square concrete pad. d. Rail height of 6 feet chosen for minimal concrete surface area requirement. e. Based on cost of $154 per 4&apos; by 8&apos; sheet of flattened aluminum, 0.125 inches thick (Metals Depot: http://www.metalsdepot.com/products/hrsteel2.phtml?page=expanded&LimAcc=$LimAcc) f. Researched concrete slab costs (including installation, materials, and labor) ranged from $3/ft2 to $10/ft2. For this analysis, an average of $6/ft2 was used. g. Capital Recovery Factor based on 7% interest and 15 year lifetime.	assumed density of dewatered sludge is 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435) *assumed maximum capacity of hauling vehicles (36 cu yd) for 50+ cu yd/day. (Land application of biosolids: process design manual.
Caustic soda price hike is on the rise	0.37777777777777777	0.3023255813953488	0.34693877551020413	0.4054054054054054	0.47058823529411764	0.3846153846153846	0.3877551020408163	0.40740740740740744	0.33333333333333337	0.34883720930232553	0.37142857142857144	0.3846153846153846	0.41463414634146345	0.368421052631579	0.4117647058823529	0.7142857142857143	0.41666666666666663	0.4285714285714286	0.4545454545454546	0.34782608695652173	0.4509803921568627	0.36363636363636365	0.4117647058823529	0.33333333333333337	0.33333333333333337	0.4	0.42307692307692313	0.38095238095238093	0.536231884057971	0.4	0.4358974358974359	0.36363636363636365	0.35	0.6	0.2571428571428571	0.33333333333333337	0.45833333333333337	0.4444444444444444	0.6666666666666667	0.5789473684210527	0.53125
Estimating the Public Health Benefits of Proposed Air Pollution Regulations 	0.2592592592592593	0.3076923076923077	0.24137931034482762	0.30434782608695654	0.3023255813953488	0.33333333333333337	0.1724137931034483	0.23809523809523814	0.17647058823529416	0.23076923076923073	0.36363636363636365	0.41666666666666663	0.24	0.19148936170212771	0.33333333333333337	0.6818181818181819	0.26315789473684215	0.29230769230769227	0.3125	0.23636363636363633	0.3666666666666667	0.28301886792452835	0.2666666666666667	0.24444444444444446	0.24444444444444446	0.2542372881355932	0.2786885245901639	0.21568627450980393	0.3846153846153846	0.26530612244897955	0.33333333333333337	0.3207547169811321	0.34693877551020413	0.4285714285714286	0.2727272727272727	0.28888888888888886	0.4035087719298246	0.2698412698412699	0.5384615384615384	0.45882352941176474	0.3972602739726028
Toxicological Effects of Methylmercury	0.30612244897959184	0.276595744680851	0.28301886792452835	0.024390243902439046	0.3157894736842105	0.39534883720930236	0.3207547169811321	0.3448275862068966	0.26086956521739135	0.276595744680851	0.33333333333333337	0.5348837209302326	0.28888888888888886	0.2857142857142857	0.4545454545454546	0.7948717948717949	0.3846153846153846	0.33333333333333337	0.38983050847457623	0.31999999999999995	0.34545454545454546	0.29166666666666663	0.2727272727272727	0.30000000000000004	0.30000000000000004	0.37037037037037035	0.3928571428571429	0.26086956521739135	0.4794520547945206	0.2727272727272727	0.2558139534883721	0.33333333333333337	0.2727272727272727	0.5189873417721519	0.3846153846153846	0.30000000000000004	0.42307692307692313	0.4482758620689655	0.7058823529411764	0.55	0.5
Clean Air Technology Center, Technology Transfer Network	0.33333333333333337	0.34693877551020413	0.3090909090909091	0.3023255813953488	0.35	0.28888888888888886	0.34545454545454546	0.30000000000000004	0.25	0.4285714285714286	0.41463414634146345	0.4222222222222223	0.36170212765957444	0.36363636363636365	0.4385964912280702	0.6097560975609756	0.37037037037037035	0.3548387096774194	0.34426229508196726	0.2692307692307693	0.26315789473684215	0.36	0.368421052631579	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.31034482758620685	0.29166666666666663	0.43999999999999995	0.30434782608695654	0.37777777777777777	0.36	0.3913043478260869	0.5061728395061729	0.46341463414634143	0.2857142857142857	0.33333333333333337	0.43333333333333335	0.7222222222222222	0.4878048780487805	0.48571428571428577
Landfill Gas Emissions Model, version 3.02	0.4117647058823529	0.34693877551020413	0.4181818181818182	0.39534883720930236	0.4	0.4222222222222223	0.34545454545454546	0.4	0.41666666666666663	0.34693877551020413	0.41463414634146345	0.4666666666666667	0.36170212765957444	0.31818181818181823	0.4736842105263158	0.6585365853658536	0.4814814814814815	0.4516129032258065	0.4426229508196722	0.46153846153846156	0.368421052631579	0.36	0.4385964912280702	0.47619047619047616	0.47619047619047616	0.4285714285714286	0.48275862068965514	0.5	0.4933333333333333	0.34782608695652173	0.4666666666666667	0.48	0.3913043478260869	0.5061728395061729	0.46341463414634143	0.4285714285714286	0.40740740740740744	0.43333333333333335	0.5555555555555556	0.5121951219512195	0.48571428571428577
Motor Vehicle Emission Simulator	0.36170212765957444	0.33333333333333337	0.33333333333333337	0.23076923076923073	0.33333333333333337	0.36585365853658536	0.33333333333333337	0.3928571428571429	0.36363636363636365	0.33333333333333337	0.2432432432432432	0.46341463414634143	0.3023255813953488	0.35	0.39622641509433965	0.7837837837837838	0.4	0.4137931034482759	0.4385964912280702	0.375	0.39622641509433965	0.34782608695652173	0.3584905660377359	0.3157894736842105	0.3157894736842105	0.42307692307692313	0.4444444444444444	0.36363636363636365	0.5211267605633803	0.2857142857142857	0.2682926829268293	0.30434782608695654	0.23809523809523814	0.5844155844155844	0.3513513513513513	0.3157894736842105	0.43999999999999995	0.4642857142857143	0.625	0.5641025641025641	0.5454545454545454
 Guidelines for Preparing Economic Analyses.	0.2941176470588235	0.26530612244897955	0.2727272727272727	0.2558139534883721	0.19999999999999996	0.4222222222222223	0.19999999999999996	0.2666666666666667	0.20833333333333337	0.26530612244897955	0.41463414634146345	0.4222222222222223	0.14893617021276595	0.0	0.368421052631579	0.6585365853658536	0.2962962962962963	0.32258064516129037	0.34426229508196726	0.23076923076923073	0.33333333333333337	0.19999999999999996	0.26315789473684215	0.23809523809523814	0.23809523809523814	0.2857142857142857	0.31034482758620685	0.20833333333333337	0.43999999999999995	0.26086956521739135	0.33333333333333337	0.28	0.26086956521739135	0.4814814814814815	0.2682926829268293	0.2857142857142857	0.40740740740740744	0.3666666666666667	0.5555555555555556	0.5121951219512195	0.4571428571428572
Advisory on Plans for Health Effects Analysis in the Analytical Plan for EPA’s Second Prospective Analysis – Benefits and Costs of the Clean Air Act, 1990-2020.	0.3548387096774194	1.0	1.0	0.4444444444444444	0.37254901960784315	1.0	0.2727272727272727	0.295774647887324	0.3220338983050848	0.3666666666666667	0.5384615384615384	0.3214285714285714	0.31034482758620685	0.34545454545454546	0.32352941176470584	0.5	0.3846153846153846	0.31506849315068497	0.36111111111111116	0.33333333333333337	1.0	0.3114754098360656	1.0	0.4339622641509434	0.4339622641509434	0.34328358208955223	0.3623188405797102	0.38983050847457623	0.34883720930232553	0.29824561403508776	0.4285714285714286	0.3770491803278688	0.4035087719298246	0.3695652173913043	0.46153846153846156	0.3207547169811321	1.0	0.2676056338028169	0.5319148936170213	0.3978494623655914	0.3827160493827161
Advisory on Plans on Health Effects Analysis Plan for the EPA's Second Prospective Analysis- Benefits and Costs of the Clean Air Act, 1990-2020	0.3666666666666667	0.3448275862068966	0.28125	0.46153846153846156	0.3877551020408163	0.37037037037037035	0.28125	0.30434782608695654	0.33333333333333337	0.3793103448275862	0.52	0.33333333333333337	0.3214285714285714	0.3584905660377359	0.33333333333333337	0.52	0.39682539682539686	0.323943661971831	0.37142857142857144	0.34426229508196726	0.33333333333333337	0.3220338983050848	0.33333333333333337	0.4117647058823529	0.4117647058823529	0.3538461538461538	0.3731343283582089	0.4035087719298246	0.3571428571428571	0.2727272727272727	0.4444444444444444	0.38983050847457623	0.4181818181818182	0.37777777777777777	0.48	0.2941176470588235	0.3650793650793651	0.2753623188405797	0.5111111111111111	0.4065934065934066	0.3924050632911392
Air Compliance Advisor	0.4666666666666667	0.34883720930232553	0.34693877551020413	0.45945945945945943	0.2941176470588235	0.33333333333333337	0.3877551020408163	0.40740740740740744	0.33333333333333337	0.3023255813953488	0.4285714285714286	0.3846153846153846	0.31707317073170727	0.26315789473684215	0.37254901960784315	0.7142857142857143	0.41666666666666663	0.4642857142857143	0.4545454545454546	0.3913043478260869	0.4117647058823529	0.31818181818181823	0.37254901960784315	0.2777777777777778	0.2777777777777778	0.4	0.46153846153846156	0.38095238095238093	0.5652173913043479	0.35	0.4871794871794872	0.36363636363636365	0.35	0.5733333333333333	0.3142857142857143	0.2222222222222222	0.45833333333333337	0.40740740740740744	0.4666666666666667	0.5789473684210527	0.5625
