	Urban ornamental plants: sensitivity to ozone and potential economic losses. U.S. EPA, Office of Air Quality Planning and Standards, Research Triangle Park. Under contract to RADIAN Corporation, contract no. 68-D3-0033,	A reassessment of the economic effects of ozone on U.S.	The benefits of pollution control: the case of ozone	Ambient ozone effects on forest trees of the eastern United States: a review.	A preliminary assessment of the Montreal process indicators of air pollution for the United States. Environmental Monitoring and Assessment, Integrated Science Assessment	Air Pollution Damage to U.S. Forests.	Impact of Air Pollutants on Southern Pine Forests,	The physiological basis of ozone injury assessment attributes in Sierran conifers. In	The need for a long term cumulative secondary ozone standard ‚Äì an ecological perspective. Environmental Management,	Implications of environmental policy for U.S. agriculture: the case of ambient ozone standards.	Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California. In: Air Pollutants Effects on Forest Ecosystems,	Oxidant air pollution effects on a western coniferous forest ecosystem.	Little‚Äôs range and FIA importance value database for 135 eastern U.S. tree species. Northeastern Research Station, USDA Forest Service. Available on the Internet at http://www.fs.fed.us/ne/delaware/4153/global/littlefia/index.html Pye,	A national ozone biomonitoring program‚Äî results from field surveys of ozone sensitive plants in Northeastern forests (1994-2000). Environmental Monitoring and Assessment,	Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs.	Variation in plant response to ozone: a conceptual model of physiological events.	The Benefits and Costs of the Clean Air Act, 1990-2010. Prepared for U.S. Congress by U.S.	Available on the Internet at http://www.epa.gov/oar/sect812/1990-2010/chap1130.pdf U.S. Environmental Protection Agency	Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze. Office of Air Quality Planning and Standards. EPA-454/B-07-002. April. Available on the Internet at http://www.epa.gov/scram001/guidance/guide/final-03-pm-rh-guidance.pdf U.S. Environmental Protection Agency	Available on the Internet at http://cfpub.epa.gov/ncea/cfm/recordisplay.cfm?deid=201485 U.S. Environmental Protection Agency
Estimating Mortality Risk Reduction and Economic Benefits from Controlling Ozone Air Pollution	0.295774647887324	0.37777777777777777	0.3913043478260869	0.4	0.2727272727272727	0.36170212765957444	0.34693877551020413	0.34615384615384615	0.2592592592592593	0.33333333333333337	0.2727272727272727	0.29166666666666663	0.42028985507246375	0.3650793650793651	0.36170212765957444	0.2941176470588235	0.35593220338983056	0.40625	0.3421052631578947	0.3846153846153846
Air Quality Criteria for Ozone and Related Photochemical Oxidants (Final)	0.33333333333333337	0.34782608695652173	0.36170212765957444	0.37254901960784315	0.3571428571428571	0.375	0.28	0.3584905660377359	0.34545454545454546	0.34545454545454546	0.2142857142857143	0.26530612244897955	0.37142857142857144	0.375	0.375	0.3076923076923077	0.4	0.4461538461538461	0.4025974025974026	0.4242424242424242
Clean Air Scientific Advisory Committee’s (CASAC) Review of the Agency’s Final Ozone Staff Paper	0.30666666666666664	0.34693877551020413	0.4	0.2962962962962963	0.288135593220339	0.37254901960784315	0.28301886792452835	0.3214285714285714	1.0	0.27586206896551724	0.288135593220339	0.3076923076923077	1.0	1.0	0.33333333333333337	0.2727272727272727	0.33333333333333337	0.32352941176470584	0.35	0.3623188405797102
Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze	0.2727272727272727	0.33333333333333337	0.42307692307692313	0.3571428571428571	0.24590163934426235	0.3207547169811321	0.34545454545454546	0.3448275862068966	0.2666666666666667	0.30000000000000004	0.3114754098360656	0.33333333333333337	0.30666666666666664	0.33333333333333337	0.3207547169811321	0.29824561403508776	0.32307692307692304	0.37142857142857144	0.19512195121951215	0.323943661971831
Integrated Science Assessment for Oxides of Nitrogen - Health Criteria (Final Report)	0.32432432432432434	0.375	0.4285714285714286	0.39622641509433965	0.31034482758620685	0.4	0.2692307692307693	0.34545454545454546	0.4035087719298246	0.33333333333333337	0.27586206896551724	0.33333333333333337	0.33333333333333337	0.36363636363636365	0.36	0.37037037037037035	0.3548387096774194	0.3731343283582089	0.3924050632911392	0.4117647058823529
Integrated Science Assessment for Oxides of Nitrogen and Sulfur – Ecological Criteria National (Final Report)	0.32432432432432434	0.41666666666666663	0.4285714285714286	0.4339622641509434	0.27586206896551724	0.36	0.2692307692307693	0.34545454545454546	1.0	0.33333333333333337	0.24137931034482762	0.2941176470588235	1.0	1.0	0.36	0.37037037037037035	0.4193548387096774	0.4029850746268657	0.4177215189873418	0.38235294117647056
Integrated Science Assessment for Particulate Matter (Second External Review Draft)	0.34246575342465757	0.4042553191489362	0.45833333333333337	0.34615384615384615	0.22807017543859653	0.30612244897959184	0.2941176470588235	0.37037037037037035	0.3214285714285714	0.3214285714285714	0.29824561403508776	0.31999999999999995	0.295774647887324	0.3538461538461538	0.30612244897959184	0.3584905660377359	0.4426229508196722	0.33333333333333337	0.33333333333333337	0.34328358208955223
Little’s range and FIA importance value database for 135 eastern U.S. tree species	0.32432432432432434	0.33333333333333337	0.3877551020408163	0.28301886792452835	0.2068965517241379	0.28	0.2692307692307693	0.2727272727272727	1.0	0.19298245614035092	0.31034482758620685	0.33333333333333337	1.0	1.0	0.28	0.2962962962962963	0.32258064516129037	0.25373134328358204	0.31645569620253167	0.23529411764705888
Oxidant air pollution effects on a western coniferous forest ecosystem	0.4375	0.368421052631579	0.28205128205128205	0.34883720930232553	0.29166666666666663	0.4	0.2857142857142857	0.28888888888888886	0.276595744680851	0.276595744680851	0.25	0.024390243902439046	0.3870967741935484	0.4285714285714286	0.25	0.2272727272727273	0.42307692307692313	0.4035087719298246	0.4492753623188406	0.4137931034482759
Review of the National Ambient Air Quality Standards for Ozone: Policy assessment of scientific and technical information	0.23287671232876717	0.3191489361702128	0.29166666666666663	0.1923076923076923	0.29824561403508776	0.3877551020408163	0.2941176470588235	0.2962962962962963	0.3214285714285714	0.2142857142857143	0.29824561403508776	0.28	0.2676056338028169	0.3538461538461538	0.34693877551020413	0.24528301886792447	0.3770491803278688	0.303030303030303	0.28205128205128205	0.31343283582089554
The Benefits and Costs of the Clean Air Act, 1990-2010	0.4117647058823529	0.38095238095238093	0.34883720930232553	0.4042553191489362	0.3846153846153846	0.5	0.34782608695652173	0.4285714285714286	0.37254901960784315	0.4509803921568627	0.34615384615384615	0.4222222222222223	0.48484848484848486	0.33333333333333337	0.40909090909090906	0.41666666666666663	0.1428571428571429	0.34426229508196726	0.4246575342465754	0.4193548387096774
The NOx Budget Trading Program: 2008 Environmental Results. Clean Air Markets Division	0.23076923076923073	0.5	0.4716981132075472	0.4385964912280702	0.3548387096774194	0.37037037037037035	0.4642857142857143	0.4576271186440678	0.34426229508196726	0.4098360655737705	0.32258064516129037	0.4181818181818182	0.368421052631579	0.34285714285714286	0.37037037037037035	0.3793103448275862	0.36363636363636365	0.352112676056338	0.32530120481927716	0.33333333333333337
Urban ornamental plants: sensitivity to ozone and potential economic losses	0.375	0.3157894736842105	0.23076923076923073	0.2093023255813954	0.29166666666666663	0.4	0.38095238095238093	0.28888888888888886	0.276595744680851	0.14893617021276595	0.33333333333333337	0.2682926829268293	0.3870967741935484	0.3928571428571429	0.30000000000000004	0.18181818181818177	0.3846153846153846	0.33333333333333337	0.42028985507246375	0.3448275862068966
A reassessment of the economic effects of ozone on U.S. agriculture	0.3538461538461538	0.07692307692307687	0.25	0.18181818181818177	0.18367346938775508	0.1707317073170732	0.2093023255813954	0.17391304347826086	0.25	0.16666666666666663	0.30612244897959184	0.2857142857142857	0.3650793650793651	0.368421052631579	0.1707317073170732	0.19999999999999996	0.3207547169811321	0.3448275862068966	0.4	0.3220338983050848
Air Pollution Damage to U.S. Forests	0.40625	0.26315789473684215	0.4358974358974359	0.34883720930232553	0.29166666666666663	0.0	0.23809523809523814	0.33333333333333337	0.4042553191489362	0.3191489361702128	0.33333333333333337	0.36585365853658536	0.3548387096774194	0.4642857142857143	0.25	0.36363636363636365	0.3846153846153846	0.4035087719298246	0.4492753623188406	0.3793103448275862
Expert Judgment Assessment of the Mortality Impact of Changes	0.34285714285714286	0.36363636363636365	0.33333333333333337	0.3877551020408163	0.14814814814814814	0.3913043478260869	0.25	0.2549019607843137	0.2075471698113207	0.24528301886792447	0.14814814814814814	0.23404255319148937	0.3529411764705882	0.32258064516129037	0.26086956521739135	0.24	0.3448275862068966	0.33333333333333337	0.3866666666666667	0.3125
Extended follow_up and spatial analysis of the American Cancer Society study linking particulate air pollution and mortality	0.323943661971831	0.33333333333333337	0.34782608695652173	0.31999999999999995	0.19999999999999996	0.36170212765957444	0.26530612244897955	0.2692307692307693	0.2592592592592593	0.2592592592592593	0.19999999999999996	0.20833333333333337	0.33333333333333337	0.3650793650793651	0.276595744680851	0.2549019607843137	0.3220338983050848	0.3125	0.39473684210526316	0.32307692307692304
The need for a long term cumulative secondary ozone standard – an ecological perspective	0.34328358208955223	0.31707317073170727	0.19047619047619047	0.30434782608695654	0.21568627450980393	0.39534883720930236	0.28888888888888886	0.16666666666666663	1.0	0.16000000000000003	0.2941176470588235	0.2272727272727273	1.0	1.0	0.16279069767441856	0.1063829787234043	0.34545454545454546	0.3666666666666667	0.41666666666666663	0.34426229508196726
Impact of Air Pollutants on Southern Pine Forests	0.3846153846153846	0.23076923076923073	0.25	0.31818181818181823	0.22448979591836737	0.2195121951219512	0.023255813953488413	0.21739130434782605	0.33333333333333337	0.25	0.18367346938775508	0.2857142857142857	0.33333333333333337	0.4385964912280702	0.2195121951219512	0.28888888888888886	0.3584905660377359	0.3448275862068966	0.4285714285714286	0.3220338983050848
Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California	0.3846153846153846	0.33333333333333337	0.25	0.36363636363636365	0.22448979591836737	0.41463414634146345	0.2558139534883721	0.26086956521739135	0.20833333333333337	0.25	0.1428571428571429	0.1428571428571429	0.39682539682539686	0.368421052631579	0.2195121951219512	0.19999999999999996	0.3584905660377359	0.3793103448275862	0.4571428571428572	0.35593220338983056
2008 National Ambient Air Quality Standards for Ground_level Ozone, Chapter 6	0.22077922077922074	0.4117647058823529	0.3846153846153846	0.3571428571428571	0.3114754098360656	0.4716981132075472	0.34545454545454546	0.3448275862068966	0.33333333333333337	0.30000000000000004	0.34426229508196726	0.37037037037037035	0.3866666666666667	0.2753623188405797	0.39622641509433965	0.33333333333333337	0.32307692307692304	0.34285714285714286	0.31707317073170727	0.323943661971831
National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry	0.2777777777777778	0.30434782608695654	0.36170212765957444	0.33333333333333337	0.1785714285714286	0.33333333333333337	0.24	0.24528301886792447	0.23636363636363633	0.23636363636363633	0.2142857142857143	0.34693877551020413	0.34285714285714286	0.3125	0.33333333333333337	0.2692307692307693	0.33333333333333337	0.32307692307692304	0.3246753246753247	0.303030303030303
