	We are chronically sleep deprived.	Circadian rhythms in the secretion of cortisol, adrenaline and noradrenaline.	Sleepiness as a consequence of shift work.	Concepts and Models of Sleep Regulation: An overview&quot;,	Homeostatic and circadian components of sUbjective alertness interact in a non-additive manner&quot;,	Bimodal distribution of REM sleep latency during forced desynchrony: model implications&quot;,	Review of fatigue detection and prediction technologies._	Effects of loading and unloading cargo on commercial truck driver alertness and performance~ Federal Motor Carrier Safety Administration FMCSA	Pay for Safety: An Economic Alternative for Truck Driver Safety&quot;,	Commercial Motor Vehicle Driver Fatigue, Alertness, and Countermeasures Survey.&quot; Sponsored by U.S. Department of Transportation, Federal Highway Administration.	A Survey of Owner-Operators and Company Drivers on their Use of Three New 'Hours of Service Features,'&quot; OOIDA Foundation,	A Survey of Private Fleets on their Use of Three New 'Hours of Service Features,'&quot;	06 P a 00 00 I' IS 00 os , Ii 00 i~l 1. ________ ~ ____ . ___ .. _ .1 The 'regular' driver, in addition to showing a higher overall effectiveness, also shows much less
HaS and electronic logs: fleets hold lead	0.5	0.54	0.64	0.5900000000000001	0.5700000000000001	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.61	0.64	0.61	0.61	0.5900000000000001
Roadcheck 2007 Results Show Safety Improvements Are Needed	0.62	0.6799999999999999	0.6699999999999999	0.64	0.64	0.64	0.69	0.61	0.6599999999999999	0.64	0.64	0.6599999999999999	0.64
Effect of driver fatigue on truck accident rates	0.62	0.55	0.6599999999999999	0.63	0.53	0.61	0.53	0.53	0.53	0.5	0.5900000000000001	0.55	0.55
Effect of driver hours of service on tractor-trailer crash involvement. (Proceedings paper).	0.5900000000000001	0.5800000000000001	0.62	0.63	0.5900000000000001	0.6699999999999999	0.5800000000000001	0.56	0.62	0.62	0.5900000000000001	0.61	0.64
Effects of irregular schedules and physical work on commercial driver fatigue and performance	0.5900000000000001	0.51	0.5800000000000001	0.63	0.5900000000000001	0.6599999999999999	0.5700000000000001	0.31999999999999995	0.63	0.6	0.61	0.63	0.5700000000000001
Fatigue, circadian rhythm and truck accidents in Vigilance: Theory, Operational Performance and Physiological Correlates	0.62	0.5	0.65	0.62	0.5900000000000001	0.63	0.6	0.56	0.63	0.62	0.65	0.64	0.65
Performing while sleepy: effects of experimentally induced sleepiness	0.53	0.54	0.62	0.6599999999999999	0.63	0.61	0.62	0.5800000000000001	0.69	0.63	0.61	0.61	0.5700000000000001
Time of day models of motor carrier accident risk	0.62	0.5800000000000001	0.65	0.5800000000000001	0.54	0.5800000000000001	0.6	0.47	0.62	0.56	0.5800000000000001	0.5800000000000001	0.62
2000 ITS National Motor Carrier Directory	0.65	0.61	0.71	0.64	0.6599999999999999	0.6599999999999999	0.61	0.47	0.5900000000000001	0.5700000000000001	0.61	0.64	0.5700000000000001
Motor Carrier Financial and Operating Statistics	0.5900000000000001	0.5900000000000001	0.72	0.69	0.5900000000000001	0.65	0.55	0.5	0.65	0.5700000000000001	0.61	0.69	0.5700000000000001
Commercial Driver Rest & Parking Requirements: Making Space for Safety - Final Report	0.62	0.5800000000000001	0.62	0.65	0.62	0.63	0.64	0.51	0.62	0.56	0.5900000000000001	0.63	0.5800000000000001
Commercial motor vehicle driver fatigue and alertness study	0.56	0.5700000000000001	0.65	0.63	0.55	0.63	0.5800000000000001	0.43000000000000005	0.62	0.22999999999999998	0.62	0.63	0.5800000000000001
Commercial Motor Vehicle Driver Fatigue, Alertness, and Countermeasures Survey	0.5900000000000001	0.5900000000000001	0.6	0.62	0.54	0.6799999999999999	0.55	0.43000000000000005	0.63	0.0	0.5900000000000001	0.62	0.5900000000000001
Costs of Large Truck and Bus Involved Crashes	0.5900000000000001	0.5800000000000001	0.6699999999999999	0.6	0.6	0.6	0.6	0.56	0.63	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.65
Costs of Large Truck-and-Bus Involved Crashes	0.62	0.5800000000000001	0.6699999999999999	0.6	0.65	0.6	0.63	0.5800000000000001	0.63	0.6	0.6	0.6	0.65
