	We are chronically sleep deprived.	Circadian rhythms in the secretion of cortisol, adrenaline and noradrenaline.	Sleepiness as a consequence of shift work.	Concepts and Models of Sleep Regulation: An overview&quot;,	Homeostatic and circadian components of sUbjective alertness interact in a non-additive manner&quot;,	Bimodal distribution of REM sleep latency during forced desynchrony: model implications&quot;,	Review of fatigue detection and prediction technologies._	Effects of loading and unloading cargo on commercial truck driver alertness and performance~ Federal Motor Carrier Safety Administration FMCSA	Pay for Safety: An Economic Alternative for Truck Driver Safety&quot;,	Commercial Motor Vehicle Driver Fatigue, Alertness, and Countermeasures Survey.&quot; Sponsored by U.S. Department of Transportation, Federal Highway Administration.	A Survey of Owner-Operators and Company Drivers on their Use of Three New 'Hours of Service Features,'&quot; OOIDA Foundation,	A Survey of Private Fleets on their Use of Three New 'Hours of Service Features,'&quot;	06 P a 00 00 I' IS 00 os , Ii 00 i~l 1. ________ ~ ____ . ___ .. _ .1 The 'regular' driver, in addition to showing a higher overall effectiveness, also shows much less
HaS and electronic logs: fleets hold lead	0.3142857142857143	0.2432432432432432	0.26315789473684215	0.30434782608695654	0.36363636363636365	0.3191489361702128	0.25	0.33333333333333337	0.4222222222222223	0.38181818181818183	0.4444444444444444	0.375	0.34693877551020413
Roadcheck 2007 Results Show Safety Improvements Are Needed	0.37777777777777777	0.36170212765957444	0.29166666666666663	0.3214285714285714	0.40740740740740744	0.368421052631579	0.28	0.2727272727272727	0.38181818181818183	0.3538461538461538	0.3125	0.3448275862068966	0.3220338983050848
Effect of driver fatigue on truck accident rates	0.3529411764705882	0.33333333333333337	0.29729729729729726	0.33333333333333337	0.34883720930232553	0.34782608695652173	0.23076923076923073	0.2272727272727273	0.36363636363636365	0.4444444444444444	0.4716981132075472	0.44680851063829785	0.375
Effect of driver hours of service on tractor-trailer crash involvement. (Proceedings paper).	0.2857142857142857	0.2727272727272727	0.28888888888888886	0.3584905660377359	0.2941176470588235	0.2962962962962963	0.19148936170212771	0.2692307692307693	0.3846153846153846	0.3548387096774194	0.4098360655737705	0.4181818181818182	0.2857142857142857
Effects of irregular schedules and physical work on commercial driver fatigue and performance	0.25	0.23809523809523814	0.2093023255813954	0.2941176470588235	0.30612244897959184	0.23076923076923073	0.15555555555555556	0.16000000000000003	0.31999999999999995	0.30000000000000004	0.35593220338983056	0.3584905660377359	0.2962962962962963
Fatigue, circadian rhythm and truck accidents in Vigilance: Theory, Operational Performance and Physiological Correlates	0.37777777777777777	0.23404255319148937	0.33333333333333337	0.3214285714285714	0.37037037037037035	0.26315789473684215	0.31999999999999995	0.23636363636363633	0.3090909090909091	0.2615384615384615	0.3125	0.3448275862068966	0.3220338983050848
Performing while sleepy: effects of experimentally induced sleepiness	0.30000000000000004	0.23809523809523814	0.2558139534883721	0.2941176470588235	0.34693877551020413	0.23076923076923073	0.19999999999999996	0.28	0.36	0.33333333333333337	0.38983050847457623	0.3584905660377359	0.2962962962962963
Time of day models of motor carrier accident risk	0.2941176470588235	0.16666666666666663	0.29729729729729726	0.4222222222222223	0.34883720930232553	0.34782608695652173	0.33333333333333337	0.2727272727272727	0.31818181818181823	0.40740740740740744	0.4339622641509434	0.4042553191489362	0.375
2000 ITS National Motor Carrier Directory	0.45945945945945943	0.3846153846153846	0.44999999999999996	0.45833333333333337	0.5652173913043479	0.5102040816326531	0.5238095238095238	0.4042553191489362	0.4042553191489362	0.4385964912280702	0.4285714285714286	0.43999999999999995	0.4509803921568627
Motor Carrier Financial and Operating Statistics	0.33333333333333337	0.3157894736842105	0.33333333333333337	0.276595744680851	0.4222222222222223	0.375	0.31707317073170727	0.21739130434782605	0.5217391304347826	0.3571428571428571	0.4181818181818182	0.4693877551020408	0.43999999999999995
Commercial Driver Rest & Parking Requirements: Making Space for Safety - Final Report	0.44680851063829785	0.3877551020408163	0.31999999999999995	0.2068965517241379	0.3214285714285714	0.2542372881355932	0.34615384615384615	0.19298245614035092	0.22807017543859653	0.25373134328358204	0.303030303030303	0.33333333333333337	0.4098360655737705
Commercial motor vehicle driver fatigue and alertness study	0.2432432432432432	0.1282051282051282	0.30000000000000004	0.29166666666666663	0.30434782608695654	0.26530612244897955	0.19047619047619047	0.19148936170212771	0.36170212765957444	0.29824561403508776	0.3571428571428571	0.36	0.2941176470588235
Commercial Motor Vehicle Driver Fatigue, Alertness, and Countermeasures Survey	0.34883720930232553	0.24444444444444446	0.3913043478260869	0.2592592592592593	0.3846153846153846	0.3090909090909091	0.33333333333333337	0.16981132075471694	0.3207547169811321	0.17460317460317465	0.29032258064516125	0.3214285714285714	0.33333333333333337
Costs of Large Truck and Bus Involved Crashes	0.3846153846153846	0.31707317073170727	0.33333333333333337	0.36	0.41666666666666663	0.37254901960784315	0.2727272727272727	0.30612244897959184	0.4285714285714286	0.38983050847457623	0.4137931034482759	0.42307692307692313	0.3207547169811321
