	NO PARSCIT CITATIONS
Ejection Mitigation Using Advanced Glazings: A Status Report	0.875
Ejection Mitigation Using Advanced Glazings: Final Report	0.90625
Ejection Mitigation Using Advanced Glazings: Status Report II	0.84375
Estimating the Injury-Reducing Benefits of Ejection Mitigation Glazing	0.9117647058823529
Fatality reduction by Safety Belts for Front-Seat Occupants of Cars and Light Trucks	0.8484848484848485
Summary Report of Rollover Crashes	0.8333333333333334
Treatment of Value of Preventing Fatalities and Injuries in Preparing Economic Analysis	0.84375
HIV prevalence estimates—United  States	0.8888888888888888
An Evaluation of Side Impact Protection – FMVSS 214 TTI(d) Improvements and Side Air Bags. 	0.8461538461538461
Timing of Head-to-Vehicle Perimeter Contacts in Rollovers	0.8275862068965517
Technical Analysis in Support of a Notice of Proposed Rulemaking for Ejection Mitigation	0.78125
