	NO PARSCIT CITATIONS
Ejection Mitigation Using Advanced Glazings: A Status Report	0.9333333333333333
Ejection Mitigation Using Advanced Glazings: Final Report	0.9473684210526315
Ejection Mitigation Using Advanced Glazings: Status Report II	0.9344262295081968
Estimating the Injury-Reducing Benefits of Ejection Mitigation Glazing	0.9571428571428572
Fatality reduction by Safety Belts for Front-Seat Occupants of Cars and Light Trucks	0.9404761904761905
Summary Report of Rollover Crashes	0.9411764705882353
Treatment of Value of Preventing Fatalities and Injuries in Preparing Economic Analysis	0.9425287356321839
HIV prevalence estimates—United  States	0.9230769230769231
An Evaluation of Side Impact Protection – FMVSS 214 TTI(d) Improvements and Side Air Bags. 	0.9230769230769231
Timing of Head-to-Vehicle Perimeter Contacts in Rollovers	0.9298245614035088
Technical Analysis in Support of a Notice of Proposed Rulemaking for Ejection Mitigation	0.9431818181818182
